Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
16:33,,,,,"MISS LAYUP by WEIR,JJ",,,"MISS LAYUP by WEIR,JJ",1
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
16:19,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
16:19,"GOOD FT by OGLE,JOHN",9 (+5),,4,,HC 9-4 (-5),,"GOOD FT by OGLE,JOHN",1
16:19,"GOOD FT by OGLE,JOHN",10 (+6),,4,,HC 10-4 (-6),,"GOOD FT by OGLE,JOHN",1
15:46,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
15:44,"STEAL  by OGLE,JOHN",,,,,,,"STEAL  by OGLE,JOHN",1
15:31,"GOOD JUMPER by OGLE,JOHN",12 (+8),,4,,HC 12-4 (-8),,"GOOD JUMPER by OGLE,JOHN",1
--,"ASSIST  by LITTLEFIELD,GEAREN",,,,,,,"ASSIST  by LITTLEFIELD,GEAREN",1
15:02,,12 (+6),,6,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 12-6 (-6),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
14:37,"GOOD LAYUP by SMITH,PRESTON(in the paint)",14 (+8),,6,,HC 14-6 (-8),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
14:14,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",1
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
13:58,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
13:58,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
13:58,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
13:58,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
13:58,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",1
13:58,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
13:58,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
13:58,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
13:58,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
13:58,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
13:58,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
13:58,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
13:58,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",1
13:42,"GOOD JUMPER by OGLE,JOHN",16 (+10),,6,,HC 16-6 (-10),,"GOOD JUMPER by OGLE,JOHN",1
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",1
13:30,,16 (+7),,9,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 16-9 (-7),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
13:07,"MISS LAYUP by OGLE,JOHN",,,,,,,"MISS LAYUP by OGLE,JOHN",1
--,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",,,"REBOUND DEF by BUTTS,KEYSHAWN",1
12:56,,,,,"MISS LAYUP by GALVIN,DANIEL",,,"MISS LAYUP by GALVIN,DANIEL",1
--,,,,,"REBOUND OFF by GALVIN,DANIEL",,,"REBOUND OFF by GALVIN,DANIEL",1
12:55,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",1
12:55,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
12:55,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",1
12:55,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
12:55,,,,,"MISS FT by GALVIN,DANIEL",,,"MISS FT by GALVIN,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:55,,16 (+6),,10,"GOOD FT by GALVIN,DANIEL",RHO 16-10 (-6),,"GOOD FT by GALVIN,DANIEL",1
12:55,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
12:55,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
12:44,"GOOD 3PTR by SMITH,PRESTON",19 (+9),,10,,HC 19-10 (-9),,"GOOD 3PTR by SMITH,PRESTON",1
--,"ASSIST  by NIKOLOVSKI,DREW",,,,,,,"ASSIST  by NIKOLOVSKI,DREW",1
12:27,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
11:56,"GOOD JUMPER by NIKOLOVSKI,DREW",21 (+11),,10,,HC 21-10 (-11),,"GOOD JUMPER by NIKOLOVSKI,DREW",1
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",1
11:39,"FOUL  by BATCHELOR,BRYCE",,,,,,,"FOUL  by BATCHELOR,BRYCE",1
11:39,,21 (+10),,11,"GOOD FT by SULLIVAN,BRENNAN",RHO 21-11 (-10),,"GOOD FT by SULLIVAN,BRENNAN",1
11:39,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
11:39,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
11:39,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",1
11:39,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",1
11:39,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
11:39,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",1
11:39,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",1
11:39,"SUB IN by BRADY,RYAN",,,,,,,"SUB IN by BRADY,RYAN",1
11:39,"SUB IN by PARKER,BRYCE",,,,,,,"SUB IN by PARKER,BRYCE",1
11:39,"SUB IN by OGLE,JOHN",,,,,,,"SUB IN by OGLE,JOHN",1
11:39,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
11:39,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",1
11:39,,21 (+9),,12,"GOOD FT by SULLIVAN,BRENNAN",RHO 21-12 (-9),,"GOOD FT by SULLIVAN,BRENNAN",1
11:39,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
11:39,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
11:24,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
11:24,"GOOD FT by OGLE,JOHN",22 (+10),,12,,HC 22-12 (-10),,"GOOD FT by OGLE,JOHN",1
11:24,"GOOD FT by OGLE,JOHN",23 (+11),,12,,HC 23-12 (-11),,"GOOD FT by OGLE,JOHN",1
11:17,,,,,"MISS 3PTR by LOWRIE,ANDREW",,,"MISS 3PTR by LOWRIE,ANDREW",1
--,,,,,"REBOUND OFF by HARRISON,IAN",,,"REBOUND OFF by HARRISON,IAN",1
11:11,,,,,"TURNOVER  by HARRISON,IAN",,,"TURNOVER  by HARRISON,IAN",1
11:10,"STEAL  by OGLE,JOHN",,,,,,,"STEAL  by OGLE,JOHN",1
10:58,"MISS 3PTR by GARRETT,TRAVIS",,,,,,,"MISS 3PTR by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
10:31,"FOUL  by BRADY,RYAN",,,,,,,"FOUL  by BRADY,RYAN",1
10:25,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",1
--,,,,,"REBOUND OFF by HARRISON,IAN",,,"REBOUND OFF by HARRISON,IAN",1
10:24,"FOUL  by PARKER,BRYCE",,,,,,,"FOUL  by PARKER,BRYCE",1
10:24,,,,,"MISS FT by HARRISON,IAN",,,"MISS FT by HARRISON,IAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:24,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
10:24,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",1
10:24,,23 (+10),,13,"GOOD FT by HARRISON,IAN",RHO 23-13 (-10),,"GOOD FT by HARRISON,IAN",1
10:24,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
10:24,,,,,"SUB OUT by HARRISON,IAN",,,"SUB OUT by HARRISON,IAN",1
10:10,"GOOD LAYUP by OGLE,JOHN(in the paint)",25 (+12),,13,,HC 25-13 (-12),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
--,"ASSIST  by GARRETT,TRAVIS",,,,,,,"ASSIST  by GARRETT,TRAVIS",1
10:10,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
10:10,"MISS FT by OGLE,JOHN",,,,,,,"MISS FT by OGLE,JOHN",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
09:56,,,,,"MISS 3PTR by LOWRIE,ANDREW",,,"MISS 3PTR by LOWRIE,ANDREW",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
09:23,"MISS JUMPER by OGLE,JOHN",,,,,,,"MISS JUMPER by OGLE,JOHN",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
09:12,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
09:12,,25 (+11),,14,"GOOD FT by GEE,TYLER",RHO 25-14 (-11),,"GOOD FT by GEE,TYLER",1
09:12,,25 (+10),,15,"GOOD FT by GEE,TYLER",RHO 25-15 (-10),,"GOOD FT by GEE,TYLER",1
08:41,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
08:41,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
08:41,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
08:30,,,,,"MISS JUMPER by DARST,DANIEL",,,"MISS JUMPER by DARST,DANIEL",1
--,,,,,"REBOUND OFF by GALVIN,DANIEL",,,"REBOUND OFF by GALVIN,DANIEL",1
08:25,,25 (+8),,17,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 25-17 (-8),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
08:09,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
08:09,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",1
08:09,"SUB OUT by PARKER,BRYCE",,,,,,,"SUB OUT by PARKER,BRYCE",1
07:51,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",27 (+10),,17,,HC 27-17 (-10),,"GOOD LAYUP by GARRETT,TRAVIS(in the paint)",1
07:27,,,,,"MISS 3PTR by WEIR,JJ",,,"MISS 3PTR by WEIR,JJ",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
07:00,"TURNOVER  by BRADY,RYAN",,,,,,,"TURNOVER  by BRADY,RYAN",1
06:59,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
06:52,,,,,"TURNOVER  by DARST,DANIEL",,,"TURNOVER  by DARST,DANIEL",1
06:51,"STEAL  by GARRETT,TRAVIS",,,,,,,"STEAL  by GARRETT,TRAVIS",1
06:32,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",1
06:32,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
06:32,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
06:32,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
06:32,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",1
06:32,"SUB OUT by BRADY,RYAN",,,,,,,"SUB OUT by BRADY,RYAN",1
06:17,,,,,"MISS 3PTR by WEIR,JJ",,,"MISS 3PTR by WEIR,JJ",1
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",1
05:58,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
05:58,"TURNOVER  by OGLE,JOHN",,,,,,,"TURNOVER  by OGLE,JOHN",1
05:43,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
05:24,"MISS 3PTR by OGLE,JOHN",,,,,,,"MISS 3PTR by OGLE,JOHN",1
--,,,,,"REBOUND DEF by GALVIN,DANIEL",,,"REBOUND DEF by GALVIN,DANIEL",1
05:04,,,,,"MISS LAYUP by WEIR,JJ",,,"MISS LAYUP by WEIR,JJ",1
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
04:46,"GOOD LAYUP by NIKOLOVSKI,DREW(in the paint)",29 (+12),,17,,HC 29-17 (-12),,"GOOD LAYUP by NIKOLOVSKI,DREW(in the paint)",1
04:18,,29 (+10),,19,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 29-19 (-10),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
04:00,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",1
04:00,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
03:51,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",1
03:51,,,,,"MISS FT by DARST,DANIEL",,,"MISS FT by DARST,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:50,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
03:50,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
03:50,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",1
03:50,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",1
03:50,,,,,"MISS FT by DARST,DANIEL",,,"MISS FT by DARST,DANIEL",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
03:35,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
03:35,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
03:29,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",1
--,"REBOUND DEF by LITTLEFIELD,GEAREN",,,,,,,"REBOUND DEF by LITTLEFIELD,GEAREN",1
03:07,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
03:00,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",1
03:00,,29 (+9),,20,"GOOD FT by SULLIVAN,BRENNAN",RHO 29-20 (-9),,"GOOD FT by SULLIVAN,BRENNAN",1
03:00,,,,,"MISS FT by SULLIVAN,BRENNAN",,,"MISS FT by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",1
02:45,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",1
02:45,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
02:45,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
02:29,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
02:29,,29 (+8),,21,"GOOD FT by GALVIN,DANIEL",RHO 29-21 (-8),,"GOOD FT by GALVIN,DANIEL",1
02:29,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",1
02:29,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
02:29,"SUB IN by GARRETT,TRAVIS",,,,,,,"SUB IN by GARRETT,TRAVIS",1
02:29,"SUB OUT by OGLE,JOHN",,,,,,,"SUB OUT by OGLE,JOHN",1
02:29,,,,,"MISS FT by GALVIN,DANIEL",,,"MISS FT by GALVIN,DANIEL",1
--,"REBOUND DEF by STEELE,AARON",,,,,,,"REBOUND DEF by STEELE,AARON",1
02:21,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:21,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
02:21,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
02:15,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",1
02:15,"TURNOVER  by NIKOLOVSKI,DREW",,,,,,,"TURNOVER  by NIKOLOVSKI,DREW",1
02:05,,29 (+5),,24,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 29-24 (-5),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
01:46,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
01:46,"SUB IN by LITTLEFIELD,GEAREN",,,,,,,"SUB IN by LITTLEFIELD,GEAREN",1
01:46,"SUB OUT by NOTLEY,CHANDLER",,,,,,,"SUB OUT by NOTLEY,CHANDLER",1
01:46,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
01:46,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
01:46,"MISS FT by STEELE,AARON",,,,,,,"MISS FT by STEELE,AARON",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
01:25,,,,,"TURNOVER  by LOWRIE,ANDREW",,,"TURNOVER  by LOWRIE,ANDREW",1
01:24,"STEAL  by GARRETT,TRAVIS",,,,,,,"STEAL  by GARRETT,TRAVIS",1
01:03,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",1
01:03,"TURNOVER  by LITTLEFIELD,GEAREN",,,,,,,"TURNOVER  by LITTLEFIELD,GEAREN",1
01:03,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",1
01:03,"SUB OUT by LITTLEFIELD,GEAREN",,,,,,,"SUB OUT by LITTLEFIELD,GEAREN",1
00:43,,,,,"MISS LAYUP by DARST,DANIEL",,,"MISS LAYUP by DARST,DANIEL",1
--,"REBOUND DEF by NOTLEY,CHANDLER",,,,,,,"REBOUND DEF by NOTLEY,CHANDLER",1
00:31,"MISS JUMPER by STEELE,AARON",,,,,,,"MISS JUMPER by STEELE,AARON",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
00:23,,29 (+3),,26,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 29-26 (-3),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
00:00,"GOOD JUMPER by NIKOLOVSKI,DREW",31 (+5),,26,,HC 31-26 (-5),,"GOOD JUMPER by NIKOLOVSKI,DREW",1
19:34,"FOUL  by LITTLEFIELD,GEAREN",,,,,,,"FOUL  by LITTLEFIELD,GEAREN",2
19:34,,31 (+4),,27,"GOOD FT by SULLIVAN,BRENNAN",RHO 31-27 (-4),,"GOOD FT by SULLIVAN,BRENNAN",2
19:34,,31 (+3),,28,"GOOD FT by SULLIVAN,BRENNAN",RHO 31-28 (-3),,"GOOD FT by SULLIVAN,BRENNAN",2
19:17,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",2
19:15,"GOOD LAYUP by NIKOLOVSKI,DREW(in the paint)",33 (+5),,28,,HC 33-28 (-5),,"GOOD LAYUP by NIKOLOVSKI,DREW(in the paint)",2
--,"ASSIST  by SMITH,PRESTON",,,,,,,"ASSIST  by SMITH,PRESTON",2
19:04,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",2
18:47,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",2
18:46,"STEAL  by OGLE,JOHN",,,,,,,"STEAL  by OGLE,JOHN",2
18:31,"MISS LAYUP by OGLE,JOHN",,,,,,,"MISS LAYUP by OGLE,JOHN",2
--,,,,,"REBOUND DEF by GALVIN,DANIEL",,,"REBOUND DEF by GALVIN,DANIEL",2
18:13,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",2
18:12,"STEAL  by STEELE,AARON",,,,,,,"STEAL  by STEELE,AARON",2
18:09,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,"REBOUND OFF by STEELE,AARON",,,,,,,"REBOUND OFF by STEELE,AARON",2
18:04,"GOOD LAYUP by STEELE,AARON(in the paint)",35 (+7),,28,,HC 35-28 (-7),,"GOOD LAYUP by STEELE,AARON(in the paint)",2
17:38,,35 (+4),,31,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 35-31 (-4),,"GOOD 3PTR by SULLIVAN,BRENNAN",2
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",2
17:03,"MISS LAYUP by STEELE,AARON",,,,,,,"MISS LAYUP by STEELE,AARON",2
--,,,,,"REBOUND DEF by GALVIN,DANIEL",,,"REBOUND DEF by GALVIN,DANIEL",2
16:46,,35 (+2),,33,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 35-33 (-2),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",2
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",2
16:38,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
16:38,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",2
16:38,"SUB OUT by NIKOLOVSKI,DREW",,,,,,,"SUB OUT by NIKOLOVSKI,DREW",2
16:38,"SUB OUT by GARRETT,TRAVIS",,,,,,,"SUB OUT by GARRETT,TRAVIS",2
16:38,"SUB OUT by STEELE,AARON",,,,,,,"SUB OUT by STEELE,AARON",2
16:38,"SUB OUT by BATCHELOR,BRYCE",,,,,,,"SUB OUT by BATCHELOR,BRYCE",2
16:38,"SUB IN by SMITH,PRESTON",,,,,,,"SUB IN by SMITH,PRESTON",2
16:38,"SUB IN by NIKOLOVSKI,DREW",,,,,,,"SUB IN by NIKOLOVSKI,DREW",2
16:38,"SUB IN by STEELE,AARON",,,,,,,"SUB IN by STEELE,AARON",2
16:38,"SUB IN by NOTLEY,CHANDLER",,,,,,,"SUB IN by NOTLEY,CHANDLER",2
16:38,"SUB IN by BATCHELOR,BRYCE",,,,,,,"SUB IN by BATCHELOR,BRYCE",2
16:19,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",2
