Time Remaining,OGL,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
19:39,,0,,2 (+2),"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 0-2 (+2),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
19:24,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
19:11,"GOOD 3PTR by LAWRENCE,CHRIS",3 (+1),,2,,OGL 3-2 (-1),,"GOOD 3PTR by LAWRENCE,CHRIS",1
--,"ASSIST  by SMITH,CONNOR",,,,,,,"ASSIST  by SMITH,CONNOR",1
18:43,"FOUL  by SMITH,CONNOR",,,,,,,"FOUL  by SMITH,CONNOR",1
18:41,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",1
18:40,"STEAL  by WARDLAW,CHASE",,,,,,,"STEAL  by WARDLAW,CHASE",1
18:38,"TURNOVER  by PERRY,WILL",,,,,,,"TURNOVER  by PERRY,WILL",1
18:25,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
18:24,"STEAL  by WARDLAW,CHASE",,,,,,,"STEAL  by WARDLAW,CHASE",1
18:19,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",5 (+3),,2,,OGL 5-2 (-3),,"GOOD LAYUP by PERRY,WILL(fastbreak)(in the paint)",1
--,"ASSIST  by INUNGU,TOM",,,,,,,"ASSIST  by INUNGU,TOM",1
18:08,,5 (+1),,4,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",RHO 5-4 (-1),,"GOOD JUMPER by SULLIVAN,BRENNAN(in the paint)",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
17:49,"MISS JUMPER by WARDLAW,CHASE",,,,,,,"MISS JUMPER by WARDLAW,CHASE",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
17:31,"FOUL  by WARDLAW,CHASE",,,,,,,"FOUL  by WARDLAW,CHASE",1
17:20,,5,,6 (+1),"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 5-6 (+1),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",1
16:52,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
16:41,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",1
16:41,"BLOCK  by INUNGU,TOM",,,,,,,"BLOCK  by INUNGU,TOM",1
--,"REBOUND DEF by WARDLAW,CHASE",,,,,,,"REBOUND DEF by WARDLAW,CHASE",1
16:36,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
16:36,"GOOD FT by PERRY,WILL",6,,6,,OGL 6-6 (0),,"GOOD FT by PERRY,WILL",1
16:36,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",1
16:36,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",1
16:36,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",1
16:36,"SUB OUT by WARDLAW,CHASE",,,,,,,"SUB OUT by WARDLAW,CHASE",1
16:36,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",1
16:36,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
16:36,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",1
16:36,"SUB IN by ANDINO,GEORGE",,,,,,,"SUB IN by ANDINO,GEORGE",1
16:36,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",1
16:36,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",1
16:36,"GOOD FT by PERRY,WILL",7 (+1),,6,,OGL 7-6 (-1),,"GOOD FT by PERRY,WILL",1
16:20,,7,,9 (+2),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 7-9 (+2),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
