Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,SEW,Game Score,Team Indicator,Play,Period
15:43,,9,,10 (+1),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEW 9-10 (-1),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
15:19,"MISS JUMPER by MCINTYRE,WILL",,,,,,,"MISS JUMPER by MCINTYRE,WILL",1
--,"REBOUND OFF by MCINTYRE,WILL",,,,,,,"REBOUND OFF by MCINTYRE,WILL",1
15:13,"GOOD 3PTR by SULLIVAN,BRENNAN",12 (+2),,10,,RHO 12-10 (+2),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,"ASSIST  by DALTON,PRICE",,,,,,,"ASSIST  by DALTON,PRICE",1
14:52,,,,,"MISS LAYUP by CARTER,KESHONN",,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
14:49,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
14:47,"STEAL  by DALTON,PRICE",,,,,,,"STEAL  by DALTON,PRICE",1
14:40,"GOOD LAYUP by MCINTYRE,WILL(in the paint)",14 (+4),,10,,RHO 14-10 (+4),,"GOOD LAYUP by MCINTYRE,WILL(in the paint)",1
--,"ASSIST  by DALTON,PRICE",,,,,,,"ASSIST  by DALTON,PRICE",1
14:19,,14 (+2),,12,"GOOD LAYUP by JONES,CODY(in the paint)",SEW 14-12 (+2),,"GOOD LAYUP by JONES,CODY(in the paint)",1
13:48,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
13:48,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
13:48,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
13:48,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
13:48,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
13:48,,,,,"SUB OUT by JONES,CODY",,,"SUB OUT by JONES,CODY",1
13:47,"MISS 3PTR by GALVIN,DANIEL",,,,,,,"MISS 3PTR by GALVIN,DANIEL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:47,"SUB IN by GALVIN,DANIEL",,,,,,,"SUB IN by GALVIN,DANIEL",1
13:47,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
13:47,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
13:47,"SUB OUT by MCINTYRE,WILL",,,,,,,"SUB OUT by MCINTYRE,WILL",1
13:47,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
13:47,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
13:31,,,,,"MISS JUMPER by TOME,MATT",,,"MISS JUMPER by TOME,MATT",1
--,"REBOUND DEF by GALVIN,DANIEL",,,,,,,"REBOUND DEF by GALVIN,DANIEL",1
13:06,,,,,"FOUL  by BUESCHER,HUNTER",,,"FOUL  by BUESCHER,HUNTER",1
13:06,"GOOD FT by GALVIN,DANIEL",15 (+3),,12,,RHO 15-12 (+3),,"GOOD FT by GALVIN,DANIEL",1
13:06,"MISS FT by GALVIN,DANIEL",,,,,,,"MISS FT by GALVIN,DANIEL",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
13:06,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
13:06,,,,,"SUB OUT by MCCULLOUGH,JACOB",,,"SUB OUT by MCCULLOUGH,JACOB",1
12:52,,,,,"MISS JUMPER by BROWN,SETH",,,"MISS JUMPER by BROWN,SETH",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
12:33,"GOOD JUMPER by WEIR,JJ(in the paint)",17 (+5),,12,,RHO 17-12 (+5),,"GOOD JUMPER by WEIR,JJ(in the paint)",1
12:03,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
12:01,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
11:57,"MISS JUMPER by DARST,DANIEL",,,,,,,"MISS JUMPER by DARST,DANIEL",1
11:57,,,,,"BLOCK  by CALDWELL,CAM",,,"BLOCK  by CALDWELL,CAM",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
11:29,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",1
11:29,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
11:29,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
11:29,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
11:29,,,,,"SUB IN by BORN,CLAY",,,"SUB IN by BORN,CLAY",1
11:29,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",1
11:29,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
11:29,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
11:29,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
11:13,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",19 (+7),,12,,RHO 19-12 (+7),,"GOOD LAYUP by SULLIVAN,BRENNAN(in the paint)",1
10:49,"FOUL  by DALTON,PRICE",,,,,,,"FOUL  by DALTON,PRICE",1
10:49,,,,,"MISS FT by JONES,CODY",,,"MISS FT by JONES,CODY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:49,,19 (+6),,13,"GOOD FT by JONES,CODY",SEW 19-13 (+6),,"GOOD FT by JONES,CODY",1
10:49,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",1
10:49,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
10:49,,,,,"SUB IN by TURNER,BYRON",,,"SUB IN by TURNER,BYRON",1
10:49,,,,,"SUB IN by MCCULLOUGH,JACOB",,,"SUB IN by MCCULLOUGH,JACOB",1
10:49,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
10:49,,,,,"SUB OUT by CALDWELL,CAM",,,"SUB OUT by CALDWELL,CAM",1
10:35,"MISS LAYUP by DARBY,MYLES",,,,,,,"MISS LAYUP by DARBY,MYLES",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
10:12,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",1
--,"REBOUND DEF by MCINTYRE,WILL",,,,,,,"REBOUND DEF by MCINTYRE,WILL",1
09:57,"MISS LAYUP by WEIR,JJ",,,,,,,"MISS LAYUP by WEIR,JJ",1
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",1
09:38,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
09:38,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
09:28,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
09:28,"SUB OUT by GALVIN,DANIEL",,,,,,,"SUB OUT by GALVIN,DANIEL",1
09:28,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
09:28,,,,,"SUB OUT by TURNER,BYRON",,,"SUB OUT by TURNER,BYRON",1
09:15,"MISS JUMPER by SULLIVAN,BRENNAN",,,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",1
09:03,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
09:00,"STEAL  by SULLIVAN,BRENNAN",,,,,,,"STEAL  by SULLIVAN,BRENNAN",1
08:52,"GOOD LAYUP by WEIR,JJ(in the paint)",21 (+8),,13,,RHO 21-13 (+8),,"GOOD LAYUP by WEIR,JJ(in the paint)",1
08:33,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",1
08:23,,21 (+5),,16,"GOOD 3PTR by BORN,CLAY",SEW 21-16 (+5),,"GOOD 3PTR by BORN,CLAY",1
08:11,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
08:10,,,,,"STEAL  by BORN,CLAY",,,"STEAL  by BORN,CLAY",1
08:03,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",1
08:03,,21 (+4),,17,"GOOD FT by JONES,CODY",SEW 21-17 (+4),,"GOOD FT by JONES,CODY",1
08:03,,21 (+3),,18,"GOOD FT by JONES,CODY",SEW 21-18 (+3),,"GOOD FT by JONES,CODY",1
08:03,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
08:03,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",1
08:03,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
08:03,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
07:51,"TURNOVER  by SULLIVAN,BRENNAN",,,,,,,"TURNOVER  by SULLIVAN,BRENNAN",1
07:18,,,,,"MISS 3PTR by JONES,CODY",,,"MISS 3PTR by JONES,CODY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
07:01,,,,,"FOUL  by BORN,CLAY",,,"FOUL  by BORN,CLAY",1
07:01,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
07:01,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
07:01,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
07:01,,,,,"SUB OUT by BORN,CLAY",,,"SUB OUT by BORN,CLAY",1
06:48,,,,,"FOUL  by TOME,MATT",,,"FOUL  by TOME,MATT",1
06:48,"SUB IN by GALVIN,DANIEL",,,,,,,"SUB IN by GALVIN,DANIEL",1
06:48,"SUB OUT by MCINTYRE,WILL",,,,,,,"SUB OUT by MCINTYRE,WILL",1
06:48,,,,,"SUB IN by BROWN,SETH",,,"SUB IN by BROWN,SETH",1
06:48,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
06:36,"MISS JUMPER by BUTTS,KEYSHAWN",,,,,,,"MISS JUMPER by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
06:13,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
06:00,"TURNOVER  by BUTTS,KEYSHAWN",,,,,,,"TURNOVER  by BUTTS,KEYSHAWN",1
05:57,,,,,"STEAL  by MCCULLOUGH,JACOB",,,"STEAL  by MCCULLOUGH,JACOB",1
05:57,"FOUL  by BUTTS,KEYSHAWN",,,,,,,"FOUL  by BUTTS,KEYSHAWN",1
05:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:57,,21 (+2),,19,"GOOD FT by MCCULLOUGH,JACOB",SEW 21-19 (+2),,"GOOD FT by MCCULLOUGH,JACOB",1
05:57,,21 (+1),,20,"GOOD FT by MCCULLOUGH,JACOB",SEW 21-20 (+1),,"GOOD FT by MCCULLOUGH,JACOB",1
05:57,,,,,"SUB IN by BUESCHER,HUNTER",,,"SUB IN by BUESCHER,HUNTER",1
05:57,,,,,"SUB OUT by JONES,CODY",,,"SUB OUT by JONES,CODY",1
05:40,"MISS LAYUP by GALVIN,DANIEL",,,,,,,"MISS LAYUP by GALVIN,DANIEL",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
05:27,,,,,"TURNOVER  by MCCULLOUGH,JACOB",,,"TURNOVER  by MCCULLOUGH,JACOB",1
05:25,"STEAL  by WEIR,JJ",,,,,,,"STEAL  by WEIR,JJ",1
05:06,"MISS LAYUP by LOWRIE,ANDREW",,,,,,,"MISS LAYUP by LOWRIE,ANDREW",1
--,"REBOUND OFF by GEE,TYLER",,,,,,,"REBOUND OFF by GEE,TYLER",1
05:03,"MISS LAYUP by GEE,TYLER",,,,,,,"MISS LAYUP by GEE,TYLER",1
05:03,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
05:00,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",1
05:00,,,,,"TURNOVER  by BROWN,SETH",,,"TURNOVER  by BROWN,SETH",1
05:00,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
05:00,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
05:00,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
05:00,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",1
05:00,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
05:00,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
05:00,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
05:00,,,,,"SUB IN by JONES,CODY",,,"SUB IN by JONES,CODY",1
05:00,,,,,"SUB OUT by BUESCHER,HUNTER",,,"SUB OUT by BUESCHER,HUNTER",1
05:00,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
04:57,"GOOD LAYUP by DALTON,PRICE(in the paint)",23 (+3),,20,,RHO 23-20 (+3),,"GOOD LAYUP by DALTON,PRICE(in the paint)",1
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",1
04:42,,23 (+1),,22,"GOOD LAYUP by BROWN,SETH(in the paint)",SEW 23-22 (+1),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
04:19,"TURNOVER  by GALVIN,DANIEL",,,,,,,"TURNOVER  by GALVIN,DANIEL",1
04:09,,23,,24 (+1),"GOOD LAYUP by BROWN,SETH(in the paint)",SEW 23-24 (-1),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
03:52,,,,,"FOUL  by TOME,MATT",,,"FOUL  by TOME,MATT",1
03:52,"MISS FT by GALVIN,DANIEL",,,,,,,"MISS FT by GALVIN,DANIEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
03:52,"MISS FT by GALVIN,DANIEL",,,,,,,"MISS FT by GALVIN,DANIEL",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
03:52,,,,,"SUB IN by CALDWELL,CAM",,,"SUB IN by CALDWELL,CAM",1
03:52,,,,,"SUB OUT by TOME,MATT",,,"SUB OUT by TOME,MATT",1
03:36,,,,,"FOUL  by CALDWELL,CAM",,,"FOUL  by CALDWELL,CAM",1
03:36,,,,,"TURNOVER  by CALDWELL,CAM",,,"TURNOVER  by CALDWELL,CAM",1
03:36,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",1
03:36,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
03:10,"MISS 3PTR by MCINTYRE,WILL",,,,,,,"MISS 3PTR by MCINTYRE,WILL",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
03:10,"FOUL  by GALVIN,DANIEL",,,,,,,"FOUL  by GALVIN,DANIEL",1
03:10,,23,,25 (+2),"GOOD FT by BROWN,SETH",SEW 23-25 (-2),,"GOOD FT by BROWN,SETH",1
03:10,,23,,26 (+3),"GOOD FT by BROWN,SETH",SEW 23-26 (-3),,"GOOD FT by BROWN,SETH",1
02:52,"FOUL  by GALVIN,DANIEL",,,,,,,"FOUL  by GALVIN,DANIEL",1
02:52,"TURNOVER  by GALVIN,DANIEL",,,,,,,"TURNOVER  by GALVIN,DANIEL",1
02:52,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
02:52,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
02:52,"SUB OUT by MCINTYRE,WILL",,,,,,,"SUB OUT by MCINTYRE,WILL",1
02:52,"SUB OUT by GALVIN,DANIEL",,,,,,,"SUB OUT by GALVIN,DANIEL",1
02:52,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
02:52,,,,,"SUB OUT by STONE,BRODY",,,"SUB OUT by STONE,BRODY",1
02:40,,23,,28 (+5),"GOOD LAYUP by BROWN,SETH(in the paint)",SEW 23-28 (-5),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
02:20,"MISS LAYUP by HARRISON,IAN",,,,,,,"MISS LAYUP by HARRISON,IAN",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
02:08,,23,,30 (+7),"GOOD LAYUP by BROWN,SETH(in the paint)",SEW 23-30 (-7),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
02:08,"FOUL  by HARRISON,IAN",,,,,,,"FOUL  by HARRISON,IAN",1
02:08,,23,,31 (+8),"GOOD FT by BROWN,SETH",SEW 23-31 (-8),,"GOOD FT by BROWN,SETH",1
02:08,"SUB IN by GALVIN,DANIEL",,,,,,,"SUB IN by GALVIN,DANIEL",1
02:08,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
01:40,"MISS LAYUP by DALTON,PRICE",,,,,,,"MISS LAYUP by DALTON,PRICE",1
--,"REBOUND OFF by DALTON,PRICE",,,,,,,"REBOUND OFF by DALTON,PRICE",1
01:39,,,,,"FOUL  by JONES,CODY",,,"FOUL  by JONES,CODY",1
01:39,"MISS FT by DALTON,PRICE",,,,,,,"MISS FT by DALTON,PRICE",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:39,"GOOD FT by DALTON,PRICE",24,,31 (+7),,RHO 24-31 (-7),,"GOOD FT by DALTON,PRICE",1
01:25,,,,,"TURNOVER  by BROWN,SETH",,,"TURNOVER  by BROWN,SETH",1
01:08,"TURNOVER  by WEIR,JJ",,,,,,,"TURNOVER  by WEIR,JJ",1
00:49,,,,,"MISS LAYUP by JONES,CODY",,,"MISS LAYUP by JONES,CODY",1
--,"REBOUND DEF by WEIR,JJ",,,,,,,"REBOUND DEF by WEIR,JJ",1
00:39,"MISS JUMPER by GEE,TYLER",,,,,,,"MISS JUMPER by GEE,TYLER",1
--,,,,,"REBOUND DEF by MCCULLOUGH,JACOB",,,"REBOUND DEF by MCCULLOUGH,JACOB",1
00:31,"FOUL  by DALTON,PRICE",,,,,,,"FOUL  by DALTON,PRICE",1
00:31,,24,,32 (+8),"GOOD FT by JONES,CODY",SEW 24-32 (-8),,"GOOD FT by JONES,CODY",1
00:31,,24,,33 (+9),"GOOD FT by JONES,CODY",SEW 24-33 (-9),,"GOOD FT by JONES,CODY",1
00:31,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",1
00:31,"SUB OUT by GALVIN,DANIEL",,,,,,,"SUB OUT by GALVIN,DANIEL",1
00:31,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
00:31,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
00:31,,,,,"SUB OUT by JONES,CODY",,,"SUB OUT by JONES,CODY",1
00:31,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
00:05,"MISS LAYUP by GEE,TYLER",,,,,,,"MISS LAYUP by GEE,TYLER",1
--,,,,,"REBOUND DEF by CALDWELL,CAM",,,"REBOUND DEF by CALDWELL,CAM",1
19:49,,,,,"TURNOVER  by MCCULLOUGH,JACOB",,,"TURNOVER  by MCCULLOUGH,JACOB",2
19:48,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",2
19:36,"MISS 3PTR by LOWRIE,ANDREW",,,,,,,"MISS 3PTR by LOWRIE,ANDREW",2
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",2
19:09,,,,,"MISS LAYUP by MCCULLOUGH,JACOB",,,"MISS LAYUP by MCCULLOUGH,JACOB",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
19:08,,24,,35 (+11),"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEW 24-35 (-11),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2
18:52,"GOOD LAYUP by GEE,TYLER(in the paint)",26,,35 (+9),,RHO 26-35 (-9),,"GOOD LAYUP by GEE,TYLER(in the paint)",2
18:41,"FOUL  by BUTTS,KEYSHAWN",,,,,,,"FOUL  by BUTTS,KEYSHAWN",2
18:41,,26,,36 (+10),"GOOD FT by CARTER,KESHONN",SEW 26-36 (-10),,"GOOD FT by CARTER,KESHONN",2
18:41,,26,,37 (+11),"GOOD FT by CARTER,KESHONN",SEW 26-37 (-11),,"GOOD FT by CARTER,KESHONN",2
18:41,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",2
18:41,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",2
18:26,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",28,,37 (+9),,RHO 28-37 (-9),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",2
--,"ASSIST  by SULLIVAN,BRENNAN",,,,,,,"ASSIST  by SULLIVAN,BRENNAN",2
18:03,"FOUL  by LOWRIE,ANDREW",,,,,,,"FOUL  by LOWRIE,ANDREW",2
18:03,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",2
18:03,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",2
18:02,"FOUL  by DALTON,PRICE",,,,,,,"FOUL  by DALTON,PRICE",2
17:59,,28,,39 (+11),"GOOD LAYUP by JONES,CODY(in the paint)",SEW 28-39 (-11),,"GOOD LAYUP by JONES,CODY(in the paint)",2
17:54,"SUB IN by MCINTYRE,WILL",,,,,,,"SUB IN by MCINTYRE,WILL",2
17:54,"SUB OUT by GALVIN,DANIEL",,,,,,,"SUB OUT by GALVIN,DANIEL",2
17:50,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",2
17:50,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",2
17:46,,,,,"MISS JUMPER by JONES,CODY",,,"MISS JUMPER by JONES,CODY",2
--,,,,,"REBOUND OFF by MCCULLOUGH,JACOB",,,"REBOUND OFF by MCCULLOUGH,JACOB",2
17:31,,,,,"TURNOVER  by JONES,CODY",,,"TURNOVER  by JONES,CODY",2
17:30,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",2
17:23,"MISS 3PTR by MCINTYRE,WILL",,,,,,,"MISS 3PTR by MCINTYRE,WILL",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
17:08,,,,,"MISS 3PTR by STONE,BRODY",,,"MISS 3PTR by STONE,BRODY",2
--,,,,,"REBOUND OFF by MCCULLOUGH,JACOB",,,"REBOUND OFF by MCCULLOUGH,JACOB",2
