Time Remaining,AUR,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
17:51,"TURNOVER  by HALL,TYLER",,,,,,,"TURNOVER  by HALL,TYLER",1
17:50,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
17:41,,2,,7 (+5),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 2-7 (+5),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",1
17:23,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
17:18,"GOOD 3PTR by HALL,TYLER",5,,7 (+2),,AUR 5-7 (+2),,"GOOD 3PTR by HALL,TYLER",1
--,"ASSIST  by KLADIS,NICK",,,,,,,"ASSIST  by KLADIS,NICK",1
16:43,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
16:29,"MISS JUMPER by KLADIS,NICK",,,,,,,"MISS JUMPER by KLADIS,NICK",1
--,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",,,"REBOUND DEF by SULLIVAN,BRENNAN",1
16:06,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,"REBOUND DEF by HALL,TYLER",,,,,,,"REBOUND DEF by HALL,TYLER",1
15:49,"MISS LAYUP by GRIFFIN,JOVON",,,,,,,"MISS LAYUP by GRIFFIN,JOVON",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
15:38,,,,,"MISS 3PTR by WEIR,JJ",,,"MISS 3PTR by WEIR,JJ",1
--,"REBOUND DEF by GRIFFIN,JOVON",,,,,,,"REBOUND DEF by GRIFFIN,JOVON",1
15:23,"GOOD 3PTR by STOKES,KALMON",8 (+1),,7,,AUR 8-7 (-1),,"GOOD 3PTR by STOKES,KALMON",1
--,"ASSIST  by HALL,TYLER",,,,,,,"ASSIST  by HALL,TYLER",1
15:04,,8,,9 (+1),"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 8-9 (+1),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
14:51,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
14:51,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
14:51,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
14:51,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
14:51,,,,,"SUB OUT by DALTON,PRICE",,,"SUB OUT by DALTON,PRICE",1
14:51,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
14:51,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
14:51,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
14:51,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
14:51,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
14:51,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
14:51,"SUB OUT by DUNN,MATT",,,,,,,"SUB OUT by DUNN,MATT",1
14:51,"SUB OUT by KLADIS,NICK",,,,,,,"SUB OUT by KLADIS,NICK",1
14:51,"SUB OUT by LAGRONE,JORDAN",,,,,,,"SUB OUT by LAGRONE,JORDAN",1
14:51,"SUB OUT by LAGRONE,JEREMY",,,,,,,"SUB OUT by LAGRONE,JEREMY",1
14:51,"SUB OUT by FRITSCH,CHRIS",,,,,,,"SUB OUT by FRITSCH,CHRIS",1
14:51,"SUB IN by HALL,TYLER",,,,,,,"SUB IN by HALL,TYLER",1
14:51,"SUB IN by GRIFFIN,JOVON",,,,,,,"SUB IN by GRIFFIN,JOVON",1
14:51,"SUB IN by LAGRONE,JEREMY",,,,,,,"SUB IN by LAGRONE,JEREMY",1
14:51,"SUB IN by FRITSCH,CHRIS",,,,,,,"SUB IN by FRITSCH,CHRIS",1
14:51,"SUB IN by STOKES,KALMON",,,,,,,"SUB IN by STOKES,KALMON",1
14:50,"MISS JUMPER by STOKES,KALMON",,,,,,,"MISS JUMPER by STOKES,KALMON",1
--,"REBOUND OFF by HALL,TYLER",,,,,,,"REBOUND OFF by HALL,TYLER",1
14:45,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
14:45,"GOOD FT by HALL,TYLER",9,,9,,AUR 9-9 (0),,"GOOD FT by HALL,TYLER",1
14:45,"GOOD FT by HALL,TYLER",10 (+1),,9,,AUR 10-9 (-1),,"GOOD FT by HALL,TYLER",1
14:35,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
14:34,"STEAL  by GRIFFIN,JOVON",,,,,,,"STEAL  by GRIFFIN,JOVON",1
14:32,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
14:32,"MISS FT by LAGRONE,JEREMY",,,,,,,"MISS FT by LAGRONE,JEREMY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:32,"GOOD FT by LAGRONE,JEREMY",11 (+2),,9,,AUR 11-9 (-2),,"GOOD FT by LAGRONE,JEREMY",1
14:16,"FOUL  by HALL,TYLER",,,,,,,"FOUL  by HALL,TYLER",1
14:16,"SUB IN by KLADIS,NICK",,,,,,,"SUB IN by KLADIS,NICK",1
14:16,"SUB OUT by HALL,TYLER",,,,,,,"SUB OUT by HALL,TYLER",1
14:10,,,,,"MISS 3PTR by LOWRIE,ANDREW",,,"MISS 3PTR by LOWRIE,ANDREW",1
--,,,,,"REBOUND OFF by LOWRIE,ANDREW",,,"REBOUND OFF by LOWRIE,ANDREW",1
14:01,,11,,11,"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 11-11 (0),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
13:47,"MISS 3PTR by STOKES,KALMON",,,,,,,"MISS 3PTR by STOKES,KALMON",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
13:45,"SUB IN by DUNN,MATT",,,,,,,"SUB IN by DUNN,MATT",1
13:45,"SUB OUT by GRIFFIN,JOVON",,,,,,,"SUB OUT by GRIFFIN,JOVON",1
13:42,"TURNOVER  by KLADIS,NICK",,,,,,,"TURNOVER  by KLADIS,NICK",1
