Time Remaining,RHO,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
16:31,"TURNOVER  by MUHAMMAD,AQUIL",,,,,,,"TURNOVER  by MUHAMMAD,AQUIL",1
16:31,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
16:31,"SUB OUT by MUHAMMAD,AQUIL",,,,,,,"SUB OUT by MUHAMMAD,AQUIL",1
16:23,"FOUL  by BUTTS,KEYSHAWN",,,,,,,"FOUL  by BUTTS,KEYSHAWN",1
16:15,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,"MISS 3PTR by TWAGIRAYEZU,PATJO",1
--,"REBOUND DEF by BUTTS,KEYSHAWN",,,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",1
15:47,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",1
15:47,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
15:47,"GOOD FT by BUTTS,KEYSHAWN",6 (+4),,2,,RHO 6-2 (+4),,"GOOD FT by BUTTS,KEYSHAWN",1
15:47,"GOOD FT by BUTTS,KEYSHAWN",7 (+5),,2,,RHO 7-2 (+5),,"GOOD FT by BUTTS,KEYSHAWN",1
15:47,"SUB IN by LOWRIE,ANDREW",,,,,,,"SUB IN by LOWRIE,ANDREW",1
15:47,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
15:47,,,,,"SUB IN by SEARS,CONNOR",,,"SUB IN by SEARS,CONNOR",1
15:47,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",1
15:35,,,,,"MISS LAYUP by TWAGIRAYEZU,PATJO",,,"MISS LAYUP by TWAGIRAYEZU,PATJO",1
--,,,,,"REBOUND OFF by SEARS,CONNOR",,,"REBOUND OFF by SEARS,CONNOR",1
15:33,"FOUL  by LOWRIE,ANDREW",,,,,,,"FOUL  by LOWRIE,ANDREW",1
15:33,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",1
15:33,,,,,"SUB OUT by SPRAGG,BAILEY",,,"SUB OUT by SPRAGG,BAILEY",1
15:08,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,"MISS 3PTR by TWAGIRAYEZU,PATJO",1
--,"REBOUND DEF by BUTTS,KEYSHAWN",,,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",1
14:52,"TURNOVER  by LOWRIE,ANDREW",,,,,,,"TURNOVER  by LOWRIE,ANDREW",1
14:51,,,,,"STEAL  by SEARS,CONNOR",,,"STEAL  by SEARS,CONNOR",1
14:43,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",1
14:42,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
14:31,"MISS JUMPER by LOWRIE,ANDREW",,,,,,,"MISS JUMPER by LOWRIE,ANDREW",1
--,,,,,"REBOUND DEF by SEARS,CONNOR",,,"REBOUND DEF by SEARS,CONNOR",1
14:20,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",1
14:19,"STEAL  by SULLIVAN,BRENNAN",,,,,,,"STEAL  by SULLIVAN,BRENNAN",1
13:56,"MISS LAYUP by SULLIVAN,BRENNAN",,,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",1
13:56,,,,,"BLOCK  by COX,TJ",,,"BLOCK  by COX,TJ",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:56,"SUB IN by GALVIN,DANIEL",,,,,,,"SUB IN by GALVIN,DANIEL",1
13:56,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
13:56,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
13:56,"SUB OUT by SULLIVAN,BRENNAN",,,,,,,"SUB OUT by SULLIVAN,BRENNAN",1
13:56,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
13:56,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
13:56,,,,,"SUB IN by GARRETT,DANIEL",,,"SUB IN by GARRETT,DANIEL",1
13:56,,,,,"SUB IN by ARIMA,Z",,,"SUB IN by ARIMA,Z",1
13:56,,,,,"SUB OUT by COX,TJ",,,"SUB OUT by COX,TJ",1
13:56,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",,,"SUB OUT by TWAGIRAYEZU,PATJO",1
13:33,,,,,"MISS JUMPER by ARIMA,Z",,,"MISS JUMPER by ARIMA,Z",1
--,"REBOUND DEF by GALVIN,DANIEL",,,,,,,"REBOUND DEF by GALVIN,DANIEL",1
13:09,"MISS LAYUP by GALVIN,DANIEL",,,,,,,"MISS LAYUP by GALVIN,DANIEL",1
--,,,,,"REBOUND DEF by GARRETT,DANIEL",,,"REBOUND DEF by GARRETT,DANIEL",1
13:07,"FOUL  by LOWRIE,ANDREW",,,,,,,"FOUL  by LOWRIE,ANDREW",1
12:59,,,,,"MISS JUMPER by ARIMA,Z",,,"MISS JUMPER by ARIMA,Z",1
--,"REBOUND DEF by BUTTS,KEYSHAWN",,,,,,,"REBOUND DEF by BUTTS,KEYSHAWN",1
12:42,"MISS 3PTR by BUTTS,KEYSHAWN",,,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,"REBOUND OFF by DARST,DANIEL",,,,,,,"REBOUND OFF by DARST,DANIEL",1
12:38,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
12:38,"SUB OUT by LOWRIE,ANDREW",,,,,,,"SUB OUT by LOWRIE,ANDREW",1
12:38,,,,,"SUB IN by SPRAGG,BAILEY",,,"SUB IN by SPRAGG,BAILEY",1
12:38,,,,,"SUB OUT by DRYDEN,BERTO",,,"SUB OUT by DRYDEN,BERTO",1
12:21,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
12:21,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",1
12:01,,,,,"MISS 3PTR by GARRETT,DANIEL",,,"MISS 3PTR by GARRETT,DANIEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
11:57,TIMEOUT media by TEAM,,,,,,,TIMEOUT media by TEAM,1
11:57,"SUB IN by SULLIVAN,BRENNAN",,,,,,,"SUB IN by SULLIVAN,BRENNAN",1
11:57,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
11:57,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
11:57,"SUB OUT by GALVIN,DANIEL",,,,,,,"SUB OUT by GALVIN,DANIEL",1
11:57,"SUB OUT by BUTTS,KEYSHAWN",,,,,,,"SUB OUT by BUTTS,KEYSHAWN",1
11:57,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
11:44,"MISS JUMPER by HARRISON,IAN",,,,,,,"MISS JUMPER by HARRISON,IAN",1
--,,,,,"REBOUND DEF by GARRETT,DANIEL",,,"REBOUND DEF by GARRETT,DANIEL",1
11:29,,,,,"MISS 3PTR by PHELPS,BEN",,,"MISS 3PTR by PHELPS,BEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:25,,,,,"SUB IN by COX,TJ",,,"SUB IN by COX,TJ",1
11:22,,,,,"TURNOVER  by GARRETT,DANIEL",,,"TURNOVER  by GARRETT,DANIEL",1
11:18,"STEAL  by HARRISON,IAN",,,,,,,"STEAL  by HARRISON,IAN",1
11:17,"TURNOVER  by HARRISON,IAN",,,,,,,"TURNOVER  by HARRISON,IAN",1
11:16,,,,,"STEAL  by GARRETT,DANIEL",,,"STEAL  by GARRETT,DANIEL",1
11:12,,7 (+3),,4,"GOOD LAYUP by ARIMA,Z(in the paint)",CCM 7-4 (+3),,"GOOD LAYUP by ARIMA,Z(in the paint)",1
--,,,,,"ASSIST  by GARRETT,DANIEL",,,"ASSIST  by GARRETT,DANIEL",1
11:06,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",1
11:02,"TURNOVER  by HARRISON,IAN",,,,,,,"TURNOVER  by HARRISON,IAN",1
11:01,,,,,"STEAL  by GARRETT,DANIEL",,,"STEAL  by GARRETT,DANIEL",1
10:56,,,,,"MISS LAYUP by SEARS,CONNOR",,,"MISS LAYUP by SEARS,CONNOR",1
--,,,,,"REBOUND OFF by GARRETT,DANIEL",,,"REBOUND OFF by GARRETT,DANIEL",1
10:54,"SUB IN by GALVIN,DANIEL",,,,,,,"SUB IN by GALVIN,DANIEL",1
10:54,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
10:49,,,,,"FOUL  by COX,TJ",,,"FOUL  by COX,TJ",1
10:49,,,,,"TURNOVER  by COX,TJ",,,"TURNOVER  by COX,TJ",1
10:42,,,,,"FOUL  by COX,TJ",,,"FOUL  by COX,TJ",1
10:42,"SUB IN by DARST,DANIEL",,,,,,,"SUB IN by DARST,DANIEL",1
10:42,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
10:42,,,,,"SUB IN by DRYDEN,BERTO",,,"SUB IN by DRYDEN,BERTO",1
10:42,,,,,"SUB OUT by COX,TJ",,,"SUB OUT by COX,TJ",1
10:37,"MISS 3PTR by SULLIVAN,BRENNAN",,,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND OFF by GALVIN,DANIEL",,,,,,,"REBOUND OFF by GALVIN,DANIEL",1
10:19,"GOOD 3PTR by WEIR,JJ",10 (+6),,4,,RHO 10-4 (+6),,"GOOD 3PTR by WEIR,JJ",1
--,"ASSIST  by GEE,TYLER",,,,,,,"ASSIST  by GEE,TYLER",1
09:55,,,,,"MISS JUMPER by ARIMA,Z",,,"MISS JUMPER by ARIMA,Z",1
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",1
09:41,"MISS LAYUP by GALVIN,DANIEL",,,,,,,"MISS LAYUP by GALVIN,DANIEL",1
--,"REBOUND OFF by GALVIN,DANIEL",,,,,,,"REBOUND OFF by GALVIN,DANIEL",1
09:38,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",12 (+8),,4,,RHO 12-4 (+8),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
09:12,,,,,"MISS LAYUP by SEARS,CONNOR",,,"MISS LAYUP by SEARS,CONNOR",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
08:57,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",14 (+10),,4,,RHO 14-4 (+10),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
08:51,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
08:51,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
08:51,"SUB OUT by GALVIN,DANIEL",,,,,,,"SUB OUT by GALVIN,DANIEL",1
08:51,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",1
08:51,,,,,"SUB IN by TWAGIRAYEZU,PATJO",,,"SUB IN by TWAGIRAYEZU,PATJO",1
08:51,,,,,"SUB IN by BOYD,CHRIS",,,"SUB IN by BOYD,CHRIS",1
08:51,,,,,"SUB OUT by GARRETT,DANIEL",,,"SUB OUT by GARRETT,DANIEL",1
08:51,,,,,"SUB OUT by ARIMA,Z",,,"SUB OUT by ARIMA,Z",1
08:51,,,,,"SUB OUT by SEARS,CONNOR",,,"SUB OUT by SEARS,CONNOR",1
08:38,,,,,"MISS 3PTR by TWAGIRAYEZU,PATJO",,,"MISS 3PTR by TWAGIRAYEZU,PATJO",1
--,,,,,"REBOUND OFF by BOYD,CHRIS",,,"REBOUND OFF by BOYD,CHRIS",1
08:34,,,,,"MISS LAYUP by BOYD,CHRIS",,,"MISS LAYUP by BOYD,CHRIS",1
--,"REBOUND DEF by HARRISON,IAN",,,,,,,"REBOUND DEF by HARRISON,IAN",1
08:19,"GOOD JUMPER by SULLIVAN,BRENNAN",16 (+12),,4,,RHO 16-4 (+12),,"GOOD JUMPER by SULLIVAN,BRENNAN",1
07:57,,,,,"MISS 3PTR by PHELPS,BEN",,,"MISS 3PTR by PHELPS,BEN",1
--,"REBOUND DEF by DARST,DANIEL",,,,,,,"REBOUND DEF by DARST,DANIEL",1
07:44,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",1
07:44,"SUB IN by BUTTS,KEYSHAWN",,,,,,,"SUB IN by BUTTS,KEYSHAWN",1
07:44,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
07:22,,,,,"TURNOVER  by TWAGIRAYEZU,PATJO",,,"TURNOVER  by TWAGIRAYEZU,PATJO",1
06:58,"MISS JUMPER by SULLIVAN,BRENNAN",,,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND DEF by BOYD,CHRIS",,,"REBOUND DEF by BOYD,CHRIS",1
06:45,,,,,"TURNOVER  by TWAGIRAYEZU,PATJO",,,"TURNOVER  by TWAGIRAYEZU,PATJO",1
06:44,"STEAL  by DARST,DANIEL",,,,,,,"STEAL  by DARST,DANIEL",1
06:27,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
06:27,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",1
06:13,,,,,"MISS JUMPER by BOYD,CHRIS",,,"MISS JUMPER by BOYD,CHRIS",1
--,"REBOUND DEF by SULLIVAN,BRENNAN",,,,,,,"REBOUND DEF by SULLIVAN,BRENNAN",1
05:47,,,,,"FOUL  by BOYD,CHRIS",,,"FOUL  by BOYD,CHRIS",1
05:47,"GOOD FT by BUTTS,KEYSHAWN",17 (+13),,4,,RHO 17-4 (+13),,"GOOD FT by BUTTS,KEYSHAWN",1
05:47,"GOOD FT by BUTTS,KEYSHAWN",18 (+14),,4,,RHO 18-4 (+14),,"GOOD FT by BUTTS,KEYSHAWN",1
05:47,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
05:47,"SUB IN by GALVIN,DANIEL",,,,,,,"SUB IN by GALVIN,DANIEL",1
05:47,"SUB OUT by HARRISON,IAN",,,,,,,"SUB OUT by HARRISON,IAN",1
05:47,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
05:47,,,,,"SUB IN by ARIMA,Z",,,"SUB IN by ARIMA,Z",1
05:47,,,,,"SUB IN by SEARS,CONNOR",,,"SUB IN by SEARS,CONNOR",1
05:47,,,,,"SUB OUT by SPRAGG,BAILEY",,,"SUB OUT by SPRAGG,BAILEY",1
05:47,,,,,"SUB OUT by BOYD,CHRIS",,,"SUB OUT by BOYD,CHRIS",1
05:38,,18 (+12),,6,"GOOD DUNK by TWAGIRAYEZU,PATJO(in the paint)",CCM 18-6 (+12),,"GOOD DUNK by TWAGIRAYEZU,PATJO(in the paint)",1
--,,,,,"ASSIST  by DRYDEN,BERTO",,,"ASSIST  by DRYDEN,BERTO",1
05:19,"MISS 3PTR by DARST,DANIEL",,,,,,,"MISS 3PTR by DARST,DANIEL",1
--,,,,,"REBOUND DEF by DRYDEN,BERTO",,,"REBOUND DEF by DRYDEN,BERTO",1
05:10,,,,,"TURNOVER  by DRYDEN,BERTO",,,"TURNOVER  by DRYDEN,BERTO",1
05:09,"STEAL  by DARST,DANIEL",,,,,,,"STEAL  by DARST,DANIEL",1
04:57,"MISS LAYUP by BUTTS,KEYSHAWN",,,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND DEF by TWAGIRAYEZU,PATJO",,,"REBOUND DEF by TWAGIRAYEZU,PATJO",1
04:55,"FOUL  by DARST,DANIEL",,,,,,,"FOUL  by DARST,DANIEL",1
04:55,,18 (+11),,7,"GOOD FT by TWAGIRAYEZU,PATJO",CCM 18-7 (+11),,"GOOD FT by TWAGIRAYEZU,PATJO",1
04:55,,18 (+10),,8,"GOOD FT by TWAGIRAYEZU,PATJO",CCM 18-8 (+10),,"GOOD FT by TWAGIRAYEZU,PATJO",1
04:55,"SUB IN by GEE,TYLER",,,,,,,"SUB IN by GEE,TYLER",1
04:55,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
04:55,,,,,"SUB IN by GARRETT,DANIEL",,,"SUB IN by GARRETT,DANIEL",1
04:55,,,,,"SUB IN by TURNER,MICAH",,,"SUB IN by TURNER,MICAH",1
04:55,,,,,"SUB OUT by PHELPS,BEN",,,"SUB OUT by PHELPS,BEN",1
04:55,,,,,"SUB OUT by DRYDEN,BERTO",,,"SUB OUT by DRYDEN,BERTO",1
04:20,"MISS JUMPER by BUTTS,KEYSHAWN",,,,,,,"MISS JUMPER by BUTTS,KEYSHAWN",1
--,"REBOUND OFF by GALVIN,DANIEL",,,,,,,"REBOUND OFF by GALVIN,DANIEL",1
04:02,"MISS LAYUP by BUTTS,KEYSHAWN",,,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",1
--,,,,,"REBOUND DEF by GARRETT,DANIEL",,,"REBOUND DEF by GARRETT,DANIEL",1
03:37,,,,,TIMEOUT media by TEAM,,,TIMEOUT media by TEAM,1
03:28,"FOUL  by WEIR,JJ",,,,,,,"FOUL  by WEIR,JJ",1
03:28,,,,,"MISS FT by ARIMA,Z",,,"MISS FT by ARIMA,Z",1
--,"REBOUND DEF by GEE,TYLER",,,,,,,"REBOUND DEF by GEE,TYLER",1
03:11,"GOOD LAYUP by GEE,TYLER(in the paint)",20 (+12),,8,,RHO 20-8 (+12),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,"ASSIST  by SULLIVAN,BRENNAN",,,,,,,"ASSIST  by SULLIVAN,BRENNAN",1
02:55,,,,,"TURNOVER  by ARIMA,Z",,,"TURNOVER  by ARIMA,Z",1
02:54,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
02:44,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",22 (+14),,8,,RHO 22-8 (+14),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
--,"ASSIST  by WEIR,JJ",,,,,,,"ASSIST  by WEIR,JJ",1
02:24,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
02:24,"SUB OUT by WEIR,JJ",,,,,,,"SUB OUT by WEIR,JJ",1
02:24,,,,,"SUB IN by SPRAGG,BAILEY",,,"SUB IN by SPRAGG,BAILEY",1
02:24,,,,,"SUB IN by DRYDEN,BERTO",,,"SUB IN by DRYDEN,BERTO",1
02:24,,,,,"SUB OUT by ARIMA,Z",,,"SUB OUT by ARIMA,Z",1
02:24,,,,,"SUB OUT by TWAGIRAYEZU,PATJO",,,"SUB OUT by TWAGIRAYEZU,PATJO",1
02:22,,,,,"TURNOVER  by DRYDEN,BERTO",,,"TURNOVER  by DRYDEN,BERTO",1
02:20,"STEAL  by GEE,TYLER",,,,,,,"STEAL  by GEE,TYLER",1
02:02,"FOUL  by GEE,TYLER",,,,,,,"FOUL  by GEE,TYLER",1
02:02,"TURNOVER  by GEE,TYLER",,,,,,,"TURNOVER  by GEE,TYLER",1
02:02,"SUB IN by HARRISON,IAN",,,,,,,"SUB IN by HARRISON,IAN",1
02:02,"SUB OUT by GEE,TYLER",,,,,,,"SUB OUT by GEE,TYLER",1
01:47,,,,,"TURNOVER  by TURNER,MICAH",,,"TURNOVER  by TURNER,MICAH",1
01:45,"STEAL  by BUTTS,KEYSHAWN",,,,,,,"STEAL  by BUTTS,KEYSHAWN",1
01:42,"GOOD LAYUP by BUTTS,KEYSHAWN(fastbreak)(in the paint)",24 (+16),,8,,RHO 24-8 (+16),,"GOOD LAYUP by BUTTS,KEYSHAWN(fastbreak)(in the paint)",1
01:42,,,,,"FOUL  by TURNER,MICAH",,,"FOUL  by TURNER,MICAH",1
01:42,"GOOD FT by BUTTS,KEYSHAWN",25 (+17),,8,,RHO 25-8 (+17),,"GOOD FT by BUTTS,KEYSHAWN",1
01:42,,,,,"SUB IN by PHELPS,BEN",,,"SUB IN by PHELPS,BEN",1
01:42,,,,,"SUB OUT by TURNER,MICAH",,,"SUB OUT by TURNER,MICAH",1
01:30,,,,,"TURNOVER  by DRYDEN,BERTO",,,"TURNOVER  by DRYDEN,BERTO",1
01:30,,,,,"SUB IN by PALMER,NICK",,,"SUB IN by PALMER,NICK",1
01:30,,,,,"SUB OUT by DRYDEN,BERTO",,,"SUB OUT by DRYDEN,BERTO",1
01:12,"MISS JUMPER by GALVIN,DANIEL",,,,,,,"MISS JUMPER by GALVIN,DANIEL",1
--,"REBOUND OFF by GALVIN,DANIEL",,,,,,,"REBOUND OFF by GALVIN,DANIEL",1
01:10,,,,,"FOUL  by GARRETT,DANIEL",,,"FOUL  by GARRETT,DANIEL",1
01:10,"MISS FT by GALVIN,DANIEL",,,,,,,"MISS FT by GALVIN,DANIEL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
01:10,"MISS FT by GALVIN,DANIEL",,,,,,,"MISS FT by GALVIN,DANIEL",1
--,,,,,"REBOUND DEF by GARRETT,DANIEL",,,"REBOUND DEF by GARRETT,DANIEL",1
01:10,"SUB IN by WEIR,JJ",,,,,,,"SUB IN by WEIR,JJ",1
01:10,"SUB OUT by DALTON,PRICE",,,,,,,"SUB OUT by DALTON,PRICE",1
00:58,,25 (+15),,10,"GOOD JUMPER by PHELPS,BEN(in the paint)",CCM 25-10 (+15),,"GOOD JUMPER by PHELPS,BEN(in the paint)",1
00:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
00:29,"TURNOVER  by HARRISON,IAN",,,,,,,"TURNOVER  by HARRISON,IAN",1
00:28,,,,,"STEAL  by PHELPS,BEN",,,"STEAL  by PHELPS,BEN",1
00:16,,25 (+12),,13,"GOOD 3PTR by SPRAGG,BAILEY",CCM 25-13 (+12),,"GOOD 3PTR by SPRAGG,BAILEY",1
--,,,,,"ASSIST  by PHELPS,BEN",,,"ASSIST  by PHELPS,BEN",1
00:02,"MISS 3PTR by GALVIN,DANIEL",,,,,,,"MISS 3PTR by GALVIN,DANIEL",1
--,"REBOUND OFF by BUTTS,KEYSHAWN",,,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",1
19:53,,,,,"TURNOVER  by SPRAGG,BAILEY",,,"TURNOVER  by SPRAGG,BAILEY",2
19:51,"STEAL  by MUHAMMAD,AQUIL",,,,,,,"STEAL  by MUHAMMAD,AQUIL",2
19:24,"GOOD JUMPER by GEE,TYLER",27 (+14),,13,,RHO 27-13 (+14),,"GOOD JUMPER by GEE,TYLER",2
19:07,,,,,"MISS 3PTR by COX,TJ",,,"MISS 3PTR by COX,TJ",2
--,,,,,"REBOUND OFF by BOYD,CHRIS",,,"REBOUND OFF by BOYD,CHRIS",2
19:01,,27 (+11),,16,"GOOD 3PTR by COX,TJ",CCM 27-16 (+11),,"GOOD 3PTR by COX,TJ",2
--,,,,,"ASSIST  by DRYDEN,BERTO",,,"ASSIST  by DRYDEN,BERTO",2
18:43,"MISS LAYUP by BUTTS,KEYSHAWN",,,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",2
--,"REBOUND OFF by BUTTS,KEYSHAWN",,,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",2
18:41,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",29 (+13),,16,,RHO 29-16 (+13),,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",2
18:28,,,,,"TURNOVER  by SPRAGG,BAILEY",,,"TURNOVER  by SPRAGG,BAILEY",2
18:26,"STEAL  by BUTTS,KEYSHAWN",,,,,,,"STEAL  by BUTTS,KEYSHAWN",2
18:00,"GOOD LAYUP by MUHAMMAD,AQUIL(in the paint)",31 (+15),,16,,RHO 31-16 (+15),,"GOOD LAYUP by MUHAMMAD,AQUIL(in the paint)",2
17:36,"FOUL  by SULLIVAN,BRENNAN",,,,,,,"FOUL  by SULLIVAN,BRENNAN",2
17:36,,31 (+14),,17,"GOOD FT by COX,TJ",CCM 31-17 (+14),,"GOOD FT by COX,TJ",2
17:36,,,,,"MISS FT by COX,TJ",,,"MISS FT by COX,TJ",2
--,"REBOUND DEF by WEIR,JJ",,,,,,,"REBOUND DEF by WEIR,JJ",2
