Time Remaining,UC,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
19:43,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",1
19:43,"BLOCK  by DORFMAN,BEN",,,,,,,"BLOCK  by DORFMAN,BEN",1
--,"REBOUND DEF by MARLOW,ADAM",,,,,,,"REBOUND DEF by MARLOW,ADAM",1
19:39,"GOOD LAYUP by PONCE,JARED(in the paint)",2 (+2),,0,,UC 2-0 (-2),,"GOOD LAYUP by PONCE,JARED(in the paint)",1
--,"ASSIST  by MARLOW,ADAM",,,,,,,"ASSIST  by MARLOW,ADAM",1
19:39,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
19:39,"GOOD FT by PONCE,JARED",3 (+3),,0,,UC 3-0 (-3),,"GOOD FT by PONCE,JARED",1
19:18,,3 (+1),,2,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 3-2 (-1),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",1
19:05,"GOOD LAYUP by GABBARD,SAM(in the paint)",5 (+3),,2,,UC 5-2 (-3),,"GOOD LAYUP by GABBARD,SAM(in the paint)",1
--,"ASSIST  by PONCE,JARED",,,,,,,"ASSIST  by PONCE,JARED",1
18:39,,5 (+1),,4,"GOOD JUMPER by WEIR,JJ(in the paint)",RHO 5-4 (-1),,"GOOD JUMPER by WEIR,JJ(in the paint)",1
18:24,"TURNOVER  by MARLOW,ADAM",,,,,,,"TURNOVER  by MARLOW,ADAM",1
18:23,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1
18:18,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",1
--,"REBOUND DEF by GABBARD,SAM",,,,,,,"REBOUND DEF by GABBARD,SAM",1
18:09,"TURNOVER  by MARLOW,ADAM",,,,,,,"TURNOVER  by MARLOW,ADAM",1
18:08,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1
17:44,,5,,7 (+2),"GOOD 3PTR by BUTTS,KEYSHAWN",RHO 5-7 (+2),,"GOOD 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
17:14,"MISS 3PTR by PONCE,JARED",,,,,,,"MISS 3PTR by PONCE,JARED",1
--,,,,,"REBOUND DEF by GALVIN,DANIEL",,,"REBOUND DEF by GALVIN,DANIEL",1
16:57,,5,,10 (+5),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 5-10 (+5),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
