Time Remaining,E&H,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
19:36,"TURNOVER  by SELF,BRANDON",,,,,,,"TURNOVER  by SELF,BRANDON",1
19:36,,,,,"STEAL  by WEIR,JJ",,,"STEAL  by WEIR,JJ",1
19:07,,,,,"TURNOVER  by WEIR,JJ",,,"TURNOVER  by WEIR,JJ",1
19:07,"STEAL  by GRAVLEY,RYAN",,,,,,,"STEAL  by GRAVLEY,RYAN",1
19:02,"GOOD LAYUP by FERGUSON,AARON(in the paint)",2 (+2),,0,,E&H 2-0 (-2),,"GOOD LAYUP by FERGUSON,AARON(in the paint)",1
--,"ASSIST  by GRAVLEY,RYAN",,,,,,,"ASSIST  by GRAVLEY,RYAN",1
19:02,,,,,"FOUL  by GALVIN,DANIEL",,,"FOUL  by GALVIN,DANIEL",1
19:02,"GOOD FT by FERGUSON,AARON",3 (+3),,0,,E&H 3-0 (-3),,"GOOD FT by FERGUSON,AARON",1
18:48,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by SELF,BRANDON",,,,,,,"REBOUND DEF by SELF,BRANDON",1
18:40,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
18:32,"MISS JUMPER by SHELOR,JOHN",,,,,,,"MISS JUMPER by SHELOR,JOHN",1
--,,,,,"REBOUND DEF by WEIR,JJ",,,"REBOUND DEF by WEIR,JJ",1
18:18,"FOUL  by FERGUSON,AARON",,,,,,,"FOUL  by FERGUSON,AARON",1
18:16,,3 (+1),,2,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 3-2 (-1),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
17:56,"GOOD DUNK by SELF,BRANDON(in the paint)",5 (+3),,2,,E&H 5-2 (-3),,"GOOD DUNK by SELF,BRANDON(in the paint)",1
--,"ASSIST  by SHELOR,JOHN",,,,,,,"ASSIST  by SHELOR,JOHN",1
17:36,,,,,"MISS JUMPER by BUTTS,KEYSHAWN",,,"MISS JUMPER by BUTTS,KEYSHAWN",1
--,"REBOUND DEF by FERGUSON,AARON",,,,,,,"REBOUND DEF by FERGUSON,AARON",1
17:30,"GOOD 3PTR by SHELOR,JOHN",8 (+6),,2,,E&H 8-2 (-6),,"GOOD 3PTR by SHELOR,JOHN",1
--,"ASSIST  by TURNER,MYLES",,,,,,,"ASSIST  by TURNER,MYLES",1
17:17,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
17:16,"STEAL  by GRAVLEY,RYAN",,,,,,,"STEAL  by GRAVLEY,RYAN",1
17:09,"TURNOVER  by TURNER,MYLES",,,,,,,"TURNOVER  by TURNER,MYLES",1
17:09,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1
17:09,"FOUL  by TURNER,MYLES",,,,,,,"FOUL  by TURNER,MYLES",1
17:05,"FOUL  by TURNER,MYLES",,,,,,,"FOUL  by TURNER,MYLES",1
17:02,"FOUL  by SELF,BRANDON",,,,,,,"FOUL  by SELF,BRANDON",1
17:02,,8 (+5),,3,"GOOD FT by GALVIN,DANIEL",RHO 8-3 (-5),,"GOOD FT by GALVIN,DANIEL",1
17:02,"SUB IN by MCLEAN,JOHNNY",,,,,,,"SUB IN by MCLEAN,JOHNNY",1
17:02,"SUB OUT by TURNER,MYLES",,,,,,,"SUB OUT by TURNER,MYLES",1
17:02,,8 (+4),,4,"GOOD FT by GALVIN,DANIEL",RHO 8-4 (-4),,"GOOD FT by GALVIN,DANIEL",1
16:40,"TURNOVER  by FERGUSON,AARON",,,,,,,"TURNOVER  by FERGUSON,AARON",1
16:39,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1
16:23,,,,,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",1
16:23,"STEAL  by SHELOR,JOHN",,,,,,,"STEAL  by SHELOR,JOHN",1
16:20,"GOOD LAYUP by SHELOR,JOHN(fastbreak)(in the paint)",10 (+6),,4,,E&H 10-4 (-6),,"GOOD LAYUP by SHELOR,JOHN(fastbreak)(in the paint)",1
16:13,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
16:13,"SUB IN by CONLEY,CLIF",,,,,,,"SUB IN by CONLEY,CLIF",1
16:13,"SUB OUT by GRAVLEY,RYAN",,,,,,,"SUB OUT by GRAVLEY,RYAN",1
15:51,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
15:51,"STEAL  by SHELOR,JOHN",,,,,,,"STEAL  by SHELOR,JOHN",1
15:47,"MISS LAYUP by SHELOR,JOHN",,,,,,,"MISS LAYUP by SHELOR,JOHN",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
15:39,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
15:39,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
15:22,"GOOD LAYUP by FERGUSON,AARON(in the paint)",12 (+8),,4,,E&H 12-4 (-8),,"GOOD LAYUP by FERGUSON,AARON(in the paint)",1
--,"ASSIST  by MCLEAN,JOHNNY",,,,,,,"ASSIST  by MCLEAN,JOHNNY",1
14:50,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
14:39,"GOOD JUMPER by CONLEY,CLIF",14 (+10),,4,,E&H 14-4 (-10),,"GOOD JUMPER by CONLEY,CLIF",1
--,"ASSIST  by MCLEAN,JOHNNY",,,,,,,"ASSIST  by MCLEAN,JOHNNY",1
14:19,,,,,"FOUL  by WEIR,JJ",,,"FOUL  by WEIR,JJ",1
14:19,,,,,"TURNOVER  by WEIR,JJ",,,"TURNOVER  by WEIR,JJ",1
