Time Remaining,JU,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
19:55,,,,,"TURNOVER  by LOWRIE,ANDREW",,,"TURNOVER  by LOWRIE,ANDREW",1
19:52,"TURNOVER  by GILPIN,TAYLOR",,,,,,,"TURNOVER  by GILPIN,TAYLOR",1
19:23,,,,,"TURNOVER  by MUHAMMAD,AQUIL",,,"TURNOVER  by MUHAMMAD,AQUIL",1
19:20,"STEAL  by MARSHALL,NICK",,,,,,,"STEAL  by MARSHALL,NICK",1
19:16,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
19:11,"MISS JUMPER by BOWEN,RICKEY",,,,,,,"MISS JUMPER by BOWEN,RICKEY",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
19:06,,,,,"MISS JUMPER by GEE,TYLER",,,"MISS JUMPER by GEE,TYLER",1
--,"REBOUND DEF by BOWEN,RICKEY",,,,,,,"REBOUND DEF by BOWEN,RICKEY",1
18:42,"GOOD JUMPER by MCCLENDOND,JORDAN",2 (+2),,0,,JU 2-0 (-2),,"GOOD JUMPER by MCCLENDOND,JORDAN",1
--,"ASSIST  by BOWEN,RICKEY",,,,,,,"ASSIST  by BOWEN,RICKEY",1
18:11,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
18:05,"GOOD JUMPER by MARSHALL,NICK",4 (+4),,0,,JU 4-0 (-4),,"GOOD JUMPER by MARSHALL,NICK",1
17:41,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by MARSHALL,NICK",,,,,,,"REBOUND DEF by MARSHALL,NICK",1
17:39,"MISS LAYUP by MARSHALL,NICK",,,,,,,"MISS LAYUP by MARSHALL,NICK",1
--,,,,,"REBOUND DEF by MUHAMMAD,AQUIL",,,"REBOUND DEF by MUHAMMAD,AQUIL",1
17:11,,4 (+1),,3,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 4-3 (-1),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
17:00,"TURNOVER  by MCCLENDOND,JORDAN",,,,,,,"TURNOVER  by MCCLENDOND,JORDAN",1
17:00,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by ST. JOHN,GUNNER",,,,,,,"REBOUND DEF by ST. JOHN,GUNNER",1
17:00,"MISS 3PTR by ST. JOHN,GUNNER",,,,,,,"MISS 3PTR by ST. JOHN,GUNNER",1
--,,,,,"REBOUND DEF by MUHAMMAD,AQUIL",,,"REBOUND DEF by MUHAMMAD,AQUIL",1
16:34,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
16:34,"SUB IN by KING,TREVOR",,,,,,,"SUB IN by KING,TREVOR",1
16:34,"SUB IN by PRICE,WAYLAND",,,,,,,"SUB IN by PRICE,WAYLAND",1
16:12,"MISS JUMPER by BOWEN,RICKEY",,,,,,,"MISS JUMPER by BOWEN,RICKEY",1
16:12,,,,,"BLOCK  by GEE,TYLER",,,"BLOCK  by GEE,TYLER",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
15:54,,4,,6 (+2),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 4-6 (+2),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by MUHAMMAD,AQUIL",,,"ASSIST  by MUHAMMAD,AQUIL",1
15:45,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
15:45,"TURNOVER  by BOWEN,RICKEY",,,,,,,"TURNOVER  by BOWEN,RICKEY",1
15:45,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
15:45,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
15:27,,,,,"MISS LAYUP by MUHAMMAD,AQUIL",,,"MISS LAYUP by MUHAMMAD,AQUIL",1
--,"REBOUND DEF by KING,TREVOR",,,,,,,"REBOUND DEF by KING,TREVOR",1
15:15,"GOOD LAYUP by MARSHALL,NICK(in the paint)",6,,6,,JU 6-6 (0),,"GOOD LAYUP by MARSHALL,NICK(in the paint)",1
15:15,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
15:15,"GOOD FT by MARSHALL,NICK",7 (+1),,6,,JU 7-6 (-1),,"GOOD FT by MARSHALL,NICK",1
14:39,"MISS LAYUP by BOWEN,RICKEY",,,,,,,"MISS LAYUP by BOWEN,RICKEY",1
--,,,,,"REBOUND DEF by MUHAMMAD,AQUIL",,,"REBOUND DEF by MUHAMMAD,AQUIL",1
14:32,,,,,"MISS JUMPER by SULLIVAN,BRENNAN",,,"MISS JUMPER by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",,,"REBOUND OFF by BUTTS,KEYSHAWN",1
14:30,,7,,9 (+2),"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 7-9 (+2),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
14:14,,7,,11 (+4),"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 7-11 (+4),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
14:03,"GOOD 3PTR by GILPIN,TAYLOR",10,,11 (+1),,JU 10-11 (+1),,"GOOD 3PTR by GILPIN,TAYLOR",1
13:28,,10,,14 (+4),"GOOD 3PTR by BUTTS,KEYSHAWN",RHO 10-14 (+4),,"GOOD 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
13:03,"MISS 3PTR by BOWEN,RICKEY",,,,,,,"MISS 3PTR by BOWEN,RICKEY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
12:51,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
12:50,"SUB IN by FLEMMING,TRENT",,,,,,,"SUB IN by FLEMMING,TRENT",1
12:50,"SUB OUT by BOWEN,RICKEY",,,,,,,"SUB OUT by BOWEN,RICKEY",1
12:41,"GOOD 3PTR by PRICE,WAYLAND",13,,14 (+1),,JU 13-14 (+1),,"GOOD 3PTR by PRICE,WAYLAND",1
--,"ASSIST  by FLEMMING,TRENT",,,,,,,"ASSIST  by FLEMMING,TRENT",1
12:16,,,,,"MISS 3PTR by BUTTS,KEYSHAWN",,,"MISS 3PTR by BUTTS,KEYSHAWN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
12:12,"FOUL  by PRICE,WAYLAND",,,,,,,"FOUL  by PRICE,WAYLAND",1
11:55,,,,,"MISS LAYUP by MUHAMMAD,AQUIL",,,"MISS LAYUP by MUHAMMAD,AQUIL",1
--,,,,,"REBOUND OFF by MUHAMMAD,AQUIL",,,"REBOUND OFF by MUHAMMAD,AQUIL",1
11:53,,,,,"MISS LAYUP by MUHAMMAD,AQUIL",,,"MISS LAYUP by MUHAMMAD,AQUIL",1
--,"REBOUND DEF by PRICE,WAYLAND",,,,,,,"REBOUND DEF by PRICE,WAYLAND",1
11:47,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
11:47,,13,,16 (+3),"GOOD LAYUP by MUHAMMAD,AQUIL(in the paint)",RHO 13-16 (+3),,"GOOD LAYUP by MUHAMMAD,AQUIL(in the paint)",1
--,,,,,"ASSIST  by LOWRIE,ANDREW",,,"ASSIST  by LOWRIE,ANDREW",1
11:47,"SUB IN by BOWEN,RICKEY",,,,,,,"SUB IN by BOWEN,RICKEY",1
11:47,"SUB OUT by MARSHALL,NICK",,,,,,,"SUB OUT by MARSHALL,NICK",1
11:34,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
11:33,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
11:27,"MISS LAYUP by ST. JOHN,GUNNER",,,,,,,"MISS LAYUP by ST. JOHN,GUNNER",1
--,"REBOUND OFF by ST. JOHN,GUNNER",,,,,,,"REBOUND OFF by ST. JOHN,GUNNER",1
11:24,"GOOD LAYUP by ST. JOHN,GUNNER(in the paint)",15,,16 (+1),,JU 15-16 (+1),,"GOOD LAYUP by ST. JOHN,GUNNER(in the paint)",1
11:20,,,,,"FOUL  by LOWRIE,ANDREW",,,"FOUL  by LOWRIE,ANDREW",1
11:19,"GOOD FT by ST. JOHN,GUNNER",16,,16,,JU 16-16 (0),,"GOOD FT by ST. JOHN,GUNNER",1
11:19,"SUB IN by MARSHALL,NICK",,,,,,,"SUB IN by MARSHALL,NICK",1
11:19,"SUB OUT by GILPIN,TAYLOR",,,,,,,"SUB OUT by GILPIN,TAYLOR",1
11:19,"SUB OUT by ST. JOHN,GUNNER",,,,,,,"SUB OUT by ST. JOHN,GUNNER",1
11:19,"SUB OUT by KING,TREVOR",,,,,,,"SUB OUT by KING,TREVOR",1
11:19,"SUB OUT by PRICE,WAYLAND",,,,,,,"SUB OUT by PRICE,WAYLAND",1
11:19,"SUB OUT by FLEMMING,TRENT",,,,,,,"SUB OUT by FLEMMING,TRENT",1
11:14,"FOUL  by BOWEN,RICKEY",,,,,,,"FOUL  by BOWEN,RICKEY",1
11:14,,16,,17 (+1),"GOOD FT by GEE,TYLER",RHO 16-17 (+1),,"GOOD FT by GEE,TYLER",1
11:14,,16,,18 (+2),"GOOD FT by GEE,TYLER",RHO 16-18 (+2),,"GOOD FT by GEE,TYLER",1
10:35,"MISS 3PTR by BOWEN,RICKEY",,,,,,,"MISS 3PTR by BOWEN,RICKEY",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:32,"FOUL  by ST. JOHN,GUNNER",,,,,,,"FOUL  by ST. JOHN,GUNNER",1
10:32,,16,,19 (+3),"GOOD FT by BUTTS,KEYSHAWN",RHO 16-19 (+3),,"GOOD FT by BUTTS,KEYSHAWN",1
10:32,,16,,20 (+4),"GOOD FT by BUTTS,KEYSHAWN",RHO 16-20 (+4),,"GOOD FT by BUTTS,KEYSHAWN",1
10:13,"GOOD LAYUP by ST. JOHN,GUNNER(in the paint)",18,,20 (+2),,JU 18-20 (+2),,"GOOD LAYUP by ST. JOHN,GUNNER(in the paint)",1
--,"ASSIST  by GILPIN,TAYLOR",,,,,,,"ASSIST  by GILPIN,TAYLOR",1
09:59,,18,,23 (+5),"GOOD 3PTR by LOWRIE,ANDREW",RHO 18-23 (+5),,"GOOD 3PTR by LOWRIE,ANDREW",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
09:49,,,,,"FOUL  by LOWRIE,ANDREW",,,"FOUL  by LOWRIE,ANDREW",1
09:49,"GOOD FT by MARSHALL,NICK",19,,23 (+4),,JU 19-23 (+4),,"GOOD FT by MARSHALL,NICK",1
09:48,"GOOD FT by MARSHALL,NICK",20,,23 (+3),,JU 20-23 (+3),,"GOOD FT by MARSHALL,NICK",1
09:48,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
09:48,,,,,"SUB OUT by LOWRIE,ANDREW",,,"SUB OUT by LOWRIE,ANDREW",1
09:22,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND OFF by BUTTS,KEYSHAWN",,,"REBOUND OFF by BUTTS,KEYSHAWN",1
09:18,,20,,25 (+5),"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",RHO 20-25 (+5),,"GOOD LAYUP by BUTTS,KEYSHAWN(in the paint)",1
09:15,,,,,"FOUL  by MUHAMMAD,AQUIL",,,"FOUL  by MUHAMMAD,AQUIL",1
