Time Remaining,MAC,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
19:45,"TURNOVER  by CAMERON,MIKE",,,,,,,"TURNOVER  by CAMERON,MIKE",1
19:44,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1
19:29,"FOUL  by KELTNER,KOLLIN",,,,,,,"FOUL  by KELTNER,KOLLIN",1
19:19,,,,,"MISS 3PTR by SULLIVAN,BRENNAN",,,"MISS 3PTR by SULLIVAN,BRENNAN",1
--,"REBOUND DEF by CAMERON,MIKE",,,,,,,"REBOUND DEF by CAMERON,MIKE",1
19:06,"TURNOVER  by JOHNSON,DEAVIS",,,,,,,"TURNOVER  by JOHNSON,DEAVIS",1
18:48,,0,,3 (+3),"GOOD 3PTR by BUTTS,KEYSHAWN",RHO 0-3 (+3),,"GOOD 3PTR by BUTTS,KEYSHAWN",1
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",1
18:27,"GOOD LAYUP by LONG,BRENT(in the paint)",2,,3 (+1),,MAC 2-3 (+1),,"GOOD LAYUP by LONG,BRENT(in the paint)",1
--,"ASSIST  by CAMERON,MIKE",,,,,,,"ASSIST  by CAMERON,MIKE",1
17:58,,2,,5 (+3),"GOOD LAYUP by WEIR,JJ(in the paint)",RHO 2-5 (+3),,"GOOD LAYUP by WEIR,JJ(in the paint)",1
17:40,,,,,"FOUL  by GEE,TYLER",,,"FOUL  by GEE,TYLER",1
17:40,"GOOD FT by LONG,BRENT",3,,5 (+2),,MAC 3-5 (+2),,"GOOD FT by LONG,BRENT",1
17:40,"GOOD FT by LONG,BRENT",4,,5 (+1),,MAC 4-5 (+1),,"GOOD FT by LONG,BRENT",1
17:12,,,,,"TURNOVER  by BUTTS,KEYSHAWN",,,"TURNOVER  by BUTTS,KEYSHAWN",1
17:11,"STEAL  by KELTNER,KOLLIN",,,,,,,"STEAL  by KELTNER,KOLLIN",1
17:08,"GOOD LAYUP by KELTNER,KOLLIN(fastbreak)(in the paint)",6 (+1),,5,,MAC 6-5 (-1),,"GOOD LAYUP by KELTNER,KOLLIN(fastbreak)(in the paint)",1
16:59,,6,,7 (+1),"GOOD LAYUP by GEE,TYLER(in the paint)",RHO 6-7 (+1),,"GOOD LAYUP by GEE,TYLER(in the paint)",1
--,,,,,"ASSIST  by DARST,DANIEL",,,"ASSIST  by DARST,DANIEL",1
16:34,"TURNOVER  by LONG,BRENT",,,,,,,"TURNOVER  by LONG,BRENT",1
16:31,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
16:28,"STEAL  by LONG,BRENT",,,,,,,"STEAL  by LONG,BRENT",1
16:28,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
16:28,"GOOD FT by FRAZIER,TIM",7,,7,,MAC 7-7 (0),,"GOOD FT by FRAZIER,TIM",1
16:28,"GOOD FT by FRAZIER,TIM",8 (+1),,7,,MAC 8-7 (-1),,"GOOD FT by FRAZIER,TIM",1
16:07,,,,,"MISS LAYUP by GEE,TYLER",,,"MISS LAYUP by GEE,TYLER",1
--,"REBOUND DEF by LONG,BRENT",,,,,,,"REBOUND DEF by LONG,BRENT",1
15:59,"MISS 3PTR by FRAZIER,TIM",,,,,,,"MISS 3PTR by FRAZIER,TIM",1
--,"REBOUND OFF by CAMERON,MIKE",,,,,,,"REBOUND OFF by CAMERON,MIKE",1
15:41,,,,,"FOUL  by DARST,DANIEL",,,"FOUL  by DARST,DANIEL",1
15:41,"GOOD FT by FRAZIER,TIM",9 (+2),,7,,MAC 9-7 (-2),,"GOOD FT by FRAZIER,TIM",1
15:41,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
15:41,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
15:41,"MISS FT by FRAZIER,TIM",,,,,,,"MISS FT by FRAZIER,TIM",1
--,"REBOUND OFF by JOHNSON,DEAVIS",,,,,,,"REBOUND OFF by JOHNSON,DEAVIS",1
15:39,"TURNOVER  by JOHNSON,DEAVIS",,,,,,,"TURNOVER  by JOHNSON,DEAVIS",1
15:38,,,,,"STEAL  by SULLIVAN,BRENNAN",,,"STEAL  by SULLIVAN,BRENNAN",1
