Time Remaining,AMH,Away Team Score,Play Team Indicator,Home Team Score,RHO,Game Score,Team Indicator,Play,Period
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
15:21,,,,,"FOUL  by BUTTS,KEYSHAWN",,,"FOUL  by BUTTS,KEYSHAWN",1
15:21,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
15:21,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
15:17,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
15:17,"MISS FT by GEORGE,DAVID",,,,,,,"MISS FT by GEORGE,DAVID",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
15:17,"GOOD FT by GEORGE,DAVID",8 (+3),,5,,AMH 8-5 (-3),,"GOOD FT by GEORGE,DAVID",1
15:08,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",1
15:07,"STEAL  by GEORGE,DAVID",,,,,,,"STEAL  by GEORGE,DAVID",1
15:04,"GOOD 3PTR by DAWSON,JAYDE",11 (+6),,5,,AMH 11-5 (-6),,"GOOD 3PTR by DAWSON,JAYDE",1
--,"ASSIST  by RACY,JEFF",,,,,,,"ASSIST  by RACY,JEFF",1
14:39,,,,,"MISS LAYUP by BUTTS,KEYSHAWN",,,"MISS LAYUP by BUTTS,KEYSHAWN",1
14:39,"BLOCK  by GEORGE,DAVID",,,,,,,"BLOCK  by GEORGE,DAVID",1
--,"REBOUND DEF by MCCARTHY,JOHNNY",,,,,,,"REBOUND DEF by MCCARTHY,JOHNNY",1
14:23,"MISS 3PTR by GREEN,CONNOR",,,,,,,"MISS 3PTR by GREEN,CONNOR",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
14:14,,11 (+3),,8,"GOOD 3PTR by SULLIVAN,BRENNAN",RHO 11-8 (-3),,"GOOD 3PTR by SULLIVAN,BRENNAN",1
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",1
14:10,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
14:10,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
14:10,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
13:51,"MISS 3PTR by MCCARTHY,JOHNNY",,,,,,,"MISS 3PTR by MCCARTHY,JOHNNY",1
--,"REBOUND OFF by RACY,JEFF",,,,,,,"REBOUND OFF by RACY,JEFF",1
13:44,"MISS LAYUP by RACY,JEFF",,,,,,,"MISS LAYUP by RACY,JEFF",1
--,"REBOUND OFF by GREEN,CONNOR",,,,,,,"REBOUND OFF by GREEN,CONNOR",1
13:42,"GOOD DUNK by GREEN,CONNOR(in the paint)",13 (+5),,8,,AMH 13-8 (-5),,"GOOD DUNK by GREEN,CONNOR(in the paint)",1
13:19,,,,,"MISS LAYUP by SULLIVAN,BRENNAN",,,"MISS LAYUP by SULLIVAN,BRENNAN",1
--,,,,,"REBOUND OFF by DARST,DANIEL",,,"REBOUND OFF by DARST,DANIEL",1
13:16,,13 (+3),,10,"GOOD TIPIN by DARST,DANIEL(in the paint)",RHO 13-10 (-3),,"GOOD TIPIN by DARST,DANIEL(in the paint)",1
13:01,"GOOD LAYUP by GREEN,CONNOR(in the paint)",15 (+5),,10,,AMH 15-10 (-5),,"GOOD LAYUP by GREEN,CONNOR(in the paint)",1
12:45,"FOUL  by RACY,JEFF",,,,,,,"FOUL  by RACY,JEFF",1
12:45,,15 (+4),,11,"GOOD FT by GEE,TYLER",RHO 15-11 (-4),,"GOOD FT by GEE,TYLER",1
12:45,,15 (+3),,12,"GOOD FT by GEE,TYLER",RHO 15-12 (-3),,"GOOD FT by GEE,TYLER",1
12:45,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
12:45,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
12:34,,,,,"FOUL  by LOWRIE,ANDREW",,,"FOUL  by LOWRIE,ANDREW",1
12:33,"SUB OUT by DAWSON,JAYDE",,,,,,,"SUB OUT by DAWSON,JAYDE",1
12:33,"SUB OUT by MCCARTHY,JOHNNY",,,,,,,"SUB OUT by MCCARTHY,JOHNNY",1
12:33,"SUB OUT by RIOPEL,MICHAEL",,,,,,,"SUB OUT by RIOPEL,MICHAEL",1
12:33,"SUB OUT by RACY,JEFF",,,,,,,"SUB OUT by RACY,JEFF",1
12:33,"SUB OUT by CONKLIN,ERIC",,,,,,,"SUB OUT by CONKLIN,ERIC",1
12:33,"SUB IN by MCCARTHY,JOHNNY",,,,,,,"SUB IN by MCCARTHY,JOHNNY",1
12:33,"SUB IN by BERMAN,REID",,,,,,,"SUB IN by BERMAN,REID",1
12:33,"SUB IN by RACY,JEFF",,,,,,,"SUB IN by RACY,JEFF",1
12:33,"SUB IN by GREEN,CONNOR",,,,,,,"SUB IN by GREEN,CONNOR",1
12:33,"SUB IN by CONKLIN,ERIC",,,,,,,"SUB IN by CONKLIN,ERIC",1
12:33,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
12:33,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
12:30,"GOOD LAYUP by RACY,JEFF(in the paint)",17 (+5),,12,,AMH 17-12 (-5),,"GOOD LAYUP by RACY,JEFF(in the paint)",1
--,"ASSIST  by CONKLIN,ERIC",,,,,,,"ASSIST  by CONKLIN,ERIC",1
12:08,,,,,"TURNOVER  by SULLIVAN,BRENNAN",,,"TURNOVER  by SULLIVAN,BRENNAN",1
12:07,"STEAL  by GREEN,CONNOR",,,,,,,"STEAL  by GREEN,CONNOR",1
12:04,"GOOD LAYUP by MCCARTHY,JOHNNY(fastbreak)(in the paint)",19 (+7),,12,,AMH 19-12 (-7),,"GOOD LAYUP by MCCARTHY,JOHNNY(fastbreak)(in the paint)",1
--,"ASSIST  by GREEN,CONNOR",,,,,,,"ASSIST  by GREEN,CONNOR",1
11:46,,19 (+4),,15,"GOOD 3PTR by LOWRIE,ANDREW",RHO 19-15 (-4),,"GOOD 3PTR by LOWRIE,ANDREW",1
--,,,,,"ASSIST  by BUTTS,KEYSHAWN",,,"ASSIST  by BUTTS,KEYSHAWN",1
11:25,"GOOD LAYUP by CONKLIN,ERIC(in the paint)",21 (+6),,15,,AMH 21-15 (-6),,"GOOD LAYUP by CONKLIN,ERIC(in the paint)",1
--,"ASSIST  by GREEN,CONNOR",,,,,,,"ASSIST  by GREEN,CONNOR",1
11:03,,21 (+4),,17,"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 21-17 (-4),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
10:53,"MISS 3PTR by GREEN,CONNOR",,,,,,,"MISS 3PTR by GREEN,CONNOR",1
--,"REBOUND OFF by MCCARTHY,JOHNNY",,,,,,,"REBOUND OFF by MCCARTHY,JOHNNY",1
10:46,"GOOD JUMPER by CONKLIN,ERIC",23 (+6),,17,,AMH 23-17 (-6),,"GOOD JUMPER by CONKLIN,ERIC",1
--,"ASSIST  by GREEN,CONNOR",,,,,,,"ASSIST  by GREEN,CONNOR",1
10:22,,,,,"MISS LAYUP by HARRISON,IAN",,,"MISS LAYUP by HARRISON,IAN",1
--,"REBOUND DEF by MCCARTHY,JOHNNY",,,,,,,"REBOUND DEF by MCCARTHY,JOHNNY",1
10:17,"GOOD LAYUP by GREEN,CONNOR(in the paint)",25 (+8),,17,,AMH 25-17 (-8),,"GOOD LAYUP by GREEN,CONNOR(in the paint)",1
--,"ASSIST  by BERMAN,REID",,,,,,,"ASSIST  by BERMAN,REID",1
09:53,,25 (+6),,19,"GOOD LAYUP by DARST,DANIEL(in the paint)",RHO 25-19 (-6),,"GOOD LAYUP by DARST,DANIEL(in the paint)",1
09:39,"GOOD LAYUP by CONKLIN,ERIC(in the paint)",27 (+8),,19,,AMH 27-19 (-8),,"GOOD LAYUP by CONKLIN,ERIC(in the paint)",1
09:18,,27 (+6),,21,"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 27-21 (-6),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by SULLIVAN,BRENNAN",,,"ASSIST  by SULLIVAN,BRENNAN",1
09:16,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:16,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
09:16,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
09:16,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
09:16,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
09:16,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
09:16,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
09:16,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
09:16,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
09:16,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
09:16,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
09:16,"SUB OUT by DAWSON,JAYDE",,,,,,,"SUB OUT by DAWSON,JAYDE",1
09:16,"SUB OUT by MCCARTHY,JOHNNY",,,,,,,"SUB OUT by MCCARTHY,JOHNNY",1
09:16,"SUB OUT by RIOPEL,MICHAEL",,,,,,,"SUB OUT by RIOPEL,MICHAEL",1
09:16,"SUB OUT by RACY,JEFF",,,,,,,"SUB OUT by RACY,JEFF",1
09:16,"SUB OUT by CONKLIN,ERIC",,,,,,,"SUB OUT by CONKLIN,ERIC",1
09:16,"SUB IN by MCCARTHY,JOHNNY",,,,,,,"SUB IN by MCCARTHY,JOHNNY",1
09:16,"SUB IN by RIOPEL,MICHAEL",,,,,,,"SUB IN by RIOPEL,MICHAEL",1
09:16,"SUB IN by BERMAN,REID",,,,,,,"SUB IN by BERMAN,REID",1
09:16,"SUB IN by NABATOFF,JACOB",,,,,,,"SUB IN by NABATOFF,JACOB",1
09:16,"SUB IN by CONKLIN,ERIC",,,,,,,"SUB IN by CONKLIN,ERIC",1
08:57,"TURNOVER  by RIOPEL,MICHAEL",,,,,,,"TURNOVER  by RIOPEL,MICHAEL",1
08:56,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1
08:49,"FOUL  by CONKLIN,ERIC",,,,,,,"FOUL  by CONKLIN,ERIC",1
08:49,,27 (+5),,22,"GOOD FT by BUTTS,KEYSHAWN",RHO 27-22 (-5),,"GOOD FT by BUTTS,KEYSHAWN",1
08:49,,27 (+4),,23,"GOOD FT by BUTTS,KEYSHAWN",RHO 27-23 (-4),,"GOOD FT by BUTTS,KEYSHAWN",1
08:27,"TURNOVER  by CONKLIN,ERIC",,,,,,,"TURNOVER  by CONKLIN,ERIC",1
08:26,,,,,"STEAL  by BUTTS,KEYSHAWN",,,"STEAL  by BUTTS,KEYSHAWN",1
08:10,,27 (+2),,25,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",RHO 27-25 (-2),,"GOOD LAYUP by LOWRIE,ANDREW(in the paint)",1
07:47,"MISS 3PTR by MCCARTHY,JOHNNY",,,,,,,"MISS 3PTR by MCCARTHY,JOHNNY",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
07:30,,,,,"TURNOVER  by LOWRIE,ANDREW",,,"TURNOVER  by LOWRIE,ANDREW",1
07:30,,,,,"SUB IN by DARST,DANIEL",,,"SUB IN by DARST,DANIEL",1
07:30,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
07:12,"MISS JUMPER by MCCARTHY,JOHNNY",,,,,,,"MISS JUMPER by MCCARTHY,JOHNNY",1
--,,,,,"REBOUND DEF by DARST,DANIEL",,,"REBOUND DEF by DARST,DANIEL",1
06:59,,27,,28 (+1),"GOOD 3PTR by WEIR,JJ",RHO 27-28 (+1),,"GOOD 3PTR by WEIR,JJ",1
--,,,,,"ASSIST  by LOWRIE,ANDREW",,,"ASSIST  by LOWRIE,ANDREW",1
06:45,"TURNOVER  by CONKLIN,ERIC",,,,,,,"TURNOVER  by CONKLIN,ERIC",1
06:44,,,,,"STEAL  by DARST,DANIEL",,,"STEAL  by DARST,DANIEL",1
06:41,"FOUL  by BERMAN,REID",,,,,,,"FOUL  by BERMAN,REID",1
06:41,,27,,29 (+2),"GOOD FT by LOWRIE,ANDREW",RHO 27-29 (+2),,"GOOD FT by LOWRIE,ANDREW",1
06:41,,,,,"SUB IN by HARRISON,IAN",,,"SUB IN by HARRISON,IAN",1
06:41,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
06:41,"SUB OUT by DAWSON,JAYDE",,,,,,,"SUB OUT by DAWSON,JAYDE",1
06:41,"SUB OUT by MCCARTHY,JOHNNY",,,,,,,"SUB OUT by MCCARTHY,JOHNNY",1
06:41,"SUB OUT by RIOPEL,MICHAEL",,,,,,,"SUB OUT by RIOPEL,MICHAEL",1
06:41,"SUB OUT by RACY,JEFF",,,,,,,"SUB OUT by RACY,JEFF",1
06:41,"SUB OUT by CONKLIN,ERIC",,,,,,,"SUB OUT by CONKLIN,ERIC",1
06:41,"SUB IN by RIOPEL,MICHAEL",,,,,,,"SUB IN by RIOPEL,MICHAEL",1
06:41,"SUB IN by BERMAN,REID",,,,,,,"SUB IN by BERMAN,REID",1
06:41,"SUB IN by GEORGE,DAVID",,,,,,,"SUB IN by GEORGE,DAVID",1
06:41,"SUB IN by RACY,JEFF",,,,,,,"SUB IN by RACY,JEFF",1
06:41,"SUB IN by NABATOFF,JACOB",,,,,,,"SUB IN by NABATOFF,JACOB",1
06:41,,,,,"MISS FT by LOWRIE,ANDREW",,,"MISS FT by LOWRIE,ANDREW",1
--,"REBOUND DEF by NABATOFF,JACOB",,,,,,,"REBOUND DEF by NABATOFF,JACOB",1
06:19,"GOOD LAYUP by RIOPEL,MICHAEL(in the paint)",29,,29,,AMH 29-29 (0),,"GOOD LAYUP by RIOPEL,MICHAEL(in the paint)",1
06:19,,,,,"FOUL  by HARRISON,IAN",,,"FOUL  by HARRISON,IAN",1
06:19,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
06:19,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
06:19,"GOOD FT by RIOPEL,MICHAEL",30 (+1),,29,,AMH 30-29 (-1),,"GOOD FT by RIOPEL,MICHAEL",1
06:06,,,,,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",1
05:41,"GOOD 3PTR by RACY,JEFF",33 (+4),,29,,AMH 33-29 (-4),,"GOOD 3PTR by RACY,JEFF",1
--,"ASSIST  by NABATOFF,JACOB",,,,,,,"ASSIST  by NABATOFF,JACOB",1
05:07,,,,,"MISS 3PTR by GALVIN,DANIEL",,,"MISS 3PTR by GALVIN,DANIEL",1
--,"REBOUND DEF by NABATOFF,JACOB",,,,,,,"REBOUND DEF by NABATOFF,JACOB",1
04:51,"MISS 3PTR by NABATOFF,JACOB",,,,,,,"MISS 3PTR by NABATOFF,JACOB",1
--,"REBOUND OFF by GEORGE,DAVID",,,,,,,"REBOUND OFF by GEORGE,DAVID",1
04:47,"MISS LAYUP by GEORGE,DAVID",,,,,,,"MISS LAYUP by GEORGE,DAVID",1
--,"REBOUND OFF by RACY,JEFF",,,,,,,"REBOUND OFF by RACY,JEFF",1
04:45,"GOOD LAYUP by RACY,JEFF(in the paint)",35 (+6),,29,,AMH 35-29 (-6),,"GOOD LAYUP by RACY,JEFF(in the paint)",1
04:22,,35 (+4),,31,"GOOD LAYUP by HARRISON,IAN(in the paint)",RHO 35-31 (-4),,"GOOD LAYUP by HARRISON,IAN(in the paint)",1
--,,,,,"ASSIST  by LOWRIE,ANDREW",,,"ASSIST  by LOWRIE,ANDREW",1
04:00,"GOOD LAYUP by GEORGE,DAVID(in the paint)",37 (+6),,31,,AMH 37-31 (-6),,"GOOD LAYUP by GEORGE,DAVID(in the paint)",1
03:37,,,,,"TURNOVER  by GALVIN,DANIEL",,,"TURNOVER  by GALVIN,DANIEL",1
03:37,,,,,"FOUL  by GALVIN,DANIEL",,,"FOUL  by GALVIN,DANIEL",1
03:37,,,,,"SUB OUT by GEE,TYLER",,,"SUB OUT by GEE,TYLER",1
03:37,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
03:37,,,,,"SUB OUT by WEIR,JJ",,,"SUB OUT by WEIR,JJ",1
03:37,,,,,"SUB OUT by BUTTS,KEYSHAWN",,,"SUB OUT by BUTTS,KEYSHAWN",1
03:37,,,,,"SUB OUT by GALVIN,DANIEL",,,"SUB OUT by GALVIN,DANIEL",1
03:37,,,,,"SUB IN by GEE,TYLER",,,"SUB IN by GEE,TYLER",1
03:37,,,,,"SUB IN by SULLIVAN,BRENNAN",,,"SUB IN by SULLIVAN,BRENNAN",1
03:37,,,,,"SUB IN by WEIR,JJ",,,"SUB IN by WEIR,JJ",1
03:37,,,,,"SUB IN by BUTTS,KEYSHAWN",,,"SUB IN by BUTTS,KEYSHAWN",1
03:37,,,,,"SUB IN by GALVIN,DANIEL",,,"SUB IN by GALVIN,DANIEL",1
03:37,"SUB OUT by DAWSON,JAYDE",,,,,,,"SUB OUT by DAWSON,JAYDE",1
03:37,"SUB OUT by MCCARTHY,JOHNNY",,,,,,,"SUB OUT by MCCARTHY,JOHNNY",1
03:37,"SUB OUT by RIOPEL,MICHAEL",,,,,,,"SUB OUT by RIOPEL,MICHAEL",1
03:37,"SUB OUT by RACY,JEFF",,,,,,,"SUB OUT by RACY,JEFF",1
03:37,"SUB OUT by CONKLIN,ERIC",,,,,,,"SUB OUT by CONKLIN,ERIC",1
03:37,"SUB IN by DAWSON,JAYDE",,,,,,,"SUB IN by DAWSON,JAYDE",1
03:37,"SUB IN by RIOPEL,MICHAEL",,,,,,,"SUB IN by RIOPEL,MICHAEL",1
03:37,"SUB IN by GEORGE,DAVID",,,,,,,"SUB IN by GEORGE,DAVID",1
03:37,"SUB IN by RACY,JEFF",,,,,,,"SUB IN by RACY,JEFF",1
03:37,"SUB IN by GREEN,CONNOR",,,,,,,"SUB IN by GREEN,CONNOR",1
03:20,"TURNOVER  by RIOPEL,MICHAEL",,,,,,,"TURNOVER  by RIOPEL,MICHAEL",1
02:55,"FOUL  by GEORGE,DAVID",,,,,,,"FOUL  by GEORGE,DAVID",1
02:55,,,,,"MISS FT by GALVIN,DANIEL",,,"MISS FT by GALVIN,DANIEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:55,"SUB IN by MCCARTHY,JOHNNY",,,,,,,"SUB IN by MCCARTHY,JOHNNY",1
02:55,"SUB OUT by RIOPEL,MICHAEL",,,,,,,"SUB OUT by RIOPEL,MICHAEL",1
02:55,"SUB IN by CONKLIN,ERIC",,,,,,,"SUB IN by CONKLIN,ERIC",1
02:55,"SUB OUT by GEORGE,DAVID",,,,,,,"SUB OUT by GEORGE,DAVID",1
02:55,,37 (+5),,32,"GOOD FT by GALVIN,DANIEL",RHO 37-32 (-5),,"GOOD FT by GALVIN,DANIEL",1
02:46,"MISS LAYUP by CONKLIN,ERIC",,,,,,,"MISS LAYUP by CONKLIN,ERIC",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
02:26,,37 (+3),,34,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 37-34 (-3),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",1
--,,,,,"ASSIST  by GEE,TYLER",,,"ASSIST  by GEE,TYLER",1
02:10,"MISS 3PTR by GREEN,CONNOR",,,,,,,"MISS 3PTR by GREEN,CONNOR",1
--,"REBOUND OFF by CONKLIN,ERIC",,,,,,,"REBOUND OFF by CONKLIN,ERIC",1
02:01,"TURNOVER  by DAWSON,JAYDE",,,,,,,"TURNOVER  by DAWSON,JAYDE",1
02:01,"FOUL  by DAWSON,JAYDE",,,,,,,"FOUL  by DAWSON,JAYDE",1
01:49,,,,,"MISS LAYUP by GALVIN,DANIEL",,,"MISS LAYUP by GALVIN,DANIEL",1
--,"REBOUND DEF by CONKLIN,ERIC",,,,,,,"REBOUND DEF by CONKLIN,ERIC",1
01:43,"GOOD 3PTR by GREEN,CONNOR",40 (+6),,34,,AMH 40-34 (-6),,"GOOD 3PTR by GREEN,CONNOR",1
--,"ASSIST  by DAWSON,JAYDE",,,,,,,"ASSIST  by DAWSON,JAYDE",1
01:16,,,,,"MISS 3PTR by GEE,TYLER",,,"MISS 3PTR by GEE,TYLER",1
--,"REBOUND DEF by MCCARTHY,JOHNNY",,,,,,,"REBOUND DEF by MCCARTHY,JOHNNY",1
01:04,"TURNOVER  by DAWSON,JAYDE",,,,,,,"TURNOVER  by DAWSON,JAYDE",1
01:04,,,,,"STEAL  by GEE,TYLER",,,"STEAL  by GEE,TYLER",1
00:45,,40 (+4),,36,"GOOD JUMPER by SULLIVAN,BRENNAN",RHO 40-36 (-4),,"GOOD JUMPER by SULLIVAN,BRENNAN",1
00:31,,,,,"FOUL  by SULLIVAN,BRENNAN",,,"FOUL  by SULLIVAN,BRENNAN",1
00:31,,,,,"SUB IN by LOWRIE,ANDREW",,,"SUB IN by LOWRIE,ANDREW",1
00:31,,,,,"SUB OUT by SULLIVAN,BRENNAN",,,"SUB OUT by SULLIVAN,BRENNAN",1
00:23,"MISS JUMPER by DAWSON,JAYDE",,,,,,,"MISS JUMPER by DAWSON,JAYDE",1
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",1
00:00,,,,,"TURNOVER  by GEE,TYLER",,,"TURNOVER  by GEE,TYLER",1
00:00,"STEAL  by DAWSON,JAYDE",,,,,,,"STEAL  by DAWSON,JAYDE",1
19:43,,,,,"MISS LAYUP by WEIR,JJ",,,"MISS LAYUP by WEIR,JJ",2
--,,,,,"REBOUND OFF by GALVIN,DANIEL",,,"REBOUND OFF by GALVIN,DANIEL",2
19:39,,,,,"MISS LAYUP by GALVIN,DANIEL",,,"MISS LAYUP by GALVIN,DANIEL",2
--,"REBOUND DEF by GEORGE,DAVID",,,,,,,"REBOUND DEF by GEORGE,DAVID",2
19:23,"MISS LAYUP by GEORGE,DAVID",,,,,,,"MISS LAYUP by GEORGE,DAVID",2
--,,,,,"REBOUND DEF by GEE,TYLER",,,"REBOUND DEF by GEE,TYLER",2
19:17,,40 (+2),,38,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",RHO 40-38 (-2),,"GOOD LAYUP by GALVIN,DANIEL(in the paint)",2
--,,,,,"ASSIST  by WEIR,JJ",,,"ASSIST  by WEIR,JJ",2
18:56,"GOOD LAYUP by GREEN,CONNOR(in the paint)",42 (+4),,38,,AMH 42-38 (-4),,"GOOD LAYUP by GREEN,CONNOR(in the paint)",2
18:37,,,,,"MISS LAYUP by GALVIN,DANIEL",,,"MISS LAYUP by GALVIN,DANIEL",2
18:37,"BLOCK  by GEORGE,DAVID",,,,,,,"BLOCK  by GEORGE,DAVID",2
--,"REBOUND DEF by DAWSON,JAYDE",,,,,,,"REBOUND DEF by DAWSON,JAYDE",2
18:30,"MISS LAYUP by MCCARTHY,JOHNNY",,,,,,,"MISS LAYUP by MCCARTHY,JOHNNY",2
