Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,SEWANEEM,Game Score,Team Indicator,Play,Period
10:50,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,"REBOUND DEF by PRIMM,COLTON",,,,,,,"REBOUND DEF by PRIMM,COLTON",1
10:29,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
10:25,,4,,9 (+5),"GOOD LAYUP by VEAL,ROBERT(fastbreak)(in the paint)",SEWANEEM 4-9 (+5),,"GOOD LAYUP by VEAL,ROBERT(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
10:16,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:15,"GOOD JUMPER by VANCE,LUKE(in the paint)",6,,9 (+3),,HC 6-9 (+3),,"GOOD JUMPER by VANCE,LUKE(in the paint)",1
09:53,"FOUL  by GUMM,GABE",,,,,,,"FOUL  by GUMM,GABE",1
09:48,,6,,12 (+6),"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEEM 6-12 (+6),,"GOOD 3PTR by WILLIAMS,JORDEN",1
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",1
09:22,"MISS JUMPER by PRIMM,COLTON",,,,,,,"MISS JUMPER by PRIMM,COLTON",1
--,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",,,"REBOUND DEF by CALDWELL,MARCELLUS",1
08:45,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND DEF by PRIMM,COLTON",,,,,,,"REBOUND DEF by PRIMM,COLTON",1
08:13,"GOOD 3PTR by OGLE,JOHN",9,,12 (+3),,HC 9-12 (+3),,"GOOD 3PTR by OGLE,JOHN",1
--,"ASSIST  by TAULTON,JORDAN",,,,,,,"ASSIST  by TAULTON,JORDAN",1
07:54,,,,,"MISS JUMPER by NELSON,ANVIL",,,"MISS JUMPER by NELSON,ANVIL",1
--,,,,,"REBOUND OFF by VEAL,ROBERT",,,"REBOUND OFF by VEAL,ROBERT",1
07:53,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",1
07:30,,9,,14 (+5),"GOOD JUMPER by CARTER,KESHONN",SEWANEEM 9-14 (+5),,"GOOD JUMPER by CARTER,KESHONN",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
07:13,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",1
06:59,"FOUL  by TAULTON,JORDAN",,,,,,,"FOUL  by TAULTON,JORDAN",1
06:53,"FOUL  by CONARD,ALEC",,,,,,,"FOUL  by CONARD,ALEC",1
06:49,,,,,"MISS JUMPER by BORN,LEO",,,"MISS JUMPER by BORN,LEO",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
06:39,"FOUL  by CONARD,ALEC",,,,,,,"FOUL  by CONARD,ALEC",1
06:39,,9,,15 (+6),"GOOD FT by WILLIAMS,JORDEN",SEWANEEM 9-15 (+6),,"GOOD FT by WILLIAMS,JORDEN",1
06:39,,9,,16 (+7),"GOOD FT by WILLIAMS,JORDEN",SEWANEEM 9-16 (+7),,"GOOD FT by WILLIAMS,JORDEN",1
06:28,"GOOD JUMPER by NIKOLOVSKI,DREW(in the paint)",11,,16 (+5),,HC 11-16 (+5),,"GOOD JUMPER by NIKOLOVSKI,DREW(in the paint)",1
05:59,"FOUL  by STEELE,AARON",,,,,,,"FOUL  by STEELE,AARON",1
05:59,,11,,17 (+6),"GOOD FT by BORN,LEO",SEWANEEM 11-17 (+6),,"GOOD FT by BORN,LEO",1
05:59,,,,,"MISS FT by BORN,LEO",,,"MISS FT by BORN,LEO",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
05:43,"FOUL  by GARRETT,TRAVIS",,,,,,,"FOUL  by GARRETT,TRAVIS",1
05:43,"TURNOVER  by GARRETT,TRAVIS",,,,,,,"TURNOVER  by GARRETT,TRAVIS",1
05:33,,11,,20 (+9),"GOOD 3PTR by TOME,MATT",SEWANEEM 11-20 (+9),,"GOOD 3PTR by TOME,MATT",1
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",1
05:10,"TURNOVER  by STEELE,AARON",,,,,,,"TURNOVER  by STEELE,AARON",1
05:09,,,,,"STEAL  by BORN,LEO",,,"STEAL  by BORN,LEO",1
05:05,,11,,22 (+11),"GOOD JUMPER by BORN,LEO(fastbreak)(in the paint)",SEWANEEM 11-22 (+11),,"GOOD JUMPER by BORN,LEO(fastbreak)(in the paint)",1
05:05,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",1
05:05,,11,,23 (+12),"GOOD FT by BORN,LEO",SEWANEEM 11-23 (+12),,"GOOD FT by BORN,LEO",1
04:56,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
04:53,"TURNOVER  by PRIMM,COLTON",,,,,,,"TURNOVER  by PRIMM,COLTON",1
04:30,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",1
04:30,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",1
04:20,"MISS JUMPER by PRIMM,COLTON",,,,,,,"MISS JUMPER by PRIMM,COLTON",1
04:20,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
04:08,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
04:07,,,,,"FOUL  by TOME,MATT",,,"FOUL  by TOME,MATT",1
04:07,"GOOD FT by OGLE,JOHN",12,,23 (+11),,HC 12-23 (+11),,"GOOD FT by OGLE,JOHN",1
04:07,"MISS FT by OGLE,JOHN",,,,,,,"MISS FT by OGLE,JOHN",1
--,,,,,"REBOUND DEF by BORN,CLAY",,,"REBOUND DEF by BORN,CLAY",1
03:38,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",,,"MISS 3PTR by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
03:33,,12,,25 (+13),"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",SEWANEEM 12-25 (+13),,"GOOD LAYUP by CALDWELL,MARCELLUS(in the paint)",1
03:24,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
02:59,"MISS 3PTR by TAULTON,JORDAN",,,,,,,"MISS 3PTR by TAULTON,JORDAN",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
02:41,,,,,"MISS LAYUP by WILLIAMS,JORDEN",,,"MISS LAYUP by WILLIAMS,JORDEN",1
02:41,"BLOCK  by PRIMM,COLTON",,,,,,,"BLOCK  by PRIMM,COLTON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
02:37,,,,,"MISS 3PTR by BROWN,SETH",,,"MISS 3PTR by BROWN,SETH",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
02:22,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
02:22,"MISS FT by PRIMM,COLTON",,,,,,,"MISS FT by PRIMM,COLTON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
02:22,"GOOD FT by PRIMM,COLTON",13,,25 (+12),,HC 13-25 (+12),,"GOOD FT by PRIMM,COLTON",1
01:51,,,,,"MISS LAYUP by CALDWELL,MARCELLUS",,,"MISS LAYUP by CALDWELL,MARCELLUS",1
--,"REBOUND DEF by PRIMM,COLTON",,,,,,,"REBOUND DEF by PRIMM,COLTON",1
01:20,"GOOD JUMPER by PRIMM,COLTON(in the paint)",15,,25 (+10),,HC 15-25 (+10),,"GOOD JUMPER by PRIMM,COLTON(in the paint)",1
--,"ASSIST  by OGLE,JOHN",,,,,,,"ASSIST  by OGLE,JOHN",1
00:55,,,,,"MISS 3PTR by BORN,LEO",,,"MISS 3PTR by BORN,LEO",1
--,"REBOUND DEF by GARRETT,TRAVIS",,,,,,,"REBOUND DEF by GARRETT,TRAVIS",1
00:49,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",1
00:49,"MISS FT by GARRETT,TRAVIS",,,,,,,"MISS FT by GARRETT,TRAVIS",1
--,,,,,"REBOUND DEF by TOME,MATT",,,"REBOUND DEF by TOME,MATT",1
00:35,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
00:35,"BLOCK  by PRIMM,COLTON",,,,,,,"BLOCK  by PRIMM,COLTON",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
00:31,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
00:01,"MISS JUMPER by PRIMM,COLTON",,,,,,,"MISS JUMPER by PRIMM,COLTON",1
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",1
00:00,"GOOD LAYUP by VANCE,LUKE(in the paint)",17,,25 (+8),,HC 17-25 (+8),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
19:49,"MISS JUMPER by TAULTON,JORDAN",,,,,,,"MISS JUMPER by TAULTON,JORDAN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
19:28,,17,,27 (+10),"GOOD JUMPER by CARTER,KESHONN(in the paint)",SEWANEEM 17-27 (+10),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",2
19:00,"TURNOVER  by VANCE,LUKE",,,,,,,"TURNOVER  by VANCE,LUKE",2
18:43,"FOUL  by TAULTON,JORDAN",,,,,,,"FOUL  by TAULTON,JORDAN",2
18:43,,17,,28 (+11),"GOOD FT by WILLIAMS,JORDEN",SEWANEEM 17-28 (+11),,"GOOD FT by WILLIAMS,JORDEN",2
18:43,,17,,29 (+12),"GOOD FT by WILLIAMS,JORDEN",SEWANEEM 17-29 (+12),,"GOOD FT by WILLIAMS,JORDEN",2
18:29,"TURNOVER  by PRIMM,COLTON",,,,,,,"TURNOVER  by PRIMM,COLTON",2
18:20,,17,,31 (+14),"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",SEWANEEM 17-31 (+14),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",2
17:51,"GOOD LAYUP by PRIMM,COLTON(in the paint)",19,,31 (+12),,HC 19-31 (+12),,"GOOD LAYUP by PRIMM,COLTON(in the paint)",2
--,"ASSIST  by GUMM,GABE",,,,,,,"ASSIST  by GUMM,GABE",2
17:27,,,,,"MISS 3PTR by BROWN,SETH",,,"MISS 3PTR by BROWN,SETH",2
--,,,,,"REBOUND OFF by BROWN,SETH",,,"REBOUND OFF by BROWN,SETH",2
17:14,,19,,33 (+14),"GOOD JUMPER by BROWN,SETH",SEWANEEM 19-33 (+14),,"GOOD JUMPER by BROWN,SETH",2
--,,,,,"ASSIST  by CALDWELL,MARCELLUS",,,"ASSIST  by CALDWELL,MARCELLUS",2
16:57,"GOOD JUMPER by PRIMM,COLTON",21,,33 (+12),,HC 21-33 (+12),,"GOOD JUMPER by PRIMM,COLTON",2
--,"ASSIST  by GUMM,GABE",,,,,,,"ASSIST  by GUMM,GABE",2
16:39,"FOUL  by GUMM,GABE",,,,,,,"FOUL  by GUMM,GABE",2
16:13,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",2
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",2
15:56,"MISS JUMPER by VANCE,LUKE",,,,,,,"MISS JUMPER by VANCE,LUKE",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
15:40,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",2
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",2
15:31,"GOOD JUMPER by NIKOLOVSKI,DREW",23,,33 (+10),,HC 23-33 (+10),,"GOOD JUMPER by NIKOLOVSKI,DREW",2
15:25,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
15:15,,,,,"TURNOVER  by STONE,BRODY",,,"TURNOVER  by STONE,BRODY",2
15:13,"STEAL  by GUMM,GABE",,,,,,,"STEAL  by GUMM,GABE",2
15:12,"GOOD LAYUP by GUMM,GABE(fastbreak)(in the paint)",25,,33 (+8),,HC 25-33 (+8),,"GOOD LAYUP by GUMM,GABE(fastbreak)(in the paint)",2
15:00,"FOUL  by GUMM,GABE",,,,,,,"FOUL  by GUMM,GABE",2
14:43,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",2
14:43,"BLOCK  by PRIMM,COLTON",,,,,,,"BLOCK  by PRIMM,COLTON",2
--,,,,,"REBOUND OFF by CALDWELL,MARCELLUS",,,"REBOUND OFF by CALDWELL,MARCELLUS",2
14:37,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",,,"MISS JUMPER by CALDWELL,MARCELLUS",2
14:37,"BLOCK  by VANCE,LUKE",,,,,,,"BLOCK  by VANCE,LUKE",2
--,"REBOUND DEF by TAULTON,JORDAN",,,,,,,"REBOUND DEF by TAULTON,JORDAN",2
14:32,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
14:22,,,,,"MISS JUMPER by STONE,BRODY",,,"MISS JUMPER by STONE,BRODY",2
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",2
14:06,"GOOD JUMPER by PRIMM,COLTON",27,,33 (+6),,HC 27-33 (+6),,"GOOD JUMPER by PRIMM,COLTON",2
13:30,,27,,35 (+8),"GOOD JUMPER by CALDWELL,MARCELLUS(in the paint)",SEWANEEM 27-35 (+8),,"GOOD JUMPER by CALDWELL,MARCELLUS(in the paint)",2
13:15,,,,,"FOUL  by STONE,BRODY",,,"FOUL  by STONE,BRODY",2
13:15,"GOOD FT by PRIMM,COLTON",28,,35 (+7),,HC 28-35 (+7),,"GOOD FT by PRIMM,COLTON",2
13:15,"GOOD FT by PRIMM,COLTON",29,,35 (+6),,HC 29-35 (+6),,"GOOD FT by PRIMM,COLTON",2
12:51,,,,,"TURNOVER  by VEAL,ROBERT",,,"TURNOVER  by VEAL,ROBERT",2
12:50,"STEAL  by VANCE,LUKE",,,,,,,"STEAL  by VANCE,LUKE",2
12:36,,,,,"FOUL  by VEAL,ROBERT",,,"FOUL  by VEAL,ROBERT",2
12:36,"MISS JUMPER by PRIMM,COLTON",,,,,,,"MISS JUMPER by PRIMM,COLTON",2
12:36,,,,,"BLOCK  by CARTER,KESHONN",,,"BLOCK  by CARTER,KESHONN",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
12:25,,29,,37 (+8),"GOOD JUMPER by CARTER,KESHONN",SEWANEEM 29-37 (+8),,"GOOD JUMPER by CARTER,KESHONN",2
--,,,,,"ASSIST  by VEAL,ROBERT",,,"ASSIST  by VEAL,ROBERT",2
12:08,"GOOD LAYUP by OGLE,JOHN(in the paint)",31,,37 (+6),,HC 31-37 (+6),,"GOOD LAYUP by OGLE,JOHN(in the paint)",2
12:08,,,,,"FOUL  by BORN,LEO",,,"FOUL  by BORN,LEO",2
12:08,"GOOD FT by OGLE,JOHN",32,,37 (+5),,HC 32-37 (+5),,"GOOD FT by OGLE,JOHN",2
11:44,,,,,"MISS 3PTR by DOWNEY,WILL",,,"MISS 3PTR by DOWNEY,WILL",2
--,"REBOUND DEF by PRIMM,COLTON",,,,,,,"REBOUND DEF by PRIMM,COLTON",2
11:13,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",2
--,"REBOUND OFF by PRIMM,COLTON",,,,,,,"REBOUND OFF by PRIMM,COLTON",2
11:10,"MISS TIPIN by PRIMM,COLTON",,,,,,,"MISS TIPIN by PRIMM,COLTON",2
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",2
11:02,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",2
11:02,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",2
10:47,"GOOD JUMPER by PRIMM,COLTON(in the paint)",34,,37 (+3),,HC 34-37 (+3),,"GOOD JUMPER by PRIMM,COLTON(in the paint)",2
10:26,"FOUL  by TAULTON,JORDAN",,,,,,,"FOUL  by TAULTON,JORDAN",2
10:23,,,,,"MISS 3PTR by TOME,MATT",,,"MISS 3PTR by TOME,MATT",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
10:17,,,,,"MISS LAYUP by BROWN,SETH",,,"MISS LAYUP by BROWN,SETH",2
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",2
09:55,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",2
09:55,"MISS FT by VANCE,LUKE",,,,,,,"MISS FT by VANCE,LUKE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
09:55,"GOOD FT by VANCE,LUKE",35,,37 (+2),,HC 35-37 (+2),,"GOOD FT by VANCE,LUKE",2
09:41,"FOUL  by CONARD,ALEC",,,,,,,"FOUL  by CONARD,ALEC",2
09:29,"FOUL  by CONARD,ALEC",,,,,,,"FOUL  by CONARD,ALEC",2
09:25,,,,,"TURNOVER  by WILLIAMS,JORDEN",,,"TURNOVER  by WILLIAMS,JORDEN",2
09:23,"STEAL  by PRIMM,COLTON",,,,,,,"STEAL  by PRIMM,COLTON",2
09:02,"TURNOVER  by TAULTON,JORDAN",,,,,,,"TURNOVER  by TAULTON,JORDAN",2
08:48,"FOUL  by PRIMM,COLTON",,,,,,,"FOUL  by PRIMM,COLTON",2
08:48,,,,,"MISS FT by CARTER,KESHONN",,,"MISS FT by CARTER,KESHONN",2
--,"REBOUND DEF by NIKOLOVSKI,DREW",,,,,,,"REBOUND DEF by NIKOLOVSKI,DREW",2
08:30,"MISS 3PTR by NIKOLOVSKI,DREW",,,,,,,"MISS 3PTR by NIKOLOVSKI,DREW",2
--,"REBOUND OFF by VANCE,LUKE",,,,,,,"REBOUND OFF by VANCE,LUKE",2
08:26,"GOOD JUMPER by VANCE,LUKE(in the paint)",37,,37,,HC 37-37 (0),,"GOOD JUMPER by VANCE,LUKE(in the paint)",2
08:20,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
07:56,,37,,39 (+2),"GOOD JUMPER by CARTER,KESHONN",SEWANEEM 37-39 (+2),,"GOOD JUMPER by CARTER,KESHONN",2
--,,,,,"ASSIST  by WILLIAMS,JORDEN",,,"ASSIST  by WILLIAMS,JORDEN",2
07:39,"MISS JUMPER by VANCE,LUKE",,,,,,,"MISS JUMPER by VANCE,LUKE",2
--,,,,,"REBOUND DEF by VEAL,ROBERT",,,"REBOUND DEF by VEAL,ROBERT",2
07:08,,,,,"MISS JUMPER by VEAL,ROBERT",,,"MISS JUMPER by VEAL,ROBERT",2
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",2
07:07,"FOUL  by VANCE,LUKE",,,,,,,"FOUL  by VANCE,LUKE",2
07:07,,37,,40 (+3),"GOOD FT by CARTER,KESHONN",SEWANEEM 37-40 (+3),,"GOOD FT by CARTER,KESHONN",2
07:07,,37,,41 (+4),"GOOD FT by CARTER,KESHONN",SEWANEEM 37-41 (+4),,"GOOD FT by CARTER,KESHONN",2
