Time Remaining,OGLETHORPE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:37,,,,,"MISS 3PTR by BROWN,SETH",,,"MISS 3PTR by BROWN,SETH",1
--,"REBOUND DEF by KINNEY,JORDAN",,,,,,,"REBOUND DEF by KINNEY,JORDAN",1
19:15,"GOOD JUMPER by KINNEY,JORDAN(in the paint)",2 (+2),,0,,OGLETHORPE 2-0 (-2),,"GOOD JUMPER by KINNEY,JORDAN(in the paint)",1
18:36,,,,,"MISS LAYUP by CARTER,KESHONN",,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
18:34,,2,,2,"GOOD LAYUP by CARTER,KESHONN(in the paint)",SEWANEE 2-2 (0),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
18:25,"GOOD JUMPER by DAVIS,ALEX(in the paint)",4 (+2),,2,,OGLETHORPE 4-2 (-2),,"GOOD JUMPER by DAVIS,ALEX(in the paint)",1
18:22,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",1
18:22,"MISS FT by DAVIS,ALEX",,,,,,,"MISS FT by DAVIS,ALEX",1
--,,,,,"REBOUND DEF by CARTER,KESHONN",,,"REBOUND DEF by CARTER,KESHONN",1
17:48,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND DEF by ROHLFS,VICTOR",,,,,,,"REBOUND DEF by ROHLFS,VICTOR",1
17:21,"GOOD JUMPER by KINNEY,JORDAN(in the paint)",6 (+4),,2,,OGLETHORPE 6-2 (-4),,"GOOD JUMPER by KINNEY,JORDAN(in the paint)",1
17:01,"FOUL  by ROHLFS,VICTOR",,,,,,,"FOUL  by ROHLFS,VICTOR",1
17:01,,,,,"MISS FT by BROWN,SETH",,,"MISS FT by BROWN,SETH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:01,,6 (+3),,3,"GOOD FT by BROWN,SETH",SEWANEE 6-3 (-3),,"GOOD FT by BROWN,SETH",1
16:51,,,,,"FOUL  by CARTER,KESHONN",,,"FOUL  by CARTER,KESHONN",1
16:51,"GOOD FT by KINNEY,JORDAN",7 (+4),,3,,OGLETHORPE 7-3 (-4),,"GOOD FT by KINNEY,JORDAN",1
16:51,"GOOD FT by KINNEY,JORDAN",8 (+5),,3,,OGLETHORPE 8-3 (-5),,"GOOD FT by KINNEY,JORDAN",1
16:39,,8 (+3),,5,"GOOD LAYUP by BROWN,SETH(in the paint)",SEWANEE 8-5 (-3),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
16:16,"MISS 3PTR by COURSON,TYLER",,,,,,,"MISS 3PTR by COURSON,TYLER",1
--,,,,,"REBOUND DEF by BROWN,SETH",,,"REBOUND DEF by BROWN,SETH",1
16:07,,8,,8,"GOOD 3PTR by WILLIAMS,JORDEN",SEWANEE 8-8 (0),,"GOOD 3PTR by WILLIAMS,JORDEN",1
15:56,"MISS 3PTR by ROHLFS,VICTOR",,,,,,,"MISS 3PTR by ROHLFS,VICTOR",1
--,"REBOUND OFF by DAVIS,ALEX",,,,,,,"REBOUND OFF by DAVIS,ALEX",1
15:50,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",1
15:22,"GOOD LAYUP by DAVIS,ALEX(in the paint)",10 (+2),,8,,OGLETHORPE 10-8 (-2),,"GOOD LAYUP by DAVIS,ALEX(in the paint)",1
14:59,,,,,"MISS LAYUP by WILLIAMS,JORDEN",,,"MISS LAYUP by WILLIAMS,JORDEN",1
--,,,,,"REBOUND OFF by CARTER,KESHONN",,,"REBOUND OFF by CARTER,KESHONN",1
14:46,"FOUL  by OVERSTREET,SEAN",,,,,,,"FOUL  by OVERSTREET,SEAN",1
14:46,,,,,"MISS FT by BORN,LEO",,,"MISS FT by BORN,LEO",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
14:46,,10 (+1),,9,"GOOD FT by BORN,LEO",SEWANEE 10-9 (-1),,"GOOD FT by BORN,LEO",1
14:46,,10,,10,"GOOD FT by BORN,LEO",SEWANEE 10-10 (0),,"GOOD FT by BORN,LEO",1
14:46,"SUB IN by SIGRIST,CONNOR",,,,,,,"SUB IN by SIGRIST,CONNOR",1
14:46,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",1
14:46,"SUB IN by BATES,ROMELLO",,,,,,,"SUB IN by BATES,ROMELLO",1
14:46,"SUB OUT by KINNEY,JORDAN",,,,,,,"SUB OUT by KINNEY,JORDAN",1
14:46,"SUB OUT by DAVIS,ALEX",,,,,,,"SUB OUT by DAVIS,ALEX",1
14:46,"SUB OUT by ROHLFS,VICTOR",,,,,,,"SUB OUT by ROHLFS,VICTOR",1
14:46,,,,,"SUB IN by STONE,BRODY",,,"SUB IN by STONE,BRODY",1
14:46,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
14:46,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
14:46,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
14:29,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",1
--,"REBOUND OFF by BATES,ROMELLO",,,,,,,"REBOUND OFF by BATES,ROMELLO",1
14:23,"MISS 3PTR by COURSON,TYLER",,,,,,,"MISS 3PTR by COURSON,TYLER",1
--,"REBOUND OFF by SMITH,CONNOR",,,,,,,"REBOUND OFF by SMITH,CONNOR",1
13:48,"GOOD LAYUP by SIGRIST,CONNOR(in the paint)",12 (+2),,10,,OGLETHORPE 12-10 (-2),,"GOOD LAYUP by SIGRIST,CONNOR(in the paint)",1
--,"ASSIST  by COURSON,TYLER",,,,,,,"ASSIST  by COURSON,TYLER",1
13:22,,,,,"MISS LAYUP by STONE,BRODY",,,"MISS LAYUP by STONE,BRODY",1
--,"REBOUND DEF by COURSON,TYLER",,,,,,,"REBOUND DEF by COURSON,TYLER",1
13:15,"MISS JUMPER by COURSON,TYLER",,,,,,,"MISS JUMPER by COURSON,TYLER",1
