Time Remaining,CENTRE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:41,,,,,"MISS JUMPER by WILLIAMS,JORDEN",,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
19:18,"MISS 3PTR by WHITESIDE,DONOVAN",,,,,,,"MISS 3PTR by WHITESIDE,DONOVAN",1
--,,,,,"REBOUND DEF by BORN,LEO",,,"REBOUND DEF by BORN,LEO",1
19:05,,,,,"TURNOVER  by CARTER,KESHONN",,,"TURNOVER  by CARTER,KESHONN",1
19:05,"STEAL  by WHITESIDE,DONOVAN",,,,,,,"STEAL  by WHITESIDE,DONOVAN",1
18:51,"MISS JUMPER by SCINTA,BLAKE",,,,,,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND OFF by WESLEY,TYLER",,,,,,,"REBOUND OFF by WESLEY,TYLER",1
18:48,"GOOD LAYUP by WESLEY,TYLER(in the paint)",2 (+2),,0,,CENTRE 2-0 (-2),,"GOOD LAYUP by WESLEY,TYLER(in the paint)",1
17:52,,2,,3 (+1),"GOOD 3PTR by BROWN,SETH",SEWANEE 2-3 (+1),,"GOOD 3PTR by BROWN,SETH",1
17:52,,,,,"FOUL  by BROWN,SETH",,,"FOUL  by BROWN,SETH",1
17:52,"GOOD FT by WESLEY,TYLER",3,,3,,CENTRE 3-3 (0),,"GOOD FT by WESLEY,TYLER",1
17:52,"GOOD FT by WESLEY,TYLER",4 (+1),,3,,CENTRE 4-3 (-1),,"GOOD FT by WESLEY,TYLER",1
17:25,,4,,5 (+1),"GOOD JUMPER by WILLIAMS,JORDEN",SEWANEE 4-5 (+1),,"GOOD JUMPER by WILLIAMS,JORDEN",1
17:12,,,,,"FOUL  by CALDWELL,MARCELLUS",,,"FOUL  by CALDWELL,MARCELLUS",1
17:12,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",6 (+1),,5,,CENTRE 6-5 (-1),,"GOOD LAYUP by LOPEZ,COLLIN(in the paint)",1
16:47,,,,,"MISS JUMPER by CARTER,KESHONN",,,"MISS JUMPER by CARTER,KESHONN",1
--,"REBOUND DEF by SCINTA,BLAKE",,,,,,,"REBOUND DEF by SCINTA,BLAKE",1
16:33,"GOOD 3PTR by MURRAY,RYAN",9 (+4),,5,,CENTRE 9-5 (-4),,"GOOD 3PTR by MURRAY,RYAN",1
--,"ASSIST  by SCINTA,BLAKE",,,,,,,"ASSIST  by SCINTA,BLAKE",1
16:11,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",,,"MISS 3PTR by CALDWELL,MARCELLUS",1
--,"REBOUND DEF by WESLEY,TYLER",,,,,,,"REBOUND DEF by WESLEY,TYLER",1
15:55,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",11 (+6),,5,,CENTRE 11-5 (-6),,"GOOD JUMPER by SCINTA,BLAKE(in the paint)",1
--,"ASSIST  by WHITESIDE,DONOVAN",,,,,,,"ASSIST  by WHITESIDE,DONOVAN",1
15:51,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
15:51,"SUB IN by GUMP,MATT",,,,,,,"SUB IN by GUMP,MATT",1
15:51,"SUB IN by KARSNER,JOSH",,,,,,,"SUB IN by KARSNER,JOSH",1
15:51,"SUB OUT by SCINTA,BLAKE",,,,,,,"SUB OUT by SCINTA,BLAKE",1
15:51,"SUB OUT by LOPEZ,COLLIN",,,,,,,"SUB OUT by LOPEZ,COLLIN",1
15:48,,,,,"MISS 3PTR by WILLIAMS,JORDEN",,,"MISS 3PTR by WILLIAMS,JORDEN",1
