Time Remaining,CROWN COLLEGE,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:25,,,,,"FOUL  by CARDWELL,MARCELLUS",,,"FOUL  by CARDWELL,MARCELLUS",1
19:14,"GOOD JUMPER by FARMER,JOSH",2 (+2),,0,,CROWN COLLEGE 2-0 (-2),,"GOOD JUMPER by FARMER,JOSH",1
--,"ASSIST  by ARISTIDE,BILLY",,,,,,,"ASSIST  by ARISTIDE,BILLY",1
18:44,,,,,"TURNOVER  by CARDWELL,MARCELLUS",,,"TURNOVER  by CARDWELL,MARCELLUS",1
18:33,"TURNOVER  by BRO,ZACH",,,,,,,"TURNOVER  by BRO,ZACH",1
18:33,"FOUL  by BRO,ZACH",,,,,,,"FOUL  by BRO,ZACH",1
18:24,,,,,"SUB IN by TOME,MATT",,,"SUB IN by TOME,MATT",1
18:24,,,,,"SUB OUT by WILLIAMS,JORDEN",,,"SUB OUT by WILLIAMS,JORDEN",1
18:18,,,,,"TURNOVER  by BROWN,SETH",,,"TURNOVER  by BROWN,SETH",1
18:16,"STEAL  by ARISTIDE,BILLY",,,,,,,"STEAL  by ARISTIDE,BILLY",1
17:49,"MISS 3PTR by BROWN,TROY",,,,,,,"MISS 3PTR by BROWN,TROY",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
17:37,"GOOD LAYUP by BRO,ZACH(in the paint)",4 (+4),,0,,CROWN COLLEGE 4-0 (-4),,"GOOD LAYUP by BRO,ZACH(in the paint)",1
17:24,"FOUL  by MAINOUS,CHAD",,,,,,,"FOUL  by MAINOUS,CHAD",1
17:24,,,,,"MISS FT by CARDWELL,MARCELLUS",,,"MISS FT by CARDWELL,MARCELLUS",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:24,,4 (+3),,1,"GOOD FT by CARDWELL,MARCELLUS",SEWANEE 4-1 (-3),,"GOOD FT by CARDWELL,MARCELLUS",1
17:24,,,,,"SUB IN by VEAL,ROBERT",,,"SUB IN by VEAL,ROBERT",1
17:24,,,,,"SUB IN by CARDWELL,MARCELLUS",,,"SUB IN by CARDWELL,MARCELLUS",1
17:24,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
17:24,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
17:24,,,,,"SUB OUT by BROWN,SETH",,,"SUB OUT by BROWN,SETH",1
17:24,,,,,"SUB OUT by BORN,LEO",,,"SUB OUT by BORN,LEO",1
17:24,,,,,"SUB OUT by CARDWELL,MARCELLUS",,,"SUB OUT by CARDWELL,MARCELLUS",1
17:24,,,,,"SUB OUT by CARTER,KESHONN",,,"SUB OUT by CARTER,KESHONN",1
17:16,"GOOD 3PTR by ARISTIDE,BILLY",7 (+6),,1,,CROWN COLLEGE 7-1 (-6),,"GOOD 3PTR by ARISTIDE,BILLY",1
--,"ASSIST  by BRO,ZACH",,,,,,,"ASSIST  by BRO,ZACH",1
17:00,,,,,"SUB IN by CARDWELL,MARCELLUS",,,"SUB IN by CARDWELL,MARCELLUS",1
17:00,,,,,"SUB IN by CARTER,KESHONN",,,"SUB IN by CARTER,KESHONN",1
17:00,,,,,"SUB IN by WILLIAMS,JORDEN",,,"SUB IN by WILLIAMS,JORDEN",1
16:28,,,,,"TURNOVER  by CARDWELL,MARCELLUS",,,"TURNOVER  by CARDWELL,MARCELLUS",1
15:51,"MISS LAYUP by MAINOUS,CHAD",,,,,,,"MISS LAYUP by MAINOUS,CHAD",1
