Time Remaining,SEWANE~2,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
13:20,"GOOD FT by BORN,CLAY",16 (+9),,7,,SEWANE~2 16-7 (+9),,"GOOD FT by BORN,CLAY",1
13:20,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",1
13:20,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
13:20,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
13:20,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
13:20,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
13:20,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
13:20,,,,,"SUB IN by WEBBER,CONNOR",,,"SUB IN by WEBBER,CONNOR",1
13:20,,,,,"SUB IN by WHALEN,MAC",,,"SUB IN by WHALEN,MAC",1
13:20,,,,,"SUB OUT by LEWIS,AJ",,,"SUB OUT by LEWIS,AJ",1
12:45,,,,,"MISS JUMPER by WHALEN,MAC",,,"MISS JUMPER by WHALEN,MAC",1
--,,,,,"REBOUND OFF by MCCLOUD,LEE",,,"REBOUND OFF by MCCLOUD,LEE",1
12:42,,16 (+7),,9,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 16-9 (+7),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",1
12:02,,,,,"FOUL  by JONES,RON",,,"FOUL  by JONES,RON",1
12:02,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
12:02,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
12:02,"SUB OUT by TURNER,BYRON",,,,,,,"SUB OUT by TURNER,BYRON",1
12:02,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
12:02,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",1
12:02,,,,,"SUB OUT by WEBBER,CONNOR",,,"SUB OUT by WEBBER,CONNOR",1
11:56,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
11:46,"GOOD JUMPER by VEAL,ROBERT",18 (+9),,9,,SEWANE~2 18-9 (+9),,"GOOD JUMPER by VEAL,ROBERT",1
11:22,,18 (+7),,11,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 18-11 (+7),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",1
11:04,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
11:03,,,,,"STEAL  by SMOAK,HUNTER",,,"STEAL  by SMOAK,HUNTER",1
11:00,,,,,"FOUL  by SMOAK,HUNTER",,,"FOUL  by SMOAK,HUNTER",1
10:22,"MISS LAYUP by VEAL,ROBERT",,,,,,,"MISS LAYUP by VEAL,ROBERT",1
--,,,,,"REBOUND DEF by COTTER,DOUGLAS",,,"REBOUND DEF by COTTER,DOUGLAS",1
10:15,,,,,"MISS 3PTR by MCCLOUD,LEE",,,"MISS 3PTR by MCCLOUD,LEE",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
10:06,"TURNOVER  by CALDWELL,MARCELLUS",,,,,,,"TURNOVER  by CALDWELL,MARCELLUS",1
09:57,,,,,"STEAL  by SMOAK,HUNTER",,,"STEAL  by SMOAK,HUNTER",1
09:51,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
09:51,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
09:51,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
09:51,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
09:51,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
09:51,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
09:51,,,,,"SUB IN by JONES,RON",,,"SUB IN by JONES,RON",1
09:51,,,,,"SUB IN by PARK,BRANDON",,,"SUB IN by PARK,BRANDON",1
09:51,,,,,"SUB OUT by COTTER,DOUGLAS",,,"SUB OUT by COTTER,DOUGLAS",1
09:51,,,,,"SUB OUT by SMOAK,HUNTER",,,"SUB OUT by SMOAK,HUNTER",1
09:48,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
09:30,,,,,"MISS LAYUP by JONES,RON",,,"MISS LAYUP by JONES,RON",1
09:30,"BLOCK  by BROWN,SETH",,,,,,,"BLOCK  by BROWN,SETH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
09:17,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
08:51,,,,,"MISS LAYUP by WHALEN,MAC",,,"MISS LAYUP by WHALEN,MAC",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
08:21,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",1
08:14,"FOUL  by TURNER,BYRON",,,,,,,"FOUL  by TURNER,BYRON",1
08:14,"GOOD FT by BROWN,SETH",19 (+8),,11,,SEWANE~2 19-11 (+8),,"GOOD FT by BROWN,SETH",1
08:14,"GOOD FT by BROWN,SETH",20 (+9),,11,,SEWANE~2 20-11 (+9),,"GOOD FT by BROWN,SETH",1
08:14,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
08:14,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
08:14,,,,,"SUB IN by SMOAK,HUNTER",,,"SUB IN by SMOAK,HUNTER",1
08:14,,,,,"SUB IN by GRAHAM,LAKE",,,"SUB IN by GRAHAM,LAKE",1
08:14,,,,,"SUB OUT by JONES,RON",,,"SUB OUT by JONES,RON",1
08:14,,,,,"SUB OUT by PARK,BRANDON",,,"SUB OUT by PARK,BRANDON",1
08:03,,,,,"MISS LAYUP by JACOBS,OWEN",,,"MISS LAYUP by JACOBS,OWEN",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
07:49,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by SMOAK,HUNTER",,,"REBOUND DEF by SMOAK,HUNTER",1
07:44,,20 (+7),,13,"GOOD LAYUP by WHALEN,MAC(in the paint)",BCM 20-13 (+7),,"GOOD LAYUP by WHALEN,MAC(in the paint)",1
07:40,,,,,"FOUL  by JACOBS,OWEN",,,"FOUL  by JACOBS,OWEN",1
07:40,,,,,"MISS FT by WHALEN,MAC",,,"MISS FT by WHALEN,MAC",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
07:34,"FOUL  by BEVIACQUA,BRYAN",,,,,,,"FOUL  by BEVIACQUA,BRYAN",1
07:34,"GOOD FT by BORN,CLAY",21 (+8),,13,,SEWANE~2 21-13 (+8),,"GOOD FT by BORN,CLAY",1
07:34,"GOOD FT by BORN,CLAY",22 (+9),,13,,SEWANE~2 22-13 (+9),,"GOOD FT by BORN,CLAY",1
07:34,,,,,"SUB IN by COTTER,DOUGLAS",,,"SUB IN by COTTER,DOUGLAS",1
07:34,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",1
07:28,"FOUL  by BORN,CLAY",,,,,,,"FOUL  by BORN,CLAY",1
07:13,,,,,"TURNOVER  by GRAHAM,LAKE",,,"TURNOVER  by GRAHAM,LAKE",1
07:12,"STEAL  by BROWN,SETH",,,,,,,"STEAL  by BROWN,SETH",1
07:05,"GOOD 3PTR by TOME,MATT",25 (+12),,13,,SEWANE~2 25-13 (+12),,"GOOD 3PTR by TOME,MATT",1
--,"ASSIST  by TOME,MATT",,,,,,,"ASSIST  by TOME,MATT",1
06:56,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
06:56,,25 (+11),,14,"GOOD FT by GRAHAM,LAKE",BCM 25-14 (+11),,"GOOD FT by GRAHAM,LAKE",1
06:56,,,,,"MISS FT by GRAHAM,LAKE",,,"MISS FT by GRAHAM,LAKE",1
--,"REBOUND DEF by WILLIAMS,JORDEN",,,,,,,"REBOUND DEF by WILLIAMS,JORDEN",1
06:51,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
06:36,,,,,"MISS 3PTR by COTTER,DOUGLAS",,,"MISS 3PTR by COTTER,DOUGLAS",1
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",1
06:10,,,,,"FOUL  by GRAHAM,LAKE",,,"FOUL  by GRAHAM,LAKE",1
06:10,"GOOD FT by CARTER,KESHONN",26 (+12),,14,,SEWANE~2 26-14 (+12),,"GOOD FT by CARTER,KESHONN",1
06:10,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by JACOBS,OWEN",,,"REBOUND DEF by JACOBS,OWEN",1
06:10,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",1
06:10,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
06:10,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",1
06:10,,,,,"SUB OUT by GRAHAM,LAKE",,,"SUB OUT by GRAHAM,LAKE",1
05:51,,,,,"TURNOVER  by SMOAK,HUNTER",,,"TURNOVER  by SMOAK,HUNTER",1
05:51,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
05:51,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:51,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
05:51,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
05:39,"FOUL  by BROWN,SETH",,,,,,,"FOUL  by BROWN,SETH",1
05:29,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
05:29,,,,,"MISS FT by MCCLOUD,LEE",,,"MISS FT by MCCLOUD,LEE",1
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",1
--,,,,,"REBOUND OFF by JACOBS,OWEN",,,"REBOUND OFF by JACOBS,OWEN",1
05:28,,,,,"TURNOVER  by JACOBS,OWEN",,,"TURNOVER  by JACOBS,OWEN",1
05:15,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
04:55,,,,,"FOUL  by JACOBS,OWEN",,,"FOUL  by JACOBS,OWEN",1
04:55,"MISS FT by WILLIAMS,JORDEN",,,,,,,"MISS FT by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by COTTER,DOUGLAS",,,"REBOUND DEF by COTTER,DOUGLAS",1
04:45,,26 (+10),,16,"GOOD JUMPER by SMOAK,HUNTER",BCM 26-16 (+10),,"GOOD JUMPER by SMOAK,HUNTER",1
04:42,"GOOD FT by BORN,CLAY",27 (+11),,16,,SEWANE~2 27-16 (+11),,"GOOD FT by BORN,CLAY",1
04:42,"GOOD FT by BORN,CLAY",28 (+12),,16,,SEWANE~2 28-16 (+12),,"GOOD FT by BORN,CLAY",1
04:42,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",1
04:42,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
04:42,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
04:42,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",1
04:42,,,,,"SUB IN by COTTER,DOUGLAS",,,"SUB IN by COTTER,DOUGLAS",1
04:42,,,,,"SUB IN by WHALEN,MAC",,,"SUB IN by WHALEN,MAC",1
04:42,,,,,"SUB IN by MCCLOUD,LEE",,,"SUB IN by MCCLOUD,LEE",1
04:42,,,,,"SUB IN by WRIGHT,JAKE",,,"SUB IN by WRIGHT,JAKE",1
04:42,,,,,"SUB IN by LEWIS,AJ",,,"SUB IN by LEWIS,AJ",1
04:42,,,,,"SUB OUT by WRIGHT,JAKE",,,"SUB OUT by WRIGHT,JAKE",1
04:42,,,,,"SUB OUT by LEWIS,AJ",,,"SUB OUT by LEWIS,AJ",1
04:42,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",1
04:42,,,,,"SUB OUT by COTTER,DOUGLAS",,,"SUB OUT by COTTER,DOUGLAS",1
04:42,,,,,"SUB OUT by SMOAK,HUNTER",,,"SUB OUT by SMOAK,HUNTER",1
04:42,,,,,"SUB OUT by WHALEN,MAC",,,"SUB OUT by WHALEN,MAC",1
04:42,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
04:40,,,,,"MISS FT by JACOBS,OWEN",,,"MISS FT by JACOBS,OWEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:40,,28 (+11),,17,"GOOD FT by JACOBS,OWEN",BCM 28-17 (+11),,"GOOD FT by JACOBS,OWEN",1
04:40,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
04:40,"SUB OUT by TURNER,BYRON",,,,,,,"SUB OUT by TURNER,BYRON",1
04:40,,,,,"SUB IN by JONES,RON",,,"SUB IN by JONES,RON",1
04:40,,,,,"SUB IN by SMOAK,HUNTER",,,"SUB IN by SMOAK,HUNTER",1
04:40,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",1
04:18,"GOOD 3PTR by BROWN,SETH",31 (+14),,17,,SEWANE~2 31-17 (+14),,"GOOD 3PTR by BROWN,SETH",1
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
03:58,,,,,"TURNOVER  by JONES,RON",,,"TURNOVER  by JONES,RON",1
03:58,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",1
03:58,,,,,"SUB OUT by COTTER,DOUGLAS",,,"SUB OUT by COTTER,DOUGLAS",1
03:35,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",1
--,,,,,"REBOUND DEF by MCCLOUD,LEE",,,"REBOUND DEF by MCCLOUD,LEE",1
03:27,,31 (+12),,19,"GOOD LAYUP by JONES,RON(in the paint)",BCM 31-19 (+12),,"GOOD LAYUP by JONES,RON(in the paint)",1
--,,,,,"ASSIST  by MCCLOUD,LEE",,,"ASSIST  by MCCLOUD,LEE",1
03:01,"GOOD LAYUP by VEAL,ROBERT(in the paint)",33 (+14),,19,,SEWANE~2 33-19 (+14),,"GOOD LAYUP by VEAL,ROBERT(in the paint)",1
--,"ASSIST  by BORN,CLAY",,,,,,,"ASSIST  by BORN,CLAY",1
02:53,,,,,"MISS LAYUP by WHALEN,MAC",,,"MISS LAYUP by WHALEN,MAC",1
--,,,,,"REBOUND OFF by JONES,RON",,,"REBOUND OFF by JONES,RON",1
02:49,,33 (+12),,21,"GOOD LAYUP by JONES,RON(in the paint)",BCM 33-21 (+12),,"GOOD LAYUP by JONES,RON(in the paint)",1
02:36,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",1
02:34,,,,,"MISS FT by JONES,RON",,,"MISS FT by JONES,RON",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
02:28,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
02:28,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
02:23,"GOOD LAYUP by BROWN,SETH(in the paint)",35 (+14),,21,,SEWANE~2 35-21 (+14),,"GOOD LAYUP by BROWN,SETH(in the paint)",1
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
02:12,,,,,"MISS JUMPER by JONES,RON",,,"MISS JUMPER by JONES,RON",1
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",1
01:52,"GOOD JUMPER by CARTER,KESHONN",37 (+16),,21,,SEWANE~2 37-21 (+16),,"GOOD JUMPER by CARTER,KESHONN",1
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
01:38,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
01:38,,,,,"MISS FT by JACOBS,OWEN",,,"MISS FT by JACOBS,OWEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:38,,,,,"MISS FT by JACOBS,OWEN",,,"MISS FT by JACOBS,OWEN",1
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",1
01:38,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
01:38,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
01:38,,,,,"SUB IN by PARK,BRANDON",,,"SUB IN by PARK,BRANDON",1
01:38,,,,,"SUB OUT by MCCLOUD,LEE",,,"SUB OUT by MCCLOUD,LEE",1
01:31,"TURNOVER  by TOME,MATT",,,,,,,"TURNOVER  by TOME,MATT",1
01:30,,,,,"STEAL  by WHALEN,MAC",,,"STEAL  by WHALEN,MAC",1
01:28,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",1
01:28,,37 (+15),,22,"GOOD FT by WHALEN,MAC",BCM 37-22 (+15),,"GOOD FT by WHALEN,MAC",1
01:28,,37 (+14),,23,"GOOD FT by WHALEN,MAC",BCM 37-23 (+14),,"GOOD FT by WHALEN,MAC",1
01:28,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",1
01:28,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
01:19,,,,,"SUB IN by WEBBER,CONNOR",,,"SUB IN by WEBBER,CONNOR",1
01:19,,,,,"SUB OUT by JACOBS,OWEN",,,"SUB OUT by JACOBS,OWEN",1
01:08,"TURNOVER  by TURNER,BYRON",,,,,,,"TURNOVER  by TURNER,BYRON",1
01:07,,,,,"STEAL  by PARK,BRANDON",,,"STEAL  by PARK,BRANDON",1
00:55,,37 (+12),,25,"GOOD LAYUP by JONES,RON(in the paint)",BCM 37-25 (+12),,"GOOD LAYUP by JONES,RON(in the paint)",1
--,,,,,"ASSIST  by WEBBER,CONNOR",,,"ASSIST  by WEBBER,CONNOR",1
00:32,"GOOD 3PTR by BORN,LEO",40 (+15),,25,,SEWANE~2 40-25 (+15),,"GOOD 3PTR by BORN,LEO",1
00:24,,,,,"MISS LAYUP by WEBBER,CONNOR",,,"MISS LAYUP by WEBBER,CONNOR",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
00:00,"GOOD 3PTR by WILLIAMS,JORDEN",43 (+18),,25,,SEWANE~2 43-25 (+18),,"GOOD 3PTR by WILLIAMS,JORDEN",1
19:45,,,,,"TURNOVER  by JONES,RON",,,"TURNOVER  by JONES,RON",2
19:44,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",2
19:42,,,,,"FOUL  by JONES,RON",,,"FOUL  by JONES,RON",2
19:42,,,,,"SUB IN by JACOBS,OWEN",,,"SUB IN by JACOBS,OWEN",2
19:42,,,,,"SUB OUT by JONES,RON",,,"SUB OUT by JONES,RON",2
19:28,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",2
19:28,,43 (+16),,27,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 43-27 (+16),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
18:46,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",2
--,,,,,"REBOUND DEF by COTTER,DOUGLAS",,,"REBOUND DEF by COTTER,DOUGLAS",2
18:34,,43 (+14),,29,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",BCM 43-29 (+14),,"GOOD LAYUP by MCCLOUD,LEE(in the paint)",2
--,,,,,"ASSIST  by WHALEN,MAC",,,"ASSIST  by WHALEN,MAC",2
18:18,"GOOD LAYUP by BROWN,SETH(in the paint)",45 (+16),,29,,SEWANE~2 45-29 (+16),,"GOOD LAYUP by BROWN,SETH(in the paint)",2
--,"ASSIST  by CALDWELL,MARCELLUS",,,,,,,"ASSIST  by CALDWELL,MARCELLUS",2
18:05,,45 (+14),,31,"GOOD LAYUP by JACOBS,OWEN(in the paint)",BCM 45-31 (+14),,"GOOD LAYUP by JACOBS,OWEN(in the paint)",2
--,,,,,"ASSIST  by COTTER,DOUGLAS",,,"ASSIST  by COTTER,DOUGLAS",2
17:42,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",2
--,,,,,"REBOUND DEF by COTTER,DOUGLAS",,,"REBOUND DEF by COTTER,DOUGLAS",2
17:30,,,,,"MISS LAYUP by SMOAK,HUNTER",,,"MISS LAYUP by SMOAK,HUNTER",2
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",2
17:03,"MISS 3PTR by BORN,LEO",,,,,,,"MISS 3PTR by BORN,LEO",2
