Time Remaining,SEWM,Away Team Score,Play Team Indicator,Home Team Score,PCM,Game Score,Team Indicator,Play,Period
19:42,,,,,"MISS JUMPER by II,ALTON HONORS",,,"MISS JUMPER by II,ALTON HONORS",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
19:15,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
--,,,,,"REBOUND DEF by MEEKS,CHRIS",,,"REBOUND DEF by MEEKS,CHRIS",1
18:47,,0,,2 (+2),"GOOD JUMPER by JENKINS,JESSIE",PCM 0-2 (-2),,"GOOD JUMPER by JENKINS,JESSIE",1
18:07,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
17:59,,,,,"MISS JUMPER by EDWARDS,BRIAN",,,"MISS JUMPER by EDWARDS,BRIAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
17:45,,,,,"TURNOVER  by SMITH,SAFARI",,,"TURNOVER  by SMITH,SAFARI",1
17:25,"GOOD JUMPER by WILLIAMS,JORDEN",2,,2,,SEWM 2-2 (0),,"GOOD JUMPER by WILLIAMS,JORDEN",1
16:52,,,,,"MISS JUMPER by JENKINS,JESSIE",,,"MISS JUMPER by JENKINS,JESSIE",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
16:17,"GOOD 3PTR by WILLIAMS,JORDEN",5 (+3),,2,,SEWM 5-2 (+3),,"GOOD 3PTR by WILLIAMS,JORDEN",1
15:56,,,,,"TURNOVER  by SMITH,SAFARI",,,"TURNOVER  by SMITH,SAFARI",1
15:55,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",1
15:53,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
15:34,"FOUL  by WILLIAMS,JORDEN",,,,,,,"FOUL  by WILLIAMS,JORDEN",1
15:34,,5 (+2),,3,"GOOD FT by MEEKS,CHRIS",PCM 5-3 (+2),,"GOOD FT by MEEKS,CHRIS",1
15:34,,,,,"MISS FT by MEEKS,CHRIS",,,"MISS FT by MEEKS,CHRIS",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
15:19,,,,,"FOUL  by JENKINS,JESSIE",,,"FOUL  by JENKINS,JESSIE",1
15:19,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",1
