Time Remaining,SEW,Away Team Score,Play Team Indicator,Home Team Score,FUR,Game Score,Team Indicator,Play,Period
19:45,"FOUL  by CALDWELL, MARCELLUS",,,,,,,"FOUL  by CALDWELL, MARCELLUS",1
19:28,,,,,"MISS JUMPER by CHUISSEU, KEVIN",,,"MISS JUMPER by CHUISSEU, KEVIN",1
--,,,,,"REBOUND OFF by RWABIGWI, ADONIS",,,"REBOUND OFF by RWABIGWI, ADONIS",1
19:06,,0,,2 (+2),"GOOD JUMPER by CHUISSEU, KEVIN(in the paint)",FUR 0-2 (-2),,"GOOD JUMPER by CHUISSEU, KEVIN(in the paint)",1
18:34,,,,,"FOUL  by CHUISSEU, KEVIN",,,"FOUL  by CHUISSEU, KEVIN",1
18:34,"GOOD FT by BORN, LEO",1,,2 (+1),,SEW 1-2 (-1),,"GOOD FT by BORN, LEO",1
18:34,"MISS FT by BORN, LEO",,,,,,,"MISS FT by BORN, LEO",1
--,,,,,"REBOUND DEF by RWABIGWI, ADONIS",,,"REBOUND DEF by RWABIGWI, ADONIS",1
18:12,,,,,"MISS JUMPER by RWABIGWI, ADONIS",,,"MISS JUMPER by RWABIGWI, ADONIS",1
--,"REBOUND DEF by BORN, LEO",,,,,,,"REBOUND DEF by BORN, LEO",1
17:51,"MISS 3PTR by WILLIAMS, JORDEN",,,,,,,"MISS 3PTR by WILLIAMS, JORDEN",1
--,"REBOUND OFF by CARTER, KESHONN",,,,,,,"REBOUND OFF by CARTER, KESHONN",1
17:48,,,,,"SUB IN by FERRARA, KENDREC",,,"SUB IN by FERRARA, KENDREC",1
17:48,,,,,"SUB OUT by CHUISSEU, KEVIN",,,"SUB OUT by CHUISSEU, KEVIN",1
17:47,"MISS JUMPER by CARTER, KESHONN",,,,,,,"MISS JUMPER by CARTER, KESHONN",1
--,,,,,"REBOUND DEF by CROONE, STEPHEN",,,"REBOUND DEF by CROONE, STEPHEN",1
17:39,,,,,"MISS LAYUP by CROONE, STEPHEN",,,"MISS LAYUP by CROONE, STEPHEN",1
--,,,,,"REBOUND OFF by RWABIGWI, ADONIS",,,"REBOUND OFF by RWABIGWI, ADONIS",1
17:36,,,,,"MISS JUMPER by RWABIGWI, ADONIS",,,"MISS JUMPER by RWABIGWI, ADONIS",1
17:36,"BLOCK  by BORN, LEO",,,,,,,"BLOCK  by BORN, LEO",1
