Time Remaining,SUM,Away Team Score,Play Team Indicator,Home Team Score,TFCM,Game Score,Team Indicator,Play,Period
19:41,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",1
19:40,,,,,"STEAL  by BARRETT,JOSH",,,"STEAL  by BARRETT,JOSH",1
19:21,,,,,"MISS 3PTR by SAULS,JON",,,"MISS 3PTR by SAULS,JON",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
19:05,"GOOD LAYUP by CARTER,KESHONN(in the paint)",2 (+2),,0,,SUM 2-0 (+2),,"GOOD LAYUP by CARTER,KESHONN(in the paint)",1
19:05,,,,,"FOUL  by WESTFALL,DEREK",,,"FOUL  by WESTFALL,DEREK",1
19:05,"MISS FT by CARTER,KESHONN",,,,,,,"MISS FT by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by WILLIAMS,CAM",,,"REBOUND DEF by WILLIAMS,CAM",1
18:39,,,,,"MISS LAYUP by WILLIAMS,CAM",,,"MISS LAYUP by WILLIAMS,CAM",1
--,,,,,"REBOUND OFF by WESTFALL,DEREK",,,"REBOUND OFF by WESTFALL,DEREK",1
18:34,,,,,"TURNOVER  by WESTFALL,DEREK",,,"TURNOVER  by WESTFALL,DEREK",1
18:33,"STEAL  by BROWN,SETH",,,,,,,"STEAL  by BROWN,SETH",1
18:26,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by BARRETT,JOSH",,,"REBOUND DEF by BARRETT,JOSH",1
18:24,"FOUL  by CARTER,KESHONN",,,,,,,"FOUL  by CARTER,KESHONN",1
18:08,,,,,"TURNOVER  by WESTFALL,DEREK",,,"TURNOVER  by WESTFALL,DEREK",1
18:07,"STEAL  by BORN,LEO",,,,,,,"STEAL  by BORN,LEO",1
18:04,"GOOD LAYUP by CARTER,KESHONN(fastbreak)(in the paint)",4 (+4),,0,,SUM 4-0 (+4),,"GOOD LAYUP by CARTER,KESHONN(fastbreak)(in the paint)",1
--,"ASSIST  by BORN,LEO",,,,,,,"ASSIST  by BORN,LEO",1
17:33,,4 (+1),,3,"GOOD 3PTR by BARRETT,JOSH",TFCM 4-3 (+1),,"GOOD 3PTR by BARRETT,JOSH",1
17:22,"TURNOVER  by BORN,LEO",,,,,,,"TURNOVER  by BORN,LEO",1
17:21,,,,,"STEAL  by BARRETT,JOSH",,,"STEAL  by BARRETT,JOSH",1
17:19,"FOUL  by BORN,LEO",,,,,,,"FOUL  by BORN,LEO",1
17:19,,,,,"MISS FT by WILLIAMS,CAM",,,"MISS FT by WILLIAMS,CAM",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:19,,4,,4,"GOOD FT by WILLIAMS,CAM",TFCM 4-4 (0),,"GOOD FT by WILLIAMS,CAM",1
17:19,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
17:19,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
17:12,"TURNOVER  by TOME,MATT",,,,,,,"TURNOVER  by TOME,MATT",1
17:00,,4,,7 (+3),"GOOD 3PTR by BARRETT,JOSH",TFCM 4-7 (-3),,"GOOD 3PTR by BARRETT,JOSH",1
--,,,,,"ASSIST  by SAULS,JON",,,"ASSIST  by SAULS,JON",1
16:51,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
16:51,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
16:42,,4,,9 (+5),"GOOD LAYUP by SAULS,JON(in the paint)",TFCM 4-9 (-5),,"GOOD LAYUP by SAULS,JON(in the paint)",1
16:11,"MISS JUMPER by BROWN,SETH",,,,,,,"MISS JUMPER by BROWN,SETH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:04,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by WILLIAMS,CAM",,,"REBOUND DEF by WILLIAMS,CAM",1
15:42,,,,,"MISS LAYUP by WILLIAMS,CAM",,,"MISS LAYUP by WILLIAMS,CAM",1
--,,,,,"REBOUND OFF by WILLIAMS,CAM",,,"REBOUND OFF by WILLIAMS,CAM",1
15:39,,4,,11 (+7),"GOOD LAYUP by WILLIAMS,CAM(in the paint)",TFCM 4-11 (-7),,"GOOD LAYUP by WILLIAMS,CAM(in the paint)",1
15:26,,,,,"FOUL  by SAULS,JON",,,"FOUL  by SAULS,JON",1
15:23,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
15:23,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
15:14,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by SMITH,DONOVAN",,,"REBOUND DEF by SMITH,DONOVAN",1
14:56,,,,,"TURNOVER  by WILLIAMS,CAM",,,"TURNOVER  by WILLIAMS,CAM",1
14:53,"STEAL  by CARTER,KESHONN",,,,,,,"STEAL  by CARTER,KESHONN",1
14:43,"MISS 3PTR by CALDWELL,MARCELLUS",,,,,,,"MISS 3PTR by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by WILLIAMS,CAM",,,"REBOUND DEF by WILLIAMS,CAM",1
14:25,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
14:25,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
14:25,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
14:25,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
14:25,,,,,"SUB IN by CLARK,DEVIAN",,,"SUB IN by CLARK,DEVIAN",1
14:25,,,,,"SUB OUT by WILLIAMS,CAM",,,"SUB OUT by WILLIAMS,CAM",1
14:04,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",1
14:04,,4,,12 (+8),"GOOD FT by BARRETT,JOSH",TFCM 4-12 (-8),,"GOOD FT by BARRETT,JOSH",1
14:04,,,,,"MISS FT by BARRETT,JOSH",,,"MISS FT by BARRETT,JOSH",1
--,"REBOUND DEF by BORN,CLAY",,,,,,,"REBOUND DEF by BORN,CLAY",1
13:54,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by CLARK,DEVIAN",,,"REBOUND DEF by CLARK,DEVIAN",1
13:37,,,,,"MISS 3PTR by BARRETT,JOSH",,,"MISS 3PTR by BARRETT,JOSH",1
--,,,,,"REBOUND OFF by CLARK,DEVIAN",,,"REBOUND OFF by CLARK,DEVIAN",1
13:25,,,,,"FOUL  by CLARK,DEVIAN",,,"FOUL  by CLARK,DEVIAN",1
13:25,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
13:25,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
13:02,"GOOD LAYUP by STONE,BRODY(in the paint)",6,,12 (+6),,SUM 6-12 (-6),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
--,"ASSIST  by VEAL,ROBERT",,,,,,,"ASSIST  by VEAL,ROBERT",1
12:46,,,,,"MISS JUMPER by CLARK,DEVIAN",,,"MISS JUMPER by CLARK,DEVIAN",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
12:37,"MISS 3PTR by BORN,CLAY",,,,,,,"MISS 3PTR by BORN,CLAY",1
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",1
12:33,"MISS JUMPER by VEAL,ROBERT",,,,,,,"MISS JUMPER by VEAL,ROBERT",1
--,,,,,"REBOUND DEF by SAULS,JON",,,"REBOUND DEF by SAULS,JON",1
12:29,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
12:29,"SUB IN by CALDWELL,MARCELLUS",,,,,,,"SUB IN by CALDWELL,MARCELLUS",1
12:29,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
12:21,,,,,"MISS 3PTR by SAULS,JON",,,"MISS 3PTR by SAULS,JON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
12:19,"FOUL  by STONE,BRODY",,,,,,,"FOUL  by STONE,BRODY",1
12:19,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
12:19,"SUB IN by WILLIAMS,JORDEN",,,,,,,"SUB IN by WILLIAMS,JORDEN",1
12:19,"SUB OUT by BORN,CLAY",,,,,,,"SUB OUT by BORN,CLAY",1
12:19,"SUB OUT by STONE,BRODY",,,,,,,"SUB OUT by STONE,BRODY",1
12:19,,,,,"SUB IN by BARRETT,ZACH",,,"SUB IN by BARRETT,ZACH",1
12:19,,,,,"SUB IN by PALMER,NATHAN",,,"SUB IN by PALMER,NATHAN",1
12:19,,,,,"SUB OUT by WESTFALL,DEREK",,,"SUB OUT by WESTFALL,DEREK",1
12:19,,,,,"SUB OUT by SAULS,JON",,,"SUB OUT by SAULS,JON",1
12:03,,,,,"MISS 3PTR by SMITH,DONOVAN",,,"MISS 3PTR by SMITH,DONOVAN",1
--,"REBOUND DEF by VEAL,ROBERT",,,,,,,"REBOUND DEF by VEAL,ROBERT",1
11:50,"TURNOVER  by VEAL,ROBERT",,,,,,,"TURNOVER  by VEAL,ROBERT",1
11:49,,,,,"STEAL  by PALMER,NATHAN",,,"STEAL  by PALMER,NATHAN",1
11:19,,,,,"TURNOVER  by BARRETT,JOSH",,,"TURNOVER  by BARRETT,JOSH",1
11:19,"SUB IN by BROWN,SETH",,,,,,,"SUB IN by BROWN,SETH",1
11:19,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
11:19,,,,,"SUB IN by WILLIAMS,CAM",,,"SUB IN by WILLIAMS,CAM",1
11:19,,,,,"SUB OUT by SMITH,DONOVAN",,,"SUB OUT by SMITH,DONOVAN",1
10:58,"MISS 3PTR by BROWN,SETH",,,,,,,"MISS 3PTR by BROWN,SETH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
10:40,,,,,"TURNOVER  by BARRETT,JOSH",,,"TURNOVER  by BARRETT,JOSH",1
10:39,"STEAL  by BROWN,SETH",,,,,,,"STEAL  by BROWN,SETH",1
10:34,"GOOD JUMPER by WILLIAMS,JORDEN(in the paint)",8,,12 (+4),,SUM 8-12 (-4),,"GOOD JUMPER by WILLIAMS,JORDEN(in the paint)",1
10:13,,,,,"MISS 3PTR by WILLIAMS,CAM",,,"MISS 3PTR by WILLIAMS,CAM",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
10:03,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
--,,,,,"REBOUND DEF by BARRETT,ZACH",,,"REBOUND DEF by BARRETT,ZACH",1
09:32,,,,,"MISS LAYUP by CLARK,DEVIAN",,,"MISS LAYUP by CLARK,DEVIAN",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
09:26,"MISS LAYUP by CARTER,KESHONN",,,,,,,"MISS LAYUP by CARTER,KESHONN",1
--,,,,,"REBOUND DEF by BARRETT,ZACH",,,"REBOUND DEF by BARRETT,ZACH",1
09:22,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
09:22,,,,,"SUB IN by FOLWELL,JOSH",,,"SUB IN by FOLWELL,JOSH",1
09:22,,,,,"SUB OUT by CLARK,DEVIAN",,,"SUB OUT by CLARK,DEVIAN",1
08:59,,,,,"MISS 3PTR by PALMER,NATHAN",,,"MISS 3PTR by PALMER,NATHAN",1
--,"REBOUND DEF by BROWN,SETH",,,,,,,"REBOUND DEF by BROWN,SETH",1
08:45,"GOOD 3PTR by BROWN,SETH",11,,12 (+1),,SUM 11-12 (-1),,"GOOD 3PTR by BROWN,SETH",1
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
08:29,,,,,"MISS LAYUP by WILLIAMS,CAM",,,"MISS LAYUP by WILLIAMS,CAM",1
--,"REBOUND DEF by BORN,LEO",,,,,,,"REBOUND DEF by BORN,LEO",1
08:17,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
08:01,,11,,14 (+3),"GOOD LAYUP by WILLIAMS,CAM(in the paint)",TFCM 11-14 (-3),,"GOOD LAYUP by WILLIAMS,CAM(in the paint)",1
--,,,,,"ASSIST  by BARRETT,ZACH",,,"ASSIST  by BARRETT,ZACH",1
07:48,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
07:48,"SUB IN by VEAL,ROBERT",,,,,,,"SUB IN by VEAL,ROBERT",1
07:48,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
07:48,"SUB OUT by BORN,LEO",,,,,,,"SUB OUT by BORN,LEO",1
07:46,"GOOD JUMPER by WILLIAMS,JORDEN",13,,14 (+1),,SUM 13-14 (-1),,"GOOD JUMPER by WILLIAMS,JORDEN",1
07:20,,,,,"MISS LAYUP by WILLIAMS,CAM",,,"MISS LAYUP by WILLIAMS,CAM",1
07:20,"BLOCK  by VEAL,ROBERT",,,,,,,"BLOCK  by VEAL,ROBERT",1
--,,,,,"REBOUND OFF by WILLIAMS,CAM",,,"REBOUND OFF by WILLIAMS,CAM",1
07:16,,,,,"MISS LAYUP by WILLIAMS,CAM",,,"MISS LAYUP by WILLIAMS,CAM",1
07:14,"FOUL  by VEAL,ROBERT",,,,,,,"FOUL  by VEAL,ROBERT",1
--,,,,,"REBOUND OFF by FOLWELL,JOSH",,,"REBOUND OFF by FOLWELL,JOSH",1
07:14,,,,,"MISS FT by FOLWELL,JOSH",,,"MISS FT by FOLWELL,JOSH",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
07:14,,13,,15 (+2),"GOOD FT by FOLWELL,JOSH",TFCM 13-15 (-2),,"GOOD FT by FOLWELL,JOSH",1
07:14,"SUB IN by TURNER,BYRON",,,,,,,"SUB IN by TURNER,BYRON",1
07:14,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
07:14,,,,,"SUB IN by WESTFALL,DEREK",,,"SUB IN by WESTFALL,DEREK",1
07:14,,,,,"SUB OUT by BARRETT,ZACH",,,"SUB OUT by BARRETT,ZACH",1
07:11,"GOOD LAYUP by TURNER,BYRON(fastbreak)(in the paint)",15,,15,,SUM 15-15 (0),,"GOOD LAYUP by TURNER,BYRON(fastbreak)(in the paint)",1
06:46,,15,,17 (+2),"GOOD LAYUP by WESTFALL,DEREK(in the paint)",TFCM 15-17 (-2),,"GOOD LAYUP by WESTFALL,DEREK(in the paint)",1
06:39,,,,,"FOUL  by WESTFALL,DEREK",,,"FOUL  by WESTFALL,DEREK",1
06:32,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,,,,,"REBOUND DEF by FOLWELL,JOSH",,,"REBOUND DEF by FOLWELL,JOSH",1
06:13,,15,,19 (+4),"GOOD LAYUP by PALMER,NATHAN(in the paint)",TFCM 15-19 (-4),,"GOOD LAYUP by PALMER,NATHAN(in the paint)",1
05:56,"MISS LAYUP by VEAL,ROBERT",,,,,,,"MISS LAYUP by VEAL,ROBERT",1
--,"REBOUND OFF by VEAL,ROBERT",,,,,,,"REBOUND OFF by VEAL,ROBERT",1
05:54,,,,,"FOUL  by FOLWELL,JOSH",,,"FOUL  by FOLWELL,JOSH",1
05:54,"GOOD FT by VEAL,ROBERT",16,,19 (+3),,SUM 16-19 (-3),,"GOOD FT by VEAL,ROBERT",1
05:54,"GOOD FT by VEAL,ROBERT",17,,19 (+2),,SUM 17-19 (-2),,"GOOD FT by VEAL,ROBERT",1
05:54,"SUB IN by CARTER,KESHONN",,,,,,,"SUB IN by CARTER,KESHONN",1
05:54,"SUB IN by DOWNEY,WILL",,,,,,,"SUB IN by DOWNEY,WILL",1
05:54,"SUB OUT by VEAL,ROBERT",,,,,,,"SUB OUT by VEAL,ROBERT",1
05:54,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
05:54,,,,,"SUB IN by MARTIN,CLAYTON",,,"SUB IN by MARTIN,CLAYTON",1
05:54,,,,,"SUB IN by STROTHER,JOE",,,"SUB IN by STROTHER,JOE",1
05:54,,,,,"SUB IN by SAULS,JON",,,"SUB IN by SAULS,JON",1
05:54,,,,,"SUB OUT by WESTFALL,DEREK",,,"SUB OUT by WESTFALL,DEREK",1
05:54,,,,,"SUB OUT by WILLIAMS,CAM",,,"SUB OUT by WILLIAMS,CAM",1
05:49,,,,,"MISS LAYUP by FOLWELL,JOSH",,,"MISS LAYUP by FOLWELL,JOSH",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
05:47,,,,,"SUB OUT by BARRETT,JOSH",,,"SUB OUT by BARRETT,JOSH",1
05:44,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
05:43,,,,,"STEAL  by PALMER,NATHAN",,,"STEAL  by PALMER,NATHAN",1
05:41,,,,,"TURNOVER  by PALMER,NATHAN",,,"TURNOVER  by PALMER,NATHAN",1
05:38,"STEAL  by DOWNEY,WILL",,,,,,,"STEAL  by DOWNEY,WILL",1
05:25,"GOOD LAYUP by DOWNEY,WILL(fastbreak)(in the paint)",19,,19,,SUM 19-19 (0),,"GOOD LAYUP by DOWNEY,WILL(fastbreak)(in the paint)",1
05:15,,,,,"TURNOVER  by STROTHER,JOE",,,"TURNOVER  by STROTHER,JOE",1
05:13,"STEAL  by WILLIAMS,JORDEN",,,,,,,"STEAL  by WILLIAMS,JORDEN",1
05:11,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
05:10,,,,,"STEAL  by STROTHER,JOE",,,"STEAL  by STROTHER,JOE",1
05:08,,,,,"MISS 3PTR by SAULS,JON",,,"MISS 3PTR by SAULS,JON",1
--,"REBOUND DEF by CARTER,KESHONN",,,,,,,"REBOUND DEF by CARTER,KESHONN",1
04:46,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",1
