Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,OTT,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",2
14:47,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",2
--,,,,,"REBOUND DEF by BRADLEY,ANDRE",,,"REBOUND DEF by BRADLEY,ANDRE",2
14:33,,52 (+3),,49,"GOOD 3PTR by BRADLEY,ANDRE",OTT 52-49 (+3),,"GOOD 3PTR by BRADLEY,ANDRE",2
14:08,"GOOD JUMPER by GRIFFIN,JAROD(in the paint)",54 (+5),,49,,CENTRE-M 54-49 (+5),,"GOOD JUMPER by GRIFFIN,JAROD(in the paint)",2
13:42,,,,,"MISS JUMPER by DENNISON,HUNTER",,,"MISS JUMPER by DENNISON,HUNTER",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
13:30,"GOOD JUMPER by RAKES,BAILEY",56 (+7),,49,,CENTRE-M 56-49 (+7),,"GOOD JUMPER by RAKES,BAILEY",2
13:14,,56 (+5),,51,"GOOD LAYUP by CARTER,JUSTIN(in the paint)",OTT 56-51 (+5),,"GOOD LAYUP by CARTER,JUSTIN(in the paint)",2
13:14,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
13:11,,56 (+4),,52,"GOOD FT by CARTER,JUSTIN",OTT 56-52 (+4),,"GOOD FT by CARTER,JUSTIN",2
13:11,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",2
13:11,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
13:11,,,,,"SUB IN by ANDERS,EDDIE",,,"SUB IN by ANDERS,EDDIE",2
13:11,,,,,"SUB IN by HOWARD,COREY",,,"SUB IN by HOWARD,COREY",2
13:11,,,,,"SUB IN by WATSON,GABE",,,"SUB IN by WATSON,GABE",2
13:11,,,,,"SUB OUT by KOONTZ,NICK",,,"SUB OUT by KOONTZ,NICK",2
13:11,,,,,"SUB OUT by DENNISON,HUNTER",,,"SUB OUT by DENNISON,HUNTER",2
13:11,,,,,"SUB OUT by BRADLEY,ANDRE",,,"SUB OUT by BRADLEY,ANDRE",2
12:49,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by CARTER,JUSTIN",,,"REBOUND DEF by CARTER,JUSTIN",2
12:38,,56 (+2),,54,"GOOD LAYUP by WATSON,GABE(in the paint)",OTT 56-54 (+2),,"GOOD LAYUP by WATSON,GABE(in the paint)",2
11:55,"GOOD 3PTR by BATES,JACOB",59 (+5),,54,,CENTRE-M 59-54 (+5),,"GOOD 3PTR by BATES,JACOB",2
11:42,,59 (+2),,57,"GOOD 3PTR by HOWARD,COREY",OTT 59-57 (+2),,"GOOD 3PTR by HOWARD,COREY",2
--,,,,,"ASSIST  by ANDERS,EDDIE",,,"ASSIST  by ANDERS,EDDIE",2
11:24,,,,,"FOUL  by CARTER,JUSTIN",,,"FOUL  by CARTER,JUSTIN",2
11:24,"GOOD FT by BATES,JACOB",60 (+3),,57,,CENTRE-M 60-57 (+3),,"GOOD FT by BATES,JACOB",2
11:24,"GOOD FT by BATES,JACOB",61 (+4),,57,,CENTRE-M 61-57 (+4),,"GOOD FT by BATES,JACOB",2
11:24,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",2
11:24,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",2
11:24,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
11:24,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",2
10:56,,,,,"MISS 3PTR by WATSON,GABE",,,"MISS 3PTR by WATSON,GABE",2
--,,,,,"REBOUND OFF by HUGHES,MATT",,,"REBOUND OFF by HUGHES,MATT",2
10:52,,61 (+1),,60,"GOOD 3PTR by ANDERS,EDDIE",OTT 61-60 (+1),,"GOOD 3PTR by ANDERS,EDDIE",2
--,,,,,"ASSIST  by HUGHES,MATT",,,"ASSIST  by HUGHES,MATT",2
10:29,"GOOD LAYUP by BATES,JACOB(in the paint)",63 (+3),,60,,CENTRE-M 63-60 (+3),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
10:19,,63,,63,"GOOD 3PTR by ANDERS,EDDIE",OTT 63-63 (0),,"GOOD 3PTR by ANDERS,EDDIE",2
--,,,,,"ASSIST  by WATSON,GABE",,,"ASSIST  by WATSON,GABE",2
10:14,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
09:53,"GOOD 3PTR by SINE,TUCKER",66 (+3),,63,,CENTRE-M 66-63 (+3),,"GOOD 3PTR by SINE,TUCKER",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
09:33,,,,,"TURNOVER  by HOWARD,COREY",,,"TURNOVER  by HOWARD,COREY",2
09:32,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",2
09:16,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
09:16,,,,,"BLOCK  by WATSON,GABE",,,"BLOCK  by WATSON,GABE",2
--,"REBOUND OFF by GRIFFIN,JAROD",,,,,,,"REBOUND OFF by GRIFFIN,JAROD",2
09:12,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",68 (+5),,63,,CENTRE-M 68-63 (+5),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",2
09:01,,68 (+2),,66,"GOOD 3PTR by HOWARD,COREY",OTT 68-66 (+2),,"GOOD 3PTR by HOWARD,COREY",2
--,,,,,"ASSIST  by WATSON,GABE",,,"ASSIST  by WATSON,GABE",2
09:00,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
08:39,"GOOD JUMPER by BATES,JACOB(in the paint)",70 (+4),,66,,CENTRE-M 70-66 (+4),,"GOOD JUMPER by BATES,JACOB(in the paint)",2
08:27,,,,,"MISS LAYUP by WATSON,GABE",,,"MISS LAYUP by WATSON,GABE",2
08:27,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
08:23,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
08:23,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",2
08:23,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",2
08:23,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",2
08:17,,,,,"MISS 3PTR by WATSON,GABE",,,"MISS 3PTR by WATSON,GABE",2
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",2
08:02,"MISS JUMPER by CRUMP,DAWSON",,,,,,,"MISS JUMPER by CRUMP,DAWSON",2
08:01,,,,,"BLOCK  by WATSON,GABE",,,"BLOCK  by WATSON,GABE",2
--,,,,,"REBOUND DEF by HOWARD,COREY",,,"REBOUND DEF by HOWARD,COREY",2
07:51,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
07:50,,70 (+3),,67,"GOOD FT by HOWARD,COREY",OTT 70-67 (+3),,"GOOD FT by HOWARD,COREY",2
07:50,,70 (+2),,68,"GOOD FT by HOWARD,COREY",OTT 70-68 (+2),,"GOOD FT by HOWARD,COREY",2
07:50,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",2
07:50,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",2
07:50,,,,,"SUB IN by KOONTZ,NICK",,,"SUB IN by KOONTZ,NICK",2
07:50,,,,,"SUB OUT by ANDERS,EDDIE",,,"SUB OUT by ANDERS,EDDIE",2
07:38,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by CARTER,JUSTIN",,,"REBOUND DEF by CARTER,JUSTIN",2
07:13,,,,,"MISS JUMPER by KOONTZ,NICK",,,"MISS JUMPER by KOONTZ,NICK",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
06:52,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",2
--,,,,,"REBOUND DEF by HOWARD,COREY",,,"REBOUND DEF by HOWARD,COREY",2
06:49,,,,,"SUB IN by HOWARD,MICHAEL",,,"SUB IN by HOWARD,MICHAEL",2
06:49,,,,,"SUB OUT by HUGHES,MATT",,,"SUB OUT by HUGHES,MATT",2
06:34,,,,,"FOUL  by HOWARD,MICHAEL",,,"FOUL  by HOWARD,MICHAEL",2
06:17,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",2
06:17,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",2
06:17,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
06:17,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
05:56,,70,,70,"GOOD JUMPER by HOWARD,COREY",OTT 70-70 (0),,"GOOD JUMPER by HOWARD,COREY",2
05:31,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",2
--,,,,,"REBOUND DEF by HOWARD,COREY",,,"REBOUND DEF by HOWARD,COREY",2
05:17,,,,,"MISS LAYUP by HOWARD,MICHAEL",,,"MISS LAYUP by HOWARD,MICHAEL",2
--,,,,,"REBOUND OFF by CARTER,JUSTIN",,,"REBOUND OFF by CARTER,JUSTIN",2
05:14,,,,,"MISS JUMPER by CARTER,JUSTIN",,,"MISS JUMPER by CARTER,JUSTIN",2
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",2
05:02,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",2
--,,,,,"REBOUND DEF by KOONTZ,NICK",,,"REBOUND DEF by KOONTZ,NICK",2
04:42,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",2
04:42,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
04:42,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",2
04:42,,,,,"SUB IN by HUGHES,MATT",,,"SUB IN by HUGHES,MATT",2
04:42,,,,,"SUB OUT by HOWARD,MICHAEL",,,"SUB OUT by HOWARD,MICHAEL",2
04:39,,,,,"MISS 3PTR by WATSON,GABE",,,"MISS 3PTR by WATSON,GABE",2
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",2
04:14,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",2
--,,,,,"REBOUND DEF by KOONTZ,NICK",,,"REBOUND DEF by KOONTZ,NICK",2
03:48,,,,,"MISS 3PTR by HOWARD,COREY",,,"MISS 3PTR by HOWARD,COREY",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
03:21,"GOOD 3PTR by GRIFFIN,JAROD",73 (+3),,70,,CENTRE-M 73-70 (+3),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",2
03:20,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
03:04,,73 (+1),,72,"GOOD LAYUP by CARTER,JUSTIN(in the paint)",OTT 73-72 (+1),,"GOOD LAYUP by CARTER,JUSTIN(in the paint)",2
02:44,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND DEF by HUGHES,MATT",,,"REBOUND DEF by HUGHES,MATT",2
02:28,,73,,74 (+1),"GOOD LAYUP by WATSON,GABE(in the paint)",OTT 73-74 (-1),,"GOOD LAYUP by WATSON,GABE(in the paint)",2
02:28,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",2
02:27,,73,,75 (+2),"GOOD FT by WATSON,GABE",OTT 73-75 (-2),,"GOOD FT by WATSON,GABE",2
02:27,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",2
02:27,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",2
02:11,,,,,"FOUL  by KOONTZ,NICK",,,"FOUL  by KOONTZ,NICK",2
02:11,"MISS FT by AYERS,PERRY",,,,,,,"MISS FT by AYERS,PERRY",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
02:11,"GOOD FT by AYERS,PERRY",74,,75 (+1),,CENTRE-M 74-75 (-1),,"GOOD FT by AYERS,PERRY",2
01:51,,74,,77 (+3),"GOOD JUMPER by KOONTZ,NICK",OTT 74-77 (-3),,"GOOD JUMPER by KOONTZ,NICK",2
--,,,,,"ASSIST  by HOWARD,COREY",,,"ASSIST  by HOWARD,COREY",2
01:22,"GOOD LAYUP by BATES,JACOB(in the paint)",76,,77 (+1),,CENTRE-M 76-77 (-1),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
00:52,,76,,79 (+3),"GOOD LAYUP by CARTER,JUSTIN(in the paint)",OTT 76-79 (-3),,"GOOD LAYUP by CARTER,JUSTIN(in the paint)",2
--,,,,,"ASSIST  by HOWARD,COREY",,,"ASSIST  by HOWARD,COREY",2
00:41,"GOOD LAYUP by AYERS,PERRY(in the paint)",78,,79 (+1),,CENTRE-M 78-79 (-1),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
00:41,,,,,"FOUL  by KOONTZ,NICK",,,"FOUL  by KOONTZ,NICK",2
00:41,"GOOD FT by AYERS,PERRY",79,,79,,CENTRE-M 79-79 (0),,"GOOD FT by AYERS,PERRY",2
00:28,,,,,"MISS 3PTR by HOWARD,COREY",,,"MISS 3PTR by HOWARD,COREY",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
00:16,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
00:00,"GOOD JUMPER by BATES,JACOB",81 (+2),,79,,CENTRE-M 81-79 (+2),,"GOOD JUMPER by BATES,JACOB",2
