Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,OTT,Game Score,Team Indicator,Play,Period
12:28,,,,,"SUB IN by BEAVERS,MAURICE",,,"SUB IN by BEAVERS,MAURICE",1
12:28,,,,,"SUB OUT by CARTER,JUSTIN",,,"SUB OUT by CARTER,JUSTIN",1
12:28,,,,,"SUB OUT by HUGHES,MATT",,,"SUB OUT by HUGHES,MATT",1
12:18,,,,,"FOUL  by CLARK,CONNOR",,,"FOUL  by CLARK,CONNOR",1
12:18,"GOOD FT by BATES,JACOB",16,,18 (+2),,CENTRE-M 16-18 (-2),,"GOOD FT by BATES,JACOB",1
12:18,"GOOD FT by BATES,JACOB",17,,18 (+1),,CENTRE-M 17-18 (-1),,"GOOD FT by BATES,JACOB",1
12:04,,,,,"MISS 3PTR by HOWARD,COREY",,,"MISS 3PTR by HOWARD,COREY",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
11:46,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",19 (+1),,18,,CENTRE-M 19-18 (+1),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
11:25,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",1
11:21,,,,,"TURNOVER  by HOWARD,COREY",,,"TURNOVER  by HOWARD,COREY",1
11:18,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",1
10:58,"GOOD 3PTR by WALKER,ART",22 (+4),,18,,CENTRE-M 22-18 (+4),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by CRUMP,DAWSON",,,,,,,"ASSIST  by CRUMP,DAWSON",1
10:46,,,,,"FOUL  by BEAVERS,MAURICE",,,"FOUL  by BEAVERS,MAURICE",1
10:46,,,,,"TURNOVER  by BEAVERS,MAURICE",,,"TURNOVER  by BEAVERS,MAURICE",1
10:28,"GOOD LAYUP by WALKER,ART(in the paint)",24 (+6),,18,,CENTRE-M 24-18 (+6),,"GOOD LAYUP by WALKER,ART(in the paint)",1
10:14,,24 (+4),,20,"GOOD JUMPER by WATSON,GABE(in the paint)",OTT 24-20 (+4),,"GOOD JUMPER by WATSON,GABE(in the paint)",1
10:08,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by WATSON,GABE",,,"REBOUND DEF by WATSON,GABE",1
09:46,,,,,"TURNOVER  by WATSON,GABE",,,"TURNOVER  by WATSON,GABE",1
09:45,"STEAL  by GRIFFIN,JAROD",,,,,,,"STEAL  by GRIFFIN,JAROD",1
09:41,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
09:41,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
09:41,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
09:41,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
09:41,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
09:25,,,,,"MISS 3PTR by ANDERS,EDDIE",,,"MISS 3PTR by ANDERS,EDDIE",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
09:25,,,,,"FOUL  by CLARK,CONNOR",,,"FOUL  by CLARK,CONNOR",1
09:25,,,,,"SUB IN by CARTER,JUSTIN",,,"SUB IN by CARTER,JUSTIN",1
09:25,,,,,"SUB OUT by CLARK,CONNOR",,,"SUB OUT by CLARK,CONNOR",1
09:25,,,,,"SUB OUT by ANDERS,EDDIE",,,"SUB OUT by ANDERS,EDDIE",1
09:17,,,,,"SUB IN by NOSSAMAN,NICK",,,"SUB IN by NOSSAMAN,NICK",1
09:14,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",1
--,,,,,"REBOUND DEF by WATSON,GABE",,,"REBOUND DEF by WATSON,GABE",1
08:53,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
08:49,,,,,"SUB IN by DENNISON,HUNTER",,,"SUB IN by DENNISON,HUNTER",1
08:49,,,,,"SUB OUT by WATSON,GABE",,,"SUB OUT by WATSON,GABE",1
08:43,,,,,"MISS LAYUP by HOWARD,COREY",,,"MISS LAYUP by HOWARD,COREY",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
08:21,"GOOD LAYUP by BATES,JACOB(in the paint)",26 (+6),,20,,CENTRE-M 26-20 (+6),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
08:21,,,,,"FOUL  by HOWARD,COREY",,,"FOUL  by HOWARD,COREY",1
08:21,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",1
--,,,,,"REBOUND DEF by NOSSAMAN,NICK",,,"REBOUND DEF by NOSSAMAN,NICK",1
08:21,,,,,"SUB IN by KOONTZ,NICK",,,"SUB IN by KOONTZ,NICK",1
08:21,,,,,"SUB OUT by HOWARD,COREY",,,"SUB OUT by HOWARD,COREY",1
07:57,,26 (+4),,22,"GOOD LAYUP by DENNISON,HUNTER(in the paint)",OTT 26-22 (+4),,"GOOD LAYUP by DENNISON,HUNTER(in the paint)",1
07:30,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",1
07:27,"GOOD LAYUP by AYERS,PERRY(in the paint)",28 (+6),,22,,CENTRE-M 28-22 (+6),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
07:19,,28 (+4),,24,"GOOD LAYUP by DENNISON,HUNTER(in the paint)",OTT 28-24 (+4),,"GOOD LAYUP by DENNISON,HUNTER(in the paint)",1
07:06,"GOOD 3PTR by WALKER,ART",31 (+7),,24,,CENTRE-M 31-24 (+7),,"GOOD 3PTR by WALKER,ART",1
06:43,,,,,"MISS 3PTR by CARTER,JUSTIN",,,"MISS 3PTR by CARTER,JUSTIN",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
06:31,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
06:27,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
06:27,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
06:27,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
06:27,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
06:27,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
06:27,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
