Time Remaining,CARTMBB,Away Team Score,Play Team Indicator,Home Team Score,CENTMBB,Game Score,Team Indicator,Play,Period
16:07,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by LEAZER,STEVE",,,,,,,"REBOUND DEF by LEAZER,STEVE",1
15:49,"MISS JUMPER by LEAZER,STEVE",,,,,,,"MISS JUMPER by LEAZER,STEVE",1
--,"REBOUND OFF by KRUSE,BRAD",,,,,,,"REBOUND OFF by KRUSE,BRAD",1
15:45,"MISS 3PTR by THOMAS,JORDAN",,,,,,,"MISS 3PTR by THOMAS,JORDAN",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
15:45,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",1
15:45,"TURNOVER  by THOMAS,JORDAN",,,,,,,"TURNOVER  by THOMAS,JORDAN",1
15:45,"FOUL  by THOMAS,JORDAN",,,,,,,"FOUL  by THOMAS,JORDAN",1
15:45,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
15:45,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
15:45,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
15:45,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
15:30,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
15:29,"STEAL  by KRUSE,BRAD",,,,,,,"STEAL  by KRUSE,BRAD",1
15:18,"TURNOVER  by THOMAS,JORDAN",,,,,,,"TURNOVER  by THOMAS,JORDAN",1
14:56,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,"REBOUND DEF by LEAZER,STEVE",,,,,,,"REBOUND DEF by LEAZER,STEVE",1
14:34,"MISS 3PTR by THOMAS,JORDAN",,,,,,,"MISS 3PTR by THOMAS,JORDAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:34,"SUB IN by MASON,DEREK",,,,,,,"SUB IN by MASON,DEREK",1
14:34,"SUB OUT by THOMAS,JORDAN",,,,,,,"SUB OUT by THOMAS,JORDAN",1
14:04,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:04,"SUB IN by JOHNSON,SEAN",,,,,,,"SUB IN by JOHNSON,SEAN",1
14:04,"SUB OUT by PERRY,BRAD",,,,,,,"SUB OUT by PERRY,BRAD",1
13:52,"MISS 3PTR by SHASI,KAMAL",,,,,,,"MISS 3PTR by SHASI,KAMAL",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
13:36,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
13:35,"STEAL  by MASON,DEREK",,,,,,,"STEAL  by MASON,DEREK",1
13:32,"GOOD JUMPER by KRUSE,BRAD",6 (+2),,4,,CARTMBB 6-4 (-2),,"GOOD JUMPER by KRUSE,BRAD",1
--,"ASSIST  by MASON,DEREK",,,,,,,"ASSIST  by MASON,DEREK",1
13:01,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND DEF by JOHNSON,SEAN",,,,,,,"REBOUND DEF by JOHNSON,SEAN",1
12:59,"TURNOVER  by JOHNSON,SEAN",,,,,,,"TURNOVER  by JOHNSON,SEAN",1
12:58,,,,,"STEAL  by AYERS,PERRY",,,"STEAL  by AYERS,PERRY",1
12:29,,,,,"TURNOVER  by RAKES,BAILEY",,,"TURNOVER  by RAKES,BAILEY",1
12:09,"MISS JUMPER by JOHNSON,SEAN",,,,,,,"MISS JUMPER by JOHNSON,SEAN",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
12:07,"SUB IN by POLGLASE,JACOB",,,,,,,"SUB IN by POLGLASE,JACOB",1
12:07,"SUB IN by THOMAS,JORDAN",,,,,,,"SUB IN by THOMAS,JORDAN",1
12:07,"SUB OUT by LEAZER,STEVE",,,,,,,"SUB OUT by LEAZER,STEVE",1
12:07,"SUB OUT by SHASI,KAMAL",,,,,,,"SUB OUT by SHASI,KAMAL",1
12:07,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
12:07,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
12:07,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
12:07,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
12:07,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
12:07,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
12:01,,,,,"MISS 3PTR by SCHMUCKER,ZACH",,,"MISS 3PTR by SCHMUCKER,ZACH",1
--,"REBOUND DEF by POLGLASE,JACOB",,,,,,,"REBOUND DEF by POLGLASE,JACOB",1
11:45,"MISS JUMPER by KRUSE,BRAD",,,,,,,"MISS JUMPER by KRUSE,BRAD",1
--,"REBOUND OFF by KRUSE,BRAD",,,,,,,"REBOUND OFF by KRUSE,BRAD",1
11:43,"GOOD JUMPER by KRUSE,BRAD",8 (+4),,4,,CARTMBB 8-4 (-4),,"GOOD JUMPER by KRUSE,BRAD",1
11:33,"FOUL  by MASON,DEREK",,,,,,,"FOUL  by MASON,DEREK",1
11:33,"SUB IN by LEAZER,STEVE",,,,,,,"SUB IN by LEAZER,STEVE",1
11:33,"SUB OUT by KRUSE,BRAD",,,,,,,"SUB OUT by KRUSE,BRAD",1
11:33,,,,,"SUB IN by BROWNLEY,HOGAN",,,"SUB IN by BROWNLEY,HOGAN",1
11:33,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
11:20,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
10:45,"GOOD JUMPER by POLGLASE,JACOB",10 (+6),,4,,CARTMBB 10-4 (-6),,"GOOD JUMPER by POLGLASE,JACOB",1
--,"ASSIST  by LEAZER,STEVE",,,,,,,"ASSIST  by LEAZER,STEVE",1
10:30,,,,,"MISS JUMPER by CRUMP,DAWSON",,,"MISS JUMPER by CRUMP,DAWSON",1
10:30,"BLOCK  by LEAZER,STEVE",,,,,,,"BLOCK  by LEAZER,STEVE",1
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",1
10:27,,10 (+4),,6,"GOOD JUMPER by SCHMUCKER,ZACH",CENTMBB 10-6 (-4),,"GOOD JUMPER by SCHMUCKER,ZACH",1
10:13,"MISS 3PTR by POLGLASE,JACOB",,,,,,,"MISS 3PTR by POLGLASE,JACOB",1
--,"REBOUND OFF by THOMAS,JORDAN",,,,,,,"REBOUND OFF by THOMAS,JORDAN",1
10:07,"MISS JUMPER by THOMAS,JORDAN",,,,,,,"MISS JUMPER by THOMAS,JORDAN",1
--,"REBOUND OFF by THOMAS,JORDAN",,,,,,,"REBOUND OFF by THOMAS,JORDAN",1
10:04,,,,,"FOUL  by BROWNLEY,HOGAN",,,"FOUL  by BROWNLEY,HOGAN",1
10:04,"GOOD FT by THOMAS,JORDAN",11 (+5),,6,,CARTMBB 11-6 (-5),,"GOOD FT by THOMAS,JORDAN",1
10:04,"GOOD FT by THOMAS,JORDAN",12 (+6),,6,,CARTMBB 12-6 (-6),,"GOOD FT by THOMAS,JORDAN",1
10:04,"SUB IN by PERRY,BRAD",,,,,,,"SUB IN by PERRY,BRAD",1
10:04,"SUB OUT by LEAZER,STEVE",,,,,,,"SUB OUT by LEAZER,STEVE",1
10:04,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
10:04,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
10:04,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
10:04,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
09:48,,,,,"MISS JUMPER by BROWNLEY,HOGAN",,,"MISS JUMPER by BROWNLEY,HOGAN",1
--,"REBOUND DEF by POLGLASE,JACOB",,,,,,,"REBOUND DEF by POLGLASE,JACOB",1
09:25,"MISS JUMPER by MASON,DEREK",,,,,,,"MISS JUMPER by MASON,DEREK",1
--,"REBOUND OFF by PERRY,BRAD",,,,,,,"REBOUND OFF by PERRY,BRAD",1
09:22,"MISS JUMPER by PERRY,BRAD",,,,,,,"MISS JUMPER by PERRY,BRAD",1
--,"REBOUND OFF by MASON,DEREK",,,,,,,"REBOUND OFF by MASON,DEREK",1
09:19,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",1
09:19,"GOOD FT by POLGLASE,JACOB",13 (+7),,6,,CARTMBB 13-6 (-7),,"GOOD FT by POLGLASE,JACOB",1
09:19,"MISS FT by POLGLASE,JACOB",,,,,,,"MISS FT by POLGLASE,JACOB",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
08:52,,13 (+5),,8,"GOOD JUMPER by SPITZER,JAKOB",CENTMBB 13-8 (-5),,"GOOD JUMPER by SPITZER,JAKOB",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
08:49,"MISS 3PTR by POLGLASE,JACOB",,,,,,,"MISS 3PTR by POLGLASE,JACOB",1
--,"REBOUND OFF by PERRY,BRAD",,,,,,,"REBOUND OFF by PERRY,BRAD",1
08:45,"GOOD JUMPER by PERRY,BRAD",15 (+7),,8,,CARTMBB 15-8 (-7),,"GOOD JUMPER by PERRY,BRAD",1
08:26,,15 (+5),,10,"GOOD JUMPER by SINE,TUCKER",CENTMBB 15-10 (-5),,"GOOD JUMPER by SINE,TUCKER",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
08:02,"GOOD 3PTR by THOMAS,JORDAN",18 (+8),,10,,CARTMBB 18-10 (-8),,"GOOD 3PTR by THOMAS,JORDAN",1
--,"ASSIST  by MASON,DEREK",,,,,,,"ASSIST  by MASON,DEREK",1
08:00,"SUB IN by KRUSE,BRAD",,,,,,,"SUB IN by KRUSE,BRAD",1
08:00,"SUB OUT by JOHNSON,SEAN",,,,,,,"SUB OUT by JOHNSON,SEAN",1
07:41,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",1
07:41,"SUB IN by LEAZER,STEVE",,,,,,,"SUB IN by LEAZER,STEVE",1
07:41,"SUB OUT by POLGLASE,JACOB",,,,,,,"SUB OUT by POLGLASE,JACOB",1
07:41,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
07:41,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",1
07:41,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
07:41,,,,,"SUB OUT by BROWNLEY,HOGAN",,,"SUB OUT by BROWNLEY,HOGAN",1
07:33,"TURNOVER  by PERRY,BRAD",,,,,,,"TURNOVER  by PERRY,BRAD",1
07:33,"FOUL  by PERRY,BRAD",,,,,,,"FOUL  by PERRY,BRAD",1
07:33,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
07:33,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
07:08,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,"REBOUND DEF by LEAZER,STEVE",,,,,,,"REBOUND DEF by LEAZER,STEVE",1
06:46,"TURNOVER  by KRUSE,BRAD",,,,,,,"TURNOVER  by KRUSE,BRAD",1
06:46,"SUB IN by SHASI,KAMAL",,,,,,,"SUB IN by SHASI,KAMAL",1
06:46,"SUB IN by BEST,TJ",,,,,,,"SUB IN by BEST,TJ",1
06:46,"SUB OUT by MASON,DEREK",,,,,,,"SUB OUT by MASON,DEREK",1
06:46,"SUB OUT by THOMAS,JORDAN",,,,,,,"SUB OUT by THOMAS,JORDAN",1
06:32,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
06:32,"STEAL  by SHASI,KAMAL",,,,,,,"STEAL  by SHASI,KAMAL",1
06:16,"MISS JUMPER by SHASI,KAMAL",,,,,,,"MISS JUMPER by SHASI,KAMAL",1
--,"REBOUND OFF by SHASI,KAMAL",,,,,,,"REBOUND OFF by SHASI,KAMAL",1
06:08,"MISS 3PTR by KRUSE,BRAD",,,,,,,"MISS 3PTR by KRUSE,BRAD",1
--,"REBOUND OFF by SHASI,KAMAL",,,,,,,"REBOUND OFF by SHASI,KAMAL",1
06:00,,,,,"FOUL  by GRIFFIN,JAROD",,,"FOUL  by GRIFFIN,JAROD",1
06:00,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
06:00,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",1
05:43,"GOOD JUMPER by PERRY,BRAD",20 (+10),,10,,CARTMBB 20-10 (-10),,"GOOD JUMPER by PERRY,BRAD",1
--,"ASSIST  by KRUSE,BRAD",,,,,,,"ASSIST  by KRUSE,BRAD",1
05:20,"FOUL  by BEST,TJ",,,,,,,"FOUL  by BEST,TJ",1
05:20,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
05:20,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
05:11,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by SHASI,KAMAL",,,,,,,"REBOUND DEF by SHASI,KAMAL",1
04:46,"MISS 3PTR by LEAZER,STEVE",,,,,,,"MISS 3PTR by LEAZER,STEVE",1
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",1
04:39,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
04:39,"SUB IN by KASTRATOVIC,D",,,,,,,"SUB IN by KASTRATOVIC,D",1
04:39,"SUB OUT by PERRY,BRAD",,,,,,,"SUB OUT by PERRY,BRAD",1
04:26,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",1
04:26,,,,,"SUB IN by WEST,CHRIS",,,"SUB IN by WEST,CHRIS",1
04:26,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
04:22,"MISS 3PTR by BEST,TJ",,,,,,,"MISS 3PTR by BEST,TJ",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
04:11,"FOUL  by LEAZER,STEVE",,,,,,,"FOUL  by LEAZER,STEVE",1
04:11,,20 (+9),,11,"GOOD FT by WALKER,ART",CENTMBB 20-11 (-9),,"GOOD FT by WALKER,ART",1
04:11,,20 (+8),,12,"GOOD FT by WALKER,ART",CENTMBB 20-12 (-8),,"GOOD FT by WALKER,ART",1
03:55,"GOOD JUMPER by KRUSE,BRAD",22 (+10),,12,,CARTMBB 22-12 (-10),,"GOOD JUMPER by KRUSE,BRAD",1
03:37,,22 (+7),,15,"GOOD 3PTR by RAKES,BAILEY",CENTMBB 22-15 (-7),,"GOOD 3PTR by RAKES,BAILEY",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
03:11,"MISS 3PTR by LEAZER,STEVE",,,,,,,"MISS 3PTR by LEAZER,STEVE",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
02:57,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",1
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",1
02:42,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,"REBOUND OFF by RAKES,BAILEY",,,"REBOUND OFF by RAKES,BAILEY",1
02:23,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND DEF by LEAZER,STEVE",,,,,,,"REBOUND DEF by LEAZER,STEVE",1
02:21,"SUB IN by JOHNSON,SEAN",,,,,,,"SUB IN by JOHNSON,SEAN",1
02:21,"SUB IN by MASON,DEREK",,,,,,,"SUB IN by MASON,DEREK",1
02:21,"SUB OUT by KASTRATOVIC,D",,,,,,,"SUB OUT by KASTRATOVIC,D",1
02:21,"SUB OUT by BEST,TJ",,,,,,,"SUB OUT by BEST,TJ",1
02:21,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
02:21,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
01:54,"GOOD 3PTR by MASON,DEREK",25 (+10),,15,,CARTMBB 25-15 (-10),,"GOOD 3PTR by MASON,DEREK",1
--,"ASSIST  by LEAZER,STEVE",,,,,,,"ASSIST  by LEAZER,STEVE",1
01:27,,25 (+8),,17,"GOOD JUMPER by SPITZER,JAKOB",CENTMBB 25-17 (-8),,"GOOD JUMPER by SPITZER,JAKOB",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
01:11,"MISS JUMPER by KRUSE,BRAD",,,,,,,"MISS JUMPER by KRUSE,BRAD",1
01:11,,,,,"BLOCK  by SPITZER,JAKOB",,,"BLOCK  by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
01:02,,25 (+6),,19,"GOOD JUMPER by SINE,TUCKER",CENTMBB 25-19 (-6),,"GOOD JUMPER by SINE,TUCKER",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
00:36,"MISS 3PTR by SHASI,KAMAL",,,,,,,"MISS 3PTR by SHASI,KAMAL",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
00:06,,,,,"MISS 3PTR by WEST,CHRIS",,,"MISS 3PTR by WEST,CHRIS",1
--,"REBOUND DEF by JOHNSON,SEAN",,,,,,,"REBOUND DEF by JOHNSON,SEAN",1
00:00,"MISS 3PTR by LEAZER,STEVE",,,,,,,"MISS 3PTR by LEAZER,STEVE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
19:44,,,,,"MISS JUMPER by SPITZER,JAKOB",,,"MISS JUMPER by SPITZER,JAKOB",2
--,"REBOUND DEF by THOMAS,JORDAN",,,,,,,"REBOUND DEF by THOMAS,JORDAN",2
19:18,"GOOD JUMPER by PERRY,BRAD",27 (+8),,19,,CARTMBB 27-19 (-8),,"GOOD JUMPER by PERRY,BRAD",2
--,"ASSIST  by SHASI,KAMAL",,,,,,,"ASSIST  by SHASI,KAMAL",2
19:05,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
19:05,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",2
18:55,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",2
18:55,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
18:55,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
18:34,"MISS JUMPER by PERRY,BRAD",,,,,,,"MISS JUMPER by PERRY,BRAD",2
--,"REBOUND OFF by KRUSE,BRAD",,,,,,,"REBOUND OFF by KRUSE,BRAD",2
18:28,,,,,"FOUL  by SCHMUCKER,ZACH",,,"FOUL  by SCHMUCKER,ZACH",2
18:13,,,,,"BLOCK  by WALKER,ART",,,"BLOCK  by WALKER,ART",2
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",2
18:04,,27 (+6),,21,"GOOD JUMPER by AYERS,PERRY",CENTMBB 27-21 (-6),,"GOOD JUMPER by AYERS,PERRY",2
17:37,"GOOD JUMPER by KRUSE,BRAD",29 (+8),,21,,CARTMBB 29-21 (-8),,"GOOD JUMPER by KRUSE,BRAD",2
17:31,"FOUL  by KRUSE,BRAD",,,,,,,"FOUL  by KRUSE,BRAD",2
17:12,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",2
--,"REBOUND DEF by PERRY,BRAD",,,,,,,"REBOUND DEF by PERRY,BRAD",2
16:44,"GOOD JUMPER by THOMAS,JORDAN",31 (+10),,21,,CARTMBB 31-21 (-10),,"GOOD JUMPER by THOMAS,JORDAN",2
16:27,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",2
16:27,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",2
16:11,"MISS JUMPER by PERRY,BRAD",,,,,,,"MISS JUMPER by PERRY,BRAD",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
15:58,"GOOD 3PTR by SHASI,KAMAL",34 (+13),,21,,CARTMBB 34-21 (-13),,"GOOD 3PTR by SHASI,KAMAL",2
--,"ASSIST  by THOMAS,JORDAN",,,,,,,"ASSIST  by THOMAS,JORDAN",2
15:31,,34 (+10),,24,"GOOD 3PTR by SINE,TUCKER",CENTMBB 34-24 (-10),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
15:11,"GOOD JUMPER by PERRY,BRAD",36 (+12),,24,,CARTMBB 36-24 (-12),,"GOOD JUMPER by PERRY,BRAD",2
--,"ASSIST  by THOMAS,JORDAN",,,,,,,"ASSIST  by THOMAS,JORDAN",2
14:54,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND DEF by THOMAS,JORDAN",,,,,,,"REBOUND DEF by THOMAS,JORDAN",2
14:38,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",2
14:38,"GOOD FT by THOMAS,JORDAN",37 (+13),,24,,CARTMBB 37-24 (-13),,"GOOD FT by THOMAS,JORDAN",2
14:38,"GOOD FT by THOMAS,JORDAN",38 (+14),,24,,CARTMBB 38-24 (-14),,"GOOD FT by THOMAS,JORDAN",2
14:38,"SUB IN by MASON,DEREK",,,,,,,"SUB IN by MASON,DEREK",2
14:38,"SUB IN by POLGLASE,JACOB",,,,,,,"SUB IN by POLGLASE,JACOB",2
14:38,"SUB OUT by THOMAS,JORDAN",,,,,,,"SUB OUT by THOMAS,JORDAN",2
14:38,"SUB OUT by LEAZER,STEVE",,,,,,,"SUB OUT by LEAZER,STEVE",2
14:38,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
14:38,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
14:38,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
14:38,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
14:21,,38 (+12),,26,"GOOD JUMPER by AYERS,PERRY",CENTMBB 38-26 (-12),,"GOOD JUMPER by AYERS,PERRY",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
14:13,"TURNOVER  by SHASI,KAMAL",,,,,,,"TURNOVER  by SHASI,KAMAL",2
14:11,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",2
14:09,"FOUL  by SHASI,KAMAL",,,,,,,"FOUL  by SHASI,KAMAL",2
