Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
19:42,"GOOD JUMPER by SPITZER,JAKOB",2 (+2),,0,,CENTRE-M 2-0 (+2),,"GOOD JUMPER by SPITZER,JAKOB",1
19:25,,2,,2,"GOOD LAYUP by SMITH,PRESTON(in the paint)",HXM 2-2 (0),,"GOOD LAYUP by SMITH,PRESTON(in the paint)",1
--,,,,,"ASSIST  by LINK,JACOB",,,"ASSIST  by LINK,JACOB",1
19:07,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
18:49,,,,,"MISS 3PTR by LINK,JACOB",,,"MISS 3PTR by LINK,JACOB",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
18:45,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",1
18:26,,,,,"FOUL  by HALL,MARCIS",,,"FOUL  by HALL,MARCIS",1
18:26,"GOOD FT by AYERS,PERRY",3 (+1),,2,,CENTRE-M 3-2 (+1),,"GOOD FT by AYERS,PERRY",1
18:26,"GOOD FT by AYERS,PERRY",4 (+2),,2,,CENTRE-M 4-2 (+2),,"GOOD FT by AYERS,PERRY",1
18:13,,,,,"MISS JUMPER by HALL,MARCIS",,,"MISS JUMPER by HALL,MARCIS",1
--,,,,,"REBOUND OFF by HALL,MARCIS",,,"REBOUND OFF by HALL,MARCIS",1
18:09,,4,,4,"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 4-4 (0),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
18:09,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
18:09,,,,,"MISS FT by HALL,MARCIS",,,"MISS FT by HALL,MARCIS",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
17:49,"GOOD LAYUP by SINE,TUCKER(in the paint)",6 (+2),,4,,CENTRE-M 6-4 (+2),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
17:32,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
17:32,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
17:32,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
17:30,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
17:30,,6 (+1),,5,"GOOD FT by LINK,JACOB",HXM 6-5 (+1),,"GOOD FT by LINK,JACOB",1
17:30,,6,,6,"GOOD FT by LINK,JACOB",HXM 6-6 (0),,"GOOD FT by LINK,JACOB",1
17:16,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND DEF by CRISWELL,SEAN",,,"REBOUND DEF by CRISWELL,SEAN",1
17:02,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
16:47,"GOOD JUMPER by AYERS,PERRY",8 (+2),,6,,CENTRE-M 8-6 (+2),,"GOOD JUMPER by AYERS,PERRY",1
--,"ASSIST  by WALKER,ART",,,,,,,"ASSIST  by WALKER,ART",1
16:25,,8,,9 (+1),"GOOD 3PTR by BRASFIELD,KAM",HXM 8-9 (-1),,"GOOD 3PTR by BRASFIELD,KAM",1
16:05,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
16:04,,,,,"STEAL  by CRISWELL,SEAN",,,"STEAL  by CRISWELL,SEAN",1
16:01,,8,,11 (+3),"GOOD LAYUP by CRISWELL,SEAN(fastbreak)(in the paint)",HXM 8-11 (-3),,"GOOD LAYUP by CRISWELL,SEAN(fastbreak)(in the paint)",1
15:46,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
15:40,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
15:40,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:40,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
15:40,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
15:40,,,,,"SUB IN by FISHER,ELI",,,"SUB IN by FISHER,ELI",1
15:40,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
15:32,,,,,"MISS LAYUP by BRASFIELD,KAM",,,"MISS LAYUP by BRASFIELD,KAM",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
15:20,"FOUL  by BATES,JACOB",,,,,,,"FOUL  by BATES,JACOB",1
15:20,,8,,12 (+4),"GOOD FT by HALL,MARCIS",HXM 8-12 (-4),,"GOOD FT by HALL,MARCIS",1
15:20,,8,,13 (+5),"GOOD FT by HALL,MARCIS",HXM 8-13 (-5),,"GOOD FT by HALL,MARCIS",1
15:07,"GOOD 3PTR by WALKER,ART",11,,13 (+2),,CENTRE-M 11-13 (-2),,"GOOD 3PTR by WALKER,ART",1
14:49,,,,,"MISS LAYUP by LINK,JACOB",,,"MISS LAYUP by LINK,JACOB",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
14:31,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,,,,,"REBOUND DEF by HALL,MARCIS",,,"REBOUND DEF by HALL,MARCIS",1
14:19,,11,,15 (+4),"GOOD LAYUP by BRASFIELD,KAM(in the paint)",HXM 11-15 (-4),,"GOOD LAYUP by BRASFIELD,KAM(in the paint)",1
14:01,"GOOD LAYUP by RAKES,BAILEY(in the paint)",13,,15 (+2),,CENTRE-M 13-15 (-2),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
13:51,,,,,"TURNOVER  by SMITH,PRESTON",,,"TURNOVER  by SMITH,PRESTON",1
13:51,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
13:51,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
13:51,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
13:51,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
13:35,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:32,"FOUL  by SCHMUCKER,ZACH",,,,,,,"FOUL  by SCHMUCKER,ZACH",1
13:32,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:32,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
13:32,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
13:26,"GOOD DUNK by BATES,JACOB(in the paint)",15,,15,,CENTRE-M 15-15 (0),,"GOOD DUNK by BATES,JACOB(in the paint)",1
13:02,,,,,"MISS JUMPER by LINK,JACOB",,,"MISS JUMPER by LINK,JACOB",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
12:48,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
12:38,,15,,17 (+2),"GOOD LAYUP by HALL,MARCIS(in the paint)",HXM 15-17 (-2),,"GOOD LAYUP by HALL,MARCIS(in the paint)",1
--,,,,,"ASSIST  by BRASFIELD,KAM",,,"ASSIST  by BRASFIELD,KAM",1
12:20,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,"REBOUND DEF by LINK,JACOB",,,"REBOUND DEF by LINK,JACOB",1
12:12,,,,,"MISS JUMPER by BRASFIELD,KAM",,,"MISS JUMPER by BRASFIELD,KAM",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
12:01,"MISS LAYUP by SCHMUCKER,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER,ZACH",1
