Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,FCMBB,Game Score,Team Indicator,Play,Period
17:14,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",1
17:05,,,,,"MISS LAYUP by BEINEKE,JOHN",,,"MISS LAYUP by BEINEKE,JOHN",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
16:57,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",1
16:57,,,,,"BLOCK  by GUTIERREZ,SAM",,,"BLOCK  by GUTIERREZ,SAM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
16:45,,4,,4,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",FCMBB 4-4 (0),,"GOOD LAYUP by BEINEKE,JOHN(in the paint)",1
--,,,,,"ASSIST  by ANDERSON,JORDAN",,,"ASSIST  by ANDERSON,JORDAN",1
16:16,,,,,"FOUL  by BEINEKE,JOHN",,,"FOUL  by BEINEKE,JOHN",1
16:16,"MISS FT by SPITZER,JAKOB",,,,,,,"MISS FT by SPITZER,JAKOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:16,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
16:16,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
16:08,"MISS FT by SPITZER,JAKOB",,,,,,,"MISS FT by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by BEINEKE,JOHN",,,"REBOUND DEF by BEINEKE,JOHN",1
15:59,,4,,6 (+2),"GOOD JUMPER by GOGGANS,DANNY",FCMBB 4-6 (-2),,"GOOD JUMPER by GOGGANS,DANNY",1
15:41,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
15:40,,,,,"STEAL  by ANDERSON,JORDAN",,,"STEAL  by ANDERSON,JORDAN",1
15:27,,4,,8 (+4),"GOOD JUMPER by BEINEKE,JOHN",FCMBB 4-8 (-4),,"GOOD JUMPER by BEINEKE,JOHN",1
15:09,,,,,"FOUL  by GUTIERREZ,SAM",,,"FOUL  by GUTIERREZ,SAM",1
14:56,,,,,"SUB IN by KENNEDY,BORDEN",,,"SUB IN by KENNEDY,BORDEN",1
14:56,,,,,"SUB OUT by GUTIERREZ,SAM",,,"SUB OUT by GUTIERREZ,SAM",1
14:47,"MISS JUMPER by BATES,JACOB",,,,,,,"MISS JUMPER by BATES,JACOB",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
14:40,"GOOD LAYUP by BATES,JACOB(in the paint)",6,,8 (+2),,CENTRE-M 6-8 (-2),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
14:26,,6,,11 (+5),"GOOD 3PTR by ANDERSON,JORDAN",FCMBB 6-11 (-5),,"GOOD 3PTR by ANDERSON,JORDAN",1
--,,,,,"ASSIST  by BEINEKE,JOHN",,,"ASSIST  by BEINEKE,JOHN",1
14:22,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
14:22,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
14:01,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND DEF by GOGGANS,DANNY",,,"REBOUND DEF by GOGGANS,DANNY",1
13:36,,,,,"MISS LAYUP by GOGGANS,DANNY",,,"MISS LAYUP by GOGGANS,DANNY",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:32,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",1
13:32,,6,,12 (+6),"GOOD FT by ANDERSON,JORDAN",FCMBB 6-12 (-6),,"GOOD FT by ANDERSON,JORDAN",1
13:32,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
13:32,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
13:32,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
13:32,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
13:32,,,,,"SUB IN by MEYER,KYLE",,,"SUB IN by MEYER,KYLE",1
13:32,,,,,"SUB IN by ROBERTSON,BRAXTON",,,"SUB IN by ROBERTSON,BRAXTON",1
13:32,,,,,"SUB OUT by BEINEKE,JOHN",,,"SUB OUT by BEINEKE,JOHN",1
13:32,,,,,"SUB OUT by GOGGANS,DANNY",,,"SUB OUT by GOGGANS,DANNY",1
13:30,,6,,13 (+7),"GOOD FT by ANDERSON,JORDAN",FCMBB 6-13 (-7),,"GOOD FT by ANDERSON,JORDAN",1
13:16,"GOOD JUMPER by SINE,TUCKER",8,,13 (+5),,CENTRE-M 8-13 (-5),,"GOOD JUMPER by SINE,TUCKER",1
12:47,,,,,"MISS JUMPER by KENNEDY,BORDEN",,,"MISS JUMPER by KENNEDY,BORDEN",1
12:47,"BLOCK  by BATES,JACOB",,,,,,,"BLOCK  by BATES,JACOB",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
12:41,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by GOGGANS,DANNY",,,"REBOUND DEF by GOGGANS,DANNY",1
12:19,"GOOD LAYUP by SINE,TUCKER(in the paint)",10,,13 (+3),,CENTRE-M 10-13 (-3),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
12:10,,,,,"TURNOVER  by MORRIS,KALE",,,"TURNOVER  by MORRIS,KALE",1
12:08,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",1
12:06,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",12,,13 (+1),,CENTRE-M 12-13 (-1),,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",1
11:51,,,,,"TURNOVER  by ROBERTSON,BRAXTON",,,"TURNOVER  by ROBERTSON,BRAXTON",1
11:48,"STEAL  by SINE,TUCKER",,,,,,,"STEAL  by SINE,TUCKER",1
11:46,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",14 (+1),,13,,CENTRE-M 14-13 (+1),,"GOOD LAYUP by SINE,TUCKER(fastbreak)(in the paint)",1
11:46,,,,,"FOUL  by ROBERTSON,BRAXTON",,,"FOUL  by ROBERTSON,BRAXTON",1
11:46,"GOOD FT by SINE,TUCKER",15 (+2),,13,,CENTRE-M 15-13 (+2),,"GOOD FT by SINE,TUCKER",1
11:46,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
11:46,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
11:46,,,,,"SUB IN by GOGGANS,DANNY",,,"SUB IN by GOGGANS,DANNY",1
11:46,,,,,"SUB IN by JONES,ISMAIL",,,"SUB IN by JONES,ISMAIL",1
11:46,,,,,"SUB OUT by ROBERTSON,BRAXTON",,,"SUB OUT by ROBERTSON,BRAXTON",1
11:46,,,,,"SUB OUT by KENNEDY,BORDEN",,,"SUB OUT by KENNEDY,BORDEN",1
11:29,,15,,15,"GOOD JUMPER by MEYER,KYLE(in the paint)",FCMBB 15-15 (0),,"GOOD JUMPER by MEYER,KYLE(in the paint)",1
--,,,,,"ASSIST  by ANDERSON,JORDAN",,,"ASSIST  by ANDERSON,JORDAN",1
11:16,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by MEYER,KYLE",,,"REBOUND DEF by MEYER,KYLE",1
10:49,,,,,"MISS JUMPER by MORRIS,KALE",,,"MISS JUMPER by MORRIS,KALE",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
10:33,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
10:26,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",17 (+2),,15,,CENTRE-M 17-15 (+2),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",1
10:21,,,,,"TURNOVER  by GOGGANS,DANNY",,,"TURNOVER  by GOGGANS,DANNY",1
10:20,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",1
10:16,"GOOD 3PTR by WALKER,ART",20 (+5),,15,,CENTRE-M 20-15 (+5),,"GOOD 3PTR by WALKER,ART",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
10:12,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
10:12,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
10:12,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
10:12,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
10:12,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
10:01,,,,,"TURNOVER  by JONES,ISMAIL",,,"TURNOVER  by JONES,ISMAIL",1
09:59,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",1
09:46,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
09:45,,,,,"STEAL  by GOGGANS,DANNY",,,"STEAL  by GOGGANS,DANNY",1
09:44,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
09:32,,,,,"MISS JUMPER by ANDERSON,JORDAN",,,"MISS JUMPER by ANDERSON,JORDAN",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
09:10,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by MEYER,KYLE",,,"REBOUND DEF by MEYER,KYLE",1
09:02,,,,,"MISS LAYUP by ANDERSON,JORDAN",,,"MISS LAYUP by ANDERSON,JORDAN",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
08:48,"GOOD LAYUP by RAKES,BAILEY(in the paint)",22 (+7),,15,,CENTRE-M 22-15 (+7),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
08:25,,,,,"MISS 3PTR by MORRIS,KALE",,,"MISS 3PTR by MORRIS,KALE",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
08:06,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",24 (+9),,15,,CENTRE-M 24-15 (+9),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
07:47,,,,,"MISS JUMPER by JONES,ISMAIL",,,"MISS JUMPER by JONES,ISMAIL",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
07:38,,,,,"FOUL  by MEYER,KYLE",,,"FOUL  by MEYER,KYLE",1
07:38,"GOOD FT by RAKES,BAILEY",25 (+10),,15,,CENTRE-M 25-15 (+10),,"GOOD FT by RAKES,BAILEY",1
07:38,"GOOD FT by RAKES,BAILEY",26 (+11),,15,,CENTRE-M 26-15 (+11),,"GOOD FT by RAKES,BAILEY",1
07:38,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",1
07:38,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
07:38,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
07:38,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
07:38,,,,,"SUB IN by KING,CAMERON",,,"SUB IN by KING,CAMERON",1
07:38,,,,,"SUB IN by BEINEKE,JOHN",,,"SUB IN by BEINEKE,JOHN",1
07:38,,,,,"SUB IN by KENNEDY,BORDEN",,,"SUB IN by KENNEDY,BORDEN",1
07:38,,,,,"SUB IN by DEHAVEN,HUNTER",,,"SUB IN by DEHAVEN,HUNTER",1
07:38,,,,,"SUB IN by FELLING,ATTICUS",,,"SUB IN by FELLING,ATTICUS",1
07:38,,,,,"SUB OUT by MEYER,KYLE",,,"SUB OUT by MEYER,KYLE",1
07:38,,,,,"SUB OUT by GOGGANS,DANNY",,,"SUB OUT by GOGGANS,DANNY",1
07:38,,,,,"SUB OUT by JONES,ISMAIL",,,"SUB OUT by JONES,ISMAIL",1
07:38,,,,,"SUB OUT by MORRIS,KALE",,,"SUB OUT by MORRIS,KALE",1
07:38,,,,,"SUB OUT by ANDERSON,JORDAN",,,"SUB OUT by ANDERSON,JORDAN",1
07:18,,,,,"MISS 3PTR by KING,CAMERON",,,"MISS 3PTR by KING,CAMERON",1
--,"REBOUND DEF by BROWNLEY,HOGAN",,,,,,,"REBOUND DEF by BROWNLEY,HOGAN",1
07:05,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
06:47,,,,,"MISS 3PTR by FELLING,ATTICUS",,,"MISS 3PTR by FELLING,ATTICUS",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:43,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
06:43,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
06:26,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",1
06:18,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
06:18,,26 (+10),,16,"GOOD FT by BEINEKE,JOHN",FCMBB 26-16 (+10),,"GOOD FT by BEINEKE,JOHN",1
06:18,,,,,"MISS FT by BEINEKE,JOHN",,,"MISS FT by BEINEKE,JOHN",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
06:18,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
06:18,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
06:18,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",1
06:18,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
05:58,"MISS LAYUP by WALKER,ART",,,,,,,"MISS LAYUP by WALKER,ART",1
--,,,,,"REBOUND DEF by DEHAVEN,HUNTER",,,"REBOUND DEF by DEHAVEN,HUNTER",1
05:50,,,,,"MISS LAYUP by DEHAVEN,HUNTER",,,"MISS LAYUP by DEHAVEN,HUNTER",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
05:41,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",1
05:15,,26 (+7),,19,"GOOD 3PTR by BEINEKE,JOHN",FCMBB 26-19 (+7),,"GOOD 3PTR by BEINEKE,JOHN",1
--,,,,,"ASSIST  by KING,CAMERON",,,"ASSIST  by KING,CAMERON",1
04:45,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND DEF by KING,CAMERON",,,"REBOUND DEF by KING,CAMERON",1
04:33,,,,,"MISS JUMPER by FELLING,ATTICUS",,,"MISS JUMPER by FELLING,ATTICUS",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
04:25,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",1
04:20,"GOOD LAYUP by AYERS,PERRY(in the paint)",28 (+9),,19,,CENTRE-M 28-19 (+9),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
04:05,,,,,"MISS 3PTR by KENNEDY,BORDEN",,,"MISS 3PTR by KENNEDY,BORDEN",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
03:55,,,,,"FOUL  by BEINEKE,JOHN",,,"FOUL  by BEINEKE,JOHN",1
03:55,"GOOD FT by BATES,JACOB",29 (+10),,19,,CENTRE-M 29-19 (+10),,"GOOD FT by BATES,JACOB",1
03:55,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:55,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
03:55,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
03:55,,,,,"SUB IN by ANDERSON,JORDAN",,,"SUB IN by ANDERSON,JORDAN",1
03:55,,,,,"SUB IN by MEYER,KYLE",,,"SUB IN by MEYER,KYLE",1
03:55,,,,,"SUB OUT by BEINEKE,JOHN",,,"SUB OUT by BEINEKE,JOHN",1
03:55,,,,,"SUB OUT by FELLING,ATTICUS",,,"SUB OUT by FELLING,ATTICUS",1
03:47,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
03:47,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
03:41,,,,,"MISS JUMPER by MEYER,KYLE",,,"MISS JUMPER by MEYER,KYLE",1
--,"REBOUND DEF by SCHMUCKER,ZACH",,,,,,,"REBOUND DEF by SCHMUCKER,ZACH",1
03:30,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by DEHAVEN,HUNTER",,,"REBOUND DEF by DEHAVEN,HUNTER",1
02:58,,,,,"MISS LAYUP by DEHAVEN,HUNTER",,,"MISS LAYUP by DEHAVEN,HUNTER",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
02:51,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",31 (+12),,19,,CENTRE-M 31-19 (+12),,"GOOD LAYUP by WALKER,ART(fastbreak)(in the paint)",1
02:33,,31 (+10),,21,"GOOD JUMPER by KENNEDY,BORDEN(in the paint)",FCMBB 31-21 (+10),,"GOOD JUMPER by KENNEDY,BORDEN(in the paint)",1
02:18,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
--,,,,,"REBOUND DEF by KENNEDY,BORDEN",,,"REBOUND DEF by KENNEDY,BORDEN",1
02:00,,,,,"TURNOVER  by ANDERSON,JORDAN",,,"TURNOVER  by ANDERSON,JORDAN",1
01:58,,,,,"SUB IN by GOGGANS,DANNY",,,"SUB IN by GOGGANS,DANNY",1
01:58,,,,,"SUB OUT by DEHAVEN,HUNTER",,,"SUB OUT by DEHAVEN,HUNTER",1
01:39,"MISS JUMPER by SCHMUCKER,ZACH",,,,,,,"MISS JUMPER by SCHMUCKER,ZACH",1
--,,,,,"REBOUND DEF by MEYER,KYLE",,,"REBOUND DEF by MEYER,KYLE",1
01:28,,,,,"TURNOVER  by ANDERSON,JORDAN",,,"TURNOVER  by ANDERSON,JORDAN",1
01:28,,,,,"FOUL  by ANDERSON,JORDAN",,,"FOUL  by ANDERSON,JORDAN",1
01:28,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
01:28,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
01:16,"MISS LAYUP by BATES,JACOB",,,,,,,"MISS LAYUP by BATES,JACOB",1
--,,,,,"REBOUND DEF by KING,CAMERON",,,"REBOUND DEF by KING,CAMERON",1
01:09,,,,,"TURNOVER  by KENNEDY,BORDEN",,,"TURNOVER  by KENNEDY,BORDEN",1
01:09,,,,,"FOUL  by KENNEDY,BORDEN",,,"FOUL  by KENNEDY,BORDEN",1
00:54,"GOOD LAYUP by BATES,JACOB(in the paint)",33 (+12),,21,,CENTRE-M 33-21 (+12),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
00:38,,,,,"MISS JUMPER by KING,CAMERON",,,"MISS JUMPER by KING,CAMERON",1
--,,,,,"REBOUND OFF by GOGGANS,DANNY",,,"REBOUND OFF by GOGGANS,DANNY",1
00:33,,33 (+10),,23,"GOOD LAYUP by GOGGANS,DANNY(in the paint)",FCMBB 33-23 (+10),,"GOOD LAYUP by GOGGANS,DANNY(in the paint)",1
00:03,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by KING,CAMERON",,,"REBOUND DEF by KING,CAMERON",1
19:55,,33 (+8),,25,"GOOD JUMPER by GUTIERREZ,SAM",FCMBB 33-25 (+8),,"GOOD JUMPER by GUTIERREZ,SAM",2
19:27,"MISS LAYUP by SPITZER,JAKOB",,,,,,,"MISS LAYUP by SPITZER,JAKOB",2
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",2
19:22,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",2
--,,,,,"REBOUND DEF by GOGGANS,DANNY",,,"REBOUND DEF by GOGGANS,DANNY",2
19:16,,,,,"MISS JUMPER by GUTIERREZ,SAM",,,"MISS JUMPER by GUTIERREZ,SAM",2
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",2
19:08,"GOOD JUMPER by GRIFFIN,JAROD",35 (+10),,25,,CENTRE-M 35-25 (+10),,"GOOD JUMPER by GRIFFIN,JAROD",2
18:36,,,,,"MISS JUMPER by GUTIERREZ,SAM",,,"MISS JUMPER by GUTIERREZ,SAM",2
18:36,"BLOCK  by AYERS,PERRY",,,,,,,"BLOCK  by AYERS,PERRY",2
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",2
18:29,"GOOD LAYUP by AYERS,PERRY(fastbreak)(in the paint)",37 (+12),,25,,CENTRE-M 37-25 (+12),,"GOOD LAYUP by AYERS,PERRY(fastbreak)(in the paint)",2
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",2
18:13,,,,,"TURNOVER  by BEINEKE,JOHN",,,"TURNOVER  by BEINEKE,JOHN",2
17:52,"GOOD JUMPER by SPITZER,JAKOB",39 (+14),,25,,CENTRE-M 39-25 (+14),,"GOOD JUMPER by SPITZER,JAKOB",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
17:42,,,,,"TURNOVER  by BEINEKE,JOHN",,,"TURNOVER  by BEINEKE,JOHN",2
17:42,,,,,"FOUL  by BEINEKE,JOHN",,,"FOUL  by BEINEKE,JOHN",2
17:42,,,,,"SUB IN by MEYER,KYLE",,,"SUB IN by MEYER,KYLE",2
17:42,,,,,"SUB OUT by BEINEKE,JOHN",,,"SUB OUT by BEINEKE,JOHN",2
17:21,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",2
--,,,,,"REBOUND DEF by MEYER,KYLE",,,"REBOUND DEF by MEYER,KYLE",2
17:02,,39 (+12),,27,"GOOD JUMPER by MEYER,KYLE(in the paint)",FCMBB 39-27 (+12),,"GOOD JUMPER by MEYER,KYLE(in the paint)",2
--,,,,,"ASSIST  by GUTIERREZ,SAM",,,"ASSIST  by GUTIERREZ,SAM",2
16:46,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",2
--,,,,,"REBOUND DEF by ANDERSON,JORDAN",,,"REBOUND DEF by ANDERSON,JORDAN",2
16:40,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",2
16:40,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",2
16:40,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",2
16:40,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",2
16:39,,,,,"MISS JUMPER by MORRIS,KALE",,,"MISS JUMPER by MORRIS,KALE",2
--,,,,,"REBOUND OFF by MEYER,KYLE",,,"REBOUND OFF by MEYER,KYLE",2
16:19,,,,,"MISS JUMPER by GUTIERREZ,SAM",,,"MISS JUMPER by GUTIERREZ,SAM",2
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",2
16:10,"GOOD 3PTR by WALKER,ART",42 (+15),,27,,CENTRE-M 42-27 (+15),,"GOOD 3PTR by WALKER,ART",2
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",2
15:50,,42 (+13),,29,"GOOD LAYUP by GUTIERREZ,SAM(in the paint)",FCMBB 42-29 (+13),,"GOOD LAYUP by GUTIERREZ,SAM(in the paint)",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:28,,,,,"FOUL  by MEYER,KYLE",,,"FOUL  by MEYER,KYLE",2
15:28,"MISS FT by WALKER,ART",,,,,,,"MISS FT by WALKER,ART",2
