Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
19:13,"MISS 3PTR by SMITH,PRESTON",,,,,,,"MISS 3PTR by SMITH,PRESTON",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
18:48,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",2
18:48,"BLOCK  by EATON,JACK",,,,,,,"BLOCK  by EATON,JACK",2
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",2
18:41,,23,,57 (+34),"GOOD JUMPER by SPITZER,JAKOB(in the paint)",CENTRE-M 23-57 (+34),,"GOOD JUMPER by SPITZER,JAKOB(in the paint)",2
18:21,"MISS JUMPER by EATON,JACK",,,,,,,"MISS JUMPER by EATON,JACK",2
--,"REBOUND OFF by CRISWELL,SEAN",,,,,,,"REBOUND OFF by CRISWELL,SEAN",2
18:09,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",2
18:09,"MISS FT by HALL,MARCIS",,,,,,,"MISS FT by HALL,MARCIS",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
18:09,"GOOD FT by HALL,MARCIS",24,,57 (+33),,HXM 24-57 (+33),,"GOOD FT by HALL,MARCIS",2
17:57,,24,,59 (+35),"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 24-59 (+35),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
17:57,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",2
17:57,,24,,60 (+36),"GOOD FT by SPITZER,JAKOB",CENTRE-M 24-60 (+36),,"GOOD FT by SPITZER,JAKOB",2
17:35,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",2
17:35,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
17:35,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",2
17:32,"MISS 3PTR by EATON,JACK",,,,,,,"MISS 3PTR by EATON,JACK",2
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",2
17:18,,24,,63 (+39),"GOOD 3PTR by WALKER,ART",CENTRE-M 24-63 (+39),,"GOOD 3PTR by WALKER,ART",2
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",2
17:01,"MISS LAYUP by CRISWELL,SEAN",,,,,,,"MISS LAYUP by CRISWELL,SEAN",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
16:53,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",2
--,"REBOUND DEF by BRASFIELD,KAM",,,,,,,"REBOUND DEF by BRASFIELD,KAM",2
16:46,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",2
16:42,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
16:42,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
16:29,"MISS JUMPER by EATON,JACK",,,,,,,"MISS JUMPER by EATON,JACK",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
16:20,,24,,66 (+42),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 24-66 (+42),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
16:01,"GOOD 3PTR by SMITH,PRESTON",27,,66 (+39),,HXM 27-66 (+39),,"GOOD 3PTR by SMITH,PRESTON",2
15:57,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
15:57,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",2
15:57,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",2
15:57,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
15:57,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
15:57,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
15:57,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
15:42,"FOUL  by EATON,JACK",,,,,,,"FOUL  by EATON,JACK",2
15:42,,27,,67 (+40),"GOOD FT by PURVIS,KC",CENTRE-M 27-67 (+40),,"GOOD FT by PURVIS,KC",2
15:42,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
15:42,,,,,"MISS FT by PURVIS,KC",,,"MISS FT by PURVIS,KC",2
--,"REBOUND DEF by ROBERTS,ERIC",,,,,,,"REBOUND DEF by ROBERTS,ERIC",2
15:42,"SUB IN by ROBERTS,ERIC",,,,,,,"SUB IN by ROBERTS,ERIC",2
15:42,"SUB IN by ROUSE,TREY",,,,,,,"SUB IN by ROUSE,TREY",2
15:42,"SUB OUT by HALL,MARCIS",,,,,,,"SUB OUT by HALL,MARCIS",2
15:42,"SUB OUT by EATON,JACK",,,,,,,"SUB OUT by EATON,JACK",2
15:23,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",2
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",2
15:14,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",2
15:07,"STEAL  by ROUSE,TREY",,,,,,,"STEAL  by ROUSE,TREY",2
15:05,"GOOD LAYUP by CALAMESE,MICHAEL(fastbreak)(in the paint)",29,,67 (+38),,HXM 29-67 (+38),,"GOOD LAYUP by CALAMESE,MICHAEL(fastbreak)(in the paint)",2
14:44,,29,,69 (+40),"GOOD JUMPER by GRIFFIN,JAROD",CENTRE-M 29-69 (+40),,"GOOD JUMPER by GRIFFIN,JAROD",2
14:24,"TURNOVER  by ROUSE,TREY",,,,,,,"TURNOVER  by ROUSE,TREY",2
14:22,,,,,"STEAL  by GRIFFIN,JAROD",,,"STEAL  by GRIFFIN,JAROD",2
14:15,,29,,72 (+43),"GOOD 3PTR by BATES,JACOB",CENTRE-M 29-72 (+43),,"GOOD 3PTR by BATES,JACOB",2
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",2
13:59,"MISS LAYUP by CALAMESE,MICHAEL",,,,,,,"MISS LAYUP by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",2
13:46,,29,,75 (+46),"GOOD 3PTR by BATES,JACOB",CENTRE-M 29-75 (+46),,"GOOD 3PTR by BATES,JACOB",2
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",2
13:26,"MISS 3PTR by ROUSE,TREY",,,,,,,"MISS 3PTR by ROUSE,TREY",2
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",2
13:15,,29,,77 (+48),"GOOD JUMPER by CRUMP,DAWSON(in the paint)",CENTRE-M 29-77 (+48),,"GOOD JUMPER by CRUMP,DAWSON(in the paint)",2
13:01,"MISS LAYUP by ROUSE,TREY",,,,,,,"MISS LAYUP by ROUSE,TREY",2
--,"REBOUND OFF by ROBERTS,ERIC",,,,,,,"REBOUND OFF by ROBERTS,ERIC",2
12:56,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",31,,77 (+46),,HXM 31-77 (+46),,"GOOD LAYUP by ROBERTS,ERIC(in the paint)",2
12:40,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
12:40,"SUB IN by CRAWFORD,TRACE",,,,,,,"SUB IN by CRAWFORD,TRACE",2
12:40,"SUB OUT by ROUSE,TREY",,,,,,,"SUB OUT by ROUSE,TREY",2
12:40,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
12:40,,,,,"SUB IN by WEST,CHRIS",,,"SUB IN by WEST,CHRIS",2
12:40,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
12:40,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
12:37,,,,,"MISS LAYUP by PURVIS,KC",,,"MISS LAYUP by PURVIS,KC",2
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",2
12:28,,31,,80 (+49),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 31-80 (+49),,"GOOD 3PTR by GRIFFIN,JAROD",2
--,,,,,"ASSIST  by WEST,CHRIS",,,"ASSIST  by WEST,CHRIS",2
12:04,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",2
12:04,"GOOD FT by ROBERTS,ERIC",32,,80 (+48),,HXM 32-80 (+48),,"GOOD FT by ROBERTS,ERIC",2
12:04,"GOOD FT by ROBERTS,ERIC",33,,80 (+47),,HXM 33-80 (+47),,"GOOD FT by ROBERTS,ERIC",2
12:04,,,,,"MISS JUMPER by GRIFFIN,JAROD",,,"MISS JUMPER by GRIFFIN,JAROD",2
--,"REBOUND DEF by ROBERTS,ERIC",,,,,,,"REBOUND DEF by ROBERTS,ERIC",2
12:04,"MISS LAYUP by CALAMESE,MICHAEL",,,,,,,"MISS LAYUP by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",2
12:04,,,,,"MISS JUMPER by WEST,CHRIS",,,"MISS JUMPER by WEST,CHRIS",2
--,"REBOUND DEF by CRISWELL,SEAN",,,,,,,"REBOUND DEF by CRISWELL,SEAN",2
12:04,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
12:04,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",2
10:59,"GOOD LAYUP by CRAWFORD,TRACE(in the paint)",35,,80 (+45),,HXM 35-80 (+45),,"GOOD LAYUP by CRAWFORD,TRACE(in the paint)",2
10:44,,35,,83 (+48),"GOOD 3PTR by RAKES,BAILEY",CENTRE-M 35-83 (+48),,"GOOD 3PTR by RAKES,BAILEY",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
10:27,"MISS LAYUP by CALAMESE,MICHAEL",,,,,,,"MISS LAYUP by CALAMESE,MICHAEL",2
10:27,,,,,"BLOCK  by RAKES,BAILEY",,,"BLOCK  by RAKES,BAILEY",2
--,"REBOUND OFF by CALAMESE,MICHAEL",,,,,,,"REBOUND OFF by CALAMESE,MICHAEL",2
10:18,"TURNOVER  by CRISWELL,SEAN",,,,,,,"TURNOVER  by CRISWELL,SEAN",2
10:11,,,,,"STEAL  by PURVIS,KC",,,"STEAL  by PURVIS,KC",2
10:06,,,,,"MISS JUMPER by GRIFFIN,JAROD",,,"MISS JUMPER by GRIFFIN,JAROD",2
--,,,,,"REBOUND OFF by PURVIS,KC",,,"REBOUND OFF by PURVIS,KC",2
10:02,"FOUL  by CRISWELL,SEAN",,,,,,,"FOUL  by CRISWELL,SEAN",2
10:02,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
10:02,,35,,84 (+49),"GOOD FT by PURVIS,KC",CENTRE-M 35-84 (+49),,"GOOD FT by PURVIS,KC",2
10:02,,,,,"MISS FT by PURVIS,KC",,,"MISS FT by PURVIS,KC",2
--,"REBOUND DEF by HALL,MARCIS",,,,,,,"REBOUND DEF by HALL,MARCIS",2
10:02,"SUB IN by HALL,MARCIS",,,,,,,"SUB IN by HALL,MARCIS",2
10:02,"SUB OUT by CRISWELL,SEAN",,,,,,,"SUB OUT by CRISWELL,SEAN",2
10:02,,,,,"SUB IN by MORETTE,MATT",,,"SUB IN by MORETTE,MATT",2
10:02,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
09:49,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",2
09:46,,,,,"STEAL  by SCHMUCKER,ZACH",,,"STEAL  by SCHMUCKER,ZACH",2
09:41,,35,,86 (+51),"GOOD LAYUP by MORETTE,MATT(in the paint)",CENTRE-M 35-86 (+51),,"GOOD LAYUP by MORETTE,MATT(in the paint)",2
09:27,,,,,"FOUL  by WEST,CHRIS",,,"FOUL  by WEST,CHRIS",2
09:14,"MISS LAYUP by ROBERTS,ERIC",,,,,,,"MISS LAYUP by ROBERTS,ERIC",2
--,,,,,"REBOUND DEF by PURVIS,KC",,,"REBOUND DEF by PURVIS,KC",2
08:49,,,,,"MISS 3PTR by GRIFFIN,JAROD",,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND DEF by HALL,MARCIS",,,,,,,"REBOUND DEF by HALL,MARCIS",2
08:42,"GOOD 3PTR by JOHNSON,DAMECKO",38,,86 (+48),,HXM 38-86 (+48),,"GOOD 3PTR by JOHNSON,DAMECKO",2
08:42,"SUB IN by JOHNSON,DAMECKO",,,,,,,"SUB IN by JOHNSON,DAMECKO",2
08:42,"SUB OUT by SMITH,PRESTON",,,,,,,"SUB OUT by SMITH,PRESTON",2
08:42,,,,,"SUB IN by MORETTE,MATT",,,"SUB IN by MORETTE,MATT",2
08:42,,,,,"SUB IN by TERRY,CHRISTIAN",,,"SUB IN by TERRY,CHRISTIAN",2
08:42,,,,,"SUB IN by JACKSON,BRAYDEN",,,"SUB IN by JACKSON,BRAYDEN",2
08:42,,,,,"SUB IN by BROWNLEY,HOGAN",,,"SUB IN by BROWNLEY,HOGAN",2
08:42,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
08:42,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
08:42,,,,,"SUB OUT by MORETTE,MATT",,,"SUB OUT by MORETTE,MATT",2
08:42,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
08:35,,,,,"MISS 3PTR by JACKSON,BRAYDEN",,,"MISS 3PTR by JACKSON,BRAYDEN",2
--,"REBOUND DEF by CRAWFORD,TRACE",,,,,,,"REBOUND DEF by CRAWFORD,TRACE",2
08:22,"MISS LAYUP by JOHNSON,DAMECKO",,,,,,,"MISS LAYUP by JOHNSON,DAMECKO",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
08:07,,,,,"MISS 3PTR by BROWNLEY,HOGAN",,,"MISS 3PTR by BROWNLEY,HOGAN",2
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",2
07:59,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",40,,86 (+46),,HXM 40-86 (+46),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",2
07:57,,,,,"FOUL  by WEST,CHRIS",,,"FOUL  by WEST,CHRIS",2
07:57,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
07:57,"MISS FT by CALAMESE,MICHAEL",,,,,,,"MISS FT by CALAMESE,MICHAEL",2
--,,,,,"REBOUND DEF by BROWNLEY,HOGAN",,,"REBOUND DEF by BROWNLEY,HOGAN",2
07:34,,,,,"MISS LAYUP by BROWNLEY,HOGAN",,,"MISS LAYUP by BROWNLEY,HOGAN",2
--,,,,,"REBOUND OFF by BROWNLEY,HOGAN",,,"REBOUND OFF by BROWNLEY,HOGAN",2
07:29,,,,,"MISS JUMPER by MORETTE,MATT",,,"MISS JUMPER by MORETTE,MATT",2
--,,,,,"REBOUND OFF by MORETTE,MATT",,,"REBOUND OFF by MORETTE,MATT",2
07:24,,40,,88 (+48),"GOOD LAYUP by MORETTE,MATT(in the paint)",CENTRE-M 40-88 (+48),,"GOOD LAYUP by MORETTE,MATT(in the paint)",2
07:07,"MISS 3PTR by CRAWFORD,TRACE",,,,,,,"MISS 3PTR by CRAWFORD,TRACE",2
--,,,,,"REBOUND DEF by BROWNLEY,HOGAN",,,"REBOUND DEF by BROWNLEY,HOGAN",2
06:53,,40,,91 (+51),"GOOD 3PTR by BROWNLEY,HOGAN",CENTRE-M 40-91 (+51),,"GOOD 3PTR by BROWNLEY,HOGAN",2
--,,,,,"ASSIST  by MORETTE,MATT",,,"ASSIST  by MORETTE,MATT",2
06:30,"MISS JUMPER by CALAMESE,MICHAEL",,,,,,,"MISS JUMPER by CALAMESE,MICHAEL",2
06:30,,,,,"BLOCK  by TERRY,CHRISTIAN",,,"BLOCK  by TERRY,CHRISTIAN",2
--,"REBOUND OFF by CRAWFORD,TRACE",,,,,,,"REBOUND OFF by CRAWFORD,TRACE",2
06:15,"MISS JUMPER by HALL,MARCIS",,,,,,,"MISS JUMPER by HALL,MARCIS",2
--,,,,,"REBOUND DEF by TERRY,CHRISTIAN",,,"REBOUND DEF by TERRY,CHRISTIAN",2
06:06,,40,,93 (+53),"GOOD JUMPER by WEST,CHRIS",CENTRE-M 40-93 (+53),,"GOOD JUMPER by WEST,CHRIS",2
--,,,,,"ASSIST  by BROWNLEY,HOGAN",,,"ASSIST  by BROWNLEY,HOGAN",2
05:51,"MISS 3PTR by CRAWFORD,TRACE",,,,,,,"MISS 3PTR by CRAWFORD,TRACE",2
--,,,,,"REBOUND DEF by JACKSON,BRAYDEN",,,"REBOUND DEF by JACKSON,BRAYDEN",2
05:38,,,,,"MISS JUMPER by WEST,CHRIS",,,"MISS JUMPER by WEST,CHRIS",2
--,"REBOUND DEF by CALAMESE,MICHAEL",,,,,,,"REBOUND DEF by CALAMESE,MICHAEL",2
05:32,"TURNOVER  by CALAMESE,MICHAEL",,,,,,,"TURNOVER  by CALAMESE,MICHAEL",2
05:30,,,,,"STEAL  by MORETTE,MATT",,,"STEAL  by MORETTE,MATT",2
05:23,,40,,96 (+56),"GOOD 3PTR by BROWNLEY,HOGAN",CENTRE-M 40-96 (+56),,"GOOD 3PTR by BROWNLEY,HOGAN",2
--,,,,,"ASSIST  by WEST,CHRIS",,,"ASSIST  by WEST,CHRIS",2
05:07,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,2
05:07,"TURNOVER  by ROBERTS,ERIC",,,,,,,"TURNOVER  by ROBERTS,ERIC",2
05:07,,,,,"STEAL  by SCHMUCKER,ZACH",,,"STEAL  by SCHMUCKER,ZACH",2
05:07,,,,,"MISS JUMPER by WEST,CHRIS",,,"MISS JUMPER by WEST,CHRIS",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
05:07,"SUB IN by SHEPPARD,MARK",,,,,,,"SUB IN by SHEPPARD,MARK",2
05:07,"SUB IN by ABELL,STEPHEN",,,,,,,"SUB IN by ABELL,STEPHEN",2
05:07,"SUB OUT by CALAMESE,MICHAEL",,,,,,,"SUB OUT by CALAMESE,MICHAEL",2
05:07,"SUB OUT by HALL,MARCIS",,,,,,,"SUB OUT by HALL,MARCIS",2
05:07,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",2
05:07,,,,,"SUB OUT by MORETTE,MATT",,,"SUB OUT by MORETTE,MATT",2
04:54,,,,,"MISS JUMPER by JACKSON,BRAYDEN",,,"MISS JUMPER by JACKSON,BRAYDEN",2
--,"REBOUND DEF by CRAWFORD,TRACE",,,,,,,"REBOUND DEF by CRAWFORD,TRACE",2
04:44,"GOOD 3PTR by SHEPPARD,MARK",43,,96 (+53),,HXM 43-96 (+53),,"GOOD 3PTR by SHEPPARD,MARK",2
--,"ASSIST  by CRAWFORD,TRACE",,,,,,,"ASSIST  by CRAWFORD,TRACE",2
04:24,,43,,98 (+55),"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE-M 43-98 (+55),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",2
--,,,,,"ASSIST  by JACKSON,BRAYDEN",,,"ASSIST  by JACKSON,BRAYDEN",2
04:00,"MISS JUMPER by JOHNSON,DAMECKO",,,,,,,"MISS JUMPER by JOHNSON,DAMECKO",2
04:00,,,,,"BLOCK  by TERRY,CHRISTIAN",,,"BLOCK  by TERRY,CHRISTIAN",2
--,,,,,"REBOUND DEF by JACKSON,BRAYDEN",,,"REBOUND DEF by JACKSON,BRAYDEN",2
03:54,,43,,100 (+57),"GOOD LAYUP by JACKSON,BRAYDEN(fastbreak)(in the paint)",CENTRE-M 43-100 (+57),,"GOOD LAYUP by JACKSON,BRAYDEN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by WEST,CHRIS",,,"ASSIST  by WEST,CHRIS",2
03:43,"MISS 3PTR by ABELL,STEPHEN",,,,,,,"MISS 3PTR by ABELL,STEPHEN",2
--,"REBOUND OFF by SHEPPARD,MARK",,,,,,,"REBOUND OFF by SHEPPARD,MARK",2
03:33,"MISS LAYUP by CRAWFORD,TRACE",,,,,,,"MISS LAYUP by CRAWFORD,TRACE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
03:29,"SUB IN by PRINS,ZACHARY",,,,,,,"SUB IN by PRINS,ZACHARY",2
03:29,"SUB OUT by ROBERTS,ERIC",,,,,,,"SUB OUT by ROBERTS,ERIC",2
03:29,,,,,"SUB IN by MORETTE,MATT",,,"SUB IN by MORETTE,MATT",2
03:29,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",2
03:25,,43,,103 (+60),"GOOD 3PTR by MORETTE,MATT",CENTRE-M 43-103 (+60),,"GOOD 3PTR by MORETTE,MATT",2
--,,,,,"ASSIST  by WEST,CHRIS",,,"ASSIST  by WEST,CHRIS",2
03:09,"MISS 3PTR by SHEPPARD,MARK",,,,,,,"MISS 3PTR by SHEPPARD,MARK",2
--,"REBOUND OFF by ABELL,STEPHEN",,,,,,,"REBOUND OFF by ABELL,STEPHEN",2
02:59,"GOOD LAYUP by CRAWFORD,TRACE(in the paint)",45,,103 (+58),,HXM 45-103 (+58),,"GOOD LAYUP by CRAWFORD,TRACE(in the paint)",2
02:38,,,,,"MISS JUMPER by MORETTE,MATT",,,"MISS JUMPER by MORETTE,MATT",2
--,,,,,"REBOUND OFF by BROWNLEY,HOGAN",,,"REBOUND OFF by BROWNLEY,HOGAN",2
--,,,,,"REBOUND OFF by BROWNLEY,HOGAN",,,"REBOUND OFF by BROWNLEY,HOGAN",2
02:30,,,,,"MISS JUMPER by BROWNLEY,HOGAN",,,"MISS JUMPER by BROWNLEY,HOGAN",2
--,,,,,"REBOUND OFF by JACKSON,BRAYDEN",,,"REBOUND OFF by JACKSON,BRAYDEN",2
02:28,,45,,105 (+60),"GOOD LAYUP by JACKSON,BRAYDEN(in the paint)",CENTRE-M 45-105 (+60),,"GOOD LAYUP by JACKSON,BRAYDEN(in the paint)",2
02:18,"MISS 3PTR by JOHNSON,DAMECKO",,,,,,,"MISS 3PTR by JOHNSON,DAMECKO",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:42,,45,,108 (+63),"GOOD 3PTR by JACKSON,BRAYDEN",CENTRE-M 45-108 (+63),,"GOOD 3PTR by JACKSON,BRAYDEN",2
--,,,,,"ASSIST  by BROWNLEY,HOGAN",,,"ASSIST  by BROWNLEY,HOGAN",2
01:27,"GOOD 3PTR by PRINS,ZACHARY",48,,108 (+60),,HXM 48-108 (+60),,"GOOD 3PTR by PRINS,ZACHARY",2
--,"ASSIST  by CRAWFORD,TRACE",,,,,,,"ASSIST  by CRAWFORD,TRACE",2
01:08,,,,,"TURNOVER  by MORETTE,MATT",,,"TURNOVER  by MORETTE,MATT",2
01:06,"STEAL  by PRINS,ZACHARY",,,,,,,"STEAL  by PRINS,ZACHARY",2
00:52,"MISS 3PTR by PRINS,ZACHARY",,,,,,,"MISS 3PTR by PRINS,ZACHARY",2
--,,,,,"REBOUND DEF by BROWNLEY,HOGAN",,,"REBOUND DEF by BROWNLEY,HOGAN",2
00:34,,,,,"MISS 3PTR by BROWNLEY,HOGAN",,,"MISS 3PTR by BROWNLEY,HOGAN",2
--,"REBOUND DEF by ABELL,STEPHEN",,,,,,,"REBOUND DEF by ABELL,STEPHEN",2
00:23,"MISS 3PTR by ABELL,STEPHEN",,,,,,,"MISS 3PTR by ABELL,STEPHEN",2
--,,,,,"REBOUND DEF by TERRY,CHRISTIAN",,,"REBOUND DEF by TERRY,CHRISTIAN",2
