Time Remaining,HXM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
17:14,,3,,3,"GOOD 3PTR by AYERS,PERRY",CENTRE-M 3-3 (0),,"GOOD 3PTR by AYERS,PERRY",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
16:58,"GOOD JUMPER by EATON,JACK",5 (+2),,3,,HXM 5-3 (-2),,"GOOD JUMPER by EATON,JACK",1
16:34,,5,,6 (+1),"GOOD 3PTR by WALKER,ART",CENTRE-M 5-6 (+1),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
16:23,"TURNOVER  by BRASFIELD,KAM",,,,,,,"TURNOVER  by BRASFIELD,KAM",1
16:21,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",1
16:18,,5,,8 (+3),"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",CENTRE-M 5-8 (+3),,"GOOD LAYUP by BATES,JACOB(fastbreak)(in the paint)",1
15:49,"TURNOVER  by SMITH,PRESTON",,,,,,,"TURNOVER  by SMITH,PRESTON",1
15:47,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",1
15:45,"FOUL  by FISHER,ELI",,,,,,,"FOUL  by FISHER,ELI",1
15:45,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
15:45,,5,,9 (+4),"GOOD FT by SINE,TUCKER",CENTRE-M 5-9 (+4),,"GOOD FT by SINE,TUCKER",1
15:45,,5,,10 (+5),"GOOD FT by SINE,TUCKER",CENTRE-M 5-10 (+5),,"GOOD FT by SINE,TUCKER",1
15:45,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
15:45,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
15:37,"GOOD LAYUP by EATON,JACK(in the paint)",7,,10 (+3),,HXM 7-10 (+3),,"GOOD LAYUP by EATON,JACK(in the paint)",1
15:23,,7,,12 (+5),"GOOD LAYUP by RAKES,BAILEY(in the paint)",CENTRE-M 7-12 (+5),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
14:55,"MISS LAYUP by HALL,MARCIS",,,,,,,"MISS LAYUP by HALL,MARCIS",1
14:55,,,,,"BLOCK  by BATES,JACOB",,,"BLOCK  by BATES,JACOB",1
--,"REBOUND OFF by HALL,MARCIS",,,,,,,"REBOUND OFF by HALL,MARCIS",1
14:52,"SUB IN by CALAMESE,MICHAEL",,,,,,,"SUB IN by CALAMESE,MICHAEL",1
14:52,"SUB OUT by BRASFIELD,KAM",,,,,,,"SUB OUT by BRASFIELD,KAM",1
14:48,"MISS JUMPER by SMITH,PRESTON",,,,,,,"MISS JUMPER by SMITH,PRESTON",1
