Time Remaining,BOYCE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:33,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND OFF by SCHMUCKER,ZACH",,,"REBOUND OFF by SCHMUCKER,ZACH",1
19:22,,,,,"MISS JUMPER by SINE,TUCKER",,,"MISS JUMPER by SINE,TUCKER",1
--,"REBOUND DEF by TURNER,NICKOLAS",,,,,,,"REBOUND DEF by TURNER,NICKOLAS",1
19:00,"GOOD JUMPER by MCKAY,DREW",2 (+2),,0,,BOYCE 2-0 (-2),,"GOOD JUMPER by MCKAY,DREW",1
18:46,"FOUL  by MCKAY,DREW",,,,,,,"FOUL  by MCKAY,DREW",1
18:37,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",1
18:28,,2,,3 (+1),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 2-3 (+1),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
17:59,"GOOD 3PTR by RABKE,ADAM",5 (+2),,3,,BOYCE 5-3 (-2),,"GOOD 3PTR by RABKE,ADAM",1
--,"ASSIST  by TURNER,NICKOLAS",,,,,,,"ASSIST  by TURNER,NICKOLAS",1
17:37,,,,,"TURNOVER  by SPITZER,JAKOB",,,"TURNOVER  by SPITZER,JAKOB",1
17:35,"STEAL  by RABKE,ADAM",,,,,,,"STEAL  by RABKE,ADAM",1
17:19,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
17:19,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
17:19,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
17:11,"GOOD LAYUP by TURNER,NICKOLAS(in the paint)",7 (+4),,3,,BOYCE 7-3 (-4),,"GOOD LAYUP by TURNER,NICKOLAS(in the paint)",1
--,"ASSIST  by MCKAY,DREW",,,,,,,"ASSIST  by MCKAY,DREW",1
16:57,,,,,"MISS 3PTR by SINE,TUCKER",,,"MISS 3PTR by SINE,TUCKER",1
--,"REBOUND DEF by RABKE,ADAM",,,,,,,"REBOUND DEF by RABKE,ADAM",1
16:29,"TURNOVER  by RABKE,ADAM",,,,,,,"TURNOVER  by RABKE,ADAM",1
16:29,"SUB IN by WHITE,SPENCER",,,,,,,"SUB IN by WHITE,SPENCER",1
16:29,"SUB IN by CALDWELL,AJ",,,,,,,"SUB IN by CALDWELL,AJ",1
16:29,"SUB OUT by ALEXAKOS,LEONIDAS",,,,,,,"SUB OUT by ALEXAKOS,LEONIDAS",1
16:29,"SUB OUT by RABKE,ADAM",,,,,,,"SUB OUT by RABKE,ADAM",1
16:29,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
16:29,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
