Time Remaining,AU-M,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:42,,0,,2 (+2),"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 0-2 (+2),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
19:24,"MISS 3PTR by DUNCAN,STANLEY",,,,,,,"MISS 3PTR by DUNCAN,STANLEY",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
18:52,,0,,4 (+4),"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 0-4 (+4),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
18:32,"MISS 3PTR by ASHTON,BRADY",,,,,,,"MISS 3PTR by ASHTON,BRADY",1
--,"REBOUND OFF by LUCAS,TREVOR",,,,,,,"REBOUND OFF by LUCAS,TREVOR",1
18:29,"MISS LAYUP by LUCAS,TREVOR",,,,,,,"MISS LAYUP by LUCAS,TREVOR",1
--,"REBOUND OFF by ASHTON,BRADY",,,,,,,"REBOUND OFF by ASHTON,BRADY",1
18:25,"MISS LAYUP by ASHTON,BRADY",,,,,,,"MISS LAYUP by ASHTON,BRADY",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
18:11,,,,,"MISS 3PTR by RAKES,BAILEY",,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND OFF by SINE,TUCKER",,,"REBOUND OFF by SINE,TUCKER",1
18:04,,,,,"MISS 3PTR by SCHMUCKER,ZACH",,,"MISS 3PTR by SCHMUCKER,ZACH",1
--,"REBOUND DEF by PETERS,MIKE",,,,,,,"REBOUND DEF by PETERS,MIKE",1
17:45,"MISS LAYUP by HARTMAN,COLE",,,,,,,"MISS LAYUP by HARTMAN,COLE",1
17:45,,,,,"BLOCK  by SPITZER,JAKOB",,,"BLOCK  by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
17:36,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND DEF by ASHTON,BRADY",,,,,,,"REBOUND DEF by ASHTON,BRADY",1
17:16,"GOOD JUMPER by HARTMAN,COLE(in the paint)",2,,4 (+2),,AU-M 2-4 (+2),,"GOOD JUMPER by HARTMAN,COLE(in the paint)",1
16:47,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by HARTMAN,COLE",,,,,,,"REBOUND DEF by HARTMAN,COLE",1
16:33,,,,,"FOUL  by SPITZER,JAKOB",,,"FOUL  by SPITZER,JAKOB",1
16:33,"MISS FT by ASHTON,BRADY",,,,,,,"MISS FT by ASHTON,BRADY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
16:33,"GOOD FT by ASHTON,BRADY",3,,4 (+1),,AU-M 3-4 (+1),,"GOOD FT by ASHTON,BRADY",1
16:33,"SUB IN by KREIGER,CORY",,,,,,,"SUB IN by KREIGER,CORY",1
16:33,"SUB OUT by DUNCAN,STANLEY",,,,,,,"SUB OUT by DUNCAN,STANLEY",1
16:33,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
16:33,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
16:33,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
16:33,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
16:33,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
16:33,,,,,"SUB OUT by SCHMUCKER,ZACH",,,"SUB OUT by SCHMUCKER,ZACH",1
16:22,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",1
16:02,"GOOD 3PTR by LUCAS,TREVOR",6 (+2),,4,,AU-M 6-4 (-2),,"GOOD 3PTR by LUCAS,TREVOR",1
--,"ASSIST  by KREIGER,CORY",,,,,,,"ASSIST  by KREIGER,CORY",1
15:42,,6,,6,"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE-M 6-6 (0),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
15:21,"GOOD JUMPER by LUCAS,TREVOR(in the paint)",8 (+2),,6,,AU-M 8-6 (-2),,"GOOD JUMPER by LUCAS,TREVOR(in the paint)",1
--,"ASSIST  by KREIGER,CORY",,,,,,,"ASSIST  by KREIGER,CORY",1
15:02,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,"REBOUND OFF by AYERS,PERRY",,,"REBOUND OFF by AYERS,PERRY",1
14:46,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
14:45,"STEAL  by ASHTON,BRADY",,,,,,,"STEAL  by ASHTON,BRADY",1
14:41,"GOOD LAYUP by LUCAS,TREVOR(fastbreak)(in the paint)",10 (+4),,6,,AU-M 10-6 (-4),,"GOOD LAYUP by LUCAS,TREVOR(fastbreak)(in the paint)",1
14:21,,,,,"MISS JUMPER by BATES,JACOB",,,"MISS JUMPER by BATES,JACOB",1
--,"REBOUND DEF by ASHTON,BRADY",,,,,,,"REBOUND DEF by ASHTON,BRADY",1
14:01,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",1
14:01,"GOOD FT by PETERS,MIKE",11 (+5),,6,,AU-M 11-6 (-5),,"GOOD FT by PETERS,MIKE",1
14:01,"MISS FT by PETERS,MIKE",,,,,,,"MISS FT by PETERS,MIKE",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
14:01,"SUB IN by KNIGHT,MAURICE",,,,,,,"SUB IN by KNIGHT,MAURICE",1
14:01,"SUB OUT by ASHTON,BRADY",,,,,,,"SUB OUT by ASHTON,BRADY",1
14:01,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
14:01,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
13:46,,11 (+3),,8,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE-M 11-8 (-3),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
13:37,"MISS LAYUP by LUCAS,TREVOR",,,,,,,"MISS LAYUP by LUCAS,TREVOR",1
--,"REBOUND OFF by HARTMAN,COLE",,,,,,,"REBOUND OFF by HARTMAN,COLE",1
13:33,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",1
13:33,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:33,"GOOD FT by HARTMAN,COLE",12 (+4),,8,,AU-M 12-8 (-4),,"GOOD FT by HARTMAN,COLE",1
13:33,"GOOD FT by HARTMAN,COLE",13 (+5),,8,,AU-M 13-8 (-5),,"GOOD FT by HARTMAN,COLE",1
13:26,,13 (+2),,11,"GOOD 3PTR by WALKER,ART",CENTRE-M 13-11 (-2),,"GOOD 3PTR by WALKER,ART",1
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",1
13:06,"TURNOVER  by KNIGHT,MAURICE",,,,,,,"TURNOVER  by KNIGHT,MAURICE",1
13:05,,,,,"STEAL  by GRIFFIN,JAROD",,,"STEAL  by GRIFFIN,JAROD",1
12:43,,,,,"TURNOVER  by WALKER,ART",,,"TURNOVER  by WALKER,ART",1
12:42,"STEAL  by LUCAS,TREVOR",,,,,,,"STEAL  by LUCAS,TREVOR",1
12:39,"GOOD LAYUP by LUCAS,TREVOR(fastbreak)(in the paint)",15 (+4),,11,,AU-M 15-11 (-4),,"GOOD LAYUP by LUCAS,TREVOR(fastbreak)(in the paint)",1
12:34,"SUB IN by LAFFOON,MALIK",,,,,,,"SUB IN by LAFFOON,MALIK",1
12:34,"SUB OUT by PETERS,MIKE",,,,,,,"SUB OUT by PETERS,MIKE",1
12:18,,,,,"MISS 3PTR by CRUMP,DAWSON",,,"MISS 3PTR by CRUMP,DAWSON",1
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",1
12:15,,15 (+2),,13,"GOOD LAYUP by WALKER,ART(in the paint)",CENTRE-M 15-13 (-2),,"GOOD LAYUP by WALKER,ART(in the paint)",1
12:01,"MISS JUMPER by LUCAS,TREVOR",,,,,,,"MISS JUMPER by LUCAS,TREVOR",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
11:50,,,,,"MISS 3PTR by BATES,JACOB",,,"MISS 3PTR by BATES,JACOB",1
--,"REBOUND DEF by LAFFOON,MALIK",,,,,,,"REBOUND DEF by LAFFOON,MALIK",1
11:36,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",1
11:36,"SUB IN by DUNCAN,STANLEY",,,,,,,"SUB IN by DUNCAN,STANLEY",1
11:36,"SUB IN by ASHTON,BRADY",,,,,,,"SUB IN by ASHTON,BRADY",1
11:36,"SUB OUT by LUCAS,TREVOR",,,,,,,"SUB OUT by LUCAS,TREVOR",1
11:36,"SUB OUT by HARTMAN,COLE",,,,,,,"SUB OUT by HARTMAN,COLE",1
11:36,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
11:36,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
11:36,,,,,"SUB IN by BROWNLEY,HOGAN",,,"SUB IN by BROWNLEY,HOGAN",1
11:36,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
11:36,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
11:36,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
11:23,"MISS LAYUP by ASHTON,BRADY",,,,,,,"MISS LAYUP by ASHTON,BRADY",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
11:05,,,,,"TURNOVER  by PURVIS,KC",,,"TURNOVER  by PURVIS,KC",1
11:01,"STEAL  by DUNCAN,STANLEY",,,,,,,"STEAL  by DUNCAN,STANLEY",1
10:44,"GOOD 3PTR by KNIGHT,MAURICE",18 (+5),,13,,AU-M 18-13 (-5),,"GOOD 3PTR by KNIGHT,MAURICE",1
--,"ASSIST  by LAFFOON,MALIK",,,,,,,"ASSIST  by LAFFOON,MALIK",1
10:40,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
10:12,,,,,"TURNOVER  by CRUMP,DAWSON",,,"TURNOVER  by CRUMP,DAWSON",1
10:10,"STEAL  by ASHTON,BRADY",,,,,,,"STEAL  by ASHTON,BRADY",1
09:59,"TURNOVER  by KNIGHT,MAURICE",,,,,,,"TURNOVER  by KNIGHT,MAURICE",1
09:58,,,,,"STEAL  by GRIFFIN,JAROD",,,"STEAL  by GRIFFIN,JAROD",1
09:43,,,,,"TURNOVER  by GRIFFIN,JAROD",,,"TURNOVER  by GRIFFIN,JAROD",1
09:42,"STEAL  by KNIGHT,MAURICE",,,,,,,"STEAL  by KNIGHT,MAURICE",1
09:33,"GOOD 3PTR by DUNCAN,STANLEY",21 (+8),,13,,AU-M 21-13 (-8),,"GOOD 3PTR by DUNCAN,STANLEY",1
--,"ASSIST  by KREIGER,CORY",,,,,,,"ASSIST  by KREIGER,CORY",1
09:02,,21 (+6),,15,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",CENTRE-M 21-15 (-6),,"GOOD LAYUP by GRIFFIN,JAROD(in the paint)",1
08:46,"MISS LAYUP by KNIGHT,MAURICE",,,,,,,"MISS LAYUP by KNIGHT,MAURICE",1
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",1
08:37,,21 (+3),,18,"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 21-18 (-3),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
08:18,,,,,"FOUL  by CRUMP,DAWSON",,,"FOUL  by CRUMP,DAWSON",1
08:18,"MISS FT by ASHTON,BRADY",,,,,,,"MISS FT by ASHTON,BRADY",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
08:18,"GOOD FT by ASHTON,BRADY",22 (+4),,18,,AU-M 22-18 (-4),,"GOOD FT by ASHTON,BRADY",1
08:18,"SUB IN by HARTMAN,COLE",,,,,,,"SUB IN by HARTMAN,COLE",1
08:18,"SUB IN by PETERS,MIKE",,,,,,,"SUB IN by PETERS,MIKE",1
08:18,"SUB IN by LUCAS,TREVOR",,,,,,,"SUB IN by LUCAS,TREVOR",1
08:18,"SUB OUT by ASHTON,BRADY",,,,,,,"SUB OUT by ASHTON,BRADY",1
08:18,"SUB OUT by KREIGER,CORY",,,,,,,"SUB OUT by KREIGER,CORY",1
08:18,"SUB OUT by KNIGHT,MAURICE",,,,,,,"SUB OUT by KNIGHT,MAURICE",1
08:18,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
08:18,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
08:18,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",1
08:18,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
08:18,,,,,"SUB OUT by BROWNLEY,HOGAN",,,"SUB OUT by BROWNLEY,HOGAN",1
08:18,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",1
08:06,,22 (+2),,20,"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE-M 22-20 (-2),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
08:06,"FOUL  by DUNCAN,STANLEY",,,,,,,"FOUL  by DUNCAN,STANLEY",1
08:06,,22 (+1),,21,"GOOD FT by AYERS,PERRY",CENTRE-M 22-21 (-1),,"GOOD FT by AYERS,PERRY",1
07:52,"GOOD JUMPER by LUCAS,TREVOR(in the paint)",24 (+3),,21,,AU-M 24-21 (-3),,"GOOD JUMPER by LUCAS,TREVOR(in the paint)",1
07:33,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
