Time Remaining,CENTMBB,Away Team Score,Play Team Indicator,Home Team Score,WUMBB,Game Score,Team Indicator,Play,Period
19:29,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
18:57,,,,,"MISS JUMPER by TANKINS,ENRIQUE",,,"MISS JUMPER by TANKINS,ENRIQUE",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
18:47,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND DEF by WILCOX,NIGEL",,,"REBOUND DEF by WILCOX,NIGEL",1
18:37,,,,,"TURNOVER  by WILCOX,NIGEL",,,"TURNOVER  by WILCOX,NIGEL",1
18:36,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",1
18:29,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by ETIENNE,RODSON",,,"REBOUND DEF by ETIENNE,RODSON",1
18:23,,,,,"TURNOVER  by ETIENNE,RODSON",,,"TURNOVER  by ETIENNE,RODSON",1
18:07,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by TANKINS,ENRIQUE",,,"REBOUND DEF by TANKINS,ENRIQUE",1
18:00,,0,,3 (+3),"GOOD 3PTR by JOHNSON,JOSH",WUMBB 0-3 (-3),,"GOOD 3PTR by JOHNSON,JOSH",1
--,,,,,"ASSIST  by TANKINS,ENRIQUE",,,"ASSIST  by TANKINS,ENRIQUE",1
17:37,"GOOD 3PTR by GRIFFIN,JAROD",3,,3,,CENTMBB 3-3 (0),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
17:24,,,,,"MISS 3PTR by DUNN,MICHAEL",,,"MISS 3PTR by DUNN,MICHAEL",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
17:10,,,,,"FOUL  by ETIENNE,RODSON",,,"FOUL  by ETIENNE,RODSON",1
17:10,"GOOD FT by SPITZER,JAKOB",4 (+1),,3,,CENTMBB 4-3 (+1),,"GOOD FT by SPITZER,JAKOB",1
17:10,"MISS FT by SPITZER,JAKOB",,,,,,,"MISS FT by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by WILCOX,NIGEL",,,"REBOUND DEF by WILCOX,NIGEL",1
16:56,,4,,5 (+1),"GOOD JUMPER by DUNN,MICHAEL",WUMBB 4-5 (-1),,"GOOD JUMPER by DUNN,MICHAEL",1
--,,,,,"ASSIST  by JOHNSON,JOSH",,,"ASSIST  by JOHNSON,JOSH",1
16:39,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
16:39,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
16:39,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
16:39,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
16:39,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
16:28,,,,,"MISS JUMPER by DUNN,MICHAEL",,,"MISS JUMPER by DUNN,MICHAEL",1
--,,,,,"REBOUND OFF by JOHNSON,JOSH",,,"REBOUND OFF by JOHNSON,JOSH",1
16:17,,4,,8 (+4),"GOOD 3PTR by JOHNSON,JOSH",WUMBB 4-8 (-4),,"GOOD 3PTR by JOHNSON,JOSH",1
--,,,,,"ASSIST  by TANKINS,ENRIQUE",,,"ASSIST  by TANKINS,ENRIQUE",1
15:58,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by TANKINS,ENRIQUE",,,"REBOUND DEF by TANKINS,ENRIQUE",1
15:49,,4,,10 (+6),"GOOD JUMPER by JOHNSON,JOSH",WUMBB 4-10 (-6),,"GOOD JUMPER by JOHNSON,JOSH",1
--,,,,,"ASSIST  by TANKINS,ENRIQUE",,,"ASSIST  by TANKINS,ENRIQUE",1
15:27,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by WILCOX,NIGEL",,,"REBOUND DEF by WILCOX,NIGEL",1
15:13,,,,,"MISS JUMPER by TANKINS,ENRIQUE",,,"MISS JUMPER by TANKINS,ENRIQUE",1
--,"REBOUND DEF by GRIFFIN,JAROD",,,,,,,"REBOUND DEF by GRIFFIN,JAROD",1
15:00,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
14:58,,,,,"FOUL  by DUNN,MICHAEL",,,"FOUL  by DUNN,MICHAEL",1
14:58,"GOOD FT by BATES,JACOB",5,,10 (+5),,CENTMBB 5-10 (-5),,"GOOD FT by BATES,JACOB",1
