Time Remaining,CC-M,Away Team Score,Play Team Indicator,Home Team Score,EC-M,Game Score,Team Indicator,Play,Period
19:45,"GOOD LAYUP by RAKES,BAILEY(in the paint)",2 (+2),,0,,CC-M 2-0 (+2),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
19:33,,,,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",1
--,,,,,"REBOUND OFF by DOLIBOA,AUSTIN",,,"REBOUND OFF by DOLIBOA,AUSTIN",1
19:28,,,,,"MISS 3PTR by BARNES,JAMEL",,,"MISS 3PTR by BARNES,JAMEL",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
19:14,"TURNOVER  by RAKES,BAILEY",,,,,,,"TURNOVER  by RAKES,BAILEY",1
18:56,,,,,"MISS JUMPER by JR,DARRELL HUTCHISON",,,"MISS JUMPER by JR,DARRELL HUTCHISON",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
18:34,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",4 (+4),,0,,CC-M 4-0 (+4),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,"ASSIST  by SINE,TUCKER",,,,,,,"ASSIST  by SINE,TUCKER",1
18:23,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
18:20,,,,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
18:06,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by BARNES,JAMEL",,,"REBOUND DEF by BARNES,JAMEL",1
18:00,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
18:00,,,,,"SUB IN by BONIN,BLAKE",,,"SUB IN by BONIN,BLAKE",1
18:00,,,,,"SUB OUT by BARNES,JAMEL",,,"SUB OUT by BARNES,JAMEL",1
17:42,,,,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",,,"MISS 3PTR by WILSON-THOMAS,ELIJAH",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
17:33,"MISS LAYUP by AYERS,PERRY",,,,,,,"MISS LAYUP by AYERS,PERRY",1
--,"REBOUND OFF by SPITZER,JAKOB",,,,,,,"REBOUND OFF by SPITZER,JAKOB",1
17:29,"GOOD LAYUP by SINE,TUCKER(in the paint)",6 (+6),,0,,CC-M 6-0 (+6),,"GOOD LAYUP by SINE,TUCKER(in the paint)",1
--,"ASSIST  by SPITZER,JAKOB",,,,,,,"ASSIST  by SPITZER,JAKOB",1
