Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,TU-M,Game Score,Team Indicator,Play,Period
08:37,,,,,"SUB OUT by GULLETT,KYLE",,,"SUB OUT by GULLETT,KYLE",1
08:37,,,,,"SUB OUT by DENCE,ROBERT",,,"SUB OUT by DENCE,ROBERT",1
08:37,,,,,"SUB OUT by MCKINNEY,SPENCER",,,"SUB OUT by MCKINNEY,SPENCER",1
08:27,"MISS LAYUP by SCHMUCKER ,ZACH",,,,,,,"MISS LAYUP by SCHMUCKER ,ZACH",1
--,,,,,"REBOUND DEF by TRIMBLE,DREW",,,"REBOUND DEF by TRIMBLE,DREW",1
08:13,,14,,24 (+10),"GOOD LAYUP by JEFFERSON,MICHAEL(in the paint)",TU-M 14-24 (-10),,"GOOD LAYUP by JEFFERSON,MICHAEL(in the paint)",1
08:09,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,1
07:55,,,,,"FOUL  by SCHMITT,GABE",,,"FOUL  by SCHMITT,GABE",1
07:55,"GOOD FT by BROWNLEY,HOGAN",15,,24 (+9),,CENTRE-M 15-24 (-9),,"GOOD FT by BROWNLEY,HOGAN",1
07:55,"GOOD FT by BROWNLEY,HOGAN",16,,24 (+8),,CENTRE-M 16-24 (-8),,"GOOD FT by BROWNLEY,HOGAN",1
07:55,,,,,"SUB IN by THEOBALD,COOPER",,,"SUB IN by THEOBALD,COOPER",1
07:55,,,,,"SUB OUT by SCHMITT,GABE",,,"SUB OUT by SCHMITT,GABE",1
07:37,,,,,"MISS JUMPER by THEOBALD,COOPER",,,"MISS JUMPER by THEOBALD,COOPER",1
--,,,,,"REBOUND OFF by TRIMBLE,DREW",,,"REBOUND OFF by TRIMBLE,DREW",1
07:34,,,,,"MISS 3PTR by SIVILLS,WILL",,,"MISS 3PTR by SIVILLS,WILL",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
07:32,,,,,"FOUL  by TRIMBLE,DREW",,,"FOUL  by TRIMBLE,DREW",1
07:32,"GOOD FT by BROWNLEY,HOGAN",17,,24 (+7),,CENTRE-M 17-24 (-7),,"GOOD FT by BROWNLEY,HOGAN",1
07:32,"GOOD FT by BROWNLEY,HOGAN",18,,24 (+6),,CENTRE-M 18-24 (-6),,"GOOD FT by BROWNLEY,HOGAN",1
07:32,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
07:32,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
07:32,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
07:32,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",1
07:32,"SUB OUT by SCHMUCKER ,ZACH",,,,,,,"SUB OUT by SCHMUCKER ,ZACH",1
07:32,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
07:32,,,,,"SUB IN by GULLETT,KYLE",,,"SUB IN by GULLETT,KYLE",1
07:32,,,,,"SUB OUT by TRIMBLE,DREW",,,"SUB OUT by TRIMBLE,DREW",1
07:15,,,,,"MISS JUMPER by SCHUH,BO",,,"MISS JUMPER by SCHUH,BO",1
--,,,,,"REBOUND OFF by SCHUH,BO",,,"REBOUND OFF by SCHUH,BO",1
07:12,,18,,26 (+8),"GOOD JUMPER by GULLETT,KYLE(in the paint)",TU-M 18-26 (-8),,"GOOD JUMPER by GULLETT,KYLE(in the paint)",1
--,,,,,"ASSIST  by THEOBALD,COOPER",,,"ASSIST  by THEOBALD,COOPER",1
06:51,"GOOD LAYUP by RAKES,BAILEY(in the paint)",20,,26 (+6),,CENTRE-M 20-26 (-6),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
06:16,,,,,"TURNOVER  by SIVILLS,WILL",,,"TURNOVER  by SIVILLS,WILL",1
06:14,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",1
06:11,"GOOD JUMPER by RAKES,BAILEY(in the paint)",22,,26 (+4),,CENTRE-M 22-26 (-4),,"GOOD JUMPER by RAKES,BAILEY(in the paint)",1
05:55,,,,,"MISS 3PTR by SIVILLS,WILL",,,"MISS 3PTR by SIVILLS,WILL",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
05:38,"GOOD LAYUP by AYERS,PERRY(in the paint)",24,,26 (+2),,CENTRE-M 24-26 (-2),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
05:21,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
05:21,"SUB IN by SCHMUCKER ,ZACH",,,,,,,"SUB IN by SCHMUCKER ,ZACH",1
05:21,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
05:21,,,,,"SUB IN by SCHMITT,GABE",,,"SUB IN by SCHMITT,GABE",1
05:21,,,,,"SUB IN by MCKINNEY,SPENCER",,,"SUB IN by MCKINNEY,SPENCER",1
05:21,,,,,"SUB OUT by THEOBALD,COOPER",,,"SUB OUT by THEOBALD,COOPER",1
05:21,,,,,"SUB OUT by SIVILLS,WILL",,,"SUB OUT by SIVILLS,WILL",1
05:06,,24,,28 (+4),"GOOD LAYUP by JEFFERSON,MICHAEL(in the paint)",TU-M 24-28 (-4),,"GOOD LAYUP by JEFFERSON,MICHAEL(in the paint)",1
04:42,"GOOD 3PTR by AYERS,PERRY",27,,28 (+1),,CENTRE-M 27-28 (-1),,"GOOD 3PTR by AYERS,PERRY",1
--,"ASSIST  by SCHMUCKER ,ZACH",,,,,,,"ASSIST  by SCHMUCKER ,ZACH",1
04:34,,27,,30 (+3),"GOOD LAYUP by JEFFERSON,MICHAEL(in the paint)",TU-M 27-30 (-3),,"GOOD LAYUP by JEFFERSON,MICHAEL(in the paint)",1
04:19,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
04:19,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
04:19,"SUB OUT by SCHMUCKER ,ZACH",,,,,,,"SUB OUT by SCHMUCKER ,ZACH",1
04:19,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
04:12,"GOOD 3PTR by AYERS,PERRY",30,,30,,CENTRE-M 30-30 (0),,"GOOD 3PTR by AYERS,PERRY",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
03:47,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
03:47,,,,,"TURNOVER  by JEFFERSON,MICHAEL",,,"TURNOVER  by JEFFERSON,MICHAEL",1
03:46,"STEAL  by GRIFFIN,JAROD",,,,,,,"STEAL  by GRIFFIN,JAROD",1
03:39,,,,,"FOUL  by SCHUH,BO",,,"FOUL  by SCHUH,BO",1
03:39,"MISS FT by RAKES,BAILEY",,,,,,,"MISS FT by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by SCHUH,BO",,,"REBOUND DEF by SCHUH,BO",1
03:39,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
03:39,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
03:27,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
03:27,,,,,"MISS FT by JEFFERSON,MICHAEL",,,"MISS FT by JEFFERSON,MICHAEL",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
03:27,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
03:27,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
03:27,,,,,"SUB IN by DENCE,ROBERT",,,"SUB IN by DENCE,ROBERT",1
03:27,,,,,"SUB OUT by SCHUH,BO",,,"SUB OUT by SCHUH,BO",1
03:07,"MISS JUMPER by GRIFFIN,JAROD",,,,,,,"MISS JUMPER by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by DENCE,ROBERT",,,"REBOUND DEF by DENCE,ROBERT",1
02:56,,30,,33 (+3),"GOOD 3PTR by SCHMITT,GABE",TU-M 30-33 (-3),,"GOOD 3PTR by SCHMITT,GABE",1
--,,,,,"ASSIST  by GULLETT,KYLE",,,"ASSIST  by GULLETT,KYLE",1
02:30,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
02:29,"MISS TIPIN by BATES,JACOB",,,,,,,"MISS TIPIN by BATES,JACOB",1
02:28,,,,,"BLOCK  by DENCE,ROBERT",,,"BLOCK  by DENCE,ROBERT",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
02:26,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
02:26,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
02:17,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
02:13,"MISS JUMPER by WALKER,ART",,,,,,,"MISS JUMPER by WALKER,ART",1
02:13,,,,,"BLOCK  by GULLETT,KYLE",,,"BLOCK  by GULLETT,KYLE",1
--,,,,,"REBOUND DEF by GULLETT,KYLE",,,"REBOUND DEF by GULLETT,KYLE",1
02:04,,,,,"MISS 3PTR by GULLETT,KYLE",,,"MISS 3PTR by GULLETT,KYLE",1
--,,,,,"REBOUND OFF by MCKINNEY,SPENCER",,,"REBOUND OFF by MCKINNEY,SPENCER",1
02:02,,30,,35 (+5),"GOOD TIPIN by MCKINNEY,SPENCER(in the paint)",TU-M 30-35 (-5),,"GOOD TIPIN by MCKINNEY,SPENCER(in the paint)",1
01:42,"GOOD LAYUP by RAKES,BAILEY(in the paint)",32,,35 (+3),,CENTRE-M 32-35 (-3),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
01:23,,32,,37 (+5),"GOOD JUMPER by GULLETT,KYLE(in the paint)",TU-M 32-37 (-5),,"GOOD JUMPER by GULLETT,KYLE(in the paint)",1
--,,,,,"ASSIST  by MCKINNEY,SPENCER",,,"ASSIST  by MCKINNEY,SPENCER",1
01:02,"GOOD LAYUP by WALKER,ART(in the paint)",34,,37 (+3),,CENTRE-M 34-37 (-3),,"GOOD LAYUP by WALKER,ART(in the paint)",1
00:40,,34,,39 (+5),"GOOD JUMPER by SCHMITT,GABE(in the paint)",TU-M 34-39 (-5),,"GOOD JUMPER by SCHMITT,GABE(in the paint)",1
00:14,"MISS LAYUP by GRIFFIN,JAROD",,,,,,,"MISS LAYUP by GRIFFIN,JAROD",1
--,"REBOUND OFF by BATES,JACOB",,,,,,,"REBOUND OFF by BATES,JACOB",1
00:13,"TURNOVER  by BATES,JACOB",,,,,,,"TURNOVER  by BATES,JACOB",1
00:12,"SUB IN by SCHMUCKER ,ZACH",,,,,,,"SUB IN by SCHMUCKER ,ZACH",1
00:12,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
00:12,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
00:12,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
00:12,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
00:12,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
00:08,,,,,"MISS 3PTR by GULLETT,KYLE",,,"MISS 3PTR by GULLETT,KYLE",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
19:45,"GOOD JUMPER by SPITZER,JAKOB",36,,39 (+3),,CENTRE-M 36-39 (-3),,"GOOD JUMPER by SPITZER,JAKOB",2
--,"ASSIST  by GRIFFIN,JAROD",,,,,,,"ASSIST  by GRIFFIN,JAROD",2
19:29,,,,,"MISS JUMPER by GULLETT,KYLE",,,"MISS JUMPER by GULLETT,KYLE",2
19:29,"BLOCK  by RAKES,BAILEY",,,,,,,"BLOCK  by RAKES,BAILEY",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
19:23,,,,,"MISS JUMPER by SCHMITT,GABE",,,"MISS JUMPER by SCHMITT,GABE",2
19:23,"BLOCK  by SINE,TUCKER",,,,,,,"BLOCK  by SINE,TUCKER",2
--,,,,,"REBOUND OFF by SCHMITT,GABE",,,"REBOUND OFF by SCHMITT,GABE",2
