Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
13:59,"GOOD 3PTR by SULLIVAN,MICHAEL",39 (+6),,33,,MILMB 39-33 (-6),,"GOOD 3PTR by SULLIVAN,MICHAEL",2
13:41,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",2
13:23,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",2
13:21,"STEAL  by TURNER,JAMES",,,,,,,"STEAL  by TURNER,JAMES",2
13:14,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",2
13:14,"GOOD FT by SULLIVAN,MICHAEL",40 (+7),,33,,MILMB 40-33 (-7),,"GOOD FT by SULLIVAN,MICHAEL",2
13:14,"GOOD FT by SULLIVAN,MICHAEL",41 (+8),,33,,MILMB 41-33 (-8),,"GOOD FT by SULLIVAN,MICHAEL",2
13:14,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",2
13:14,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",2
12:57,,,,,"TURNOVER  by AYERS,PERRY",,,"TURNOVER  by AYERS,PERRY",2
12:57,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
12:57,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
12:43,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
12:43,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
12:41,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",2
12:41,"GOOD FT by GRANT,SHE'CHEM",42 (+9),,33,,MILMB 42-33 (-9),,"GOOD FT by GRANT,SHE'CHEM",2
12:26,"MISS FT by GRANT,SHE'CHEM",,,,,,,"MISS FT by GRANT,SHE'CHEM",2
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",2
12:19,,42 (+7),,35,"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 42-35 (-7),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
11:50,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",2
11:41,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",2
11:41,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",2
11:41,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",2
11:41,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",2
11:41,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",2
11:41,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
11:37,,42 (+4),,38,"GOOD 3PTR by SINE,TUCKER",CENTRE-M 42-38 (-4),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by PURVIS,KC",,,"ASSIST  by PURVIS,KC",2
11:17,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",2
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",2
11:05,,,,,"MISS JUMPER by WALKER,ART",,,"MISS JUMPER by WALKER,ART",2
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",2
10:43,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",2
10:43,"MISS FT by TURNER,JAMES",,,,,,,"MISS FT by TURNER,JAMES",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:43,"GOOD FT by TURNER,JAMES",43 (+5),,38,,MILMB 43-38 (-5),,"GOOD FT by TURNER,JAMES",2
10:15,,,,,"TURNOVER  by PURVIS,KC",,,"TURNOVER  by PURVIS,KC",2
10:15,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
10:15,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",2
09:55,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",2
09:46,,,,,"MISS LAYUP by SINE,TUCKER",,,"MISS LAYUP by SINE,TUCKER",2
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",2
09:39,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,,,,,"REBOUND DEF by CRUMP,DAWSON",,,"REBOUND DEF by CRUMP,DAWSON",2
09:12,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",2
09:12,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",2
09:11,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
09:11,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",2
09:09,,43 (+3),,40,"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 43-40 (-3),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
08:45,"GOOD JUMPER by BLANZ,BUCK(in the paint)",45 (+5),,40,,MILMB 45-40 (-5),,"GOOD JUMPER by BLANZ,BUCK(in the paint)",2
08:24,,,,,"MISS JUMPER by CRUMP,DAWSON",,,"MISS JUMPER by CRUMP,DAWSON",2
07:59,,,,,"MISS JUMPER by CRUMP,DAWSON",,,"MISS JUMPER by CRUMP,DAWSON",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
07:52,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",2
07:50,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",2
07:50,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
07:50,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",2
07:50,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
07:47,,45 (+3),,42,"GOOD JUMPER by BATES,JACOB",CENTRE-M 45-42 (-3),,"GOOD JUMPER by BATES,JACOB",2
07:31,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",2
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",2
07:29,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
07:27,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",2
07:24,,,,,"FOUL  by AYERS,PERRY",,,"FOUL  by AYERS,PERRY",2
07:24,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",2
07:24,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",2
07:24,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",2
07:24,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",2
07:11,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",2
07:07,,,,,"STEAL  by WALKER,ART",,,"STEAL  by WALKER,ART",2
07:03,,,,,"MISS 3PTR by WALKER,ART",,,"MISS 3PTR by WALKER,ART",2
--,,,,,"REBOUND OFF by BATES,JACOB",,,"REBOUND OFF by BATES,JACOB",2
06:48,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",2
--,"REBOUND DEF by OWENS,MATT",,,,,,,"REBOUND DEF by OWENS,MATT",2
06:26,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",2
06:23,,,,,"STEAL  by WALKER,ART",,,"STEAL  by WALKER,ART",2
06:18,,45 (+1),,44,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",CENTRE-M 45-44 (-1),,"GOOD LAYUP by CRUMP,DAWSON(in the paint)",2
06:18,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",2
06:18,,,,,"MISS FT by CRUMP,DAWSON",,,"MISS FT by CRUMP,DAWSON",2
--,"REBOUND DEF by GRANT,SHE'CHEM",,,,,,,"REBOUND DEF by GRANT,SHE'CHEM",2
06:18,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",2
06:18,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
06:18,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
06:18,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",2
06:02,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",47 (+3),,44,,MILMB 47-44 (-3),,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",2
05:43,,,,,"MISS LAYUP by GRIFFIN,JAROD",,,"MISS LAYUP by GRIFFIN,JAROD",2
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",2
05:33,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",2
05:33,"TURNOVER  by OWENS,MATT",,,,,,,"TURNOVER  by OWENS,MATT",2
05:33,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",2
05:33,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",2
05:13,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",2
--,,,,,"REBOUND OFF by RAKES,BAILEY",,,"REBOUND OFF by RAKES,BAILEY",2
05:07,,47 (+1),,46,"GOOD LAYUP by RAKES,BAILEY(in the paint)",CENTRE-M 47-46 (-1),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",2
04:40,"MISS LAYUP by GRANT,SHE'CHEM",,,,,,,"MISS LAYUP by GRANT,SHE'CHEM",2
--,"REBOUND OFF by OWENS,MATT",,,,,,,"REBOUND OFF by OWENS,MATT",2
04:35,"TURNOVER  by OWENS,MATT",,,,,,,"TURNOVER  by OWENS,MATT",2
04:33,,,,,"STEAL  by BATES,JACOB",,,"STEAL  by BATES,JACOB",2
04:29,,47,,49 (+2),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 47-49 (+2),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",2
04:10,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",2
04:10,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
04:10,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",2
04:00,"GOOD LAYUP by TURNER,JAMES(in the paint)",49,,49,,MILMB 49-49 (0),,"GOOD LAYUP by TURNER,JAMES(in the paint)",2
04:00,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",2
04:00,"MISS FT by TURNER,JAMES",,,,,,,"MISS FT by TURNER,JAMES",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
03:54,,49,,52 (+3),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 49-52 (+3),,"GOOD 3PTR by SINE,TUCKER",2
--,,,,,"ASSIST  by RAKES,BAILEY",,,"ASSIST  by RAKES,BAILEY",2
03:43,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",2
03:43,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",2
03:23,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",2
03:08,,49,,55 (+6),"GOOD 3PTR by WALKER,ART",CENTRE-M 49-55 (+6),,"GOOD 3PTR by WALKER,ART",2
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",2
02:51,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",2
02:46,"GOOD 3PTR by GRANT,SHE'CHEM",52,,55 (+3),,MILMB 52-55 (+3),,"GOOD 3PTR by GRANT,SHE'CHEM",2
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",2
02:14,,52,,57 (+5),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 52-57 (+5),,"GOOD LAYUP by BATES,JACOB(in the paint)",2
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",2
01:55,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",54,,57 (+3),,MILMB 54-57 (+3),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",2
01:29,,,,,"MISS LAYUP by WALKER,ART",,,"MISS LAYUP by WALKER,ART",2
--,"REBOUND DEF by SULLIVAN,MICHAEL",,,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",2
01:18,"MISS LAYUP by SULLIVAN,MICHAEL",,,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
01:13,,,,,"TURNOVER  by BATES,JACOB",,,"TURNOVER  by BATES,JACOB",2
01:11,"STEAL  by SULLIVAN,MICHAEL",,,,,,,"STEAL  by SULLIVAN,MICHAEL",2
01:09,"MISS JUMPER by SULLIVAN,MICHAEL",,,,,,,"MISS JUMPER by SULLIVAN,MICHAEL",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
01:09,,,,,"SUB IN by AYERS,PERRY",,,"SUB IN by AYERS,PERRY",2
01:09,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
00:50,,54,,59 (+5),"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE-M 54-59 (+5),,"GOOD LAYUP by AYERS,PERRY(in the paint)",2
00:40,,,,,"SUB IN by RAKES,BAILEY",,,"SUB IN by RAKES,BAILEY",2
00:40,,,,,"SUB OUT by CRUMP,DAWSON",,,"SUB OUT by CRUMP,DAWSON",2
00:38,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",2
00:31,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
00:31,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
00:29,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",2
00:29,,,,,"FOUL TECH by SINE,TUCKER",,,"FOUL TECH by SINE,TUCKER",2
00:29,"GOOD FT by SULLIVAN,MICHAEL",55,,59 (+4),,MILMB 55-59 (+4),,"GOOD FT by SULLIVAN,MICHAEL",2
00:29,"GOOD FT by SULLIVAN,MICHAEL",56,,59 (+3),,MILMB 56-59 (+3),,"GOOD FT by SULLIVAN,MICHAEL",2
00:29,,,,,"MISS FT by WALKER,ART",,,"MISS FT by WALKER,ART",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
00:29,,56,,60 (+4),"GOOD FT by WALKER,ART",CENTRE-M 56-60 (+4),,"GOOD FT by WALKER,ART",2
00:29,"FOUL  by GRANT,SHE'CHEM",,,,,,,"FOUL  by GRANT,SHE'CHEM",2
00:29,,56,,61 (+5),"GOOD FT by GRIFFIN,JAROD",CENTRE-M 56-61 (+5),,"GOOD FT by GRIFFIN,JAROD",2
00:29,,56,,62 (+6),"GOOD FT by GRIFFIN,JAROD",CENTRE-M 56-62 (+6),,"GOOD FT by GRIFFIN,JAROD",2
00:29,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",2
00:29,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",2
00:29,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
00:29,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",2
00:17,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",58,,62 (+4),,MILMB 58-62 (+4),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",2
00:17,"FOUL  by BLANZ,BUCK",,,,,,,"FOUL  by BLANZ,BUCK",2
00:17,,58,,63 (+5),"GOOD FT by BATES,JACOB",CENTRE-M 58-63 (+5),,"GOOD FT by BATES,JACOB",2
00:17,,,,,"MISS FT by BATES,JACOB",,,"MISS FT by BATES,JACOB",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:17,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",2
00:17,,,,,"SUB OUT by GRIFFIN,JAROD",,,"SUB OUT by GRIFFIN,JAROD",2
00:15,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",2
00:13,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",2
00:13,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",2
00:13,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",2
00:02,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
