Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,UK,Game Score,Team Indicator,Play,Period
15:58,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:58,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
15:58,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
15:58,,,,,"SUB IN by RICHARDS,NICK",,,"SUB IN by RICHARDS,NICK",1
15:58,,,,,"SUB OUT by DIALLO,HAMIDOU",,,"SUB OUT by DIALLO,HAMIDOU",1
15:41,"MISS 3PTR by HAGER,WILL",,,,,,,"MISS 3PTR by HAGER,WILL",1
15:41,,,,,BLOCK  by GILGEOUS-ALEXANDER,,,BLOCK  by GILGEOUS-ALEXANDER,1
--,,,,,REBOUND DEF by GILGEOUS-ALEXANDER,,,REBOUND DEF by GILGEOUS-ALEXANDER,1
15:35,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
15:35,,,,,"SUB IN by DIALLO,HAMIDOU",,,"SUB IN by DIALLO,HAMIDOU",1
15:35,,,,,"SUB OUT by GREEN,QUADE",,,"SUB OUT by GREEN,QUADE",1
15:28,,6,,15 (+9),"GOOD JUMPER by RICHARDS,NICK(in the paint)",UK 6-15 (-9),,"GOOD JUMPER by RICHARDS,NICK(in the paint)",1
--,,,,,"ASSIST  by KNOX,KEVIN",,,"ASSIST  by KNOX,KEVIN",1
15:12,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
15:12,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
15:12,,,,,"SUB IN by WASHINGTON,PJ",,,"SUB IN by WASHINGTON,PJ",1
15:12,,,,,"SUB OUT by KNOX,KEVIN",,,"SUB OUT by KNOX,KEVIN",1
14:53,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by RICHARDS,NICK",,,"REBOUND DEF by RICHARDS,NICK",1
14:46,,,,,"TURNOVER  by RICHARDS,NICK",,,"TURNOVER  by RICHARDS,NICK",1
14:35,"TURNOVER  by SCHMUCKER,ZACH",,,,,,,"TURNOVER  by SCHMUCKER,ZACH",1
14:32,,,,,"TURNOVER  by GABRIEL,WENYEN",,,"TURNOVER  by GABRIEL,WENYEN",1
14:31,"STEAL  by RAKES,BAILEY",,,,,,,"STEAL  by RAKES,BAILEY",1
14:27,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",1
--,,,,,"REBOUND DEF by GABRIEL,WENYEN",,,"REBOUND DEF by GABRIEL,WENYEN",1
14:20,"FOUL  by GRIFFIN,JAROD",,,,,,,"FOUL  by GRIFFIN,JAROD",1
14:20,,6,,16 (+10),GOOD FT by GILGEOUS-ALEXANDER,UK 6-16 (-10),,GOOD FT by GILGEOUS-ALEXANDER,1
14:20,,6,,17 (+11),GOOD FT by GILGEOUS-ALEXANDER,UK 6-17 (-11),,GOOD FT by GILGEOUS-ALEXANDER,1
14:20,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
14:20,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
14:20,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
14:20,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
14:02,"MISS JUMPER by AYERS,PERRY",,,,,,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND DEF by RICHARDS,NICK",,,"REBOUND DEF by RICHARDS,NICK",1
13:56,,,,,"MISS JUMPER by DIALLO,HAMIDOU",,,"MISS JUMPER by DIALLO,HAMIDOU",1
--,,,,,"REBOUND OFF by WASHINGTON,PJ",,,"REBOUND OFF by WASHINGTON,PJ",1
13:53,,6,,19 (+13),"GOOD LAYUP by WASHINGTON,PJ(in the paint)",UK 6-19 (-13),,"GOOD LAYUP by WASHINGTON,PJ(in the paint)",1
13:30,"TURNOVER  by HAGER,WILL",,,,,,,"TURNOVER  by HAGER,WILL",1
13:29,,,,,"STEAL  by GABRIEL,WENYEN",,,"STEAL  by GABRIEL,WENYEN",1
13:26,"FOUL  by AYERS,PERRY",,,,,,,"FOUL  by AYERS,PERRY",1
13:26,,,,,"MISS FT by DIALLO,HAMIDOU",,,"MISS FT by DIALLO,HAMIDOU",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:26,,6,,20 (+14),"GOOD FT by DIALLO,HAMIDOU",UK 6-20 (-14),,"GOOD FT by DIALLO,HAMIDOU",1
13:26,,,,,"SUB IN by KILLEYA-JONES,SACHA",,,"SUB IN by KILLEYA-JONES,SACHA",1
13:26,,,,,"SUB IN by GREEN,QUADE",,,"SUB IN by GREEN,QUADE",1
13:26,,,,,"SUB OUT by GABRIEL,WENYEN",,,"SUB OUT by GABRIEL,WENYEN",1
13:26,,,,,SUB OUT by GILGEOUS-ALEXANDER,,,SUB OUT by GILGEOUS-ALEXANDER,1
13:08,"GOOD LAYUP by AYERS,PERRY(in the paint)",8,,20 (+12),,CENTRE-M 8-20 (-12),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
12:53,,8,,23 (+15),"GOOD 3PTR by GREEN,QUADE",UK 8-23 (-15),,"GOOD 3PTR by GREEN,QUADE",1
12:27,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
12:27,,,,,"BLOCK  by WASHINGTON,PJ",,,"BLOCK  by WASHINGTON,PJ",1
--,,,,,"REBOUND DEF by GREEN,QUADE",,,"REBOUND DEF by GREEN,QUADE",1
12:23,,,,,"TURNOVER  by DIALLO,HAMIDOU",,,"TURNOVER  by DIALLO,HAMIDOU",1
12:13,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND OFF by AYERS,PERRY",,,,,,,"REBOUND OFF by AYERS,PERRY",1
12:06,"GOOD JUMPER by SINE,TUCKER",10,,23 (+13),,CENTRE-M 10-23 (-13),,"GOOD JUMPER by SINE,TUCKER",1
11:55,,,,,"TURNOVER  by RICHARDS,NICK",,,"TURNOVER  by RICHARDS,NICK",1
11:54,"STEAL  by AYERS,PERRY",,,,,,,"STEAL  by AYERS,PERRY",1
11:51,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
11:50,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:50,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
11:50,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
11:50,,,,,"SUB IN by KNOX,KEVIN",,,"SUB IN by KNOX,KEVIN",1
11:50,,,,,"SUB OUT by RICHARDS,NICK",,,"SUB OUT by RICHARDS,NICK",1
11:37,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
11:37,,10,,24 (+14),"GOOD FT by DIALLO,HAMIDOU",UK 10-24 (-14),,"GOOD FT by DIALLO,HAMIDOU",1
11:37,,10,,25 (+15),"GOOD FT by DIALLO,HAMIDOU",UK 10-25 (-15),,"GOOD FT by DIALLO,HAMIDOU",1
11:37,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
11:37,"SUB OUT by HAGER,WILL",,,,,,,"SUB OUT by HAGER,WILL",1
11:37,,,,,SUB IN by GILGEOUS-ALEXANDER,,,SUB IN by GILGEOUS-ALEXANDER,1
11:37,,,,,"SUB OUT by DIALLO,HAMIDOU",,,"SUB OUT by DIALLO,HAMIDOU",1
11:19,"GOOD 3PTR by BATES,JACOB",13,,25 (+12),,CENTRE-M 13-25 (-12),,"GOOD 3PTR by BATES,JACOB",1
11:04,,,,,MISS 3PTR by GILGEOUS-ALEXANDER,,,MISS 3PTR by GILGEOUS-ALEXANDER,1
--,,,,,"REBOUND OFF by WASHINGTON,PJ",,,"REBOUND OFF by WASHINGTON,PJ",1
10:58,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
10:58,,13,,26 (+13),"GOOD FT by WASHINGTON,PJ",UK 13-26 (-13),,"GOOD FT by WASHINGTON,PJ",1
10:58,,,,,"MISS FT by WASHINGTON,PJ",,,"MISS FT by WASHINGTON,PJ",1
--,"REBOUND DEF by SPITZER,JAKOB",,,,,,,"REBOUND DEF by SPITZER,JAKOB",1
10:42,,,,,"FOUL  by GREEN,QUADE",,,"FOUL  by GREEN,QUADE",1
10:42,"GOOD FT by AYERS,PERRY",14,,26 (+12),,CENTRE-M 14-26 (-12),,"GOOD FT by AYERS,PERRY",1
10:42,"GOOD FT by AYERS,PERRY",15,,26 (+11),,CENTRE-M 15-26 (-11),,"GOOD FT by AYERS,PERRY",1
10:42,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
10:42,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
10:42,,,,,"SUB IN by DIALLO,HAMIDOU",,,"SUB IN by DIALLO,HAMIDOU",1
10:42,,,,,"SUB OUT by GREEN,QUADE",,,"SUB OUT by GREEN,QUADE",1
10:28,,15,,28 (+13),GOOD JUMPER by GILGEOUS-ALEXANDER,UK 15-28 (-13),,GOOD JUMPER by GILGEOUS-ALEXANDER,1
10:01,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by KNOX,KEVIN",,,"REBOUND DEF by KNOX,KEVIN",1
09:54,,,,,MISS JUMPER by GILGEOUS-ALEXANDER,,,MISS JUMPER by GILGEOUS-ALEXANDER,1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
09:46,"GOOD LAYUP by SPITZER,JAKOB(fastbreak)(in the paint)",17,,28 (+11),,CENTRE-M 17-28 (-11),,"GOOD LAYUP by SPITZER,JAKOB(fastbreak)(in the paint)",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
09:32,,,,,"MISS JUMPER by WASHINGTON,PJ",,,"MISS JUMPER by WASHINGTON,PJ",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
09:21,"MISS JUMPER by SINE,TUCKER",,,,,,,"MISS JUMPER by SINE,TUCKER",1
--,,,,,REBOUND DEF by GILGEOUS-ALEXANDER,,,REBOUND DEF by GILGEOUS-ALEXANDER,1
09:12,,,,,"MISS LAYUP by KILLEYA-JONES,SACHA",,,"MISS LAYUP by KILLEYA-JONES,SACHA",1
--,,,,,"REBOUND OFF by KNOX,KEVIN",,,"REBOUND OFF by KNOX,KEVIN",1
09:08,,,,,"SUB IN by GABRIEL,WENYEN",,,"SUB IN by GABRIEL,WENYEN",1
09:08,,,,,"SUB IN by RICHARDS,NICK",,,"SUB IN by RICHARDS,NICK",1
09:08,,,,,"SUB OUT by WASHINGTON,PJ",,,"SUB OUT by WASHINGTON,PJ",1
09:08,,,,,"SUB OUT by KILLEYA-JONES,SACHA",,,"SUB OUT by KILLEYA-JONES,SACHA",1
09:03,,,,,"TURNOVER  by KNOX,KEVIN",,,"TURNOVER  by KNOX,KEVIN",1
08:50,,,,,"FOUL  by GABRIEL,WENYEN",,,"FOUL  by GABRIEL,WENYEN",1
08:50,"GOOD FT by SPITZER,JAKOB",18,,28 (+10),,CENTRE-M 18-28 (-10),,"GOOD FT by SPITZER,JAKOB",1
08:50,"GOOD FT by SPITZER,JAKOB",19,,28 (+9),,CENTRE-M 19-28 (-9),,"GOOD FT by SPITZER,JAKOB",1
08:33,,,,,MISS JUMPER by GILGEOUS-ALEXANDER,,,MISS JUMPER by GILGEOUS-ALEXANDER,1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
08:24,"GOOD 3PTR by SINE,TUCKER",22,,28 (+6),,CENTRE-M 22-28 (-6),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by RAKES,BAILEY",,,,,,,"ASSIST  by RAKES,BAILEY",1
08:00,,22,,30 (+8),"GOOD LAYUP by DIALLO,HAMIDOU(in the paint)",UK 22-30 (-8),,"GOOD LAYUP by DIALLO,HAMIDOU(in the paint)",1
07:40,"MISS JUMPER by SPITZER,JAKOB",,,,,,,"MISS JUMPER by SPITZER,JAKOB",1
--,,,,,"REBOUND DEF by KNOX,KEVIN",,,"REBOUND DEF by KNOX,KEVIN",1
07:33,,22,,32 (+10),"GOOD LAYUP by KNOX,KEVIN(fastbreak)(in the paint)",UK 22-32 (-10),,"GOOD LAYUP by KNOX,KEVIN(fastbreak)(in the paint)",1
07:13,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:13,"SUB IN by BROWNLEY,HOGAN",,,,,,,"SUB IN by BROWNLEY,HOGAN",1
07:13,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
07:13,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
07:13,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
07:13,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
07:13,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
07:13,,,,,"SUB IN by WASHINGTON,PJ",,,"SUB IN by WASHINGTON,PJ",1
07:13,,,,,"SUB IN by GREEN,QUADE",,,"SUB IN by GREEN,QUADE",1
07:13,,,,,SUB OUT by GILGEOUS-ALEXANDER,,,SUB OUT by GILGEOUS-ALEXANDER,1
07:13,,,,,"SUB OUT by KNOX,KEVIN",,,"SUB OUT by KNOX,KEVIN",1
06:51,TURNOVER  by TEAM,,,,,,,TURNOVER  by TEAM,1
06:37,,22,,34 (+12),"GOOD JUMPER by WASHINGTON,PJ(in the paint)",UK 22-34 (-12),,"GOOD JUMPER by WASHINGTON,PJ(in the paint)",1
06:16,"MISS LAYUP by BROWNLEY,HOGAN",,,,,,,"MISS LAYUP by BROWNLEY,HOGAN",1
06:16,,,,,"BLOCK  by RICHARDS,NICK",,,"BLOCK  by RICHARDS,NICK",1
--,,,,,"REBOUND DEF by RICHARDS,NICK",,,"REBOUND DEF by RICHARDS,NICK",1
06:16,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
06:16,,,,,"MISS FT by DIALLO,HAMIDOU",,,"MISS FT by DIALLO,HAMIDOU",1
--,,,,,"REBOUND OFF by RICHARDS,NICK",,,"REBOUND OFF by RICHARDS,NICK",1
06:16,,22,,36 (+14),"GOOD DUNK by RICHARDS,NICK(in the paint)",UK 22-36 (-14),,"GOOD DUNK by RICHARDS,NICK(in the paint)",1
05:45,"MISS 3PTR by RAKES,BAILEY",,,,,,,"MISS 3PTR by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by DIALLO,HAMIDOU",,,"REBOUND DEF by DIALLO,HAMIDOU",1
05:42,,22,,38 (+16),"GOOD JUMPER by DIALLO,HAMIDOU(fastbreak)",UK 22-38 (-16),,"GOOD JUMPER by DIALLO,HAMIDOU(fastbreak)",1
05:35,,,,,"SUB IN by KNOX,KEVIN",,,"SUB IN by KNOX,KEVIN",1
05:35,,,,,"SUB OUT by DIALLO,HAMIDOU",,,"SUB OUT by DIALLO,HAMIDOU",1
05:30,"GOOD JUMPER by GRIFFIN,JAROD(in the paint)",24,,38 (+14),,CENTRE-M 24-38 (-14),,"GOOD JUMPER by GRIFFIN,JAROD(in the paint)",1
05:20,,24,,40 (+16),"GOOD LAYUP by GREEN,QUADE(in the paint)",UK 24-40 (-16),,"GOOD LAYUP by GREEN,QUADE(in the paint)",1
04:52,"TURNOVER  by WALKER,ART",,,,,,,"TURNOVER  by WALKER,ART",1
04:47,,24,,42 (+18),"GOOD DUNK by RICHARDS,NICK(fastbreak)(in the paint)",UK 24-42 (-18),,"GOOD DUNK by RICHARDS,NICK(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by WASHINGTON,PJ",,,"ASSIST  by WASHINGTON,PJ",1
04:17,"MISS LAYUP by BROWNLEY,HOGAN",,,,,,,"MISS LAYUP by BROWNLEY,HOGAN",1
04:17,,,,,"BLOCK  by WASHINGTON,PJ",,,"BLOCK  by WASHINGTON,PJ",1
--,,,,,"REBOUND DEF by KNOX,KEVIN",,,"REBOUND DEF by KNOX,KEVIN",1
04:11,,,,,"MISS 3PTR by KNOX,KEVIN",,,"MISS 3PTR by KNOX,KEVIN",1
--,"REBOUND DEF by RAKES,BAILEY",,,,,,,"REBOUND DEF by RAKES,BAILEY",1
03:52,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by GABRIEL,WENYEN",,,"REBOUND DEF by GABRIEL,WENYEN",1
03:44,,,,,"MISS 3PTR by WASHINGTON,PJ",,,"MISS 3PTR by WASHINGTON,PJ",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
03:25,"MISS JUMPER by RAKES,BAILEY",,,,,,,"MISS JUMPER by RAKES,BAILEY",1
--,,,,,"REBOUND DEF by KNOX,KEVIN",,,"REBOUND DEF by KNOX,KEVIN",1
03:17,"FOUL  by WALKER,ART",,,,,,,"FOUL  by WALKER,ART",1
03:17,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:17,,24,,43 (+19),"GOOD FT by WASHINGTON,PJ",UK 24-43 (-19),,"GOOD FT by WASHINGTON,PJ",1
03:17,,,,,"MISS FT by WASHINGTON,PJ",,,"MISS FT by WASHINGTON,PJ",1
--,,,,,"REBOUND OFF by KILLEYA-JONES,SACHA",,,"REBOUND OFF by KILLEYA-JONES,SACHA",1
03:17,,24,,45 (+21),"GOOD LAYUP by KILLEYA-JONES,SACHA(in the paint)",UK 24-45 (-21),,"GOOD LAYUP by KILLEYA-JONES,SACHA(in the paint)",1
03:17,"SUB IN by SCHMUCKER,ZACH",,,,,,,"SUB IN by SCHMUCKER,ZACH",1
03:17,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
03:17,"SUB IN by HAGER,WILL",,,,,,,"SUB IN by HAGER,WILL",1
03:17,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
03:17,"SUB OUT by BROWNLEY,HOGAN",,,,,,,"SUB OUT by BROWNLEY,HOGAN",1
03:17,"SUB OUT by BATES,JACOB",,,,,,,"SUB OUT by BATES,JACOB",1
03:17,"SUB OUT by WALKER,ART",,,,,,,"SUB OUT by WALKER,ART",1
03:17,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
03:17,,,,,SUB IN by GILGEOUS-ALEXANDER,,,SUB IN by GILGEOUS-ALEXANDER,1
03:17,,,,,"SUB IN by KILLEYA-JONES,SACHA",,,"SUB IN by KILLEYA-JONES,SACHA",1
03:17,,,,,"SUB OUT by RICHARDS,NICK",,,"SUB OUT by RICHARDS,NICK",1
03:17,,,,,"SUB OUT by GREEN,QUADE",,,"SUB OUT by GREEN,QUADE",1
02:46,,,,,"FOUL  by WASHINGTON,PJ",,,"FOUL  by WASHINGTON,PJ",1
02:46,,,,,"SUB IN by DIALLO,HAMIDOU",,,"SUB IN by DIALLO,HAMIDOU",1
02:46,,,,,"SUB OUT by WASHINGTON,PJ",,,"SUB OUT by WASHINGTON,PJ",1
02:22,"MISS 3PTR by SCHMUCKER,ZACH",,,,,,,"MISS 3PTR by SCHMUCKER,ZACH",1
--,,,,,REBOUND DEF by GILGEOUS-ALEXANDER,,,REBOUND DEF by GILGEOUS-ALEXANDER,1
02:18,,,,,"MISS JUMPER by DIALLO,HAMIDOU",,,"MISS JUMPER by DIALLO,HAMIDOU",1
--,,,,,"REBOUND OFF by KILLEYA-JONES,SACHA",,,"REBOUND OFF by KILLEYA-JONES,SACHA",1
02:04,,,,,"TURNOVER  by KNOX,KEVIN",,,"TURNOVER  by KNOX,KEVIN",1
02:04,,,,,"FOUL  by KNOX,KEVIN",,,"FOUL  by KNOX,KEVIN",1
01:58,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,"REBOUND DEF by KILLEYA-JONES,SACHA",,,"REBOUND DEF by KILLEYA-JONES,SACHA",1
01:39,,24,,48 (+24),"GOOD 3PTR by GABRIEL,WENYEN",UK 24-48 (-24),,"GOOD 3PTR by GABRIEL,WENYEN",1
--,,,,,"ASSIST  by KNOX,KEVIN",,,"ASSIST  by KNOX,KEVIN",1
01:16,"TURNOVER  by SCHMUCKER,ZACH",,,,,,,"TURNOVER  by SCHMUCKER,ZACH",1
01:16,,24,,50 (+26),"GOOD LAYUP by GABRIEL,WENYEN(in the paint)",UK 24-50 (-26),,"GOOD LAYUP by GABRIEL,WENYEN(in the paint)",1
--,,,,,"ASSIST  by KILLEYA-JONES,SACHA",,,"ASSIST  by KILLEYA-JONES,SACHA",1
01:16,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
01:16,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
01:16,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
01:16,"SUB OUT by GRIFFIN,JAROD",,,,,,,"SUB OUT by GRIFFIN,JAROD",1
01:16,,,,,"SUB IN by GREEN,QUADE",,,"SUB IN by GREEN,QUADE",1
01:16,,,,,"SUB OUT by DIALLO,HAMIDOU",,,"SUB OUT by DIALLO,HAMIDOU",1
00:30,"MISS 3PTR by SINE,TUCKER",,,,,,,"MISS 3PTR by SINE,TUCKER",1
--,,,,,REBOUND DEF by GILGEOUS-ALEXANDER,,,REBOUND DEF by GILGEOUS-ALEXANDER,1
00:24,,,,,MISS LAYUP by GILGEOUS-ALEXANDER,,,MISS LAYUP by GILGEOUS-ALEXANDER,1
--,,,,,"REBOUND OFF by GABRIEL,WENYEN",,,"REBOUND OFF by GABRIEL,WENYEN",1
00:21,,24,,52 (+28),"GOOD LAYUP by GABRIEL,WENYEN(in the paint)",UK 24-52 (-28),,"GOOD LAYUP by GABRIEL,WENYEN(in the paint)",1
20:00,,,,,"SUB IN by DIALLO,HAMIDOU",,,"SUB IN by DIALLO,HAMIDOU",2
20:00,,,,,SUB OUT by GILGEOUS-ALEXANDER,,,SUB OUT by GILGEOUS-ALEXANDER,2
19:50,"MISS 3PTR by GRIFFIN,JAROD",,,,,,,"MISS 3PTR by GRIFFIN,JAROD",2
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",2
19:34,"GOOD JUMPER by SPITZER,JAKOB",26,,52 (+26),,CENTRE-M 26-52 (-26),,"GOOD JUMPER by SPITZER,JAKOB",2
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",2
19:14,,,,,"TURNOVER  by GREEN,QUADE",,,"TURNOVER  by GREEN,QUADE",2
19:14,,,,,"FOUL  by GREEN,QUADE",,,"FOUL  by GREEN,QUADE",2
19:03,"TURNOVER  by GRIFFIN,JAROD",,,,,,,"TURNOVER  by GRIFFIN,JAROD",2
