Time Remaining,MVCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:46,"GOOD JUMPER by SONGSTER,CALVIN",2 (+2),,0,,MVCM 2-0 (-2),,"GOOD JUMPER by SONGSTER,CALVIN",1
--,"ASSIST  by ESTES,KALEB",,,,,,,"ASSIST  by ESTES,KALEB",1
19:32,"FOUL  by NOKES,COLT",,,,,,,"FOUL  by NOKES,COLT",1
19:22,,,,,"MISS LAYUP by AYERS,PERRY",,,"MISS LAYUP by AYERS,PERRY",1
19:22,"BLOCK  by BOWMAN,EMIER",,,,,,,"BLOCK  by BOWMAN,EMIER",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
19:04,,2,,3 (+1),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 2-3 (+1),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,,,,,"ASSIST  by SINE,TUCKER",,,"ASSIST  by SINE,TUCKER",1
18:44,"MISS JUMPER by HOPPA,DANTE",,,,,,,"MISS JUMPER by HOPPA,DANTE",1
--,"REBOUND OFF by SONGSTER,CALVIN",,,,,,,"REBOUND OFF by SONGSTER,CALVIN",1
18:32,,2,,5 (+3),"GOOD JUMPER by AYERS,PERRY",CENTRE-M 2-5 (+3),,"GOOD JUMPER by AYERS,PERRY",1
18:14,"GOOD JUMPER by NOKES,COLT",4,,5 (+1),,MVCM 4-5 (+1),,"GOOD JUMPER by NOKES,COLT",1
17:59,,,,,"MISS LAYUP by RAKES,BAILEY",,,"MISS LAYUP by RAKES,BAILEY",1
--,,,,,"REBOUND OFF by SPITZER,JAKOB",,,"REBOUND OFF by SPITZER,JAKOB",1
17:52,,4,,7 (+3),"GOOD JUMPER by SPITZER,JAKOB(fastbreak)(in the paint)",CENTRE-M 4-7 (+3),,"GOOD JUMPER by SPITZER,JAKOB(fastbreak)(in the paint)",1
17:43,"MISS JUMPER by NOKES,COLT",,,,,,,"MISS JUMPER by NOKES,COLT",1
--,,,,,"REBOUND DEF by RAKES,BAILEY",,,"REBOUND DEF by RAKES,BAILEY",1
17:33,,4,,9 (+5),"GOOD LAYUP by SPITZER,JAKOB(in the paint)",CENTRE-M 4-9 (+5),,"GOOD LAYUP by SPITZER,JAKOB(in the paint)",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
17:28,"FOUL  by SONGSTER,CALVIN",,,,,,,"FOUL  by SONGSTER,CALVIN",1
17:28,,,,,"MISS FT by SPITZER,JAKOB",,,"MISS FT by SPITZER,JAKOB",1
--,"REBOUND DEF by NOKES,COLT",,,,,,,"REBOUND DEF by NOKES,COLT",1
17:25,"MISS JUMPER by SONGSTER,CALVIN",,,,,,,"MISS JUMPER by SONGSTER,CALVIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:03,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by HOPPA,DANTE",,,,,,,"REBOUND DEF by HOPPA,DANTE",1
16:43,"MISS JUMPER by BOWMAN,EMIER",,,,,,,"MISS JUMPER by BOWMAN,EMIER",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
16:18,,4,,12 (+8),"GOOD 3PTR by GRIFFIN,JAROD",CENTRE-M 4-12 (+8),,"GOOD 3PTR by GRIFFIN,JAROD",1
16:07,"GOOD JUMPER by SONGSTER,CALVIN",6,,12 (+6),,MVCM 6-12 (+6),,"GOOD JUMPER by SONGSTER,CALVIN",1
15:48,,,,,"MISS LAYUP by RAKES,BAILEY",,,"MISS LAYUP by RAKES,BAILEY",1
--,"REBOUND DEF by NOKES,COLT",,,,,,,"REBOUND DEF by NOKES,COLT",1
15:40,"MISS FT by HOPPA,DANTE",,,,,,,"MISS FT by HOPPA,DANTE",1
15:40,"GOOD LAYUP by HOPPA,DANTE(fastbreak)(in the paint)",8,,12 (+4),,MVCM 8-12 (+4),,"GOOD LAYUP by HOPPA,DANTE(fastbreak)(in the paint)",1
--,,,,,"REBOUND DEF by SINE,TUCKER",,,"REBOUND DEF by SINE,TUCKER",1
15:40,"SUB IN by SPALDING,TANNER",,,,,,,"SUB IN by SPALDING,TANNER",1
15:40,"SUB IN by GARCIA,EMANUELLE",,,,,,,"SUB IN by GARCIA,EMANUELLE",1
15:40,"SUB OUT by NOKES,COLT",,,,,,,"SUB OUT by NOKES,COLT",1
15:40,"SUB OUT by SONGSTER,CALVIN",,,,,,,"SUB OUT by SONGSTER,CALVIN",1
15:40,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
15:40,,,,,"SUB IN by WALKER,ART",,,"SUB IN by WALKER,ART",1
