Time Remaining,CENTRE-M,Away Team Score,Play Team Indicator,Home Team Score,MILMB,Game Score,Team Indicator,Play,Period
09:55,,,,,"SUB OUT by COLEMAN,DANIEL",,,"SUB OUT by COLEMAN,DANIEL",1
09:55,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
09:46,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND OFF by BURNETT,DREW",,,"REBOUND OFF by BURNETT,DREW",1
09:40,"FOUL  by PURVIS,KC",,,,,,,"FOUL  by PURVIS,KC",1
09:38,,,,,"MISS JUMPER by SULLIVAN,MICHAEL",,,"MISS JUMPER by SULLIVAN,MICHAEL",1
--,"REBOUND DEF by AYERS,PERRY",,,,,,,"REBOUND DEF by AYERS,PERRY",1
09:27,"MISS LAYUP by SINE,TUCKER",,,,,,,"MISS LAYUP by SINE,TUCKER",1
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",1
08:58,,,,,"MISS 3PTR by BURNETT,DREW",,,"MISS 3PTR by BURNETT,DREW",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
08:42,"TURNOVER  by AYERS,PERRY",,,,,,,"TURNOVER  by AYERS,PERRY",1
08:41,"SUB IN by SPITZER,JAKOB",,,,,,,"SUB IN by SPITZER,JAKOB",1
08:41,"SUB IN by WALKER,ART",,,,,,,"SUB IN by WALKER,ART",1
08:41,"SUB OUT by SCHMUCKER,ZACH",,,,,,,"SUB OUT by SCHMUCKER,ZACH",1
08:41,"SUB OUT by PURVIS,KC",,,,,,,"SUB OUT by PURVIS,KC",1
08:41,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
08:41,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
08:41,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
08:41,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
08:41,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
08:41,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
08:25,,8,,12 (+4),"GOOD LAYUP by KOHNKE,SAM(in the paint)",MILMB 8-12 (-4),,"GOOD LAYUP by KOHNKE,SAM(in the paint)",1
--,,,,,"ASSIST  by BURNETT,DREW",,,"ASSIST  by BURNETT,DREW",1
08:06,,,,,"FOUL  by KOHNKE,SAM",,,"FOUL  by KOHNKE,SAM",1
07:54,"GOOD JUMPER by SINE,TUCKER",10,,12 (+2),,CENTRE-M 10-12 (-2),,"GOOD JUMPER by SINE,TUCKER",1
07:36,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
07:36,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
07:36,,10,,13 (+3),"GOOD FT by TURNER,JAMES",MILMB 10-13 (-3),,"GOOD FT by TURNER,JAMES",1
07:36,,10,,14 (+4),"GOOD FT by TURNER,JAMES",MILMB 10-14 (-4),,"GOOD FT by TURNER,JAMES",1
07:24,"TURNOVER  by SPITZER,JAKOB",,,,,,,"TURNOVER  by SPITZER,JAKOB",1
07:24,"FOUL  by SPITZER,JAKOB",,,,,,,"FOUL  by SPITZER,JAKOB",1
07:24,"SUB IN by BATES,JACOB",,,,,,,"SUB IN by BATES,JACOB",1
07:24,"SUB OUT by SPITZER,JAKOB",,,,,,,"SUB OUT by SPITZER,JAKOB",1
07:11,,10,,16 (+6),"GOOD JUMPER by GRANT,SHE'CHEM",MILMB 10-16 (-6),,"GOOD JUMPER by GRANT,SHE'CHEM",1
06:51,,,,,"FOUL  by SULLIVAN,MICHAEL",,,"FOUL  by SULLIVAN,MICHAEL",1
06:51,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",1
06:51,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
06:48,,,,,"FOUL  by BURNETT,DREW",,,"FOUL  by BURNETT,DREW",1
06:48,"GOOD FT by BATES,JACOB",11,,16 (+5),,CENTRE-M 11-16 (-5),,"GOOD FT by BATES,JACOB",1
06:48,"MISS FT by BATES,JACOB",,,,,,,"MISS FT by BATES,JACOB",1
--,,,,,"REBOUND DEF by BURNETT,DREW",,,"REBOUND DEF by BURNETT,DREW",1
06:36,,,,,"MISS LAYUP by TURNER,JAMES",,,"MISS LAYUP by TURNER,JAMES",1
--,"REBOUND DEF by SINE,TUCKER",,,,,,,"REBOUND DEF by SINE,TUCKER",1
06:30,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,"REBOUND OFF by SINE,TUCKER",,,,,,,"REBOUND OFF by SINE,TUCKER",1
06:19,"GOOD 3PTR by SINE,TUCKER",14,,16 (+2),,CENTRE-M 14-16 (-2),,"GOOD 3PTR by SINE,TUCKER",1
--,"ASSIST  by AYERS,PERRY",,,,,,,"ASSIST  by AYERS,PERRY",1
06:04,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
06:04,"SUB IN by GRIFFIN,JAROD",,,,,,,"SUB IN by GRIFFIN,JAROD",1
06:04,"SUB IN by CRUMP,DAWSON",,,,,,,"SUB IN by CRUMP,DAWSON",1
06:04,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
06:04,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
06:04,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
06:04,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
06:04,,,,,"SUB OUT by BURNETT,DREW",,,"SUB OUT by BURNETT,DREW",1
06:04,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
05:50,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
05:44,,,,,"FOUL  by MILLER,JOSHUA",,,"FOUL  by MILLER,JOSHUA",1
05:44,"GOOD FT by CRUMP,DAWSON",15,,16 (+1),,CENTRE-M 15-16 (-1),,"GOOD FT by CRUMP,DAWSON",1
05:44,"MISS FT by CRUMP,DAWSON",,,,,,,"MISS FT by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
05:25,,15,,19 (+4),"GOOD 3PTR by GRANT,SHE'CHEM",MILMB 15-19 (-4),,"GOOD 3PTR by GRANT,SHE'CHEM",1
--,,,,,"ASSIST  by BLANZ,BUCK",,,"ASSIST  by BLANZ,BUCK",1
05:02,"GOOD 3PTR by GRIFFIN,JAROD",18,,19 (+1),,CENTRE-M 18-19 (-1),,"GOOD 3PTR by GRIFFIN,JAROD",1
--,"ASSIST  by BATES,JACOB",,,,,,,"ASSIST  by BATES,JACOB",1
04:48,,,,,"MISS JUMPER by BLANZ,BUCK",,,"MISS JUMPER by BLANZ,BUCK",1
--,"REBOUND DEF by CRUMP,DAWSON",,,,,,,"REBOUND DEF by CRUMP,DAWSON",1
04:41,"TURNOVER  by SINE,TUCKER",,,,,,,"TURNOVER  by SINE,TUCKER",1
04:34,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",1
04:32,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",1
04:20,"GOOD LAYUP by BATES,JACOB(in the paint)",20 (+1),,19,,CENTRE-M 20-19 (+1),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
04:06,,20,,22 (+2),"GOOD 3PTR by GRANT,SHE'CHEM",MILMB 20-22 (-2),,"GOOD 3PTR by GRANT,SHE'CHEM",1
03:52,"MISS 3PTR by WALKER,ART",,,,,,,"MISS 3PTR by WALKER,ART",1
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",1
03:35,"FOUL  by CRUMP,DAWSON",,,,,,,"FOUL  by CRUMP,DAWSON",1
03:35,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
03:35,,,,,"MISS FT by SULLIVAN,MICHAEL",,,"MISS FT by SULLIVAN,MICHAEL",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
03:35,,,,,"MISS FT by SULLIVAN,MICHAEL",,,"MISS FT by SULLIVAN,MICHAEL",1
--,"REBOUND DEF by BATES,JACOB",,,,,,,"REBOUND DEF by BATES,JACOB",1
03:35,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
03:35,"SUB OUT by SINE,TUCKER",,,,,,,"SUB OUT by SINE,TUCKER",1
03:35,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
03:35,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",1
03:35,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
03:35,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
03:35,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
03:35,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",1
03:18,"MISS LAYUP by WALKER,ART",,,,,,,"MISS LAYUP by WALKER,ART",1
03:18,,,,,"BLOCK  by SPIKES,KALVIN",,,"BLOCK  by SPIKES,KALVIN",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
03:05,,20,,24 (+4),"GOOD DUNK by SPIKES,KALVIN(in the paint)",MILMB 20-24 (-4),,"GOOD DUNK by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",1
02:42,"MISS JUMPER by CRUMP,DAWSON",,,,,,,"MISS JUMPER by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
02:29,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",1
02:27,"STEAL  by BATES,JACOB",,,,,,,"STEAL  by BATES,JACOB",1
02:23,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",1
02:23,"GOOD FT by BATES,JACOB",21,,24 (+3),,CENTRE-M 21-24 (-3),,"GOOD FT by BATES,JACOB",1
02:23,"GOOD FT by BATES,JACOB",22,,24 (+2),,CENTRE-M 22-24 (-2),,"GOOD FT by BATES,JACOB",1
02:23,"SUB IN by RAKES,BAILEY",,,,,,,"SUB IN by RAKES,BAILEY",1
02:23,"SUB OUT by CRUMP,DAWSON",,,,,,,"SUB OUT by CRUMP,DAWSON",1
02:23,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",1
02:23,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",1
02:23,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
02:23,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",1
02:23,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
02:23,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
02:00,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",1
--,"REBOUND DEF by WALKER,ART",,,,,,,"REBOUND DEF by WALKER,ART",1
01:49,"SUB IN by SINE,TUCKER",,,,,,,"SUB IN by SINE,TUCKER",1
01:49,"SUB OUT by AYERS,PERRY",,,,,,,"SUB OUT by AYERS,PERRY",1
01:49,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",1
01:49,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
01:33,"GOOD JUMPER by BATES,JACOB",24,,24,,CENTRE-M 24-24 (0),,"GOOD JUMPER by BATES,JACOB",1
01:15,,,,,"MISS LAYUP by OWENS,MATT",,,"MISS LAYUP by OWENS,MATT",1
--,,,,,"REBOUND OFF by OWENS,MATT",,,"REBOUND OFF by OWENS,MATT",1
01:11,"FOUL  by RAKES,BAILEY",,,,,,,"FOUL  by RAKES,BAILEY",1
01:11,,24,,25 (+1),"GOOD FT by OWENS,MATT",MILMB 24-25 (-1),,"GOOD FT by OWENS,MATT",1
01:11,,24,,26 (+2),"GOOD FT by OWENS,MATT",MILMB 24-26 (-2),,"GOOD FT by OWENS,MATT",1
01:11,"SUB IN by AYERS,PERRY",,,,,,,"SUB IN by AYERS,PERRY",1
01:11,"SUB OUT by RAKES,BAILEY",,,,,,,"SUB OUT by RAKES,BAILEY",1
01:11,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
01:11,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",1
01:11,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",1
01:11,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
01:11,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",1
01:11,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
00:55,"MISS 3PTR by AYERS,PERRY",,,,,,,"MISS 3PTR by AYERS,PERRY",1
--,,,,,"REBOUND DEF by BURNETT,DREW",,,"REBOUND DEF by BURNETT,DREW",1
00:36,,,,,"TURNOVER  by BURNETT,DREW",,,"TURNOVER  by BURNETT,DREW",1
00:36,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",1
00:36,,,,,"SUB OUT by COLEMAN,DANIEL",,,"SUB OUT by COLEMAN,DANIEL",1
00:15,"MISS 3PTR by BATES,JACOB",,,,,,,"MISS 3PTR by BATES,JACOB",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
00:08,"FOUL  by SINE,TUCKER",,,,,,,"FOUL  by SINE,TUCKER",1
00:08,,24,,27 (+3),"GOOD FT by KOHNKE,SAM",MILMB 24-27 (-3),,"GOOD FT by KOHNKE,SAM",1
00:08,,24,,28 (+4),"GOOD FT by KOHNKE,SAM",MILMB 24-28 (-4),,"GOOD FT by KOHNKE,SAM",1
00:08,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",1
00:08,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",1
00:08,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
00:08,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
00:07,,,,,"FOUL  by COLEMAN,DANIEL",,,"FOUL  by COLEMAN,DANIEL",1
00:07,"MISS FT by CRUMP,DAWSON",,,,,,,"MISS FT by CRUMP,DAWSON",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:07,"MISS FT by CRUMP,DAWSON",,,,,,,"MISS FT by CRUMP,DAWSON",1
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",1
