Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
14:01,"GOOD LAYUP by SMITH,LUKE(in the paint)",8,,9 (+1),,SEWANEE 8-9 (+1),,"GOOD LAYUP by SMITH,LUKE(in the paint)",1
14:00,,,,,"FOUL  by RAKES,BAILEY",,,"FOUL  by RAKES,BAILEY",1
14:00,"GOOD FT by SMITH,LUKE",9,,9,,SEWANEE 9-9 (0),,"GOOD FT by SMITH,LUKE",1
14:00,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
14:00,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
13:48,,9,,11 (+2),"GOOD JUMPER by AYERS,PERRY(in the paint)",CENTRE-M 9-11 (+2),,"GOOD JUMPER by AYERS,PERRY(in the paint)",1
13:48,"FOUL  by MCDONOUGH,SEAN",,,,,,,"FOUL  by MCDONOUGH,SEAN",1
13:48,,9,,12 (+3),"GOOD FT by AYERS,PERRY",CENTRE-M 9-12 (+3),,"GOOD FT by AYERS,PERRY",1
13:38,"MISS 3PTR by SMITH,LUKE",,,,,,,"MISS 3PTR by SMITH,LUKE",1
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",1
13:31,"GOOD TIPIN by THOMAS,ADRIAN(in the paint)",11,,12 (+1),,SEWANEE 11-12 (+1),,"GOOD TIPIN by THOMAS,ADRIAN(in the paint)",1
13:20,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,"REBOUND DEF by THOMAS,ADRIAN",,,,,,,"REBOUND DEF by THOMAS,ADRIAN",1
12:54,"MISS 3PTR by HOWELL,TAYLOR",,,,,,,"MISS 3PTR by HOWELL,TAYLOR",1
--,"REBOUND OFF by THOMAS,ADRIAN",,,,,,,"REBOUND OFF by THOMAS,ADRIAN",1
12:38,"MISS 3PTR by HOWELL,TAYLOR",,,,,,,"MISS 3PTR by HOWELL,TAYLOR",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:35,"SUB IN by HOLLOWAY,JACK",,,,,,,"SUB IN by HOLLOWAY,JACK",1
12:35,"SUB OUT by THOMAS,ADRIAN",,,,,,,"SUB OUT by THOMAS,ADRIAN",1
12:35,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
12:35,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
12:35,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
12:35,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
12:31,"GOOD 3PTR by SMITH,LUKE",14 (+2),,12,,SEWANEE 14-12 (-2),,"GOOD 3PTR by SMITH,LUKE",1
--,"ASSIST  by HOWELL,TAYLOR",,,,,,,"ASSIST  by HOWELL,TAYLOR",1
12:12,,14,,15 (+1),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 14-15 (+1),,"GOOD 3PTR by SINE,TUCKER",1
--,,,,,"ASSIST  by GRIFFIN,JAROD",,,"ASSIST  by GRIFFIN,JAROD",1
11:51,"GOOD 3PTR by MCDONOUGH,SEAN",17 (+2),,15,,SEWANEE 17-15 (-2),,"GOOD 3PTR by MCDONOUGH,SEAN",1
--,"ASSIST  by SMITH,LUKE",,,,,,,"ASSIST  by SMITH,LUKE",1
11:22,,,,,"TURNOVER  by SINE,TUCKER",,,"TURNOVER  by SINE,TUCKER",1
