Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,CENTRE-M,Game Score,Team Indicator,Play,Period
19:35,"MISS 3PTR by MCCLOUD,ALTON",,,,,,,"MISS 3PTR by MCCLOUD,ALTON",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
19:12,"FOUL  by HIRSH,ELIJAH",,,,,,,"FOUL  by HIRSH,ELIJAH",1
19:12,,,,,"MISS FT by SPITZER,JAKOB",,,"MISS FT by SPITZER,JAKOB",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
19:12,,,,,"MISS FT by SPITZER,JAKOB",,,"MISS FT by SPITZER,JAKOB",1
--,"REBOUND DEF by ATKINSON,QUINN",,,,,,,"REBOUND DEF by ATKINSON,QUINN",1
19:04,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",2 (+2),,0,,BCM 2-0 (-2),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
--,"ASSIST  by MCCLOUD,ALTON",,,,,,,"ASSIST  by MCCLOUD,ALTON",1
18:51,,2,,3 (+1),"GOOD 3PTR by AYERS,PERRY",CENTRE-M 2-3 (+1),,"GOOD 3PTR by AYERS,PERRY",1
18:20,"MISS 3PTR by MCCLOUD,ALTON",,,,,,,"MISS 3PTR by MCCLOUD,ALTON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:53,,2,,5 (+3),"GOOD JUMPER by SPITZER,JAKOB",CENTRE-M 2-5 (+3),,"GOOD JUMPER by SPITZER,JAKOB",1
--,,,,,"ASSIST  by AYERS,PERRY",,,"ASSIST  by AYERS,PERRY",1
17:35,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by AYERS,PERRY",,,"REBOUND DEF by AYERS,PERRY",1
17:27,"FOUL  by MOORE,MILES",,,,,,,"FOUL  by MOORE,MILES",1
17:27,,2,,8 (+6),"GOOD 3PTR by AYERS,PERRY",CENTRE-M 2-8 (+6),,"GOOD 3PTR by AYERS,PERRY",1
17:06,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",4,,8 (+4),,BCM 4-8 (+4),,"GOOD LAYUP by HIRSH,ELIJAH(in the paint)",1
--,"ASSIST  by MCCLOUD,ALTON",,,,,,,"ASSIST  by MCCLOUD,ALTON",1
16:36,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
16:28,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
16:28,,,,,"SUB OUT by SPITZER,JAKOB",,,"SUB OUT by SPITZER,JAKOB",1
16:17,"TURNOVER  by ATKINSON,QUINN",,,,,,,"TURNOVER  by ATKINSON,QUINN",1
16:17,"SUB IN by JOHNSON,CORY",,,,,,,"SUB IN by JOHNSON,CORY",1
16:17,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
16:00,"FOUL  by MOORE,MILES",,,,,,,"FOUL  by MOORE,MILES",1
15:54,,,,,"MISS JUMPER by AYERS,PERRY",,,"MISS JUMPER by AYERS,PERRY",1
--,,,,,"REBOUND OFF by WALKER,ART",,,"REBOUND OFF by WALKER,ART",1
15:46,,4,,10 (+6),"GOOD LAYUP by BATES,JACOB(in the paint)",CENTRE-M 4-10 (+6),,"GOOD LAYUP by BATES,JACOB(in the paint)",1
15:27,"TURNOVER  by JOHNSON,CORY",,,,,,,"TURNOVER  by JOHNSON,CORY",1
15:27,"SUB IN by FORTE,MCCARTY",,,,,,,"SUB IN by FORTE,MCCARTY",1
15:27,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
15:27,"SUB OUT by MOORE,MILES",,,,,,,"SUB OUT by MOORE,MILES",1
15:27,"SUB OUT by MCCLOUD,ALTON",,,,,,,"SUB OUT by MCCLOUD,ALTON",1
15:27,,,,,"SUB IN by GRIFFIN,JAROD",,,"SUB IN by GRIFFIN,JAROD",1
15:27,,,,,"SUB OUT by SINE,TUCKER",,,"SUB OUT by SINE,TUCKER",1
15:10,,,,,"MISS 3PTR by AYERS,PERRY",,,"MISS 3PTR by AYERS,PERRY",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
14:47,"MISS LAYUP by JOHNSON,CALEB",,,,,,,"MISS LAYUP by JOHNSON,CALEB",1
--,"REBOUND OFF by HIRSH,ELIJAH",,,,,,,"REBOUND OFF by HIRSH,ELIJAH",1
14:42,"TURNOVER  by HIRSH,ELIJAH",,,,,,,"TURNOVER  by HIRSH,ELIJAH",1
14:30,,4,,12 (+8),"GOOD LAYUP by AYERS,PERRY(in the paint)",CENTRE-M 4-12 (+8),,"GOOD LAYUP by AYERS,PERRY(in the paint)",1
--,,,,,"ASSIST  by WALKER,ART",,,"ASSIST  by WALKER,ART",1
14:13,,,,,"FOUL  by BATES,JACOB",,,"FOUL  by BATES,JACOB",1
14:13,,,,,"SUB IN by PURVIS,KC",,,"SUB IN by PURVIS,KC",1
14:13,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
14:03,"GOOD LAYUP by JOHNSON,CORY(in the paint)",6,,12 (+6),,BCM 6-12 (+6),,"GOOD LAYUP by JOHNSON,CORY(in the paint)",1
13:49,,,,,"MISS JUMPER by RAKES,BAILEY",,,"MISS JUMPER by RAKES,BAILEY",1
--,"REBOUND DEF by FORTE,MCCARTY",,,,,,,"REBOUND DEF by FORTE,MCCARTY",1
13:32,"GOOD LAYUP by MARDER,NICK(in the paint)",8,,12 (+4),,BCM 8-12 (+4),,"GOOD LAYUP by MARDER,NICK(in the paint)",1
13:32,,,,,"FOUL  by PURVIS,KC",,,"FOUL  by PURVIS,KC",1
13:32,"MISS FT by MARDER,NICK",,,,,,,"MISS FT by MARDER,NICK",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:32,"FOUL  by HIRSH,ELIJAH",,,,,,,"FOUL  by HIRSH,ELIJAH",1
13:32,"SUB IN by ELLINGSWORTH,COLEMAN",,,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",1
13:32,"SUB OUT by HIRSH,ELIJAH",,,,,,,"SUB OUT by HIRSH,ELIJAH",1
13:32,,,,,"SUB IN by BATES,JACOB",,,"SUB IN by BATES,JACOB",1
13:32,,,,,"SUB IN by CRUMP,DAWSON",,,"SUB IN by CRUMP,DAWSON",1
13:32,,,,,"SUB OUT by PURVIS,KC",,,"SUB OUT by PURVIS,KC",1
13:32,,,,,"SUB OUT by RAKES,BAILEY",,,"SUB OUT by RAKES,BAILEY",1
13:23,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",1
13:23,"BLOCK  by ELLINGSWORTH,COLEMAN",,,,,,,"BLOCK  by ELLINGSWORTH,COLEMAN",1
13:23,,,,,"MISS LAYUP by BATES,JACOB",,,"MISS LAYUP by BATES,JACOB",1
13:23,"BLOCK  by ELLINGSWORTH,COLEMAN",,,,,,,"BLOCK  by ELLINGSWORTH,COLEMAN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
13:23,,,,,"SUB IN by SINE,TUCKER",,,"SUB IN by SINE,TUCKER",1
13:23,,,,,"SUB OUT by AYERS,PERRY",,,"SUB OUT by AYERS,PERRY",1
12:52,"MISS 3PTR by FORTE,MCCARTY",,,,,,,"MISS 3PTR by FORTE,MCCARTY",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
12:29,,8,,15 (+7),"GOOD 3PTR by CRUMP,DAWSON",CENTRE-M 8-15 (+7),,"GOOD 3PTR by CRUMP,DAWSON",1
11:50,,,,,"MISS 3PTR by BATES,JACOB",,,"MISS 3PTR by BATES,JACOB",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
11:41,"MISS 3PTR by FORTE,MCCARTY",,,,,,,"MISS 3PTR by FORTE,MCCARTY",1
--,,,,,"REBOUND DEF by WALKER,ART",,,"REBOUND DEF by WALKER,ART",1
11:24,,8,,17 (+9),"GOOD JUMPER by WALKER,ART",CENTRE-M 8-17 (+9),,"GOOD JUMPER by WALKER,ART",1
10:56,,8,,19 (+11),"GOOD LAYUP by RAKES,BAILEY(in the paint)",CENTRE-M 8-19 (+11),,"GOOD LAYUP by RAKES,BAILEY(in the paint)",1
10:43,"GOOD JUMPER by JOHNSON,CALEB",10,,19 (+9),,BCM 10-19 (+9),,"GOOD JUMPER by JOHNSON,CALEB",1
10:38,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
10:38,"SUB IN by MCCLOUD,ALTON",,,,,,,"SUB IN by MCCLOUD,ALTON",1
10:38,"SUB OUT by FORTE,MCCARTY",,,,,,,"SUB OUT by FORTE,MCCARTY",1
10:38,"SUB OUT by JOHNSON,CALEB",,,,,,,"SUB OUT by JOHNSON,CALEB",1
10:37,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
--,,,,,"REBOUND DEF by SCHMUCKER,ZACH",,,"REBOUND DEF by SCHMUCKER,ZACH",1
10:36,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
10:36,,,,,"SUB OUT by WALKER,ART",,,"SUB OUT by WALKER,ART",1
10:26,,10,,21 (+11),"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",CENTRE-M 10-21 (+11),,"GOOD LAYUP by SCHMUCKER,ZACH(in the paint)",1
--,,,,,"ASSIST  by CRUMP,DAWSON",,,"ASSIST  by CRUMP,DAWSON",1
10:11,"MISS 3PTR by ELLINGSWORTH,COLEMAN",,,,,,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",1
--,"REBOUND OFF by JOHNSON,CORY",,,,,,,"REBOUND OFF by JOHNSON,CORY",1
10:02,"MISS JUMPER by ATKINSON,QUINN",,,,,,,"MISS JUMPER by ATKINSON,QUINN",1
--,"REBOUND OFF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",1
09:56,"MISS 3PTR by JOHNSON,CORY",,,,,,,"MISS 3PTR by JOHNSON,CORY",1
--,,,,,"REBOUND DEF by GRIFFIN,JAROD",,,"REBOUND DEF by GRIFFIN,JAROD",1
09:48,,10,,24 (+14),"GOOD 3PTR by SINE,TUCKER",CENTRE-M 10-24 (+14),,"GOOD 3PTR by SINE,TUCKER",1
09:47,"MISS 3PTR by MCCLOUD,ALTON",,,,,,,"MISS 3PTR by MCCLOUD,ALTON",1
--,,,,,"REBOUND DEF by BATES,JACOB",,,"REBOUND DEF by BATES,JACOB",1
09:39,,10,,27 (+17),"GOOD 3PTR by CRUMP,DAWSON",CENTRE-M 10-27 (+17),,"GOOD 3PTR by CRUMP,DAWSON",1
--,,,,,"ASSIST  by BATES,JACOB",,,"ASSIST  by BATES,JACOB",1
09:34,"SUB IN by CLARK,ETHAN",,,,,,,"SUB IN by CLARK,ETHAN",1
09:34,"SUB OUT by ATKINSON,QUINN",,,,,,,"SUB OUT by ATKINSON,QUINN",1
09:34,,,,,"SUB IN by SPITZER,JAKOB",,,"SUB IN by SPITZER,JAKOB",1
09:34,,,,,"SUB OUT by BATES,JACOB",,,"SUB OUT by BATES,JACOB",1
09:26,,,,,"FOUL  by SINE,TUCKER",,,"FOUL  by SINE,TUCKER",1
09:25,"GOOD JUMPER by MARDER,NICK",12,,27 (+15),,BCM 12-27 (+15),,"GOOD JUMPER by MARDER,NICK",1
