Time Remaining,Hunt,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
18:06,"SUB IN by GOREE,LOGAN",,,,,,,"SUB IN by GOREE,LOGAN",1
18:06,"SUB IN by ZACHERY,CEAUNTE",,,,,,,"SUB IN by ZACHERY,CEAUNTE",1
18:06,"SUB IN by CHAMPION,JACOB",,,,,,,"SUB IN by CHAMPION,JACOB",1
18:06,"SUB OUT by WOODS,MYKEL",,,,,,,"SUB OUT by WOODS,MYKEL",1
18:06,"SUB OUT by WASHINGTON,AARON",,,,,,,"SUB OUT by WASHINGTON,AARON",1
18:06,"SUB OUT by HARRIS,JAMES",,,,,,,"SUB OUT by HARRIS,JAMES",1
17:45,,3,,7 (+4),"GOOD JUMPER by BAK,CALVIN(in the paint)",BSC 3-7 (+4),,"GOOD JUMPER by BAK,CALVIN(in the paint)",1
17:21,"TURNOVER  by MADISON,DAMIEN",,,,,,,"TURNOVER  by MADISON,DAMIEN",1
17:14,,3,,9 (+6),"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",BSC 3-9 (+6),,"GOOD JUMPER by STEWART,CHRISTIAN(in the paint)",1
16:55,"MISS JUMPER by HOBSON,CHARVEZ'",,,,,,,"MISS JUMPER by HOBSON,CHARVEZ'",1
--,"REBOUND OFF by GOREE,LOGAN",,,,,,,"REBOUND OFF by GOREE,LOGAN",1
16:55,"MISS 3PTR by ZACHERY,CEAUNTE",,,,,,,"MISS 3PTR by ZACHERY,CEAUNTE",1
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",1
16:45,"FOUL  by ZACHERY,CEAUNTE",,,,,,,"FOUL  by ZACHERY,CEAUNTE",1
16:31,,3,,10 (+7),"GOOD FT by STEWART,CHRISTIAN",BSC 3-10 (+7),,"GOOD FT by STEWART,CHRISTIAN",1
16:21,"TURNOVER  by HOBSON,CHARVEZ'",,,,,,,"TURNOVER  by HOBSON,CHARVEZ'",1
16:21,"SUB IN by WASHINGTON,AARON",,,,,,,"SUB IN by WASHINGTON,AARON",1
16:21,"SUB OUT by CHAMPION,JACOB",,,,,,,"SUB OUT by CHAMPION,JACOB",1
16:17,,3,,11 (+8),"GOOD FT by STEWART,CHRISTIAN",BSC 3-11 (+8),,"GOOD FT by STEWART,CHRISTIAN",1
15:57,"FOUL  by GOREE,LOGAN",,,,,,,"FOUL  by GOREE,LOGAN",1
15:57,"FOUL  by GOREE,LOGAN",,,,,,,"FOUL  by GOREE,LOGAN",1
15:57,,,,,"MISS FT by STEWART,CHRISTIAN",,,"MISS FT by STEWART,CHRISTIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:57,,3,,12 (+9),"GOOD FT by STEWART,CHRISTIAN",BSC 3-12 (+9),,"GOOD FT by STEWART,CHRISTIAN",1
15:57,"SUB IN by WOODS,MYKEL",,,,,,,"SUB IN by WOODS,MYKEL",1
15:57,"SUB OUT by GOREE,LOGAN",,,,,,,"SUB OUT by GOREE,LOGAN",1
15:39,"GOOD JUMPER by WASHINGTON,AARON",5,,12 (+7),,Hunt 5-12 (+7),,"GOOD JUMPER by WASHINGTON,AARON",1
15:25,,5,,14 (+9),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 5-14 (+9),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
15:14,"MISS JUMPER by MADISON,DAMIEN",,,,,,,"MISS JUMPER by MADISON,DAMIEN",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
15:02,,,,,"MISS JUMPER by FITZGERALD,PAUL",,,"MISS JUMPER by FITZGERALD,PAUL",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
14:59,"SUB IN by SCHMITT,LUCAS",,,,,,,"SUB IN by SCHMITT,LUCAS",1
14:59,"SUB IN by TONEY,CALEB",,,,,,,"SUB IN by TONEY,CALEB",1
14:59,"SUB OUT by HOBSON,CHARVEZ'",,,,,,,"SUB OUT by HOBSON,CHARVEZ'",1
14:59,"SUB OUT by MADISON,DAMIEN",,,,,,,"SUB OUT by MADISON,DAMIEN",1
14:50,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
14:45,,5,,17 (+12),"GOOD 3PTR by O'SULLIVAN,CONOR",BSC 5-17 (+12),,"GOOD 3PTR by O'SULLIVAN,CONOR",1
--,,,,,"ASSIST  by STEWART,CHRISTIAN",,,"ASSIST  by STEWART,CHRISTIAN",1
14:32,"MISS 3PTR by ZACHERY,CEAUNTE",,,,,,,"MISS 3PTR by ZACHERY,CEAUNTE",1
--,"REBOUND OFF by WASHINGTON,AARON",,,,,,,"REBOUND OFF by WASHINGTON,AARON",1
14:15,"TURNOVER  by TONEY,CALEB",,,,,,,"TURNOVER  by TONEY,CALEB",1
13:59,,5,,20 (+15),"GOOD 3PTR by BAK,CALVIN",BSC 5-20 (+15),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by FITZGERALD,PAUL",,,"ASSIST  by FITZGERALD,PAUL",1
13:46,"TURNOVER  by SCHMITT,LUCAS",,,,,,,"TURNOVER  by SCHMITT,LUCAS",1
13:39,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",1
--,"REBOUND DEF by WOODS,MYKEL",,,,,,,"REBOUND DEF by WOODS,MYKEL",1
13:15,"MISS JUMPER by SCHMITT,LUCAS",,,,,,,"MISS JUMPER by SCHMITT,LUCAS",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
13:10,,5,,23 (+18),"GOOD 3PTR by BAK,CALVIN",BSC 5-23 (+18),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
12:43,"MISS LAYUP by WASHINGTON,AARON",,,,,,,"MISS LAYUP by WASHINGTON,AARON",1
12:40,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:36,"GOOD LAYUP by ZACHERY,CEAUNTE(in the paint)",7,,23 (+16),,Hunt 7-23 (+16),,"GOOD LAYUP by ZACHERY,CEAUNTE(in the paint)",1
--,"REBOUND OFF by ZACHERY,CEAUNTE",,,,,,,"REBOUND OFF by ZACHERY,CEAUNTE",1
12:27,"SUB IN by HARRIS,JAMES",,,,,,,"SUB IN by HARRIS,JAMES",1
12:27,"SUB OUT by ZACHERY,CEAUNTE",,,,,,,"SUB OUT by ZACHERY,CEAUNTE",1
12:27,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
12:27,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
12:27,,,,,"SUB IN by JR,BRUCE BRIGHT",,,"SUB IN by JR,BRUCE BRIGHT",1
12:27,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",1
12:27,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
12:27,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
12:27,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
12:27,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
12:27,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
12:27,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
12:21,,,,,"MISS 3PTR by JR,BRUCE BRIGHT",,,"MISS 3PTR by JR,BRUCE BRIGHT",1
--,,,,,"REBOUND OFF by MORRISON,JASON",,,"REBOUND OFF by MORRISON,JASON",1
12:11,,,,,"TURNOVER  by MORRISON,JASON",,,"TURNOVER  by MORRISON,JASON",1
12:11,"STEAL  by TONEY,CALEB",,,,,,,"STEAL  by TONEY,CALEB",1
12:05,"TURNOVER  by SCHMITT,LUCAS",,,,,,,"TURNOVER  by SCHMITT,LUCAS",1
12:05,,,,,"STEAL  by GONDA,MATT",,,"STEAL  by GONDA,MATT",1
11:46,,7,,26 (+19),"GOOD 3PTR by GONDA,MATT",BSC 7-26 (+19),,"GOOD 3PTR by GONDA,MATT",1
--,,,,,"ASSIST  by MORRISON,JASON",,,"ASSIST  by MORRISON,JASON",1
11:26,"GOOD 3PTR by WASHINGTON,AARON",10,,26 (+16),,Hunt 10-26 (+16),,"GOOD 3PTR by WASHINGTON,AARON",1
--,"ASSIST  by HARRIS,JAMES",,,,,,,"ASSIST  by HARRIS,JAMES",1
11:06,,10,,29 (+19),"GOOD 3PTR by MORRISON,JASON",BSC 10-29 (+19),,"GOOD 3PTR by MORRISON,JASON",1
10:45,"GOOD LAYUP by HARRIS,JAMES(in the paint)",12,,29 (+17),,Hunt 12-29 (+17),,"GOOD LAYUP by HARRIS,JAMES(in the paint)",1
--,"ASSIST  by TONEY,CALEB",,,,,,,"ASSIST  by TONEY,CALEB",1
10:28,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND DEF by TONEY,CALEB",,,,,,,"REBOUND DEF by TONEY,CALEB",1
10:05,"MISS 3PTR by WASHINGTON,AARON",,,,,,,"MISS 3PTR by WASHINGTON,AARON",1
--,,,,,"REBOUND DEF by MORRISON,JASON",,,"REBOUND DEF by MORRISON,JASON",1
09:55,,12,,31 (+19),"GOOD LAYUP by GONDA,MATT(in the paint)",BSC 12-31 (+19),,"GOOD LAYUP by GONDA,MATT(in the paint)",1
09:43,"TURNOVER  by WOODS,MYKEL",,,,,,,"TURNOVER  by WOODS,MYKEL",1
09:39,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
09:39,"SUB IN by BOHLING,DYLAN",,,,,,,"SUB IN by BOHLING,DYLAN",1
09:39,"SUB IN by BOYD,CAM",,,,,,,"SUB IN by BOYD,CAM",1
09:39,"SUB IN by GREEN,THOMAS",,,,,,,"SUB IN by GREEN,THOMAS",1
09:39,"SUB IN by HOBSON,CHARVEZ'",,,,,,,"SUB IN by HOBSON,CHARVEZ'",1
09:39,"SUB IN by MADISON,DAMIEN",,,,,,,"SUB IN by MADISON,DAMIEN",1
09:39,"SUB OUT by WOODS,MYKEL",,,,,,,"SUB OUT by WOODS,MYKEL",1
09:39,"SUB OUT by SCHMITT,LUCAS",,,,,,,"SUB OUT by SCHMITT,LUCAS",1
09:39,"SUB OUT by TONEY,CALEB",,,,,,,"SUB OUT by TONEY,CALEB",1
09:39,"SUB OUT by WASHINGTON,AARON",,,,,,,"SUB OUT by WASHINGTON,AARON",1
09:39,"SUB OUT by HARRIS,JAMES",,,,,,,"SUB OUT by HARRIS,JAMES",1
09:26,,,,,"MISS LAYUP by GONDA,MATT",,,"MISS LAYUP by GONDA,MATT",1
--,"REBOUND DEF by HOBSON,CHARVEZ'",,,,,,,"REBOUND DEF by HOBSON,CHARVEZ'",1
09:10,,,,,"FOUL  by GONDA,MATT",,,"FOUL  by GONDA,MATT",1
09:07,"TURNOVER  by GREEN,THOMAS",,,,,,,"TURNOVER  by GREEN,THOMAS",1
08:47,,,,,"MISS 3PTR by MORRISON,JASON",,,"MISS 3PTR by MORRISON,JASON",1
--,"REBOUND DEF by BOYD,CAM",,,,,,,"REBOUND DEF by BOYD,CAM",1
08:36,,,,,"FOUL  by MORRISON,JASON",,,"FOUL  by MORRISON,JASON",1
08:29,"GOOD FT by MADISON,DAMIEN",13,,31 (+18),,Hunt 13-31 (+18),,"GOOD FT by MADISON,DAMIEN",1
08:29,"GOOD FT by MADISON,DAMIEN",14,,31 (+17),,Hunt 14-31 (+17),,"GOOD FT by MADISON,DAMIEN",1
08:20,,,,,"MISS 3PTR by JR,BRUCE BRIGHT",,,"MISS 3PTR by JR,BRUCE BRIGHT",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
08:08,,,,,"MISS JUMPER by CHILDERS,JOSH",,,"MISS JUMPER by CHILDERS,JOSH",1
--,"REBOUND DEF by BOHLING,DYLAN",,,,,,,"REBOUND DEF by BOHLING,DYLAN",1
08:02,"MISS JUMPER by MADISON,DAMIEN",,,,,,,"MISS JUMPER by MADISON,DAMIEN",1
--,"REBOUND OFF by BOHLING,DYLAN",,,,,,,"REBOUND OFF by BOHLING,DYLAN",1
07:55,"MISS 3PTR by BOYD,CAM",,,,,,,"MISS 3PTR by BOYD,CAM",1
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",1
07:44,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND OFF by JR,BRUCE BRIGHT",,,"REBOUND OFF by JR,BRUCE BRIGHT",1
07:38,,,,,"MISS JUMPER by JR,BRUCE BRIGHT",,,"MISS JUMPER by JR,BRUCE BRIGHT",1
--,"REBOUND DEF by BOYD,CAM",,,,,,,"REBOUND DEF by BOYD,CAM",1
07:32,"MISS LAYUP by HOBSON,CHARVEZ'",,,,,,,"MISS LAYUP by HOBSON,CHARVEZ'",1
07:31,"FOUL  by BOYD,CAM",,,,,,,"FOUL  by BOYD,CAM",1
07:31,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:30,"SUB IN by WOODS,MYKEL",,,,,,,"SUB IN by WOODS,MYKEL",1
07:30,"SUB OUT by BOHLING,DYLAN",,,,,,,"SUB OUT by BOHLING,DYLAN",1
07:30,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
07:30,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
07:30,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
07:30,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
07:30,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",1
07:30,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
07:30,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
07:30,,,,,"SUB OUT by JR,BRUCE BRIGHT",,,"SUB OUT by JR,BRUCE BRIGHT",1
07:30,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",1
07:30,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
07:14,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
07:03,"MISS 3PTR by BOYD,CAM",,,,,,,"MISS 3PTR by BOYD,CAM",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
06:55,"SUB IN by CHAMPION,JACOB",,,,,,,"SUB IN by CHAMPION,JACOB",1
06:55,"SUB OUT by BOYD,CAM",,,,,,,"SUB OUT by BOYD,CAM",1
06:29,"GOOD 3PTR by MADISON,DAMIEN",17,,31 (+14),,Hunt 17-31 (+14),,"GOOD 3PTR by MADISON,DAMIEN",1
--,"ASSIST  by WOODS,MYKEL",,,,,,,"ASSIST  by WOODS,MYKEL",1
06:11,"FOUL  by WOODS,MYKEL",,,,,,,"FOUL  by WOODS,MYKEL",1
06:11,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
06:11,,17,,33 (+16),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 17-33 (+16),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
06:11,"SUB IN by ZACHERY,CEAUNTE",,,,,,,"SUB IN by ZACHERY,CEAUNTE",1
06:11,"SUB IN by HARRIS,JAMES",,,,,,,"SUB IN by HARRIS,JAMES",1
06:11,"SUB OUT by GREEN,THOMAS",,,,,,,"SUB OUT by GREEN,THOMAS",1
06:11,"SUB OUT by HOBSON,CHARVEZ'",,,,,,,"SUB OUT by HOBSON,CHARVEZ'",1
05:41,,,,,"FOUL  by FITZGERALD,PAUL",,,"FOUL  by FITZGERALD,PAUL",1
05:41,"GOOD FT by MADISON,DAMIEN",18,,33 (+15),,Hunt 18-33 (+15),,"GOOD FT by MADISON,DAMIEN",1
05:41,"GOOD FT by MADISON,DAMIEN",19,,33 (+14),,Hunt 19-33 (+14),,"GOOD FT by MADISON,DAMIEN",1
05:41,"SUB IN by BOHLING,DYLAN",,,,,,,"SUB IN by BOHLING,DYLAN",1
05:41,"SUB OUT by WOODS,MYKEL",,,,,,,"SUB OUT by WOODS,MYKEL",1
05:15,,19,,36 (+17),"GOOD 3PTR by O'SULLIVAN,CONOR",BSC 19-36 (+17),,"GOOD 3PTR by O'SULLIVAN,CONOR",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
04:58,"TURNOVER  by BOHLING,DYLAN",,,,,,,"TURNOVER  by BOHLING,DYLAN",1
04:58,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",1
04:53,"SUB IN by TONEY,CALEB",,,,,,,"SUB IN by TONEY,CALEB",1
04:53,"SUB OUT by MADISON,DAMIEN",,,,,,,"SUB OUT by MADISON,DAMIEN",1
04:53,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
04:53,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
04:53,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",1
04:53,,,,,"SUB IN by KANE,DENMAN",,,"SUB IN by KANE,DENMAN",1
04:53,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
04:53,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
04:53,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
04:53,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
04:53,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
04:53,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",1
04:35,"GOOD LAYUP by ZACHERY,CEAUNTE(in the paint)",21,,36 (+15),,Hunt 21-36 (+15),,"GOOD LAYUP by ZACHERY,CEAUNTE(in the paint)",1
04:18,,,,,"MISS LAYUP by SIGLER,EVAN",,,"MISS LAYUP by SIGLER,EVAN",1
--,"REBOUND DEF by HARRIS,JAMES",,,,,,,"REBOUND DEF by HARRIS,JAMES",1
04:10,,,,,"FOUL  by KANE,DENMAN",,,"FOUL  by KANE,DENMAN",1
04:09,"MISS FT by CHAMPION,JACOB",,,,,,,"MISS FT by CHAMPION,JACOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:09,"MISS FT by CHAMPION,JACOB",,,,,,,"MISS FT by CHAMPION,JACOB",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
04:09,"GOOD FT by CHAMPION,JACOB",22,,36 (+14),,Hunt 22-36 (+14),,"GOOD FT by CHAMPION,JACOB",1
04:09,"SUB IN by GREEN,THOMAS",,,,,,,"SUB IN by GREEN,THOMAS",1
04:09,"SUB IN by SCHMITT,LUCAS",,,,,,,"SUB IN by SCHMITT,LUCAS",1
04:09,"SUB OUT by CHAMPION,JACOB",,,,,,,"SUB OUT by CHAMPION,JACOB",1
04:09,"SUB OUT by BOHLING,DYLAN",,,,,,,"SUB OUT by BOHLING,DYLAN",1
03:50,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:42,,,,,"MISS LAYUP by MORRISON,JASON",,,"MISS LAYUP by MORRISON,JASON",1
--,"REBOUND DEF by TONEY,CALEB",,,,,,,"REBOUND DEF by TONEY,CALEB",1
03:31,"FOUL  by SCHMITT,LUCAS",,,,,,,"FOUL  by SCHMITT,LUCAS",1
03:28,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
03:28,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
03:28,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
03:28,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
03:28,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",1
03:28,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
03:28,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
03:28,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",1
03:28,,,,,"SUB OUT by KANE,DENMAN",,,"SUB OUT by KANE,DENMAN",1
03:28,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
03:18,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",1
03:18,"STEAL  by GREEN,THOMAS",,,,,,,"STEAL  by GREEN,THOMAS",1
03:13,"MISS LAYUP by GREEN,THOMAS",,,,,,,"MISS LAYUP by GREEN,THOMAS",1
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",1
02:58,,22,,39 (+17),"GOOD 3PTR by BAK,CALVIN",BSC 22-39 (+17),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
02:43,"GOOD JUMPER by ZACHERY,CEAUNTE",24,,39 (+15),,Hunt 24-39 (+15),,"GOOD JUMPER by ZACHERY,CEAUNTE",1
02:18,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",1
02:18,"STEAL  by SCHMITT,LUCAS",,,,,,,"STEAL  by SCHMITT,LUCAS",1
02:10,"GOOD JUMPER by ZACHERY,CEAUNTE",26,,39 (+13),,Hunt 26-39 (+13),,"GOOD JUMPER by ZACHERY,CEAUNTE",1
01:59,"FOUL  by ZACHERY,CEAUNTE",,,,,,,"FOUL  by ZACHERY,CEAUNTE",1
01:59,,26,,40 (+14),"GOOD FT by O'SULLIVAN,CONOR",BSC 26-40 (+14),,"GOOD FT by O'SULLIVAN,CONOR",1
01:59,,26,,41 (+15),"GOOD FT by O'SULLIVAN,CONOR",BSC 26-41 (+15),,"GOOD FT by O'SULLIVAN,CONOR",1
01:59,"SUB IN by BOHLING,DYLAN",,,,,,,"SUB IN by BOHLING,DYLAN",1
01:59,"SUB IN by CHAMPION,JACOB",,,,,,,"SUB IN by CHAMPION,JACOB",1
01:59,"SUB IN by WASHINGTON,AARON",,,,,,,"SUB IN by WASHINGTON,AARON",1
01:59,"SUB IN by HOBSON,CHARVEZ'",,,,,,,"SUB IN by HOBSON,CHARVEZ'",1
01:59,"SUB IN by MADISON,DAMIEN",,,,,,,"SUB IN by MADISON,DAMIEN",1
01:59,"SUB OUT by SCHMITT,LUCAS",,,,,,,"SUB OUT by SCHMITT,LUCAS",1
01:59,"SUB OUT by ZACHERY,CEAUNTE",,,,,,,"SUB OUT by ZACHERY,CEAUNTE",1
01:59,"SUB OUT by TONEY,CALEB",,,,,,,"SUB OUT by TONEY,CALEB",1
01:59,"SUB OUT by HARRIS,JAMES",,,,,,,"SUB OUT by HARRIS,JAMES",1
01:59,"SUB OUT by GREEN,THOMAS",,,,,,,"SUB OUT by GREEN,THOMAS",1
01:43,"TURNOVER  by MADISON,DAMIEN",,,,,,,"TURNOVER  by MADISON,DAMIEN",1
01:29,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",1
01:29,"STEAL  by MADISON,DAMIEN",,,,,,,"STEAL  by MADISON,DAMIEN",1
01:25,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
01:25,"GOOD FT by CHAMPION,JACOB",27,,41 (+14),,Hunt 27-41 (+14),,"GOOD FT by CHAMPION,JACOB",1
01:25,"GOOD FT by CHAMPION,JACOB",28,,41 (+13),,Hunt 28-41 (+13),,"GOOD FT by CHAMPION,JACOB",1
01:25,"SUB IN by SCHMITT,LUCAS",,,,,,,"SUB IN by SCHMITT,LUCAS",1
01:25,"SUB IN by GREEN,THOMAS",,,,,,,"SUB IN by GREEN,THOMAS",1
01:25,"SUB OUT by BOHLING,DYLAN",,,,,,,"SUB OUT by BOHLING,DYLAN",1
