Time Remaining,CCM,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
15:00,"SUB OUT by ALLEN,ZACK",,,,,,,"SUB OUT by ALLEN,ZACK",1
15:00,"SUB OUT by BRYAN,WILLIAM",,,,,,,"SUB OUT by BRYAN,WILLIAM",1
15:00,"SUB OUT by HOLLIS,MITCHELL",,,,,,,"SUB OUT by HOLLIS,MITCHELL",1
14:37,,,,,"MISS 3PTR by BARNETT,CHARLIE",,,"MISS 3PTR by BARNETT,CHARLIE",1
--,"REBOUND DEF by OETJEN,NOAH",,,,,,,"REBOUND DEF by OETJEN,NOAH",1
14:24,"GOOD JUMPER by BARNETTE,CHRIS(in the paint)",11 (+7),,4,,CCM 11-4 (-7),,"GOOD JUMPER by BARNETTE,CHRIS(in the paint)",1
14:09,,,,,"TURNOVER  by JR,BRUCE BRIGHT",,,"TURNOVER  by JR,BRUCE BRIGHT",1
14:03,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
14:03,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
14:03,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
14:03,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
14:03,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",1
14:03,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
14:03,,,,,"SUB OUT by JR,BRUCE BRIGHT",,,"SUB OUT by JR,BRUCE BRIGHT",1
14:03,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",1
14:03,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
14:03,,,,,"SUB OUT by BARNETT,CHARLIE",,,"SUB OUT by BARNETT,CHARLIE",1
13:52,"TURNOVER  by CRUMLY,WILL",,,,,,,"TURNOVER  by CRUMLY,WILL",1
