Time Remaining,CARTHAGE,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
17:05,,,,,"MISS JUMPER by BAK,CALVIN",,,"MISS JUMPER by BAK,CALVIN",1
--,"REBOUND DEF by PERRY,BRAD",,,,,,,"REBOUND DEF by PERRY,BRAD",1
16:53,"GOOD JUMPER by JOHNSON,SEAN(in the paint)",4 (+2),,2,,CARTHAGE 4-2 (-2),,"GOOD JUMPER by JOHNSON,SEAN(in the paint)",1
--,"ASSIST  by BALTIMORE,KIENAN",,,,,,,"ASSIST  by BALTIMORE,KIENAN",1
16:44,,4,,5 (+1),"GOOD 3PTR by SIGLER,EVAN(fastbreak)",BSC 4-5 (+1),,"GOOD 3PTR by SIGLER,EVAN(fastbreak)",1
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",1
16:30,"MISS 3PTR by KEDROWSKI,JORDON",,,,,,,"MISS 3PTR by KEDROWSKI,JORDON",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
16:22,,4,,8 (+4),"GOOD 3PTR by O'SULLIVAN,CONOR(fastbreak)",BSC 4-8 (+4),,"GOOD 3PTR by O'SULLIVAN,CONOR(fastbreak)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
16:02,"GOOD 3PTR by KEDROWSKI,JORDON",7,,8 (+1),,CARTHAGE 7-8 (+1),,"GOOD 3PTR by KEDROWSKI,JORDON",1
--,"ASSIST  by BALTIMORE,KIENAN",,,,,,,"ASSIST  by BALTIMORE,KIENAN",1
15:46,,,,,"MISS LAYUP by STEWART,CHRISTIAN",,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,"REBOUND DEF by JOHNSON,SEAN",,,,,,,"REBOUND DEF by JOHNSON,SEAN",1
15:35,"MISS LAYUP by BALTIMORE,KIENAN",,,,,,,"MISS LAYUP by BALTIMORE,KIENAN",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
15:27,,,,,"MISS LAYUP by STEWART,CHRISTIAN",,,"MISS LAYUP by STEWART,CHRISTIAN",1
15:27,"BLOCK  by PERRY,BRAD",,,,,,,"BLOCK  by PERRY,BRAD",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
15:21,,7,,10 (+3),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 7-10 (+3),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
15:14,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
15:00,"MISS LAYUP by PERRY,BRAD",,,,,,,"MISS LAYUP by PERRY,BRAD",1
--,"REBOUND OFF by JOHNSON,SEAN",,,,,,,"REBOUND OFF by JOHNSON,SEAN",1
14:52,"MISS 3PTR by KEDROWSKI,JORDON",,,,,,,"MISS 3PTR by KEDROWSKI,JORDON",1
--,"REBOUND OFF by WASHBURN,JOSHUA",,,,,,,"REBOUND OFF by WASHBURN,JOSHUA",1
14:48,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",1
14:48,"GOOD FT by KEDROWSKI,JORDON",8,,10 (+2),,CARTHAGE 8-10 (+2),,"GOOD FT by KEDROWSKI,JORDON",1
14:48,"GOOD FT by KEDROWSKI,JORDON",9,,10 (+1),,CARTHAGE 9-10 (+1),,"GOOD FT by KEDROWSKI,JORDON",1
14:48,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
14:48,,,,,"SUB IN by JR,BRUCE BRIGHT",,,"SUB IN by JR,BRUCE BRIGHT",1
14:48,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",1
14:48,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
14:48,,,,,"SUB IN by FITZGERLAD,PAUL",,,"SUB IN by FITZGERLAD,PAUL",1
14:48,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
14:48,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
14:48,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
14:48,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
14:48,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
14:30,,,,,"MISS LAYUP by MORRISON,JASON",,,"MISS LAYUP by MORRISON,JASON",1
14:30,"BLOCK  by JOHNSON,SEAN",,,,,,,"BLOCK  by JOHNSON,SEAN",1
--,,,,,"REBOUND OFF by MORRISON,JASON",,,"REBOUND OFF by MORRISON,JASON",1
14:24,,,,,"MISS 3PTR by GONDA,MATT",,,"MISS 3PTR by GONDA,MATT",1
--,"REBOUND DEF by PERRY,BRAD",,,,,,,"REBOUND DEF by PERRY,BRAD",1
14:14,"TURNOVER  by BALTIMORE,KIENAN",,,,,,,"TURNOVER  by BALTIMORE,KIENAN",1
13:56,,,,,"MISS LAYUP by GONDA,MATT",,,"MISS LAYUP by GONDA,MATT",1
--,"REBOUND DEF by PERRY,BRAD",,,,,,,"REBOUND DEF by PERRY,BRAD",1
13:53,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
13:43,,,,,"FOUL  by FITZGERLAD,PAUL",,,"FOUL  by FITZGERLAD,PAUL",1
13:43,"SUB IN by COOK,CRISHAWN",,,,,,,"SUB IN by COOK,CRISHAWN",1
13:43,"SUB OUT by WASHBURN,JOSHUA",,,,,,,"SUB OUT by WASHBURN,JOSHUA",1
13:34,"GOOD LAYUP by BALTIMORE,KIENAN(in the paint)",11 (+1),,10,,CARTHAGE 11-10 (-1),,"GOOD LAYUP by BALTIMORE,KIENAN(in the paint)",1
13:21,,,,,"TURNOVER  by MORRISON,JASON",,,"TURNOVER  by MORRISON,JASON",1
13:21,"STEAL  by KEDROWSKI,JORDON",,,,,,,"STEAL  by KEDROWSKI,JORDON",1
13:18,"GOOD LAYUP by KEDROWSKI,JORDON(fastbreak)(in the paint)",13 (+3),,10,,CARTHAGE 13-10 (-3),,"GOOD LAYUP by KEDROWSKI,JORDON(fastbreak)(in the paint)",1
13:17,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
13:11,,,,,"MISS 3PTR by FITZGERLAD,PAUL",,,"MISS 3PTR by FITZGERLAD,PAUL",1
--,,,,,"REBOUND OFF by MORRISON,JASON",,,"REBOUND OFF by MORRISON,JASON",1
13:04,,,,,"MISS 3PTR by MORRISON,JASON",,,"MISS 3PTR by MORRISON,JASON",1
--,"REBOUND DEF by BALTIMORE,KIENAN",,,,,,,"REBOUND DEF by BALTIMORE,KIENAN",1
12:58,"GOOD LAYUP by KEDROWSKI,JORDON(fastbreak)(in the paint)",15 (+5),,10,,CARTHAGE 15-10 (-5),,"GOOD LAYUP by KEDROWSKI,JORDON(fastbreak)(in the paint)",1
--,"ASSIST  by BALTIMORE,KIENAN",,,,,,,"ASSIST  by BALTIMORE,KIENAN",1
12:50,"FOUL  by COOK,CRISHAWN",,,,,,,"FOUL  by COOK,CRISHAWN",1
12:50,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
12:50,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
12:50,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
12:50,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
12:50,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
12:50,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
12:50,,,,,"SUB OUT by JR,BRUCE BRIGHT",,,"SUB OUT by JR,BRUCE BRIGHT",1
12:50,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",1
12:50,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
12:50,,,,,"SUB OUT by FITZGERLAD,PAUL",,,"SUB OUT by FITZGERLAD,PAUL",1
12:38,,15 (+3),,12,"GOOD JUMPER by O'SULLIVAN,CONOR",BSC 15-12 (-3),,"GOOD JUMPER by O'SULLIVAN,CONOR",1
12:18,"MISS 3PTR by BALTIMORE,KIENAN",,,,,,,"MISS 3PTR by BALTIMORE,KIENAN",1
--,"REBOUND OFF by JOHNSON,SEAN",,,,,,,"REBOUND OFF by JOHNSON,SEAN",1
12:11,"TURNOVER  by BALTIMORE,KIENAN",,,,,,,"TURNOVER  by BALTIMORE,KIENAN",1
12:10,,,,,"STEAL  by SIGLER,EVAN",,,"STEAL  by SIGLER,EVAN",1
12:08,,,,,"TURNOVER  by SIGLER,EVAN",,,"TURNOVER  by SIGLER,EVAN",1
12:08,"STEAL  by PERRY,BRAD",,,,,,,"STEAL  by PERRY,BRAD",1
12:08,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",1
12:08,"SUB IN by BULATOVIC,FILLIP",,,,,,,"SUB IN by BULATOVIC,FILLIP",1
12:08,"SUB OUT by PERRY,BRAD",,,,,,,"SUB OUT by PERRY,BRAD",1
11:48,"GOOD 3PTR by BALTIMORE,KIENAN",18 (+6),,12,,CARTHAGE 18-12 (-6),,"GOOD 3PTR by BALTIMORE,KIENAN",1
--,"ASSIST  by COOK,CRISHAWN",,,,,,,"ASSIST  by COOK,CRISHAWN",1
11:28,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND DEF by KEDROWSKI,JORDON",,,,,,,"REBOUND DEF by KEDROWSKI,JORDON",1
11:17,"MISS 3PTR by BALTIMORE,KIENAN",,,,,,,"MISS 3PTR by BALTIMORE,KIENAN",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
11:01,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND DEF by BULATOVIC,FILLIP",,,,,,,"REBOUND DEF by BULATOVIC,FILLIP",1
10:55,"GOOD JUMPER by COOK,CRISHAWN",20 (+8),,12,,CARTHAGE 20-12 (-8),,"GOOD JUMPER by COOK,CRISHAWN",1
10:37,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",1
10:22,"GOOD LAYUP by JOHNSON,SEAN(in the paint)",22 (+10),,12,,CARTHAGE 22-12 (-10),,"GOOD LAYUP by JOHNSON,SEAN(in the paint)",1
--,"ASSIST  by COOK,CRISHAWN",,,,,,,"ASSIST  by COOK,CRISHAWN",1
10:11,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
10:10,"STEAL  by KEDROWSKI,JORDON",,,,,,,"STEAL  by KEDROWSKI,JORDON",1
10:04,"GOOD LAYUP by BULATOVIC,FILLIP(in the paint)",24 (+12),,12,,CARTHAGE 24-12 (-12),,"GOOD LAYUP by BULATOVIC,FILLIP(in the paint)",1
10:03,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
10:03,"GOOD FT by BULATOVIC,FILLIP",25 (+13),,12,,CARTHAGE 25-12 (-13),,"GOOD FT by BULATOVIC,FILLIP",1
10:03,"SUB IN by POLGLASE,JACOB",,,,,,,"SUB IN by POLGLASE,JACOB",1
10:03,"SUB OUT by KEDROWSKI,JORDON",,,,,,,"SUB OUT by KEDROWSKI,JORDON",1
10:03,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
10:03,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
10:03,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
10:03,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
10:02,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,1
10:01,,25 (+11),,14,"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC 25-14 (-11),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
09:58,"MISS LAYUP by BULATOVIC,FILLIP",,,,,,,"MISS LAYUP by BULATOVIC,FILLIP",1
--,"REBOUND OFF by BULATOVIC,FILLIP",,,,,,,"REBOUND OFF by BULATOVIC,FILLIP",1
09:50,"GOOD LAYUP by BULATOVIC,FILLIP(in the paint)",27 (+13),,14,,CARTHAGE 27-14 (-13),,"GOOD LAYUP by BULATOVIC,FILLIP(in the paint)",1
09:48,"SUB IN by LAKETA,PRESTON",,,,,,,"SUB IN by LAKETA,PRESTON",1
09:48,"SUB OUT by BALTIMORE,KIENAN",,,,,,,"SUB OUT by BALTIMORE,KIENAN",1
09:47,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
09:43,"FOUL  by LAKETA,PRESTON",,,,,,,"FOUL  by LAKETA,PRESTON",1
09:43,,27 (+11),,16,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 27-16 (-11),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
09:43,"TURNOVER  by BULATOVIC,FILLIP",,,,,,,"TURNOVER  by BULATOVIC,FILLIP",1
09:43,,,,,"STEAL  by BAK,CALVIN",,,"STEAL  by BAK,CALVIN",1
09:43,,27 (+8),,19,"GOOD 3PTR by BAK,CALVIN(fastbreak)",BSC 27-19 (-8),,"GOOD 3PTR by BAK,CALVIN(fastbreak)",1
09:43,"GOOD JUMPER by POLGLASE,JACOB",29 (+10),,19,,CARTHAGE 29-19 (-10),,"GOOD JUMPER by POLGLASE,JACOB",1
09:43,,29 (+7),,22,"GOOD 3PTR by SPENCE,BEN",BSC 29-22 (-7),,"GOOD 3PTR by SPENCE,BEN",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
09:43,"TURNOVER  by BULATOVIC,FILLIP",,,,,,,"TURNOVER  by BULATOVIC,FILLIP",1
09:43,,,,,"STEAL  by BAK,CALVIN",,,"STEAL  by BAK,CALVIN",1
09:43,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND DEF by BULATOVIC,FILLIP",,,,,,,"REBOUND DEF by BULATOVIC,FILLIP",1
07:18,"MISS LAYUP by JOHNSON,SEAN",,,,,,,"MISS LAYUP by JOHNSON,SEAN",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
07:13,,29 (+4),,25,"GOOD 3PTR by BAK,CALVIN",BSC 29-25 (-4),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
07:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
07:08,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
07:08,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
06:58,"GOOD LAYUP by BULATOVIC,FILLIP(in the paint)",31 (+6),,25,,CARTHAGE 31-25 (-6),,"GOOD LAYUP by BULATOVIC,FILLIP(in the paint)",1
06:36,,31 (+4),,27,"GOOD JUMPER by BAK,CALVIN",BSC 31-27 (-4),,"GOOD JUMPER by BAK,CALVIN",1
06:26,"MISS LAYUP by BULATOVIC,FILLIP",,,,,,,"MISS LAYUP by BULATOVIC,FILLIP",1
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",1
06:18,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
06:15,"FOUL  by LAKETA,PRESTON",,,,,,,"FOUL  by LAKETA,PRESTON",1
06:15,,31 (+3),,28,"GOOD FT by CHILDERS,JOSH",BSC 31-28 (-3),,"GOOD FT by CHILDERS,JOSH",1
06:15,,,,,"MISS FT by CHILDERS,JOSH",,,"MISS FT by CHILDERS,JOSH",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
06:15,"SUB IN by KEDROWSKI,JORDON",,,,,,,"SUB IN by KEDROWSKI,JORDON",1
06:15,"SUB OUT by POLGLASE,JACOB",,,,,,,"SUB OUT by POLGLASE,JACOB",1
06:15,,,,,"SUB IN by FITZGERLAD,PAUL",,,"SUB IN by FITZGERLAD,PAUL",1
06:15,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
05:54,"MISS 3PTR by COOK,CRISHAWN",,,,,,,"MISS 3PTR by COOK,CRISHAWN",1
--,"REBOUND OFF by JOHNSON,SEAN",,,,,,,"REBOUND OFF by JOHNSON,SEAN",1
05:52,"GOOD LAYUP by JOHNSON,SEAN(in the paint)",33 (+5),,28,,CARTHAGE 33-28 (-5),,"GOOD LAYUP by JOHNSON,SEAN(in the paint)",1
05:30,,33 (+3),,30,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 33-30 (-3),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
04:55,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
04:55,"GOOD FT by JOHNSON,SEAN",34 (+4),,30,,CARTHAGE 34-30 (-4),,"GOOD FT by JOHNSON,SEAN",1
04:55,"GOOD FT by JOHNSON,SEAN",35 (+5),,30,,CARTHAGE 35-30 (-5),,"GOOD FT by JOHNSON,SEAN",1
04:55,"SUB IN by BALTIMORE,KIENAN",,,,,,,"SUB IN by BALTIMORE,KIENAN",1
04:55,"SUB IN by WASHBURN,JOSHUA",,,,,,,"SUB IN by WASHBURN,JOSHUA",1
04:55,"SUB OUT by LAKETA,PRESTON",,,,,,,"SUB OUT by LAKETA,PRESTON",1
04:55,"SUB OUT by COOK,CRISHAWN",,,,,,,"SUB OUT by COOK,CRISHAWN",1
04:55,,,,,"SUB IN by JR,BRUCE BRIGHT",,,"SUB IN by JR,BRUCE BRIGHT",1
04:55,,,,,"SUB IN by KANE,DENMAN",,,"SUB IN by KANE,DENMAN",1
04:55,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",1
04:55,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",1
04:29,,,,,"TURNOVER  by JR,BRUCE BRIGHT",,,"TURNOVER  by JR,BRUCE BRIGHT",1
04:29,"STEAL  by BALTIMORE,KIENAN",,,,,,,"STEAL  by BALTIMORE,KIENAN",1
04:18,"FOUL  by BULATOVIC,FILLIP",,,,,,,"FOUL  by BULATOVIC,FILLIP",1
04:17,"TURNOVER  by BULATOVIC,FILLIP",,,,,,,"TURNOVER  by BULATOVIC,FILLIP",1
04:17,"SUB IN by PERRY,BRAD",,,,,,,"SUB IN by PERRY,BRAD",1
04:17,"SUB IN by POLGLASE,JACOB",,,,,,,"SUB IN by POLGLASE,JACOB",1
04:17,"SUB OUT by JOHNSON,SEAN",,,,,,,"SUB OUT by JOHNSON,SEAN",1
04:17,"SUB OUT by BULATOVIC,FILLIP",,,,,,,"SUB OUT by BULATOVIC,FILLIP",1
04:10,,35 (+2),,33,"GOOD 3PTR by KANE,DENMAN",BSC 35-33 (-2),,"GOOD 3PTR by KANE,DENMAN",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
03:55,,,,,"FOUL  by FITZGERLAD,PAUL",,,"FOUL  by FITZGERLAD,PAUL",1
03:55,"MISS FT by BALTIMORE,KIENAN",,,,,,,"MISS FT by BALTIMORE,KIENAN",1
--,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",,,"REBOUND DEF by O'SULLIVAN,CONOR",1
03:47,"FOUL  by KEDROWSKI,JORDON",,,,,,,"FOUL  by KEDROWSKI,JORDON",1
03:47,,35 (+1),,34,"GOOD FT by FITZGERLAD,PAUL",BSC 35-34 (-1),,"GOOD FT by FITZGERLAD,PAUL",1
03:47,,,,,"MISS FT by FITZGERLAD,PAUL",,,"MISS FT by FITZGERLAD,PAUL",1
--,,,,,"REBOUND OFF by FITZGERLAD,PAUL",,,"REBOUND OFF by FITZGERLAD,PAUL",1
03:46,,35,,36 (+1),"GOOD LAYUP by FITZGERLAD,PAUL(in the paint)",BSC 35-36 (+1),,"GOOD LAYUP by FITZGERLAD,PAUL(in the paint)",1
03:34,"MISS 3PTR by POLGLASE,JACOB",,,,,,,"MISS 3PTR by POLGLASE,JACOB",1
--,,,,,"REBOUND DEF by FITZGERLAD,PAUL",,,"REBOUND DEF by FITZGERLAD,PAUL",1
03:30,,,,,"TURNOVER  by FITZGERLAD,PAUL",,,"TURNOVER  by FITZGERLAD,PAUL",1
03:29,"STEAL  by POLGLASE,JACOB",,,,,,,"STEAL  by POLGLASE,JACOB",1
03:25,"GOOD LAYUP by KEDROWSKI,JORDON(fastbreak)(in the paint)",37 (+1),,36,,CARTHAGE 37-36 (-1),,"GOOD LAYUP by KEDROWSKI,JORDON(fastbreak)(in the paint)",1
--,"ASSIST  by POLGLASE,JACOB",,,,,,,"ASSIST  by POLGLASE,JACOB",1
03:16,,,,,"MISS LAYUP by O'SULLIVAN,CONOR",,,"MISS LAYUP by O'SULLIVAN,CONOR",1
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",1
03:14,,37,,38 (+1),"GOOD LAYUP by CHILDERS,JOSH(in the paint)",BSC 37-38 (+1),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
02:59,"GOOD 3PTR by WASHBURN,JOSHUA",40 (+2),,38,,CARTHAGE 40-38 (-2),,"GOOD 3PTR by WASHBURN,JOSHUA",1
--,"ASSIST  by POLGLASE,JACOB",,,,,,,"ASSIST  by POLGLASE,JACOB",1
02:49,,,,,"FOUL  by FITZGERLAD,PAUL",,,"FOUL  by FITZGERLAD,PAUL",1
02:49,,,,,"TURNOVER  by FITZGERLAD,PAUL",,,"TURNOVER  by FITZGERLAD,PAUL",1
02:49,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
02:49,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
02:49,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",1
02:49,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",1
02:49,,,,,"SUB OUT by KANE,DENMAN",,,"SUB OUT by KANE,DENMAN",1
02:49,,,,,"SUB OUT by FITZGERLAD,PAUL",,,"SUB OUT by FITZGERLAD,PAUL",1
02:40,"MISS 3PTR by KEDROWSKI,JORDON",,,,,,,"MISS 3PTR by KEDROWSKI,JORDON",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
02:28,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
02:27,"STEAL  by POLGLASE,JACOB",,,,,,,"STEAL  by POLGLASE,JACOB",1
02:18,"TURNOVER  by KEDROWSKI,JORDON",,,,,,,"TURNOVER  by KEDROWSKI,JORDON",1
02:18,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",1
02:18,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
02:18,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
02:18,,,,,"SUB OUT by JR,BRUCE BRIGHT",,,"SUB OUT by JR,BRUCE BRIGHT",1
01:50,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
