Time Remaining,BSC-M,Away Team Score,Play Team Indicator,Home Team Score,HCM,Game Score,Team Indicator,Play,Period
19:40,,,,,"MISS 3PTR by MADISON,DAMIEN",,,"MISS 3PTR by MADISON,DAMIEN",1
--,,,,,"REBOUND OFF by TONEY,CALEB",,,"REBOUND OFF by TONEY,CALEB",1
19:27,,,,,"MISS JUMPER by HOBSON,CHARVEZ'",,,"MISS JUMPER by HOBSON,CHARVEZ'",1
19:27,"BLOCK  by STEWART,CHRISTIAN",,,,,,,"BLOCK  by STEWART,CHRISTIAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
19:08,,,,,"FOUL  by HARRIS,JAMES",,,"FOUL  by HARRIS,JAMES",1
18:57,,,,,"FOUL  by BOHLING,DYLAN",,,"FOUL  by BOHLING,DYLAN",1
18:53,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2 (+2),,0,,BSC-M 2-0 (+2),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
18:21,,,,,"TURNOVER  by TONEY,CALEB",,,"TURNOVER  by TONEY,CALEB",1
18:04,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",1
18:04,,,,,"BLOCK  by BOHLING,DYLAN",,,"BLOCK  by BOHLING,DYLAN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
17:58,,,,,"TURNOVER  by HARRIS,JAMES",,,"TURNOVER  by HARRIS,JAMES",1
17:56,"STEAL  by SPENCE,BEN",,,,,,,"STEAL  by SPENCE,BEN",1
17:54,"GOOD LAYUP by SPENCE,BEN(in the paint)",4 (+4),,0,,BSC-M 4-0 (+4),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
17:25,,,,,"MISS LAYUP by BOHLING,DYLAN",,,"MISS LAYUP by BOHLING,DYLAN",1
--,,,,,"REBOUND OFF by BOHLING,DYLAN",,,"REBOUND OFF by BOHLING,DYLAN",1
17:23,,,,,"MISS LAYUP by BOHLING,DYLAN",,,"MISS LAYUP by BOHLING,DYLAN",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
17:06,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",1
17:03,,,,,"STEAL  by TONEY,CALEB",,,"STEAL  by TONEY,CALEB",1
16:59,,4 (+2),,2,"GOOD LAYUP by MADISON,DAMIEN(in the paint)",HCM 4-2 (+2),,"GOOD LAYUP by MADISON,DAMIEN(in the paint)",1
--,,,,,"ASSIST  by TONEY,CALEB",,,"ASSIST  by TONEY,CALEB",1
16:51,"GOOD 3PTR by BAK,CALVIN",7 (+5),,2,,BSC-M 7-2 (+5),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
16:35,,,,,"MISS LAYUP by MADISON,DAMIEN",,,"MISS LAYUP by MADISON,DAMIEN",1
