Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
14:47,,12 (+4),,8,"GOOD FT by STEWART,CHRISTIAN",BSC 12-8 (-4),,"GOOD FT by STEWART,CHRISTIAN",1
14:47,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",1
14:47,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",1
14:36,"MISS JUMPER by WEST,NATE(in the paint)",,,,,,,"MISS JUMPER by WEST,NATE(in the paint)",1
--,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",,,"REBOUND DEF by BRIGHT JR.,BRUCE",1
14:34,"SUB OUT by FOSNIGHT,BRICK",,,,,,,"SUB OUT by FOSNIGHT,BRICK",1
14:34,"SUB IN by GERBER,ELIJAH",,,,,,,"SUB IN by GERBER,ELIJAH",1
14:23,,12 (+2),,10,"GOOD LAYUP by MORRISON,JASON(in the paint)",BSC 12-10 (-2),,"GOOD LAYUP by MORRISON,JASON(in the paint)",1
--,,,,,"ASSIST  by CHILDERS,JOSH",,,"ASSIST  by CHILDERS,JOSH",1
14:15,"MISS 3PTR by MOORE,JUSTIN",,,,,,,"MISS 3PTR by MOORE,JUSTIN",1
--,"REBOUND OFF by EBERHARDT,ANDREW",,,,,,,"REBOUND OFF by EBERHARDT,ANDREW",1
14:06,"MISS 3PTR by MOORE,JUSTIN",,,,,,,"MISS 3PTR by MOORE,JUSTIN",1
--,"REBOUND OFF by TAYLOR,KORRIN",,,,,,,"REBOUND OFF by TAYLOR,KORRIN",1
13:52,"TURNOVER  by TAYLOR,KORRIN",,,,,,,"TURNOVER  by TAYLOR,KORRIN",1
13:43,,,,,"TURNOVER  by BRIGHT JR.,BRUCE",,,"TURNOVER  by BRIGHT JR.,BRUCE",1
13:43,"STEAL  by WEST,NATE",,,,,,,"STEAL  by WEST,NATE",1
13:38,"GOOD LAYUP by WEST,NATE(fastbreak)(in the paint)",14 (+4),,10,,LETU 14-10 (-4),,"GOOD LAYUP by WEST,NATE(fastbreak)(in the paint)",1
13:21,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",1
13:21,"STEAL  by EBERHARDT,ANDREW",,,,,,,"STEAL  by EBERHARDT,ANDREW",1
13:17,"GOOD LAYUP by MOORE,JUSTIN(fastbreak)(in the paint)",16 (+6),,10,,LETU 16-10 (-6),,"GOOD LAYUP by MOORE,JUSTIN(fastbreak)(in the paint)",1
--,"ASSIST  by EBERHARDT,ANDREW",,,,,,,"ASSIST  by EBERHARDT,ANDREW",1
13:06,,16 (+4),,12,"GOOD JUMPER by MORRISON,JASON(in the paint)",BSC 16-12 (-4),,"GOOD JUMPER by MORRISON,JASON(in the paint)",1
12:55,"GOOD LAYUP by GERBER,ELIJAH(in the paint)",18 (+6),,12,,LETU 18-12 (-6),,"GOOD LAYUP by GERBER,ELIJAH(in the paint)",1
--,"ASSIST  by TAYLOR,KORRIN",,,,,,,"ASSIST  by TAYLOR,KORRIN",1
12:44,,,,,"TURNOVER  by MORRISON,JASON",,,"TURNOVER  by MORRISON,JASON",1
12:44,"STEAL  by WEST,NATE",,,,,,,"STEAL  by WEST,NATE",1
12:40,,,,,"FOUL  by BRIGHT JR.,BRUCE",,,"FOUL  by BRIGHT JR.,BRUCE",1
12:40,"GOOD FT by WEST,NATE(fastbreak)",19 (+7),,12,,LETU 19-12 (-7),,"GOOD FT by WEST,NATE(fastbreak)",1
12:40,"SUB OUT by TAYLOR,KORRIN",,,,,,,"SUB OUT by TAYLOR,KORRIN",1
12:40,"SUB IN by MATTHEWS,KYLE",,,,,,,"SUB IN by MATTHEWS,KYLE",1
12:40,"GOOD FT by WEST,NATE(fastbreak)",20 (+8),,12,,LETU 20-12 (-8),,"GOOD FT by WEST,NATE(fastbreak)",1
12:23,,,,,"TURNOVER  by SIGLER,EVAN",,,"TURNOVER  by SIGLER,EVAN",1
12:23,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",1
12:23,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",1
12:23,,,,,"SUB OUT by BRIGHT JR.,BRUCE",,,"SUB OUT by BRIGHT JR.,BRUCE",1
12:23,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",1
12:23,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",1
12:23,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",1
12:23,,,,,"SUB IN by BAK,CALVIN",,,"SUB IN by BAK,CALVIN",1
12:23,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",1
12:23,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",1
12:23,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
12:05,"MISS 3PTR by GERBER,ELIJAH",,,,,,,"MISS 3PTR by GERBER,ELIJAH",1
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,1
12:03,,,,,"FOUL  by BAK,CALVIN",,,"FOUL  by BAK,CALVIN",1
11:58,"MISS 3PTR by WEST,NATE",,,,,,,"MISS 3PTR by WEST,NATE",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:52,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:40,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
11:36,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",1
11:36,"BLOCK  by MATTHEWS,KYLE",,,,,,,"BLOCK  by MATTHEWS,KYLE",1
