Time Remaining,LETU,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
02:44,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",1
02:42,"MISS LAYUP by FOSNIGHT,BRICK(in the paint)",,,,,,,"MISS LAYUP by FOSNIGHT,BRICK(in the paint)",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
02:30,"FOUL  by JOHNSON,RASHARD",,,,,,,"FOUL  by JOHNSON,RASHARD",1
02:30,,,,,"MISS FT by O'SULLIVAN,CONOR",,,"MISS FT by O'SULLIVAN,CONOR",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
02:30,,,,,"MISS FT by O'SULLIVAN,CONOR",,,"MISS FT by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by WEST,NATE",,,,,,,"REBOUND DEF by WEST,NATE",1
02:28,,,,,"FOUL  by CHILDERS,JOSH",,,"FOUL  by CHILDERS,JOSH",1
02:28,"GOOD FT by WEST,NATE(fastbreak)",46 (+11),,35,,LETU 46-35 (-11),,"GOOD FT by WEST,NATE(fastbreak)",1
02:28,"SUB OUT by ARGUE,JOHN",,,,,,,"SUB OUT by ARGUE,JOHN",1
02:28,"SUB IN by GERBER,ELIJAH",,,,,,,"SUB IN by GERBER,ELIJAH",1
02:27,"GOOD FT by WEST,NATE(fastbreak)",47 (+12),,35,,LETU 47-35 (-12),,"GOOD FT by WEST,NATE(fastbreak)",1
02:13,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",1
02:01,"MISS 3PTR by JOHNSON,RASHARD",,,,,,,"MISS 3PTR by JOHNSON,RASHARD",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
01:37,,,,,"MISS JUMPER by SPENCE,BEN",,,"MISS JUMPER by SPENCE,BEN",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:33,,,,,"FOUL TECH by FITZGERALD,PAUL",,,"FOUL TECH by FITZGERALD,PAUL",1
01:33,"FOUL TECH by JOHNSON,RASHARD",,,,,,,"FOUL TECH by JOHNSON,RASHARD",1
01:33,"SUB OUT by JOHNSON,RASHARD",,,,,,,"SUB OUT by JOHNSON,RASHARD",1
01:33,"SUB IN by MOORE,JUSTIN",,,,,,,"SUB IN by MOORE,JUSTIN",1
01:31,"FOUL  by FOSNIGHT,BRICK",,,,,,,"FOUL  by FOSNIGHT,BRICK",1
01:31,,,,,"MISS FT by CHILDERS,JOSH(fastbreak)",,,"MISS FT by CHILDERS,JOSH(fastbreak)",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
01:31,,47 (+11),,36,"GOOD FT by CHILDERS,JOSH(fastbreak)",BSC 47-36 (-11),,"GOOD FT by CHILDERS,JOSH(fastbreak)",1
01:21,"TURNOVER  by WEST,NATE",,,,,,,"TURNOVER  by WEST,NATE",1
01:21,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",1
01:15,,47 (+9),,38,"GOOD JUMPER by CHILDERS,JOSH(fastbreak)(in the paint)",BSC 47-38 (-9),,"GOOD JUMPER by CHILDERS,JOSH(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
00:57,"GOOD LAYUP by FOSNIGHT,BRICK(in the paint)",49 (+11),,38,,LETU 49-38 (-11),,"GOOD LAYUP by FOSNIGHT,BRICK(in the paint)",1
--,"ASSIST  by EBERHARDT,ANDREW",,,,,,,"ASSIST  by EBERHARDT,ANDREW",1
00:38,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",1
00:38,"BLOCK  by GERBER,ELIJAH",,,,,,,"BLOCK  by GERBER,ELIJAH",1
--,"REBOUND DEF by FOSNIGHT,BRICK",,,,,,,"REBOUND DEF by FOSNIGHT,BRICK",1
00:27,"MISS JUMPER by GERBER,ELIJAH(in the paint)",,,,,,,"MISS JUMPER by GERBER,ELIJAH(in the paint)",1
--,"REBOUND OFF by MOORE,JUSTIN",,,,,,,"REBOUND OFF by MOORE,JUSTIN",1
00:25,,,,,"FOUL  by SPENCE,BEN",,,"FOUL  by SPENCE,BEN",1
00:25,"MISS FT by MOORE,JUSTIN",,,,,,,"MISS FT by MOORE,JUSTIN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:25,"GOOD FT by MOORE,JUSTIN",50 (+12),,38,,LETU 50-38 (-12),,"GOOD FT by MOORE,JUSTIN",1
00:25,"SUB OUT by WEST,NATE",,,,,,,"SUB OUT by WEST,NATE",1
00:25,"SUB IN by JOHNSON,RASHARD",,,,,,,"SUB IN by JOHNSON,RASHARD",1
00:25,,,,,"FOUL  by GONDA,MATT",,,"FOUL  by GONDA,MATT",1
00:01,,,,,"MISS 3PTR by SPENCE,BEN",,,"MISS 3PTR by SPENCE,BEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",2
20:00,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",2
20:00,"SUB OUT by MOORE,JUSTIN",,,,,,,"SUB OUT by MOORE,JUSTIN",2
20:00,"SUB OUT by GERBER,ELIJAH",,,,,,,"SUB OUT by GERBER,ELIJAH",2
20:00,"SUB OUT by JOHNSON,RASHARD",,,,,,,"SUB OUT by JOHNSON,RASHARD",2
20:00,"SUB IN by WEST,NATE",,,,,,,"SUB IN by WEST,NATE",2
20:00,"SUB IN by RICHARDSON,WARREN",,,,,,,"SUB IN by RICHARDSON,WARREN",2
20:00,"SUB IN by ARGUE,JOHN",,,,,,,"SUB IN by ARGUE,JOHN",2
19:53,"TURNOVER  by ARGUE,JOHN",,,,,,,"TURNOVER  by ARGUE,JOHN",2
19:34,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",2
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",2
19:30,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",2
19:30,"STEAL  by WEST,NATE",,,,,,,"STEAL  by WEST,NATE",2
19:22,"GOOD LAYUP by ARGUE,JOHN(in the paint)",52 (+14),,38,,LETU 52-38 (-14),,"GOOD LAYUP by ARGUE,JOHN(in the paint)",2
--,"ASSIST  by FOSNIGHT,BRICK",,,,,,,"ASSIST  by FOSNIGHT,BRICK",2
19:10,,52 (+12),,40,"GOOD JUMPER by SPENCE,BEN(in the paint)",BSC 52-40 (-12),,"GOOD JUMPER by SPENCE,BEN(in the paint)",2
19:01,"GOOD JUMPER by EBERHARDT,ANDREW(in the paint)",54 (+14),,40,,LETU 54-40 (-14),,"GOOD JUMPER by EBERHARDT,ANDREW(in the paint)",2
--,"ASSIST  by FOSNIGHT,BRICK",,,,,,,"ASSIST  by FOSNIGHT,BRICK",2
18:28,,,,,"MISS LAYUP by SPENCE,BEN(in the paint)",,,"MISS LAYUP by SPENCE,BEN(in the paint)",2
--,"REBOUND DEF by FOSNIGHT,BRICK",,,,,,,"REBOUND DEF by FOSNIGHT,BRICK",2
18:19,"GOOD LAYUP by ARGUE,JOHN(in the paint)",56 (+16),,40,,LETU 56-40 (-16),,"GOOD LAYUP by ARGUE,JOHN(in the paint)",2
--,"ASSIST  by RICHARDSON,WARREN",,,,,,,"ASSIST  by RICHARDSON,WARREN",2
18:06,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",2
18:04,"FOUL  by WEST,NATE",,,,,,,"FOUL  by WEST,NATE",2
18:04,,,,,"MISS FT by STEWART,CHRISTIAN",,,"MISS FT by STEWART,CHRISTIAN",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
18:04,,,,,"MISS FT by STEWART,CHRISTIAN",,,"MISS FT by STEWART,CHRISTIAN",2
--,,,,,"REBOUND OFF by SPENCE,BEN",,,"REBOUND OFF by SPENCE,BEN",2
17:56,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",2
17:48,"GOOD DUNK by FOSNIGHT,BRICK(in the paint)",58 (+18),,40,,LETU 58-40 (-18),,"GOOD DUNK by FOSNIGHT,BRICK(in the paint)",2
--,"ASSIST  by RICHARDSON,WARREN",,,,,,,"ASSIST  by RICHARDSON,WARREN",2
17:33,,,,,"TURNOVER  by BAK,CALVIN",,,"TURNOVER  by BAK,CALVIN",2
17:33,"STEAL  by RICHARDSON,WARREN",,,,,,,"STEAL  by RICHARDSON,WARREN",2
17:26,"MISS 3PTR by WEST,NATE",,,,,,,"MISS 3PTR by WEST,NATE",2
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",2
17:21,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",2
17:04,"MISS 3PTR by RICHARDSON,WARREN",,,,,,,"MISS 3PTR by RICHARDSON,WARREN",2
--,"REBOUND OFF by WEST,NATE",,,,,,,"REBOUND OFF by WEST,NATE",2
16:49,"MISS LAYUP by WEST,NATE(in the paint)",,,,,,,"MISS LAYUP by WEST,NATE(in the paint)",2
16:49,,,,,"BLOCK  by SPENCE,BEN",,,"BLOCK  by SPENCE,BEN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
16:46,"GOOD 3PTR by EBERHARDT,ANDREW",61 (+21),,40,,LETU 61-40 (-21),,"GOOD 3PTR by EBERHARDT,ANDREW",2
16:32,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",2
--,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",,,"REBOUND OFF by O'SULLIVAN,CONOR",2
16:25,,,,,"MISS LAYUP by SPENCE,BEN(in the paint)",,,"MISS LAYUP by SPENCE,BEN(in the paint)",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
16:18,,61 (+19),,42,"GOOD LAYUP by SPENCE,BEN(in the paint)",BSC 61-42 (-19),,"GOOD LAYUP by SPENCE,BEN(in the paint)",2
--,,,,,"ASSIST  by STEWART,CHRISTIAN",,,"ASSIST  by STEWART,CHRISTIAN",2
16:05,"TURNOVER  by WEST,NATE",,,,,,,"TURNOVER  by WEST,NATE",2
16:05,,,,,"STEAL  by SPENCE,BEN",,,"STEAL  by SPENCE,BEN",2
15:59,"FOUL  by FOSNIGHT,BRICK",,,,,,,"FOUL  by FOSNIGHT,BRICK",2
15:59,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
15:59,"SUB OUT by FOSNIGHT,BRICK",,,,,,,"SUB OUT by FOSNIGHT,BRICK",2
15:59,"SUB IN by BEENE,GARRETT",,,,,,,"SUB IN by BEENE,GARRETT",2
15:59,,61 (+18),,43,"GOOD FT by FITZGERALD,PAUL(fastbreak)",BSC 61-43 (-18),,"GOOD FT by FITZGERALD,PAUL(fastbreak)",2
15:59,,,,,"MISS FT by FITZGERALD,PAUL(fastbreak)",,,"MISS FT by FITZGERALD,PAUL(fastbreak)",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
15:59,,61 (+17),,44,"GOOD FT by FITZGERALD,PAUL(fastbreak)",BSC 61-44 (-17),,"GOOD FT by FITZGERALD,PAUL(fastbreak)",2
15:48,"MISS JUMPER by RICHARDSON,WARREN",,,,,,,"MISS JUMPER by RICHARDSON,WARREN",2
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",2
15:33,,,,,"MISS 3PTR by SPENCE,BEN",,,"MISS 3PTR by SPENCE,BEN",2
--,"REBOUND DEF by WEST,NATE",,,,,,,"REBOUND DEF by WEST,NATE",2
15:27,"GOOD DUNK by RICHARDSON,WARREN(fastbreak)(in the paint)",63 (+19),,44,,LETU 63-44 (-19),,"GOOD DUNK by RICHARDSON,WARREN(fastbreak)(in the paint)",2
--,"ASSIST  by WEST,NATE",,,,,,,"ASSIST  by WEST,NATE",2
15:01,,63 (+17),,46,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 63-46 (-17),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,,,,,"ASSIST  by BAK,CALVIN",,,"ASSIST  by BAK,CALVIN",2
14:53,"GOOD 3PTR by BEENE,GARRETT",66 (+20),,46,,LETU 66-46 (-20),,"GOOD 3PTR by BEENE,GARRETT",2
--,"ASSIST  by EBERHARDT,ANDREW",,,,,,,"ASSIST  by EBERHARDT,ANDREW",2
14:28,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",2
--,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",,,"REBOUND OFF by O'SULLIVAN,CONOR",2
14:18,,,,,"MISS LAYUP by FITZGERALD,PAUL(in the paint)",,,"MISS LAYUP by FITZGERALD,PAUL(in the paint)",2
--,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",,,"REBOUND OFF by O'SULLIVAN,CONOR",2
14:05,,,,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",,,"MISS LAYUP by STEWART,CHRISTIAN(in the paint)",2
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",2
14:02,,66 (+18),,48,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 66-48 (-18),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",2
14:01,,,,,"SUB OUT by FITZGERALD,PAUL",,,"SUB OUT by FITZGERALD,PAUL",2
14:01,,,,,"SUB OUT by SPENCE,BEN",,,"SUB OUT by SPENCE,BEN",2
14:01,,,,,"SUB IN by GONDA,MATT",,,"SUB IN by GONDA,MATT",2
14:01,,,,,"SUB IN by MORRISON,JASON",,,"SUB IN by MORRISON,JASON",2
14:01,"SUB OUT by EBERHARDT,ANDREW",,,,,,,"SUB OUT by EBERHARDT,ANDREW",2
14:01,"SUB OUT by RICHARDSON,WARREN",,,,,,,"SUB OUT by RICHARDSON,WARREN",2
14:01,"SUB OUT by BEENE,GARRETT",,,,,,,"SUB OUT by BEENE,GARRETT",2
14:01,"SUB IN by MATTHEWS,KYLE",,,,,,,"SUB IN by MATTHEWS,KYLE",2
14:01,"SUB IN by MOORE,JUSTIN",,,,,,,"SUB IN by MOORE,JUSTIN",2
14:01,"SUB IN by GERBER,ELIJAH",,,,,,,"SUB IN by GERBER,ELIJAH",2
13:46,,,,,"FOUL  by MORRISON,JASON",,,"FOUL  by MORRISON,JASON",2
13:44,"MISS FT by ARGUE,JOHN",,,,,,,"MISS FT by ARGUE,JOHN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:44,"GOOD FT by ARGUE,JOHN",67 (+19),,48,,LETU 67-48 (-19),,"GOOD FT by ARGUE,JOHN",2
13:25,,,,,"TURNOVER  by STEWART,CHRISTIAN",,,"TURNOVER  by STEWART,CHRISTIAN",2
13:25,"STEAL  by GERBER,ELIJAH",,,,,,,"STEAL  by GERBER,ELIJAH",2
13:17,"MISS 3PTR by ARGUE,JOHN",,,,,,,"MISS 3PTR by ARGUE,JOHN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
13:14,,,,,"SUB OUT by BAK,CALVIN",,,"SUB OUT by BAK,CALVIN",2
13:14,,,,,"SUB OUT by STEWART,CHRISTIAN",,,"SUB OUT by STEWART,CHRISTIAN",2
13:14,,,,,"SUB IN by SIGLER,EVAN",,,"SUB IN by SIGLER,EVAN",2
13:14,,,,,"SUB IN by CHILDERS,JOSH",,,"SUB IN by CHILDERS,JOSH",2
12:59,,,,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",,,"MISS LAYUP by CHILDERS,JOSH(in the paint)",2
12:59,"BLOCK  by ARGUE,JOHN",,,,,,,"BLOCK  by ARGUE,JOHN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
12:52,"MISS 3PTR by WEST,NATE",,,,,,,"MISS 3PTR by WEST,NATE",2
--,"REBOUND OFF by MOORE,JUSTIN",,,,,,,"REBOUND OFF by MOORE,JUSTIN",2
12:45,"GOOD LAYUP by MOORE,JUSTIN(in the paint)",69 (+21),,48,,LETU 69-48 (-21),,"GOOD LAYUP by MOORE,JUSTIN(in the paint)",2
12:37,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",2
12:37,"STEAL  by WEST,NATE",,,,,,,"STEAL  by WEST,NATE",2
12:29,"TURNOVER  by MATTHEWS,KYLE",,,,,,,"TURNOVER  by MATTHEWS,KYLE",2
12:29,,,,,"STEAL  by O'SULLIVAN,CONOR",,,"STEAL  by O'SULLIVAN,CONOR",2
12:21,,69 (+18),,51,"GOOD 3PTR by SIGLER,EVAN(fastbreak)",BSC 69-51 (-18),,"GOOD 3PTR by SIGLER,EVAN(fastbreak)",2
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",2
12:05,"MISS LAYUP by MATTHEWS,KYLE(in the paint)",,,,,,,"MISS LAYUP by MATTHEWS,KYLE(in the paint)",2
--,"REBOUND OFF by ARGUE,JOHN",,,,,,,"REBOUND OFF by ARGUE,JOHN",2
12:02,,,,,"FOUL  by MORRISON,JASON",,,"FOUL  by MORRISON,JASON",2
12:02,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,2
12:02,"MISS FT by ARGUE,JOHN",,,,,,,"MISS FT by ARGUE,JOHN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
12:02,"GOOD FT by ARGUE,JOHN",70 (+19),,51,,LETU 70-51 (-19),,"GOOD FT by ARGUE,JOHN",2
11:53,,,,,"SUB OUT by O'SULLIVAN,CONOR",,,"SUB OUT by O'SULLIVAN,CONOR",2
11:53,,,,,"SUB IN by BRIGHT JR.,BRUCE",,,"SUB IN by BRIGHT JR.,BRUCE",2
11:38,"FOUL  by ARGUE,JOHN",,,,,,,"FOUL  by ARGUE,JOHN",2
11:32,,,,,"MISS 3PTR by BRIGHT JR.,BRUCE",,,"MISS 3PTR by BRIGHT JR.,BRUCE",2
--,,,,,"REBOUND OFF by CHILDERS,JOSH",,,"REBOUND OFF by CHILDERS,JOSH",2
11:25,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",2
--,"REBOUND DEF by MOORE,JUSTIN",,,,,,,"REBOUND DEF by MOORE,JUSTIN",2
11:14,,,,,"FOUL  by MORRISON,JASON",,,"FOUL  by MORRISON,JASON",2
11:10,,,,,"FOUL  by BRIGHT JR.,BRUCE",,,"FOUL  by BRIGHT JR.,BRUCE",2
11:10,"MISS FT by MOORE,JUSTIN",,,,,,,"MISS FT by MOORE,JUSTIN",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
11:10,"SUB OUT by ARGUE,JOHN",,,,,,,"SUB OUT by ARGUE,JOHN",2
11:10,"SUB IN by TAYLOR,KORRIN",,,,,,,"SUB IN by TAYLOR,KORRIN",2
11:10,"MISS FT by MOORE,JUSTIN",,,,,,,"MISS FT by MOORE,JUSTIN",2
--,,,,,"REBOUND DEF by BRIGHT JR.,BRUCE",,,"REBOUND DEF by BRIGHT JR.,BRUCE",2
10:45,,,,,"TURNOVER  by BRIGHT JR.,BRUCE",,,"TURNOVER  by BRIGHT JR.,BRUCE",2
10:35,"MISS LAYUP by GERBER,ELIJAH(in the paint)",,,,,,,"MISS LAYUP by GERBER,ELIJAH(in the paint)",2
--,,,,,"REBOUND DEF by CHILDERS,JOSH",,,"REBOUND DEF by CHILDERS,JOSH",2
10:15,,,,,"FOUL  by SIGLER,EVAN",,,"FOUL  by SIGLER,EVAN",2
10:15,,,,,"TURNOVER  by SIGLER,EVAN",,,"TURNOVER  by SIGLER,EVAN",2
09:58,"MISS 3PTR by WEST,NATE",,,,,,,"MISS 3PTR by WEST,NATE",2
--,"REBOUND OFF by TAYLOR,KORRIN",,,,,,,"REBOUND OFF by TAYLOR,KORRIN",2
09:46,"FOUL  by TAYLOR,KORRIN",,,,,,,"FOUL  by TAYLOR,KORRIN",2
09:46,"TURNOVER  by TAYLOR,KORRIN",,,,,,,"TURNOVER  by TAYLOR,KORRIN",2
09:26,"FOUL  by TAYLOR,KORRIN",,,,,,,"FOUL  by TAYLOR,KORRIN",2
09:15,,,,,"MISS LAYUP by BRIGHT JR.,BRUCE(in the paint)",,,"MISS LAYUP by BRIGHT JR.,BRUCE(in the paint)",2
--,"REBOUND DEF by WEST,NATE",,,,,,,"REBOUND DEF by WEST,NATE",2
09:09,"MISS LAYUP by MOORE,JUSTIN(in the paint)",,,,,,,"MISS LAYUP by MOORE,JUSTIN(in the paint)",2
--,,,,,"REBOUND DEF by MORRISON,JASON",,,"REBOUND DEF by MORRISON,JASON",2
09:04,"FOUL  by WEST,NATE",,,,,,,"FOUL  by WEST,NATE",2
09:04,,,,,"SUB OUT by CHILDERS,JOSH",,,"SUB OUT by CHILDERS,JOSH",2
09:04,,,,,"SUB IN by STEWART,CHRISTIAN",,,"SUB IN by STEWART,CHRISTIAN",2
09:04,"SUB OUT by MATTHEWS,KYLE",,,,,,,"SUB OUT by MATTHEWS,KYLE",2
09:04,"SUB OUT by MOORE,JUSTIN",,,,,,,"SUB OUT by MOORE,JUSTIN",2
09:04,"SUB OUT by TAYLOR,KORRIN",,,,,,,"SUB OUT by TAYLOR,KORRIN",2
09:04,"SUB OUT by GERBER,ELIJAH",,,,,,,"SUB OUT by GERBER,ELIJAH",2
09:04,"SUB IN by EBERHARDT,ANDREW",,,,,,,"SUB IN by EBERHARDT,ANDREW",2
09:04,"SUB IN by ARGUE,JOHN",,,,,,,"SUB IN by ARGUE,JOHN",2
09:04,"SUB IN by FOSNIGHT,BRICK",,,,,,,"SUB IN by FOSNIGHT,BRICK",2
09:04,"SUB IN by JOHNSON,RASHARD",,,,,,,"SUB IN by JOHNSON,RASHARD",2
08:57,"FOUL  by ARGUE,JOHN",,,,,,,"FOUL  by ARGUE,JOHN",2
08:57,,70 (+18),,52,"GOOD FT by MORRISON,JASON",BSC 70-52 (-18),,"GOOD FT by MORRISON,JASON",2
08:57,,,,,"MISS FT by MORRISON,JASON",,,"MISS FT by MORRISON,JASON",2
--,"REBOUND DEF by FOSNIGHT,BRICK",,,,,,,"REBOUND DEF by FOSNIGHT,BRICK",2
08:44,"MISS LAYUP by ARGUE,JOHN(in the paint)",,,,,,,"MISS LAYUP by ARGUE,JOHN(in the paint)",2
08:44,,,,,"BLOCK  by STEWART,CHRISTIAN",,,"BLOCK  by STEWART,CHRISTIAN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
08:42,TIMEOUT TEAM by TEAM,,,,,,,TIMEOUT TEAM by TEAM,2
08:26,"MISS JUMPER by WEST,NATE",,,,,,,"MISS JUMPER by WEST,NATE",2
--,"REBOUND OFF by ARGUE,JOHN",,,,,,,"REBOUND OFF by ARGUE,JOHN",2
08:22,"SUB OUT by EBERHARDT,ANDREW",,,,,,,"SUB OUT by EBERHARDT,ANDREW",2
08:22,"SUB IN by RICHARDSON,WARREN",,,,,,,"SUB IN by RICHARDSON,WARREN",2
08:17,"MISS JUMPER by ARGUE,JOHN",,,,,,,"MISS JUMPER by ARGUE,JOHN",2
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",2
07:52,,,,,"MISS 3PTR by SIGLER,EVAN",,,"MISS 3PTR by SIGLER,EVAN",2
--,"REBOUND DEF by FOSNIGHT,BRICK",,,,,,,"REBOUND DEF by FOSNIGHT,BRICK",2
07:45,,,,,"FOUL  by GONDA,MATT",,,"FOUL  by GONDA,MATT",2
07:45,"GOOD FT by RICHARDSON,WARREN(fastbreak)",71 (+19),,52,,LETU 71-52 (-19),,"GOOD FT by RICHARDSON,WARREN(fastbreak)",2
07:45,,,,,"SUB OUT by SIGLER,EVAN",,,"SUB OUT by SIGLER,EVAN",2
07:45,,,,,"SUB IN by KANE,DENMAN",,,"SUB IN by KANE,DENMAN",2
07:45,"GOOD FT by RICHARDSON,WARREN(fastbreak)",72 (+20),,52,,LETU 72-52 (-20),,"GOOD FT by RICHARDSON,WARREN(fastbreak)",2
07:27,,,,,"TURNOVER  by GONDA,MATT",,,"TURNOVER  by GONDA,MATT",2
07:17,"MISS 3PTR by ARGUE,JOHN",,,,,,,"MISS 3PTR by ARGUE,JOHN",2
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",2
07:08,,,,,"MISS 3PTR by KANE,DENMAN",,,"MISS 3PTR by KANE,DENMAN",2
--,,,,,"REBOUND OFF by BRIGHT JR.,BRUCE",,,"REBOUND OFF by BRIGHT JR.,BRUCE",2
07:04,,,,,"MISS LAYUP by BRIGHT JR.,BRUCE(in the paint)",,,"MISS LAYUP by BRIGHT JR.,BRUCE(in the paint)",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
07:04,,,,,"SUB OUT by GONDA,MATT",,,"SUB OUT by GONDA,MATT",2
07:04,,,,,"SUB OUT by BRIGHT JR.,BRUCE",,,"SUB OUT by BRIGHT JR.,BRUCE",2
07:04,,,,,"SUB IN by FITZGERALD,PAUL",,,"SUB IN by FITZGERALD,PAUL",2
07:04,,,,,"SUB IN by O'SULLIVAN,CONOR",,,"SUB IN by O'SULLIVAN,CONOR",2
07:04,"SUB OUT by JOHNSON,RASHARD",,,,,,,"SUB OUT by JOHNSON,RASHARD",2
07:04,"SUB IN by WILSON,KYCE",,,,,,,"SUB IN by WILSON,KYCE",2
06:49,"MISS LAYUP by WEST,NATE(in the paint)",,,,,,,"MISS LAYUP by WEST,NATE(in the paint)",2
--,,,,,"REBOUND DEF by KANE,DENMAN",,,"REBOUND DEF by KANE,DENMAN",2
06:41,,,,,"MISS 3PTR by FITZGERALD,PAUL",,,"MISS 3PTR by FITZGERALD,PAUL",2
--,,,,,"REBOUND OFF by MORRISON,JASON",,,"REBOUND OFF by MORRISON,JASON",2
06:25,"FOUL  by WILSON,KYCE",,,,,,,"FOUL  by WILSON,KYCE",2
06:25,,,,,"MISS FT by MORRISON,JASON",,,"MISS FT by MORRISON,JASON",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
06:25,,72 (+19),,53,"GOOD FT by MORRISON,JASON",BSC 72-53 (-19),,"GOOD FT by MORRISON,JASON",2
06:25,,,,,"SUB OUT by MORRISON,JASON",,,"SUB OUT by MORRISON,JASON",2
06:25,,,,,"SUB IN by SPENCE,BEN",,,"SUB IN by SPENCE,BEN",2
06:16,"MISS LAYUP by WEST,NATE(in the paint)",,,,,,,"MISS LAYUP by WEST,NATE(in the paint)",2
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",2
05:56,,72 (+16),,56,"GOOD 3PTR by STEWART,CHRISTIAN",BSC 72-56 (-16),,"GOOD 3PTR by STEWART,CHRISTIAN",2
