Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,UNA,Game Score,Team Indicator,Play,Period
16:15,"GOOD FT by SPENCE,BEN",11 (+1),,10,,BSC 11-10 (+1),,"GOOD FT by SPENCE,BEN",1
16:15,,,,,"SUB IN by DIGGS,CAMERON",,,"SUB IN by DIGGS,CAMERON",1
16:15,,,,,"SUB OUT by WINDELER,LOGAN",,,"SUB OUT by WINDELER,LOGAN",1
15:57,,,,,"MISS JUMPER by AGNEW,CHRISTIAN",,,"MISS JUMPER by AGNEW,CHRISTIAN",1
--,,,,,"REBOUND OFF by DIGGS,CAMERON",,,"REBOUND OFF by DIGGS,CAMERON",1
15:53,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",1
15:53,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
15:45,,,,,"TURNOVER  by AGNEW,CHRISTIAN",,,"TURNOVER  by AGNEW,CHRISTIAN",1
15:45,"STEAL  by STEWART,CHRISTIAN",,,,,,,"STEAL  by STEWART,CHRISTIAN",1
15:39,,,,,"FOUL  by JAMES,MERVIN",,,"FOUL  by JAMES,MERVIN",1
15:39,"GOOD FT by O'SULLIVAN,CONOR",12 (+2),,10,,BSC 12-10 (+2),,"GOOD FT by O'SULLIVAN,CONOR",1
15:39,"GOOD FT by O'SULLIVAN,CONOR",13 (+3),,10,,BSC 13-10 (+3),,"GOOD FT by O'SULLIVAN,CONOR",1
15:39,,,,,"SUB IN by YOUNGBLOOD,PAYTON",,,"SUB IN by YOUNGBLOOD,PAYTON",1
15:39,,,,,"SUB OUT by JAMES,MERVIN",,,"SUB OUT by JAMES,MERVIN",1
15:17,,13 (+1),,12,"GOOD LAYUP by DIGGS,CAMERON(in the paint)",UNA 13-12 (+1),,"GOOD LAYUP by DIGGS,CAMERON(in the paint)",1
--,,,,,"ASSIST  by AGNEW,CHRISTIAN",,,"ASSIST  by AGNEW,CHRISTIAN",1
14:53,"GOOD 3PTR by BAK,CALVIN",16 (+4),,12,,BSC 16-12 (+4),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by O'SULLIVAN,CONOR",,,,,,,"ASSIST  by O'SULLIVAN,CONOR",1
14:53,,16 (+1),,15,"GOOD 3PTR by BLACKMON,JAMARI",UNA 16-15 (+1),,"GOOD 3PTR by BLACKMON,JAMARI",1
--,,,,,"ASSIST  by AGNEW,CHRISTIAN",,,"ASSIST  by AGNEW,CHRISTIAN",1
14:49,,,,,"FOUL  by AGNEW,CHRISTIAN",,,"FOUL  by AGNEW,CHRISTIAN",1
14:34,"MISS FT by SPENCE,BEN",,,,,,,"MISS FT by SPENCE,BEN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
14:16,,16,,18 (+2),"GOOD 3PTR by BLACKMON,JAMARI",UNA 16-18 (-2),,"GOOD 3PTR by BLACKMON,JAMARI",1
14:15,,,,,"FOUL  by AGNEW,CHRISTIAN",,,"FOUL  by AGNEW,CHRISTIAN",1
14:15,"MISS FT by SPENCE,BEN",,,,,,,"MISS FT by SPENCE,BEN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
14:15,"GOOD FT by SPENCE,BEN",17,,18 (+1),,BSC 17-18 (-1),,"GOOD FT by SPENCE,BEN",1
14:13,,17,,20 (+3),"GOOD LAYUP by KING,TAVON(fastbreak)(in the paint)",UNA 17-20 (-3),,"GOOD LAYUP by KING,TAVON(fastbreak)(in the paint)",1
14:13,,,,,"SUB IN by KING,TAVON",,,"SUB IN by KING,TAVON",1
14:13,,,,,"SUB OUT by DIGGS,CAMERON",,,"SUB OUT by DIGGS,CAMERON",1
13:19,"GOOD JUMPER by SPENCE,BEN(in the paint)",19,,20 (+1),,BSC 19-20 (-1),,"GOOD JUMPER by SPENCE,BEN(in the paint)",1
12:58,,,,,"MISS 3PTR by BRIM,CJ",,,"MISS 3PTR by BRIM,CJ",1
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",1
12:51,"MISS 3PTR by SPENCE,BEN",,,,,,,"MISS 3PTR by SPENCE,BEN",1
--,"REBOUND OFF by O'SULLIVAN,CONOR",,,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",1
12:43,"MISS 3PTR by O'SULLIVAN,CONOR",,,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,,,,,"REBOUND DEF by BRIM,CJ",,,"REBOUND DEF by BRIM,CJ",1
12:30,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
12:30,"SUB IN by JR,BRUCE BRIGHT",,,,,,,"SUB IN by JR,BRUCE BRIGHT",1
12:30,"SUB IN by MORRISON,JASON",,,,,,,"SUB IN by MORRISON,JASON",1
12:30,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
12:30,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
12:30,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
12:30,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
12:30,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
12:30,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
12:30,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
12:30,,,,,"SUB IN by DIGGS,CAMERON",,,"SUB IN by DIGGS,CAMERON",1
12:30,,,,,"SUB IN by ANDERSON,JAMES",,,"SUB IN by ANDERSON,JAMES",1
12:30,,,,,"SUB OUT by BRIM,CJ",,,"SUB OUT by BRIM,CJ",1
12:30,,,,,"SUB OUT by AGNEW,CHRISTIAN",,,"SUB OUT by AGNEW,CHRISTIAN",1
12:15,,,,,"MISS JUMPER by KING,TAVON",,,"MISS JUMPER by KING,TAVON",1
--,,,,,"REBOUND OFF by ANDERSON,JAMES",,,"REBOUND OFF by ANDERSON,JAMES",1
12:09,,19,,23 (+4),"GOOD 3PTR by BLACKMON,JAMARI",UNA 19-23 (-4),,"GOOD 3PTR by BLACKMON,JAMARI",1
--,,,,,"ASSIST  by KING,TAVON",,,"ASSIST  by KING,TAVON",1
11:50,"MISS JUMPER by CHILDERS,JOSH",,,,,,,"MISS JUMPER by CHILDERS,JOSH",1
--,"REBOUND OFF by MORRISON,JASON",,,,,,,"REBOUND OFF by MORRISON,JASON",1
11:48,"MISS JUMPER by MORRISON,JASON",,,,,,,"MISS JUMPER by MORRISON,JASON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
11:22,,19,,26 (+7),"GOOD 3PTR by BLACKMON,JAMARI",UNA 19-26 (-7),,"GOOD 3PTR by BLACKMON,JAMARI",1
10:46,,,,,"FOUL  by DIGGS,CAMERON",,,"FOUL  by DIGGS,CAMERON",1
10:42,"MISS 3PTR by MORRISON,JASON",,,,,,,"MISS 3PTR by MORRISON,JASON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
10:42,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
10:24,,,,,"TURNOVER  by KING,TAVON",,,"TURNOVER  by KING,TAVON",1
10:08,"GOOD LAYUP by MORRISON,JASON(in the paint)",21,,26 (+5),,BSC 21-26 (-5),,"GOOD LAYUP by MORRISON,JASON(in the paint)",1
--,"ASSIST  by CHILDERS,JOSH",,,,,,,"ASSIST  by CHILDERS,JOSH",1
09:44,,,,,"MISS 3PTR by BLACKMON,JAMARI",,,"MISS 3PTR by BLACKMON,JAMARI",1
--,,,,,"REBOUND OFF by YOUNGBLOOD,PAYTON",,,"REBOUND OFF by YOUNGBLOOD,PAYTON",1
09:38,,,,,"TURNOVER  by YOUNGBLOOD,PAYTON",,,"TURNOVER  by YOUNGBLOOD,PAYTON",1
09:38,"STEAL  by GONDA,MATT",,,,,,,"STEAL  by GONDA,MATT",1
09:32,"TURNOVER  by GONDA,MATT",,,,,,,"TURNOVER  by GONDA,MATT",1
09:32,,,,,"STEAL  by DIGGS,CAMERON",,,"STEAL  by DIGGS,CAMERON",1
09:25,,,,,"MISS 3PTR by ANDERSON,JAMES",,,"MISS 3PTR by ANDERSON,JAMES",1
--,"REBOUND DEF by FITZGERALD,PAUL",,,,,,,"REBOUND DEF by FITZGERALD,PAUL",1
09:09,"MISS JUMPER by GONDA,MATT",,,,,,,"MISS JUMPER by GONDA,MATT",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
08:59,,21,,29 (+8),"GOOD 3PTR by ANDERSON,JAMES",UNA 21-29 (-8),,"GOOD 3PTR by ANDERSON,JAMES",1
--,,,,,"ASSIST  by BLACKMON,JAMARI",,,"ASSIST  by BLACKMON,JAMARI",1
08:29,"MISS JUMPER by MORRISON,JASON",,,,,,,"MISS JUMPER by MORRISON,JASON",1
--,,,,,"REBOUND DEF by DIGGS,CAMERON",,,"REBOUND DEF by DIGGS,CAMERON",1
08:20,,,,,"MISS 3PTR by YOUNGBLOOD,PAYTON",,,"MISS 3PTR by YOUNGBLOOD,PAYTON",1
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",1
08:08,"GOOD JUMPER by MORRISON,JASON",23,,29 (+6),,BSC 23-29 (-6),,"GOOD JUMPER by MORRISON,JASON",1
--,"ASSIST  by GONDA,MATT",,,,,,,"ASSIST  by GONDA,MATT",1
07:45,,23,,32 (+9),"GOOD 3PTR by ANDERSON,JAMES",UNA 23-32 (-9),,"GOOD 3PTR by ANDERSON,JAMES",1
--,,,,,"ASSIST  by KING,TAVON",,,"ASSIST  by KING,TAVON",1
07:33,"FOUL  by GONDA,MATT",,,,,,,"FOUL  by GONDA,MATT",1
07:33,"TURNOVER  by GONDA,MATT",,,,,,,"TURNOVER  by GONDA,MATT",1
07:33,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
07:33,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
07:33,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
07:33,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",1
07:33,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
07:33,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
07:33,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",1
07:33,"SUB OUT by MORRISON,JASON",,,,,,,"SUB OUT by MORRISON,JASON",1
07:33,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
07:33,"SUB OUT by FITZGERALD,PAUL",,,,,,,"SUB OUT by FITZGERALD,PAUL",1
07:33,,,,,"SUB IN by BRIM,CJ",,,"SUB IN by BRIM,CJ",1
07:33,,,,,"SUB IN by WINDELER,LOGAN",,,"SUB IN by WINDELER,LOGAN",1
07:33,,,,,"SUB OUT by DIGGS,CAMERON",,,"SUB OUT by DIGGS,CAMERON",1
07:33,,,,,"SUB OUT by BLACKMON,JAMARI",,,"SUB OUT by BLACKMON,JAMARI",1
07:15,,,,,"TURNOVER  by KING,TAVON",,,"TURNOVER  by KING,TAVON",1
07:15,"STEAL  by STEWART,CHRISTIAN",,,,,,,"STEAL  by STEWART,CHRISTIAN",1
07:07,"GOOD 3PTR by STEWART,CHRISTIAN",26,,32 (+6),,BSC 26-32 (-6),,"GOOD 3PTR by STEWART,CHRISTIAN",1
--,"ASSIST  by BAK,CALVIN",,,,,,,"ASSIST  by BAK,CALVIN",1
06:48,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
06:48,,26,,33 (+7),"GOOD FT by YOUNGBLOOD,PAYTON",UNA 26-33 (-7),,"GOOD FT by YOUNGBLOOD,PAYTON",1
06:48,,26,,34 (+8),"GOOD FT by YOUNGBLOOD,PAYTON",UNA 26-34 (-8),,"GOOD FT by YOUNGBLOOD,PAYTON",1
06:27,"GOOD JUMPER by BAK,CALVIN",28,,34 (+6),,BSC 28-34 (-6),,"GOOD JUMPER by BAK,CALVIN",1
06:07,,,,,"TURNOVER  by KING,TAVON",,,"TURNOVER  by KING,TAVON",1
06:07,"STEAL  by SIGLER,EVAN",,,,,,,"STEAL  by SIGLER,EVAN",1
05:47,"MISS JUMPER by O'SULLIVAN,CONOR",,,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",1
--,,,,,"REBOUND DEF by WINDELER,LOGAN",,,"REBOUND DEF by WINDELER,LOGAN",1
05:37,,,,,"TURNOVER  by WINDELER,LOGAN",,,"TURNOVER  by WINDELER,LOGAN",1
05:37,"STEAL  by O'SULLIVAN,CONOR",,,,,,,"STEAL  by O'SULLIVAN,CONOR",1
05:33,"TURNOVER  by O'SULLIVAN,CONOR",,,,,,,"TURNOVER  by O'SULLIVAN,CONOR",1
05:33,,,,,"STEAL  by ANDERSON,JAMES",,,"STEAL  by ANDERSON,JAMES",1
05:25,,,,,"MISS 3PTR by ANDERSON,JAMES",,,"MISS 3PTR by ANDERSON,JAMES",1
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",1
05:14,"MISS JUMPER by BAK,CALVIN",,,,,,,"MISS JUMPER by BAK,CALVIN",1
--,,,,,"REBOUND DEF by WINDELER,LOGAN",,,"REBOUND DEF by WINDELER,LOGAN",1
05:05,,,,,"MISS 3PTR by YOUNGBLOOD,PAYTON",,,"MISS 3PTR by YOUNGBLOOD,PAYTON",1
--,,,,,"REBOUND OFF by ANDERSON,JAMES",,,"REBOUND OFF by ANDERSON,JAMES",1
05:02,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",1
05:02,,,,,"SUB IN by MATIC,ALEKSA",,,"SUB IN by MATIC,ALEKSA",1
05:02,,,,,"SUB IN by BLACKMON,JAMARI",,,"SUB IN by BLACKMON,JAMARI",1
05:02,,,,,"SUB OUT by YOUNGBLOOD,PAYTON",,,"SUB OUT by YOUNGBLOOD,PAYTON",1
05:02,,,,,"SUB OUT by KING,TAVON",,,"SUB OUT by KING,TAVON",1
04:43,,,,,"MISS 3PTR by BLACKMON,JAMARI",,,"MISS 3PTR by BLACKMON,JAMARI",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
04:26,"GOOD LAYUP by O'SULLIVAN,CONOR(in the paint)",30,,34 (+4),,BSC 30-34 (-4),,"GOOD LAYUP by O'SULLIVAN,CONOR(in the paint)",1
--,"ASSIST  by SIGLER,EVAN",,,,,,,"ASSIST  by SIGLER,EVAN",1
04:03,,,,,"MISS JUMPER by WINDELER,LOGAN",,,"MISS JUMPER by WINDELER,LOGAN",1
--,"REBOUND DEF by STEWART,CHRISTIAN",,,,,,,"REBOUND DEF by STEWART,CHRISTIAN",1
03:42,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND DEF by BLACKMON,JAMARI",,,"REBOUND DEF by BLACKMON,JAMARI",1
03:29,,,,,"MISS JUMPER by WINDELER,LOGAN",,,"MISS JUMPER by WINDELER,LOGAN",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
03:29,,,,,"FOUL  by WINDELER,LOGAN",,,"FOUL  by WINDELER,LOGAN",1
03:09,"MISS JUMPER by STEWART,CHRISTIAN",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,"REBOUND OFF by STEWART,CHRISTIAN",,,,,,,"REBOUND OFF by STEWART,CHRISTIAN",1
03:04,"MISS 3PTR by O'SULLIVAN,CONOR",,,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
03:03,,,,,"SUB IN by DIGGS,CAMERON",,,"SUB IN by DIGGS,CAMERON",1
03:03,,,,,"SUB OUT by WINDELER,LOGAN",,,"SUB OUT by WINDELER,LOGAN",1
02:43,,30,,37 (+7),"GOOD 3PTR by ANDERSON,JAMES",UNA 30-37 (-7),,"GOOD 3PTR by ANDERSON,JAMES",1
--,,,,,"ASSIST  by MATIC,ALEKSA",,,"ASSIST  by MATIC,ALEKSA",1
02:25,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",32,,37 (+5),,BSC 32-37 (-5),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
02:00,,32,,39 (+7),"GOOD JUMPER by DIGGS,CAMERON(in the paint)",UNA 32-39 (-7),,"GOOD JUMPER by DIGGS,CAMERON(in the paint)",1
--,,,,,"ASSIST  by MATIC,ALEKSA",,,"ASSIST  by MATIC,ALEKSA",1
01:55,,,,,"FOUL  by BRIM,CJ",,,"FOUL  by BRIM,CJ",1
01:55,"GOOD FT by O'SULLIVAN,CONOR",33,,39 (+6),,BSC 33-39 (-6),,"GOOD FT by O'SULLIVAN,CONOR",1
01:55,"MISS FT by O'SULLIVAN,CONOR",,,,,,,"MISS FT by O'SULLIVAN,CONOR",1
--,,,,,"REBOUND DEF by ANDERSON,JAMES",,,"REBOUND DEF by ANDERSON,JAMES",1
01:55,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
01:55,"SUB IN by FITZGERALD,PAUL",,,,,,,"SUB IN by FITZGERALD,PAUL",1
01:55,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
01:55,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
01:49,,33,,41 (+8),"GOOD LAYUP by BLACKMON,JAMARI(fastbreak)(in the paint)",UNA 33-41 (-8),,"GOOD LAYUP by BLACKMON,JAMARI(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by ANDERSON,JAMES",,,"ASSIST  by ANDERSON,JAMES",1
01:24,"MISS JUMPER by FITZGERALD,PAUL",,,,,,,"MISS JUMPER by FITZGERALD,PAUL",1
--,"REBOUND OFF by CHILDERS,JOSH",,,,,,,"REBOUND OFF by CHILDERS,JOSH",1
01:19,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",35,,41 (+6),,BSC 35-41 (-6),,"GOOD LAYUP by CHILDERS,JOSH(in the paint)",1
01:11,,,,,"MISS 3PTR by MATIC,ALEKSA",,,"MISS 3PTR by MATIC,ALEKSA",1
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,1
01:10,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
01:10,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
01:10,,,,,"SUB IN by YOUNGBLOOD,PAYTON",,,"SUB IN by YOUNGBLOOD,PAYTON",1
01:10,,,,,"SUB OUT by MATIC,ALEKSA",,,"SUB OUT by MATIC,ALEKSA",1
00:58,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",1
00:58,,35,,42 (+7),"GOOD FT by YOUNGBLOOD,PAYTON",UNA 35-42 (-7),,"GOOD FT by YOUNGBLOOD,PAYTON",1
00:58,,35,,43 (+8),"GOOD FT by YOUNGBLOOD,PAYTON",UNA 35-43 (-8),,"GOOD FT by YOUNGBLOOD,PAYTON",1
00:58,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
00:58,"SUB IN by MORRISON,JASON",,,,,,,"SUB IN by MORRISON,JASON",1
00:58,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
00:58,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
00:43,"MISS LAYUP by GONDA,MATT",,,,,,,"MISS LAYUP by GONDA,MATT",1
--,,,,,"REBOUND DEF by YOUNGBLOOD,PAYTON",,,"REBOUND DEF by YOUNGBLOOD,PAYTON",1
00:25,,35,,46 (+11),"GOOD 3PTR by ANDERSON,JAMES",UNA 35-46 (-11),,"GOOD 3PTR by ANDERSON,JAMES",1
--,,,,,"ASSIST  by BLACKMON,JAMARI",,,"ASSIST  by BLACKMON,JAMARI",1
00:10,"TURNOVER  by GONDA,MATT",,,,,,,"TURNOVER  by GONDA,MATT",1
00:10,,,,,"STEAL  by ANDERSON,JAMES",,,"STEAL  by ANDERSON,JAMES",1
00:04,,35,,48 (+13),"GOOD LAYUP by ANDERSON,JAMES(fastbreak)(in the paint)",UNA 35-48 (-13),,"GOOD LAYUP by ANDERSON,JAMES(fastbreak)(in the paint)",1
00:00,"MISS 3PTR by MORRISON,JASON",,,,,,,"MISS 3PTR by MORRISON,JASON",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
20:00,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",2
20:00,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",2
20:00,"SUB OUT by MORRISON,JASON",,,,,,,"SUB OUT by MORRISON,JASON",2
20:00,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",2
20:00,,,,,"SUB IN by JAMES,MERVIN",,,"SUB IN by JAMES,MERVIN",2
20:00,,,,,"SUB IN by AGNEW,CHRISTIAN",,,"SUB IN by AGNEW,CHRISTIAN",2
20:00,,,,,"SUB OUT by YOUNGBLOOD,PAYTON",,,"SUB OUT by YOUNGBLOOD,PAYTON",2
20:00,,,,,"SUB OUT by ANDERSON,JAMES",,,"SUB OUT by ANDERSON,JAMES",2
19:45,,,,,"MISS JUMPER by JAMES,MERVIN",,,"MISS JUMPER by JAMES,MERVIN",2
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",2
19:33,"TURNOVER  by O'SULLIVAN,CONOR",,,,,,,"TURNOVER  by O'SULLIVAN,CONOR",2
19:33,,,,,"STEAL  by DIGGS,CAMERON",,,"STEAL  by DIGGS,CAMERON",2
19:27,,35,,50 (+15),"GOOD LAYUP by AGNEW,CHRISTIAN(fastbreak)(in the paint)",UNA 35-50 (-15),,"GOOD LAYUP by AGNEW,CHRISTIAN(fastbreak)(in the paint)",2
--,,,,,"ASSIST  by DIGGS,CAMERON",,,"ASSIST  by DIGGS,CAMERON",2
19:07,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
19:03,,,,,"TURNOVER  by JAMES,MERVIN",,,"TURNOVER  by JAMES,MERVIN",2
18:59,,,,,"SUB IN by KING,TAVON",,,"SUB IN by KING,TAVON",2
18:59,,,,,"SUB OUT by BRIM,CJ",,,"SUB OUT by BRIM,CJ",2
18:31,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",2
--,,,,,"REBOUND DEF by JAMES,MERVIN",,,"REBOUND DEF by JAMES,MERVIN",2
18:31,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
18:16,,35,,52 (+17),"GOOD LAYUP by JAMES,MERVIN(in the paint)",UNA 35-52 (-17),,"GOOD LAYUP by JAMES,MERVIN(in the paint)",2
17:47,"MISS JUMPER by BAK,CALVIN",,,,,,,"MISS JUMPER by BAK,CALVIN",2
--,REBOUND OFF by TEAM,,,,,,,REBOUND OFF by TEAM,2
17:47,"FOUL  by STEWART,CHRISTIAN",,,,,,,"FOUL  by STEWART,CHRISTIAN",2
17:47,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,2
17:47,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",2
17:47,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",2
17:26,,35,,54 (+19),"GOOD JUMPER by KING,TAVON(in the paint)",UNA 35-54 (-19),,"GOOD JUMPER by KING,TAVON(in the paint)",2
17:07,,,,,"FOUL  by KING,TAVON",,,"FOUL  by KING,TAVON",2
17:07,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",2
