Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,STMARYS,Game Score,Team Indicator,Play,Period
14:11,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",1
14:11,,15 (+1),,14,"GOOD FT by GRANT,GARY",STMARYS 15-14 (+1),,"GOOD FT by GRANT,GARY",1
14:11,,15,,15,"GOOD FT by GRANT,GARY",STMARYS 15-15 (0),,"GOOD FT by GRANT,GARY",1
14:11,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
14:11,"SUB IN by JR,BRUCE BRIGHT",,,,,,,"SUB IN by JR,BRUCE BRIGHT",1
14:11,"SUB IN by MORRISON,JASON",,,,,,,"SUB IN by MORRISON,JASON",1
14:11,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
14:11,"SUB IN by FITZGERLAD,PAUL",,,,,,,"SUB IN by FITZGERLAD,PAUL",1
14:11,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
14:11,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
14:11,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
14:11,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
14:11,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
13:58,"MISS 3PTR by JR,BRUCE BRIGHT",,,,,,,"MISS 3PTR by JR,BRUCE BRIGHT",1
--,,,,,"REBOUND DEF by GRANT,GARY",,,"REBOUND DEF by GRANT,GARY",1
13:51,"FOUL  by GONDA,MATT",,,,,,,"FOUL  by GONDA,MATT",1
13:51,,15,,16 (+1),"GOOD FT by GRANT,GARY",STMARYS 15-16 (-1),,"GOOD FT by GRANT,GARY",1
13:51,,15,,17 (+2),"GOOD FT by GRANT,GARY",STMARYS 15-17 (-2),,"GOOD FT by GRANT,GARY",1
13:51,,,,,"SUB IN by SCOTT,ALBERT",,,"SUB IN by SCOTT,ALBERT",1
13:51,,,,,"SUB OUT by FOLEY,JACK",,,"SUB OUT by FOLEY,JACK",1
13:22,"MISS LAYUP by FITZGERLAD,PAUL",,,,,,,"MISS LAYUP by FITZGERLAD,PAUL",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
13:13,,,,,"MISS LAYUP by GRANT,GARY",,,"MISS LAYUP by GRANT,GARY",1
--,,,,,"REBOUND OFF by SCOTT,ALBERT",,,"REBOUND OFF by SCOTT,ALBERT",1
13:10,"FOUL  by CHILDERS,JOSH",,,,,,,"FOUL  by CHILDERS,JOSH",1
13:10,,,,,"MISS FT by SCOTT,ALBERT",,,"MISS FT by SCOTT,ALBERT",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
13:10,,,,,"MISS FT by SCOTT,ALBERT",,,"MISS FT by SCOTT,ALBERT",1
--,"REBOUND DEF by FITZGERLAD,PAUL",,,,,,,"REBOUND DEF by FITZGERLAD,PAUL",1
13:10,,,,,"SUB IN by ROUSE,REGGIE",,,"SUB IN by ROUSE,REGGIE",1
13:10,,,,,"SUB OUT by HAYES,JALEN",,,"SUB OUT by HAYES,JALEN",1
12:53,"TURNOVER  by GONDA,MATT",,,,,,,"TURNOVER  by GONDA,MATT",1
12:51,,,,,"STEAL  by YOUNG,TRYLLIAN",,,"STEAL  by YOUNG,TRYLLIAN",1
12:50,,,,,"MISS LAYUP by YOUNG,TRYLLIAN",,,"MISS LAYUP by YOUNG,TRYLLIAN",1
--,"REBOUND DEF by GONDA,MATT",,,,,,,"REBOUND DEF by GONDA,MATT",1
12:44,"GOOD LAYUP by GONDA,MATT(in the paint)",17,,17,,BSC 17-17 (0),,"GOOD LAYUP by GONDA,MATT(in the paint)",1
12:44,,,,,"FOUL  by GRANT,GARY",,,"FOUL  by GRANT,GARY",1
12:44,"GOOD FT by GONDA,MATT",18 (+1),,17,,BSC 18-17 (+1),,"GOOD FT by GONDA,MATT",1
12:30,"FOUL  by GONDA,MATT",,,,,,,"FOUL  by GONDA,MATT",1
12:30,,18,,18,"GOOD FT by JONES,SETH",STMARYS 18-18 (0),,"GOOD FT by JONES,SETH",1
12:30,,18,,19 (+1),"GOOD FT by JONES,SETH",STMARYS 18-19 (-1),,"GOOD FT by JONES,SETH",1
12:20,"GOOD LAYUP by CHILDERS,JOSH(fastbreak)(in the paint)",20 (+1),,19,,BSC 20-19 (+1),,"GOOD LAYUP by CHILDERS,JOSH(fastbreak)(in the paint)",1
--,"ASSIST  by MORRISON,JASON",,,,,,,"ASSIST  by MORRISON,JASON",1
11:57,,,,,"TURNOVER  by GRANT,GARY",,,"TURNOVER  by GRANT,GARY",1
11:52,"STEAL  by FITZGERLAD,PAUL",,,,,,,"STEAL  by FITZGERLAD,PAUL",1
11:50,"TURNOVER  by FITZGERLAD,PAUL",,,,,,,"TURNOVER  by FITZGERLAD,PAUL",1
11:48,,,,,"STEAL  by GRANT,GARY",,,"STEAL  by GRANT,GARY",1
11:47,,20,,21 (+1),"GOOD LAYUP by GRANT,GARY(fastbreak)(in the paint)",STMARYS 20-21 (-1),,"GOOD LAYUP by GRANT,GARY(fastbreak)(in the paint)",1
11:44,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
11:34,"MISS LAYUP by STEWART,CHRISTIAN",,,,,,,"MISS LAYUP by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by GRANT,GARY",,,"REBOUND DEF by GRANT,GARY",1
11:26,,20,,23 (+3),"GOOD LAYUP by GRANT,GARY(fastbreak)(in the paint)",STMARYS 20-23 (-3),,"GOOD LAYUP by GRANT,GARY(fastbreak)(in the paint)",1
11:10,"GOOD 3PTR by SIGLER,EVAN",23,,23,,BSC 23-23 (0),,"GOOD 3PTR by SIGLER,EVAN",1
10:46,,,,,"MISS JUMPER by FOLEY,JACK",,,"MISS JUMPER by FOLEY,JACK",1
--,"REBOUND DEF by O'SULLIVAN,CONOR",,,,,,,"REBOUND DEF by O'SULLIVAN,CONOR",1
10:46,,,,,"SUB IN by FOLEY,JACK",,,"SUB IN by FOLEY,JACK",1
10:46,,,,,"SUB IN by GILLETTE,MILES",,,"SUB IN by GILLETTE,MILES",1
10:46,,,,,"SUB OUT by SCOTT,ALBERT",,,"SUB OUT by SCOTT,ALBERT",1
10:46,,,,,"SUB OUT by YOUNG,TRYLLIAN",,,"SUB OUT by YOUNG,TRYLLIAN",1
10:36,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND DEF by FOLEY,JACK",,,"REBOUND DEF by FOLEY,JACK",1
10:34,,,,,"TURNOVER  by JONES,SETH",,,"TURNOVER  by JONES,SETH",1
10:34,"STEAL  by STEWART,CHRISTIAN",,,,,,,"STEAL  by STEWART,CHRISTIAN",1
10:34,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",25 (+2),,23,,BSC 25-23 (+2),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
10:34,,,,,"FOUL  by FOLEY,JACK",,,"FOUL  by FOLEY,JACK",1
10:34,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by FOLEY,JACK",,,"REBOUND DEF by FOLEY,JACK",1
10:34,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
10:34,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
10:34,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
10:34,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",1
10:34,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
10:34,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
10:34,"SUB OUT by JR,BRUCE BRIGHT",,,,,,,"SUB OUT by JR,BRUCE BRIGHT",1
10:34,"SUB OUT by MORRISON,JASON",,,,,,,"SUB OUT by MORRISON,JASON",1
10:34,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
10:34,"SUB OUT by FITZGERLAD,PAUL",,,,,,,"SUB OUT by FITZGERLAD,PAUL",1
10:34,,,,,"SUB IN by MILSTEAD,JUSTIN",,,"SUB IN by MILSTEAD,JUSTIN",1
10:34,,,,,"SUB OUT by JONES,SETH",,,"SUB OUT by JONES,SETH",1
10:24,,,,,"MISS JUMPER by MILSTEAD,JUSTIN",,,"MISS JUMPER by MILSTEAD,JUSTIN",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
10:24,,,,,"FOUL  by MILSTEAD,JUSTIN",,,"FOUL  by MILSTEAD,JUSTIN",1
10:24,,,,,"SUB IN by NEWSOME,PHIL",,,"SUB IN by NEWSOME,PHIL",1
10:24,,,,,"SUB OUT by GRANT,GARY",,,"SUB OUT by GRANT,GARY",1
10:09,"TURNOVER  by SPENCE,BEN",,,,,,,"TURNOVER  by SPENCE,BEN",1
09:32,,25,,26 (+1),"GOOD 3PTR by MILSTEAD,JUSTIN",STMARYS 25-26 (-1),,"GOOD 3PTR by MILSTEAD,JUSTIN",1
09:14,"GOOD JUMPER by SPENCE,BEN",27 (+1),,26,,BSC 27-26 (+1),,"GOOD JUMPER by SPENCE,BEN",1
08:53,,,,,"TURNOVER  by GILLETTE,MILES",,,"TURNOVER  by GILLETTE,MILES",1
08:52,"STEAL  by O'SULLIVAN,CONOR",,,,,,,"STEAL  by O'SULLIVAN,CONOR",1
08:46,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND DEF by FOLEY,JACK",,,"REBOUND DEF by FOLEY,JACK",1
08:36,,,,,"MISS LAYUP by NEWSOME,PHIL",,,"MISS LAYUP by NEWSOME,PHIL",1
--,"REBOUND DEF by BAK,CALVIN",,,,,,,"REBOUND DEF by BAK,CALVIN",1
08:29,"GOOD 3PTR by SIGLER,EVAN",30 (+4),,26,,BSC 30-26 (+4),,"GOOD 3PTR by SIGLER,EVAN",1
--,"ASSIST  by O'SULLIVAN,CONOR",,,,,,,"ASSIST  by O'SULLIVAN,CONOR",1
08:15,,30 (+2),,28,"GOOD LAYUP by GILLETTE,MILES(fastbreak)(in the paint)",STMARYS 30-28 (+2),,"GOOD LAYUP by GILLETTE,MILES(fastbreak)(in the paint)",1
08:07,"GOOD 3PTR by BAK,CALVIN(fastbreak)",33 (+5),,28,,BSC 33-28 (+5),,"GOOD 3PTR by BAK,CALVIN(fastbreak)",1
--,"ASSIST  by O'SULLIVAN,CONOR",,,,,,,"ASSIST  by O'SULLIVAN,CONOR",1
07:34,,,,,"TURNOVER  by FOLEY,JACK",,,"TURNOVER  by FOLEY,JACK",1
07:33,"STEAL  by STEWART,CHRISTIAN",,,,,,,"STEAL  by STEWART,CHRISTIAN",1
07:29,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,,,,,"REBOUND DEF by MILSTEAD,JUSTIN",,,"REBOUND DEF by MILSTEAD,JUSTIN",1
07:22,,,,,"TURNOVER  by MILSTEAD,JUSTIN",,,"TURNOVER  by MILSTEAD,JUSTIN",1
07:21,"STEAL  by SIGLER,EVAN",,,,,,,"STEAL  by SIGLER,EVAN",1
07:17,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND OFF by SPENCE,BEN",,,,,,,"REBOUND OFF by SPENCE,BEN",1
07:06,"MISS 3PTR by BAK,CALVIN",,,,,,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND DEF by ROUSE,REGGIE",,,"REBOUND DEF by ROUSE,REGGIE",1
07:04,"FOUL  by SPENCE,BEN",,,,,,,"FOUL  by SPENCE,BEN",1
07:04,,33 (+4),,29,"GOOD FT by ROUSE,REGGIE",STMARYS 33-29 (+4),,"GOOD FT by ROUSE,REGGIE",1
07:04,,33 (+3),,30,"GOOD FT by ROUSE,REGGIE",STMARYS 33-30 (+3),,"GOOD FT by ROUSE,REGGIE",1
07:04,"SUB IN by CHILDERS,JOSH",,,,,,,"SUB IN by CHILDERS,JOSH",1
07:04,"SUB IN by MORRISON,JASON",,,,,,,"SUB IN by MORRISON,JASON",1
07:04,"SUB IN by KANE,DENMAN",,,,,,,"SUB IN by KANE,DENMAN",1
07:04,"SUB IN by GONDA,MATT",,,,,,,"SUB IN by GONDA,MATT",1
07:04,"SUB IN by FITZGERLAD,PAUL",,,,,,,"SUB IN by FITZGERLAD,PAUL",1
07:04,"SUB OUT by SPENCE,BEN",,,,,,,"SUB OUT by SPENCE,BEN",1
07:04,"SUB OUT by SIGLER,EVAN",,,,,,,"SUB OUT by SIGLER,EVAN",1
07:04,"SUB OUT by STEWART,CHRISTIAN",,,,,,,"SUB OUT by STEWART,CHRISTIAN",1
07:04,"SUB OUT by O'SULLIVAN,CONOR",,,,,,,"SUB OUT by O'SULLIVAN,CONOR",1
07:04,"SUB OUT by BAK,CALVIN",,,,,,,"SUB OUT by BAK,CALVIN",1
07:04,,,,,SUB IN by 0,,,SUB IN by 0,1
07:04,,,,,"SUB IN by YOUNG,TRYLLIAN",,,"SUB IN by YOUNG,TRYLLIAN",1
07:04,,,,,"SUB IN by MILSTEAD,JUSTIN",,,"SUB IN by MILSTEAD,JUSTIN",1
07:04,,,,,"SUB IN by GRANT,GARY",,,"SUB IN by GRANT,GARY",1
07:04,,,,,"SUB IN by ROUSE,REGGIE",,,"SUB IN by ROUSE,REGGIE",1
07:04,,,,,SUB OUT by 0,,,SUB OUT by 0,1
07:04,,,,,"SUB OUT by MILSTEAD,JUSTIN",,,"SUB OUT by MILSTEAD,JUSTIN",1
07:04,,,,,"SUB OUT by GILLETTE,MILES",,,"SUB OUT by GILLETTE,MILES",1
07:04,,,,,"SUB OUT by NEWSOME,PHIL",,,"SUB OUT by NEWSOME,PHIL",1
07:04,,,,,"SUB OUT by ROUSE,REGGIE",,,"SUB OUT by ROUSE,REGGIE",1
06:48,"TURNOVER  by GONDA,MATT",,,,,,,"TURNOVER  by GONDA,MATT",1
06:47,,,,,"STEAL  by YOUNG,TRYLLIAN",,,"STEAL  by YOUNG,TRYLLIAN",1
06:40,"FOUL  by GONDA,MATT",,,,,,,"FOUL  by GONDA,MATT",1
06:39,,33 (+2),,31,"GOOD FT by GRANT,GARY",STMARYS 33-31 (+2),,"GOOD FT by GRANT,GARY",1
06:39,,33 (+1),,32,"GOOD FT by GRANT,GARY",STMARYS 33-32 (+1),,"GOOD FT by GRANT,GARY",1
06:39,"SUB IN by BARNETT,CHARLIE",,,,,,,"SUB IN by BARNETT,CHARLIE",1
06:39,"SUB OUT by GONDA,MATT",,,,,,,"SUB OUT by GONDA,MATT",1
06:39,,,,,"SUB IN by HAYES,JALEN",,,"SUB IN by HAYES,JALEN",1
06:39,,,,,"SUB OUT by ROUSE,REGGIE",,,"SUB OUT by ROUSE,REGGIE",1
06:35,"TURNOVER  by BARNETT,CHARLIE",,,,,,,"TURNOVER  by BARNETT,CHARLIE",1
06:22,,33,,34 (+1),"GOOD LAYUP by YOUNG,TRYLLIAN(in the paint)",STMARYS 33-34 (-1),,"GOOD LAYUP by YOUNG,TRYLLIAN(in the paint)",1
--,,,,,"ASSIST  by FOLEY,JACK",,,"ASSIST  by FOLEY,JACK",1
05:58,"MISS 3PTR by KANE,DENMAN",,,,,,,"MISS 3PTR by KANE,DENMAN",1
--,,,,,"REBOUND DEF by YOUNG,TRYLLIAN",,,"REBOUND DEF by YOUNG,TRYLLIAN",1
05:54,"FOUL  by MORRISON,JASON",,,,,,,"FOUL  by MORRISON,JASON",1
05:54,,,,,"MISS FT by YOUNG,TRYLLIAN",,,"MISS FT by YOUNG,TRYLLIAN",1
--,,,,,"REBOUND OFF by GRANT,GARY",,,"REBOUND OFF by GRANT,GARY",1
05:54,,33,,36 (+3),"GOOD LAYUP by GRANT,GARY(in the paint)",STMARYS 33-36 (-3),,"GOOD LAYUP by GRANT,GARY(in the paint)",1
05:54,"FOUL  by FITZGERLAD,PAUL",,,,,,,"FOUL  by FITZGERLAD,PAUL",1
05:54,,,,,"MISS FT by GRANT,GARY",,,"MISS FT by GRANT,GARY",1
--,"REBOUND DEF by CHILDERS,JOSH",,,,,,,"REBOUND DEF by CHILDERS,JOSH",1
05:24,"MISS LAYUP by CHILDERS,JOSH",,,,,,,"MISS LAYUP by CHILDERS,JOSH",1
--,,,,,"REBOUND DEF by MILSTEAD,JUSTIN",,,"REBOUND DEF by MILSTEAD,JUSTIN",1
05:18,,,,,"MISS 3PTR by YOUNG,TRYLLIAN",,,"MISS 3PTR by YOUNG,TRYLLIAN",1
--,,,,,"REBOUND OFF by GRANT,GARY",,,"REBOUND OFF by GRANT,GARY",1
05:12,,,,,"MISS LAYUP by GRANT,GARY",,,"MISS LAYUP by GRANT,GARY",1
--,,,,,"REBOUND OFF by FOLEY,JACK",,,"REBOUND OFF by FOLEY,JACK",1
04:59,,,,,"MISS 3PTR by MILSTEAD,JUSTIN",,,"MISS 3PTR by MILSTEAD,JUSTIN",1
--,,,,,"REBOUND OFF by YOUNG,TRYLLIAN",,,"REBOUND OFF by YOUNG,TRYLLIAN",1
04:59,"FOUL  by FITZGERLAD,PAUL",,,,,,,"FOUL  by FITZGERLAD,PAUL",1
04:59,,,,,"MISS FT by YOUNG,TRYLLIAN",,,"MISS FT by YOUNG,TRYLLIAN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
04:59,,33,,37 (+4),"GOOD FT by YOUNG,TRYLLIAN",STMARYS 33-37 (-4),,"GOOD FT by YOUNG,TRYLLIAN",1
04:59,"SUB IN by SPENCE,BEN",,,,,,,"SUB IN by SPENCE,BEN",1
04:59,"SUB IN by SIGLER,EVAN",,,,,,,"SUB IN by SIGLER,EVAN",1
04:59,"SUB IN by STEWART,CHRISTIAN",,,,,,,"SUB IN by STEWART,CHRISTIAN",1
04:59,"SUB IN by O'SULLIVAN,CONOR",,,,,,,"SUB IN by O'SULLIVAN,CONOR",1
04:59,"SUB IN by BAK,CALVIN",,,,,,,"SUB IN by BAK,CALVIN",1
04:59,"SUB OUT by CHILDERS,JOSH",,,,,,,"SUB OUT by CHILDERS,JOSH",1
04:59,"SUB OUT by MORRISON,JASON",,,,,,,"SUB OUT by MORRISON,JASON",1
04:59,"SUB OUT by KANE,DENMAN",,,,,,,"SUB OUT by KANE,DENMAN",1
04:59,"SUB OUT by FITZGERLAD,PAUL",,,,,,,"SUB OUT by FITZGERLAD,PAUL",1
04:59,"SUB OUT by BARNETT,CHARLIE",,,,,,,"SUB OUT by BARNETT,CHARLIE",1
04:34,,,,,"FOUL  by FOLEY,JACK",,,"FOUL  by FOLEY,JACK",1
04:34,,,,,"SUB IN by SCOTT,ALBERT",,,"SUB IN by SCOTT,ALBERT",1
04:34,,,,,SUB OUT by 0,,,SUB OUT by 0,1
04:25,"GOOD LAYUP by SPENCE,BEN(in the paint)",35,,37 (+2),,BSC 35-37 (-2),,"GOOD LAYUP by SPENCE,BEN(in the paint)",1
04:10,,,,,"TURNOVER  by GRANT,GARY",,,"TURNOVER  by GRANT,GARY",1
04:05,"STEAL  by SIGLER,EVAN",,,,,,,"STEAL  by SIGLER,EVAN",1
04:02,"MISS 3PTR by O'SULLIVAN,CONOR",,,,,,,"MISS 3PTR by O'SULLIVAN,CONOR",1
--,,,,,"REBOUND DEF by YOUNG,TRYLLIAN",,,"REBOUND DEF by YOUNG,TRYLLIAN",1
03:55,,35,,39 (+4),"GOOD LAYUP by MILSTEAD,JUSTIN(fastbreak)(in the paint)",STMARYS 35-39 (-4),,"GOOD LAYUP by MILSTEAD,JUSTIN(fastbreak)(in the paint)",1
03:47,"MISS 3PTR by SIGLER,EVAN",,,,,,,"MISS 3PTR by SIGLER,EVAN",1
--,"REBOUND OFF by O'SULLIVAN,CONOR",,,,,,,"REBOUND OFF by O'SULLIVAN,CONOR",1
03:37,"MISS JUMPER by STEWART,CHRISTIAN",,,,,,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,,,,,"REBOUND DEF by SCOTT,ALBERT",,,"REBOUND DEF by SCOTT,ALBERT",1
03:22,,,,,"TURNOVER  by SCOTT,ALBERT",,,"TURNOVER  by SCOTT,ALBERT",1
03:21,"STEAL  by O'SULLIVAN,CONOR",,,,,,,"STEAL  by O'SULLIVAN,CONOR",1
03:13,"GOOD LAYUP by STEWART,CHRISTIAN(fastbreak)(in the paint)",37,,39 (+2),,BSC 37-39 (-2),,"GOOD LAYUP by STEWART,CHRISTIAN(fastbreak)(in the paint)",1
--,"ASSIST  by O'SULLIVAN,CONOR",,,,,,,"ASSIST  by O'SULLIVAN,CONOR",1
03:03,,,,,"MISS 3PTR by GRANT,GARY",,,"MISS 3PTR by GRANT,GARY",1
