Time Remaining,BSC,Away Team Score,Play Team Indicator,Home Team Score,CCM,Game Score,Team Indicator,Play,Period
02:18,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
01:58,"MISS JUMPER by FITZGERALD,PAUL",,,,,,,"MISS JUMPER by FITZGERALD,PAUL",1
--,,,,,"REBOUND DEF by CRUMLY,WILL",,,"REBOUND DEF by CRUMLY,WILL",1
01:39,,,,,"MISS 3PTR by ALLEN,ZACK",,,"MISS 3PTR by ALLEN,ZACK",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
01:24,,,,,"FOUL  by HOLLIS,MITCHELL",,,"FOUL  by HOLLIS,MITCHELL",1
01:24,,,,,"SUB IN by BARNETTE,CHRIS",,,"SUB IN by BARNETTE,CHRIS",1
01:24,,,,,"SUB OUT by JAUCH,JARED",,,"SUB OUT by JAUCH,JARED",1
01:16,,,,,"FOUL  by MITCHELL,JAMES",,,"FOUL  by MITCHELL,JAMES",1
01:16,"GOOD FT by STEWART,CHRISTIAN",32,,48 (+16),,BSC 32-48 (-16),,"GOOD FT by STEWART,CHRISTIAN",1
01:16,"MISS FT by STEWART,CHRISTIAN",,,,,,,"MISS FT by STEWART,CHRISTIAN",1
