Time Remaining,BSCM,Away Team Score,Play Team Indicator,Home Team Score,SEWANEE,Game Score,Team Indicator,Play,Period
19:48,"GOOD LAYUP by BAK,CALVIN(in the paint)",2 (+2),,0,,BSCM 2-0 (+2),,"GOOD LAYUP by BAK,CALVIN(in the paint)",1
--,"ASSIST  by STEWART,CHRISTIAN",,,,,,,"ASSIST  by STEWART,CHRISTIAN",1
19:27,,2,,2,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",SEWANEE 2-2 (0),,"GOOD LAYUP by THOMAS,ADRIAN(in the paint)",1
19:11,,,,,"FOUL  by CRUMLY,JONNY",,,"FOUL  by CRUMLY,JONNY",1
19:06,"GOOD 3PTR by BAK,CALVIN",5 (+3),,2,,BSCM 5-2 (+3),,"GOOD 3PTR by BAK,CALVIN",1
--,"ASSIST  by O'SULLIVAN,CONOR",,,,,,,"ASSIST  by O'SULLIVAN,CONOR",1
18:33,,,,,"MISS JUMPER by KNOX,JOEY",,,"MISS JUMPER by KNOX,JOEY",1
--,"REBOUND DEF by SPENCE,BEN",,,,,,,"REBOUND DEF by SPENCE,BEN",1
18:26,"GOOD LAYUP by STEWART,CHRISTIAN(fastbreak)(in the paint)",7 (+5),,2,,BSCM 7-2 (+5),,"GOOD LAYUP by STEWART,CHRISTIAN(fastbreak)(in the paint)",1
--,"ASSIST  by SPENCE,BEN",,,,,,,"ASSIST  by SPENCE,BEN",1
17:58,,7 (+2),,5,"GOOD 3PTR by KNOX,JOEY",SEWANEE 7-5 (+2),,"GOOD 3PTR by KNOX,JOEY",1
--,,,,,"ASSIST  by BARRY,MICHAEL",,,"ASSIST  by BARRY,MICHAEL",1
17:42,"MISS 3PTR by FITZGERALD,PAUL",,,,,,,"MISS 3PTR by FITZGERALD,PAUL",1
--,"REBOUND OFF by SPENCE,BEN",,,,,,,"REBOUND OFF by SPENCE,BEN",1
17:30,"TURNOVER  by FITZGERALD,PAUL",,,,,,,"TURNOVER  by FITZGERALD,PAUL",1
17:23,,,,,"MISS 3PTR by WARLICK,JORDAN",,,"MISS 3PTR by WARLICK,JORDAN",1
--,,,,,"REBOUND OFF by THOMAS,ADRIAN",,,"REBOUND OFF by THOMAS,ADRIAN",1
17:17,,7,,8 (+1),"GOOD 3PTR by CRUMLY,JONNY",SEWANEE 7-8 (-1),,"GOOD 3PTR by CRUMLY,JONNY",1
--,,,,,"ASSIST  by BARRY,MICHAEL",,,"ASSIST  by BARRY,MICHAEL",1
16:56,"MISS JUMPER by BAK,CALVIN",,,,,,,"MISS JUMPER by BAK,CALVIN",1
