Time Remaining,PCC,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
19:49,,,,,"MISS JUMPER by SPENCE,BEN",,,"MISS JUMPER by SPENCE,BEN",1
--,"REBOUND DEF by SHODIMU,JAMES",,,,,,,"REBOUND DEF by SHODIMU,JAMES",1
19:39,"MISS JUMPER by CLAY,JOHN",,,,,,,"MISS JUMPER by CLAY,JOHN",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
19:32,,0,,2 (+2),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 0-2 (+2),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
19:17,"GOOD JUMPER by WOODS,DERIC",2,,2,,PCC 2-2 (0),,"GOOD JUMPER by WOODS,DERIC",1
19:02,,,,,"TURNOVER  by SPENCE,BEN",,,"TURNOVER  by SPENCE,BEN",1
19:02,"STEAL  by LOCKETT,ELLIOTT",,,,,,,"STEAL  by LOCKETT,ELLIOTT",1
18:42,"MISS JUMPER by WOODS,DERIC",,,,,,,"MISS JUMPER by WOODS,DERIC",1
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",1
18:34,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",1
18:34,"STEAL  by SHODIMU,JAMES",,,,,,,"STEAL  by SHODIMU,JAMES",1
18:21,"TURNOVER  by PORTER,CHRISTIAN",,,,,,,"TURNOVER  by PORTER,CHRISTIAN",1
17:58,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
17:50,,,,,"MISS JUMPER by STEWART,CHRISTIAN",,,"MISS JUMPER by STEWART,CHRISTIAN",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
17:49,"FOUL  by SHODIMU,JAMES",,,,,,,"FOUL  by SHODIMU,JAMES",1
17:49,,2,,3 (+1),"GOOD FT by STEWART,CHRISTIAN",BSC-M 2-3 (+1),,"GOOD FT by STEWART,CHRISTIAN",1
17:49,,,,,"MISS FT by STEWART,CHRISTIAN",,,"MISS FT by STEWART,CHRISTIAN",1
--,"REBOUND DEF by LOCKETT,ELLIOTT",,,,,,,"REBOUND DEF by LOCKETT,ELLIOTT",1
17:42,"TURNOVER  by CLAY,JOHN",,,,,,,"TURNOVER  by CLAY,JOHN",1
17:31,,2,,5 (+3),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 2-5 (+3),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
17:18,"MISS 3PTR by LOCKETT,ELLIOTT",,,,,,,"MISS 3PTR by LOCKETT,ELLIOTT",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
17:10,,,,,"MISS JUMPER by SPENCE,BEN",,,"MISS JUMPER by SPENCE,BEN",1
--,"REBOUND DEF by SHODIMU,JAMES",,,,,,,"REBOUND DEF by SHODIMU,JAMES",1
16:57,"GOOD JUMPER by WOODS,DERIC",4,,5 (+1),,PCC 4-5 (+1),,"GOOD JUMPER by WOODS,DERIC",1
16:49,,,,,"MISS 3PTR by BAK,CALVIN",,,"MISS 3PTR by BAK,CALVIN",1
--,"REBOUND DEF by PORTER,CHRISTIAN",,,,,,,"REBOUND DEF by PORTER,CHRISTIAN",1
16:41,"GOOD 3PTR by PORTER,CHRISTIAN",7 (+2),,5,,PCC 7-5 (-2),,"GOOD 3PTR by PORTER,CHRISTIAN",1
16:28,"FOUL  by LOCKETT,ELLIOTT",,,,,,,"FOUL  by LOCKETT,ELLIOTT",1
16:28,,,,,"MISS FT by SPENCE,BEN",,,"MISS FT by SPENCE,BEN",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
16:28,,7 (+1),,6,"GOOD FT by SPENCE,BEN",BSC-M 7-6 (-1),,"GOOD FT by SPENCE,BEN",1
16:17,"GOOD 3PTR by CLAY,JOHN",10 (+4),,6,,PCC 10-6 (-4),,"GOOD 3PTR by CLAY,JOHN",1
16:10,,10 (+1),,9,"GOOD 3PTR by FITZGERALD,PAUL",BSC-M 10-9 (-1),,"GOOD 3PTR by FITZGERALD,PAUL",1
15:48,"MISS JUMPER by PORTER,CHRISTIAN",,,,,,,"MISS JUMPER by PORTER,CHRISTIAN",1
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",1
15:41,,10,,11 (+1),"GOOD LAYUP by FITZGERALD,PAUL(in the paint)",BSC-M 10-11 (+1),,"GOOD LAYUP by FITZGERALD,PAUL(in the paint)",1
15:28,"GOOD JUMPER by CLAY,JOHN(in the paint)",12 (+1),,11,,PCC 12-11 (-1),,"GOOD JUMPER by CLAY,JOHN(in the paint)",1
15:12,,12,,13 (+1),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 12-13 (+1),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
14:53,"MISS JUMPER by CLAY,JOHN",,,,,,,"MISS JUMPER by CLAY,JOHN",1
