Time Remaining,LC,Away Team Score,Play Team Indicator,Home Team Score,BSC-M,Game Score,Team Indicator,Play,Period
19:45,"MISS JUMPER by ANDERSON,LINCOLN",,,,,,,"MISS JUMPER by ANDERSON,LINCOLN",1
--,"REBOUND OFF by ANDERSON,LINCOLN",,,,,,,"REBOUND OFF by ANDERSON,LINCOLN",1
19:44,,,,,"FOUL  by STEWART,CHRISTIAN",,,"FOUL  by STEWART,CHRISTIAN",1
19:44,"GOOD FT by ANDERSON,LINCOLN",1 (+1),,0,,LC 1-0 (-1),,"GOOD FT by ANDERSON,LINCOLN",1
19:44,"MISS FT by ANDERSON,LINCOLN",,,,,,,"MISS FT by ANDERSON,LINCOLN",1
--,,,,,"REBOUND DEF by FITZGERALD,PAUL",,,"REBOUND DEF by FITZGERALD,PAUL",1
19:14,,,,,"MISS LAYUP by FITZGERALD,PAUL",,,"MISS LAYUP by FITZGERALD,PAUL",1
--,,,,,"REBOUND OFF by STEWART,CHRISTIAN",,,"REBOUND OFF by STEWART,CHRISTIAN",1
19:07,,1,,2 (+1),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC-M 1-2 (+1),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
18:58,"MISS 3PTR by EDWARDS,BERSHARD",,,,,,,"MISS 3PTR by EDWARDS,BERSHARD",1
--,,,,,"REBOUND DEF by SPENCE,BEN",,,"REBOUND DEF by SPENCE,BEN",1
18:47,,1,,4 (+3),"GOOD JUMPER by O'SULLIVAN,CONOR(in the paint)",BSC-M 1-4 (+3),,"GOOD JUMPER by O'SULLIVAN,CONOR(in the paint)",1
18:33,"MISS 3PTR by YOUNGBLOOD,RONALD",,,,,,,"MISS 3PTR by YOUNGBLOOD,RONALD",1
--,,,,,"REBOUND DEF by STEWART,CHRISTIAN",,,"REBOUND DEF by STEWART,CHRISTIAN",1
18:18,"FOUL  by YOUNGBLOOD,RONALD",,,,,,,"FOUL  by YOUNGBLOOD,RONALD",1
18:09,,1,,6 (+5),"GOOD JUMPER by SPENCE,BEN(in the paint)",BSC-M 1-6 (+5),,"GOOD JUMPER by SPENCE,BEN(in the paint)",1
17:47,"GOOD LAYUP by CAMERON,JULIAN(in the paint)",3,,6 (+3),,LC 3-6 (+3),,"GOOD LAYUP by CAMERON,JULIAN(in the paint)",1
17:21,,,,,"TURNOVER  by FITZGERALD,PAUL",,,"TURNOVER  by FITZGERALD,PAUL",1
17:21,"STEAL  by YOUNGBLOOD,RONALD",,,,,,,"STEAL  by YOUNGBLOOD,RONALD",1
17:14,"GOOD DUNK by YOUNGBLOOD,RONALD(fastbreak)(in the paint)",5,,6 (+1),,LC 5-6 (+1),,"GOOD DUNK by YOUNGBLOOD,RONALD(fastbreak)(in the paint)",1
