Time Remaining,UO,Away Team Score,Play Team Indicator,Home Team Score,BSC,Game Score,Team Indicator,Play,Period
19:50,,0,,3 (+3),"GOOD 3PTR by BAK,CALVIN",BSC 0-3 (+3),,"GOOD 3PTR by BAK,CALVIN",1
--,,,,,"ASSIST  by O'SULLIVAN,CONOR",,,"ASSIST  by O'SULLIVAN,CONOR",1
19:33,"GOOD LAYUP by BOBO,ZACH(in the paint)",2,,3 (+1),,UO 2-3 (+1),,"GOOD LAYUP by BOBO,ZACH(in the paint)",1
--,"ASSIST  by RENELIQUE,DARNEL",,,,,,,"ASSIST  by RENELIQUE,DARNEL",1
19:18,,2,,5 (+3),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 2-5 (+3),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
--,,,,,"ASSIST  by SPENCE,BEN",,,"ASSIST  by SPENCE,BEN",1
19:09,"GOOD 3PTR by JOHNSON,BRYSON",5,,5,,UO 5-5 (0),,"GOOD 3PTR by JOHNSON,BRYSON",1
18:55,"FOUL  by RENELIQUE,DARNEL",,,,,,,"FOUL  by RENELIQUE,DARNEL",1
18:42,,5,,7 (+2),"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",BSC 5-7 (+2),,"GOOD LAYUP by STEWART,CHRISTIAN(in the paint)",1
18:26,"TURNOVER  by BOBO,ZACH",,,,,,,"TURNOVER  by BOBO,ZACH",1
17:58,,5,,9 (+4),"GOOD JUMPER by O'SULLIVAN,CONOR",BSC 5-9 (+4),,"GOOD JUMPER by O'SULLIVAN,CONOR",1
17:43,"GOOD JUMPER by RENELIQUE,DARNEL(in the paint)",7,,9 (+2),,UO 7-9 (+2),,"GOOD JUMPER by RENELIQUE,DARNEL(in the paint)",1
17:36,,,,,"TURNOVER  by O'SULLIVAN,CONOR",,,"TURNOVER  by O'SULLIVAN,CONOR",1
17:36,"STEAL  by JOHNSON,BRYSON",,,,,,,"STEAL  by JOHNSON,BRYSON",1
17:32,"GOOD JUMPER by JOHNSON,BRYSON(fastbreak)(in the paint)",9,,9,,UO 9-9 (0),,"GOOD JUMPER by JOHNSON,BRYSON(fastbreak)(in the paint)",1
17:15,,,,,"MISS JUMPER by O'SULLIVAN,CONOR",,,"MISS JUMPER by O'SULLIVAN,CONOR",1
--,"REBOUND DEF by BOBO,ZACH",,,,,,,"REBOUND DEF by BOBO,ZACH",1
