Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
02:35,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
02:35,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
02:35,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
02:35,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
02:35,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",1
02:35,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
02:21,,,,,"MISS 3PTR by POWELL,LASHARD",,,"MISS 3PTR by POWELL,LASHARD",1
--,,,,,"REBOUND OFF by WASHINGTON,DEVON",,,"REBOUND OFF by WASHINGTON,DEVON",1
02:08,,,,,"TURNOVER  by POWELL,LASHARD",,,"TURNOVER  by POWELL,LASHARD",1
02:05,"GOOD DUNK by TURNER,JAMES(fastbreak)(in the paint)",19,,43 (+24),,MILMB 19-43 (-24),,"GOOD DUNK by TURNER,JAMES(fastbreak)(in the paint)",1
--,"ASSIST  by KOHNKE,SAM",,,,,,,"ASSIST  by KOHNKE,SAM",1
01:43,,19,,45 (+26),"GOOD LAYUP by WASHINGTON,DEVON(in the paint)",LCM 19-45 (-26),,"GOOD LAYUP by WASHINGTON,DEVON(in the paint)",1
--,,,,,"ASSIST  by POWELL,LASHARD",,,"ASSIST  by POWELL,LASHARD",1
01:32,,,,,"FOUL  by LEE,TORRIAN",,,"FOUL  by LEE,TORRIAN",1
01:32,"MISS FT by MILLER,JOSHUA",,,,,,,"MISS FT by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by POWELL,LASHARD",,,"REBOUND DEF by POWELL,LASHARD",1
01:29,,,,,"SUB IN by LANDRY,TYRIK",,,"SUB IN by LANDRY,TYRIK",1
01:29,,,,,"SUB OUT by LEE,TORRIAN",,,"SUB OUT by LEE,TORRIAN",1
01:09,"FOUL  by TURNER,JAMES",,,,,,,"FOUL  by TURNER,JAMES",1
01:09,,19,,46 (+27),"GOOD FT by BURKS,NICK",LCM 19-46 (-27),,"GOOD FT by BURKS,NICK",1
01:09,,,,,"MISS FT by BURKS,NICK",,,"MISS FT by BURKS,NICK",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
01:09,"SUB IN by MANNING,JOHNATHAN",,,,,,,"SUB IN by MANNING,JOHNATHAN",1
01:09,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
00:59,"GOOD JUMPER by MILLER,JOSHUA(in the paint)",21,,46 (+25),,MILMB 21-46 (-25),,"GOOD JUMPER by MILLER,JOSHUA(in the paint)",1
00:40,,,,,"TURNOVER  by WASHINGTON,DEVON",,,"TURNOVER  by WASHINGTON,DEVON",1
00:40,,,,,"FOUL  by WASHINGTON,DEVON",,,"FOUL  by WASHINGTON,DEVON",1
00:40,,,,,"SUB IN by AMES,TREY",,,"SUB IN by AMES,TREY",1
00:40,,,,,"SUB OUT by WASHINGTON,DEVON",,,"SUB OUT by WASHINGTON,DEVON",1
00:28,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
00:01,"FOUL  by MANNING,JOHNATHAN",,,,,,,"FOUL  by MANNING,JOHNATHAN",1
00:01,,,,,"MISS FT by LANDRY,TYRIK",,,"MISS FT by LANDRY,TYRIK",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
00:01,,,,,"MISS FT by LANDRY,TYRIK",,,"MISS FT by LANDRY,TYRIK",1
--,"REBOUND DEF by BECKER,SAXTON",,,,,,,"REBOUND DEF by BECKER,SAXTON",1
20:00,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",2
20:00,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",2
20:00,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",2
20:00,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",2
20:00,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",2
20:00,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",2
19:35,,,,,"MISS 3PTR by POWELL,LASHARD",,,"MISS 3PTR by POWELL,LASHARD",2
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",2
19:20,"GOOD LAYUP by BLANZ,BUCK(in the paint)",23,,46 (+23),,MILMB 23-46 (-23),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",2
19:15,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",2
19:11,"FOUL  by COLEMAN,DANIEL",,,,,,,"FOUL  by COLEMAN,DANIEL",2
19:01,,,,,"MISS 3PTR by HOLLIS,REX",,,"MISS 3PTR by HOLLIS,REX",2
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",2
18:50,"TURNOVER  by COLEMAN,DANIEL",,,,,,,"TURNOVER  by COLEMAN,DANIEL",2
18:49,,,,,"STEAL  by STOKES,TIMOTHY",,,"STEAL  by STOKES,TIMOTHY",2
18:49,"FOUL  by COLEMAN,DANIEL",,,,,,,"FOUL  by COLEMAN,DANIEL",2
18:35,"FOUL  by SPIKES,KALVIN",,,,,,,"FOUL  by SPIKES,KALVIN",2
18:35,,23,,47 (+24),"GOOD FT by POWELL,LASHARD",LCM 23-47 (-24),,"GOOD FT by POWELL,LASHARD",2
18:35,,23,,48 (+25),"GOOD FT by POWELL,LASHARD",LCM 23-48 (-25),,"GOOD FT by POWELL,LASHARD",2
18:35,,23,,49 (+26),"GOOD FT by POWELL,LASHARD",LCM 23-49 (-26),,"GOOD FT by POWELL,LASHARD",2
18:23,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",25,,49 (+24),,MILMB 25-49 (-24),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",2
--,"ASSIST  by BECKER,SAXTON",,,,,,,"ASSIST  by BECKER,SAXTON",2
17:59,,25,,52 (+27),"GOOD 3PTR by HOLLIS,REX",LCM 25-52 (-27),,"GOOD 3PTR by HOLLIS,REX",2
--,,,,,"ASSIST  by STOKES,TIMOTHY",,,"ASSIST  by STOKES,TIMOTHY",2
17:42,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",2
--,,,,,"REBOUND DEF by HOLLIS,REX",,,"REBOUND DEF by HOLLIS,REX",2
17:23,,25,,55 (+30),"GOOD 3PTR by POWELL,LASHARD",LCM 25-55 (-30),,"GOOD 3PTR by POWELL,LASHARD",2
--,,,,,"ASSIST  by STOKES,TIMOTHY",,,"ASSIST  by STOKES,TIMOTHY",2
16:57,"GOOD JUMPER by SPIKES,KALVIN(in the paint)",27,,55 (+28),,MILMB 27-55 (-28),,"GOOD JUMPER by SPIKES,KALVIN(in the paint)",2
--,"ASSIST  by BLANZ,BUCK",,,,,,,"ASSIST  by BLANZ,BUCK",2
16:30,,27,,57 (+30),"GOOD JUMPER by POWELL,LASHARD",LCM 27-57 (-30),,"GOOD JUMPER by POWELL,LASHARD",2
--,,,,,"ASSIST  by HOLLIS,REX",,,"ASSIST  by HOLLIS,REX",2
16:19,,,,,"FOUL  by STOKES,TIMOTHY",,,"FOUL  by STOKES,TIMOTHY",2
16:19,"SUB IN by MANNING,JOHNATHAN",,,,,,,"SUB IN by MANNING,JOHNATHAN",2
16:19,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",2
16:19,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",2
16:19,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",2
16:19,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",2
16:19,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",2
16:19,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",2
16:19,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",2
16:19,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",2
16:19,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",2
16:19,,,,,"SUB IN by WASHINGTON,DEVON",,,"SUB IN by WASHINGTON,DEVON",2
16:19,,,,,"SUB IN by GROGAN,TAYLAN",,,"SUB IN by GROGAN,TAYLAN",2
16:19,,,,,"SUB IN by LEE,TORRIAN",,,"SUB IN by LEE,TORRIAN",2
16:19,,,,,"SUB OUT by STOKES,TIMOTHY",,,"SUB OUT by STOKES,TIMOTHY",2
16:19,,,,,"SUB OUT by HOLLIS,REX",,,"SUB OUT by HOLLIS,REX",2
16:19,,,,,"SUB OUT by AMES,TREY",,,"SUB OUT by AMES,TREY",2
16:10,,,,,"FOUL  by LEE,TORRIAN",,,"FOUL  by LEE,TORRIAN",2
16:10,"GOOD FT by GRANT,SHE'CHEM",28,,57 (+29),,MILMB 28-57 (-29),,"GOOD FT by GRANT,SHE'CHEM",2
16:10,"GOOD FT by GRANT,SHE'CHEM",29,,57 (+28),,MILMB 29-57 (-28),,"GOOD FT by GRANT,SHE'CHEM",2
15:56,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",2
15:56,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
15:56,,29,,58 (+29),"GOOD FT by POWELL,LASHARD",LCM 29-58 (-29),,"GOOD FT by POWELL,LASHARD",2
15:56,,29,,59 (+30),"GOOD FT by POWELL,LASHARD",LCM 29-59 (-30),,"GOOD FT by POWELL,LASHARD",2
15:56,,,,,"SUB IN by COLEMAN,JAQUEZ",,,"SUB IN by COLEMAN,JAQUEZ",2
15:56,,,,,"SUB OUT by POWELL,LASHARD",,,"SUB OUT by POWELL,LASHARD",2
15:48,,,,,"FOUL  by WASHINGTON,DEVON",,,"FOUL  by WASHINGTON,DEVON",2
15:48,"MISS FT by KOHNKE,SAM",,,,,,,"MISS FT by KOHNKE,SAM",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
15:48,"MISS FT by KOHNKE,SAM",,,,,,,"MISS FT by KOHNKE,SAM",2
--,,,,,"REBOUND DEF by SCHULTZ,TRAVIS",,,"REBOUND DEF by SCHULTZ,TRAVIS",2
15:28,,,,,"MISS 3PTR by LEE,TORRIAN",,,"MISS 3PTR by LEE,TORRIAN",2
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",2
15:20,"MISS 3PTR by MANNING,JOHNATHAN",,,,,,,"MISS 3PTR by MANNING,JOHNATHAN",2
--,,,,,"REBOUND DEF by LEE,TORRIAN",,,"REBOUND DEF by LEE,TORRIAN",2
15:03,,,,,"TURNOVER  by LEE,TORRIAN",,,"TURNOVER  by LEE,TORRIAN",2
15:01,"STEAL  by KOHNKE,SAM",,,,,,,"STEAL  by KOHNKE,SAM",2
14:58,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",2
--,,,,,"REBOUND DEF by LEE,TORRIAN",,,"REBOUND DEF by LEE,TORRIAN",2
14:38,,,,,"MISS JUMPER by COLEMAN,JAQUEZ",,,"MISS JUMPER by COLEMAN,JAQUEZ",2
--,,,,,"REBOUND OFF by GROGAN,TAYLAN",,,"REBOUND OFF by GROGAN,TAYLAN",2
14:16,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",2
14:16,"SUB IN by II,DERRICK BURT",,,,,,,"SUB IN by II,DERRICK BURT",2
14:16,"SUB IN by LEONCE,JOSH",,,,,,,"SUB IN by LEONCE,JOSH",2
14:16,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",2
14:16,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",2
14:16,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",2
14:16,"SUB OUT by MANNING,JOHNATHAN",,,,,,,"SUB OUT by MANNING,JOHNATHAN",2
14:16,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",2
14:16,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",2
14:16,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",2
14:16,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",2
14:16,,,,,"SUB IN by STOKES,TIMOTHY",,,"SUB IN by STOKES,TIMOTHY",2
14:16,,,,,"SUB OUT by LEE,TORRIAN",,,"SUB OUT by LEE,TORRIAN",2
13:56,,,,,"TURNOVER  by SCHULTZ,TRAVIS",,,"TURNOVER  by SCHULTZ,TRAVIS",2
13:55,"STEAL  by II,DERRICK BURT",,,,,,,"STEAL  by II,DERRICK BURT",2
13:54,,,,,"FOUL  by COLEMAN,JAQUEZ",,,"FOUL  by COLEMAN,JAQUEZ",2
13:54,"MISS FT by II,DERRICK BURT",,,,,,,"MISS FT by II,DERRICK BURT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:54,"MISS FT by II,DERRICK BURT",,,,,,,"MISS FT by II,DERRICK BURT",2
--,,,,,"REBOUND DEF by WASHINGTON,DEVON",,,"REBOUND DEF by WASHINGTON,DEVON",2
13:34,,,,,"TURNOVER  by STOKES,TIMOTHY",,,"TURNOVER  by STOKES,TIMOTHY",2
13:33,"STEAL  by BURNETT,DREW",,,,,,,"STEAL  by BURNETT,DREW",2
13:31,,,,,"FOUL  by SCHULTZ,TRAVIS",,,"FOUL  by SCHULTZ,TRAVIS",2
13:31,"MISS FT by II,DERRICK BURT",,,,,,,"MISS FT by II,DERRICK BURT",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
13:31,"MISS FT by II,DERRICK BURT",,,,,,,"MISS FT by II,DERRICK BURT",2
--,,,,,"REBOUND DEF by WASHINGTON,DEVON",,,"REBOUND DEF by WASHINGTON,DEVON",2
13:10,"FOUL  by II,DERRICK BURT",,,,,,,"FOUL  by II,DERRICK BURT",2
13:10,,29,,60 (+31),"GOOD FT by STOKES,TIMOTHY",LCM 29-60 (-31),,"GOOD FT by STOKES,TIMOTHY",2
13:10,,29,,61 (+32),"GOOD FT by STOKES,TIMOTHY",LCM 29-61 (-32),,"GOOD FT by STOKES,TIMOTHY",2
13:05,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
13:05,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",2
13:05,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",2
13:05,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",2
13:05,"SUB IN by WINTERS,KYLE",,,,,,,"SUB IN by WINTERS,KYLE",2
13:05,"SUB OUT by II,DERRICK BURT",,,,,,,"SUB OUT by II,DERRICK BURT",2
13:05,"SUB OUT by LEONCE,JOSH",,,,,,,"SUB OUT by LEONCE,JOSH",2
13:05,"SUB OUT by MEADS,TYSIN",,,,,,,"SUB OUT by MEADS,TYSIN",2
13:05,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",2
13:05,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",2
13:05,,,,,"SUB IN by POWELL,LASHARD",,,"SUB IN by POWELL,LASHARD",2
13:05,,,,,"SUB OUT by COLEMAN,JAQUEZ",,,"SUB OUT by COLEMAN,JAQUEZ",2
13:04,"MISS JUMPER by TURNER,JAMES",,,,,,,"MISS JUMPER by TURNER,JAMES",2
--,"REBOUND OFF by TURNER,JAMES",,,,,,,"REBOUND OFF by TURNER,JAMES",2
13:01,"MISS JUMPER by TURNER,JAMES",,,,,,,"MISS JUMPER by TURNER,JAMES",2
--,,,,,"REBOUND DEF by GROGAN,TAYLAN",,,"REBOUND DEF by GROGAN,TAYLAN",2
12:40,"FOUL  by WINTERS,KYLE",,,,,,,"FOUL  by WINTERS,KYLE",2
12:40,,29,,62 (+33),"GOOD FT by POWELL,LASHARD",LCM 29-62 (-33),,"GOOD FT by POWELL,LASHARD",2
12:40,,29,,63 (+34),"GOOD FT by POWELL,LASHARD",LCM 29-63 (-34),,"GOOD FT by POWELL,LASHARD",2
12:28,"GOOD DUNK by SPIKES,KALVIN(in the paint)",31,,63 (+32),,MILMB 31-63 (-32),,"GOOD DUNK by SPIKES,KALVIN(in the paint)",2
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",2
12:13,,,,,"MISS JUMPER by POWELL,LASHARD",,,"MISS JUMPER by POWELL,LASHARD",2
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",2
12:03,"MISS JUMPER by WINTERS,KYLE",,,,,,,"MISS JUMPER by WINTERS,KYLE",2
--,,,,,"REBOUND DEF by STOKES,TIMOTHY",,,"REBOUND DEF by STOKES,TIMOTHY",2
11:58,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,2
11:39,,,,,"MISS 3PTR by POWELL,LASHARD",,,"MISS 3PTR by POWELL,LASHARD",2
--,,,,,REBOUND OFF by TEAM,,,REBOUND OFF by TEAM,2
11:38,"FOUL  by CARVELLI,CAMERON",,,,,,,"FOUL  by CARVELLI,CAMERON",2
11:38,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
11:38,,,,,"MISS FT by WASHINGTON,DEVON",,,"MISS FT by WASHINGTON,DEVON",2
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",2
11:28,"MISS 3PTR by CARVELLI,CAMERON",,,,,,,"MISS 3PTR by CARVELLI,CAMERON",2
--,"REBOUND OFF by WINTERS,KYLE",,,,,,,"REBOUND OFF by WINTERS,KYLE",2
11:23,"TURNOVER  by WINTERS,KYLE",,,,,,,"TURNOVER  by WINTERS,KYLE",2
11:23,,,,,"STEAL  by STOKES,TIMOTHY",,,"STEAL  by STOKES,TIMOTHY",2
11:23,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",2
11:23,,31,,64 (+33),"GOOD FT by STOKES,TIMOTHY",LCM 31-64 (-33),,"GOOD FT by STOKES,TIMOTHY",2
11:23,,31,,65 (+34),"GOOD FT by STOKES,TIMOTHY",LCM 31-65 (-34),,"GOOD FT by STOKES,TIMOTHY",2
11:23,"SUB IN by ,RONALD WILLIAMS JR",,,,,,,"SUB IN by ,RONALD WILLIAMS JR",2
11:23,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",2
11:23,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",2
11:23,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",2
11:23,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",2
11:23,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",2
11:23,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",2
11:23,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",2
11:23,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",2
11:23,"SUB OUT by WINTERS,KYLE",,,,,,,"SUB OUT by WINTERS,KYLE",2
11:02,"MISS 3PTR by BURNETT,DREW",,,,,,,"MISS 3PTR by BURNETT,DREW",2
--,,,,,"REBOUND DEF by SCHULTZ,TRAVIS",,,"REBOUND DEF by SCHULTZ,TRAVIS",2
10:50,,,,,"TURNOVER  by POWELL,LASHARD",,,"TURNOVER  by POWELL,LASHARD",2
10:33,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",2
--,"REBOUND OFF by SULLIVAN,MICHAEL",,,,,,,"REBOUND OFF by SULLIVAN,MICHAEL",2
10:24,"TURNOVER  by ,RONALD WILLIAMS JR",,,,,,,"TURNOVER  by ,RONALD WILLIAMS JR",2
10:24,"FOUL  by ,RONALD WILLIAMS JR",,,,,,,"FOUL  by ,RONALD WILLIAMS JR",2
10:24,,,,,"SUB IN by AMES,TREY",,,"SUB IN by AMES,TREY",2
10:24,,,,,"SUB IN by COLEMAN,JAQUEZ",,,"SUB IN by COLEMAN,JAQUEZ",2
10:24,,,,,"SUB IN by LEE,TORRIAN",,,"SUB IN by LEE,TORRIAN",2
10:24,,,,,"SUB IN by HOLLIS,REX",,,"SUB IN by HOLLIS,REX",2
10:24,,,,,"SUB OUT by GROGAN,TAYLAN",,,"SUB OUT by GROGAN,TAYLAN",2
10:24,,,,,"SUB OUT by SCHULTZ,TRAVIS",,,"SUB OUT by SCHULTZ,TRAVIS",2
10:24,,,,,"SUB OUT by POWELL,LASHARD",,,"SUB OUT by POWELL,LASHARD",2
10:24,,,,,"SUB OUT by STOKES,TIMOTHY",,,"SUB OUT by STOKES,TIMOTHY",2
10:06,,,,,"MISS JUMPER by LEE,TORRIAN",,,"MISS JUMPER by LEE,TORRIAN",2
10:06,"BLOCK  by ,RONALD WILLIAMS JR",,,,,,,"BLOCK  by ,RONALD WILLIAMS JR",2
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",2
10:02,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",2
10:01,,,,,"STEAL  by LEE,TORRIAN",,,"STEAL  by LEE,TORRIAN",2
09:44,,31,,67 (+36),"GOOD JUMPER by COLEMAN,JAQUEZ",LCM 31-67 (-36),,"GOOD JUMPER by COLEMAN,JAQUEZ",2
09:22,"MISS 3PTR by BLANZ,BUCK",,,,,,,"MISS 3PTR by BLANZ,BUCK",2
--,"REBOUND OFF by GRANT,SHE'CHEM",,,,,,,"REBOUND OFF by GRANT,SHE'CHEM",2
09:19,"MISS JUMPER by GRANT,SHE'CHEM",,,,,,,"MISS JUMPER by GRANT,SHE'CHEM",2
--,"REBOUND OFF by BURNETT,DREW",,,,,,,"REBOUND OFF by BURNETT,DREW",2
09:18,,,,,"FOUL  by HOLLIS,REX",,,"FOUL  by HOLLIS,REX",2
09:18,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",2
09:18,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",2
09:18,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",2
09:18,"SUB IN by MANNING,JOHNATHAN",,,,,,,"SUB IN by MANNING,JOHNATHAN",2
09:18,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",2
09:18,"SUB OUT by ,RONALD WILLIAMS JR",,,,,,,"SUB OUT by ,RONALD WILLIAMS JR",2
09:18,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",2
09:18,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",2
09:18,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",2
09:18,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",2
09:05,"MISS 3PTR by COLEMAN,DANIEL",,,,,,,"MISS 3PTR by COLEMAN,DANIEL",2
--,,,,,"REBOUND DEF by WASHINGTON,DEVON",,,"REBOUND DEF by WASHINGTON,DEVON",2
08:58,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",2
08:58,,31,,68 (+37),"GOOD FT by LEE,TORRIAN",LCM 31-68 (-37),,"GOOD FT by LEE,TORRIAN",2
08:58,,31,,69 (+38),"GOOD FT by LEE,TORRIAN",LCM 31-69 (-38),,"GOOD FT by LEE,TORRIAN",2
08:58,,,,,"SUB IN by BURKS,NICK",,,"SUB IN by BURKS,NICK",2
08:58,,,,,"SUB OUT by WASHINGTON,DEVON",,,"SUB OUT by WASHINGTON,DEVON",2
08:40,"GOOD JUMPER by MILLER,JOSHUA(in the paint)",33,,69 (+36),,MILMB 33-69 (-36),,"GOOD JUMPER by MILLER,JOSHUA(in the paint)",2
08:19,,,,,"MISS JUMPER by AMES,TREY",,,"MISS JUMPER by AMES,TREY",2
--,"REBOUND DEF by COLEMAN,DANIEL",,,,,,,"REBOUND DEF by COLEMAN,DANIEL",2
08:14,,,,,"FOUL  by COLEMAN,JAQUEZ",,,"FOUL  by COLEMAN,JAQUEZ",2
08:14,"MISS FT by KOHNKE,SAM",,,,,,,"MISS FT by KOHNKE,SAM",2
--,"REBOUND OFF by MILLER,JOSHUA",,,,,,,"REBOUND OFF by MILLER,JOSHUA",2
08:06,"TURNOVER  by KOHNKE,SAM",,,,,,,"TURNOVER  by KOHNKE,SAM",2
08:05,,,,,"STEAL  by COLEMAN,JAQUEZ",,,"STEAL  by COLEMAN,JAQUEZ",2
07:58,,,,,"MISS 3PTR by LEE,TORRIAN",,,"MISS 3PTR by LEE,TORRIAN",2
--,"REBOUND DEF by COLEMAN,DANIEL",,,,,,,"REBOUND DEF by COLEMAN,DANIEL",2
07:52,"TURNOVER  by MANNING,JOHNATHAN",,,,,,,"TURNOVER  by MANNING,JOHNATHAN",2
07:52,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
07:52,"FOUL TECH by KOHNKE,SAM",,,,,,,"FOUL TECH by KOHNKE,SAM",2
07:52,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",2
07:52,,,,,"MISS FT by SCHULTZ,TRAVIS",,,"MISS FT by SCHULTZ,TRAVIS",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
07:52,,33,,70 (+37),"GOOD FT by SCHULTZ,TRAVIS",LCM 33-70 (-37),,"GOOD FT by SCHULTZ,TRAVIS",2
07:52,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",2
07:52,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",2
07:52,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",2
07:52,"SUB IN by II,DERRICK BURT",,,,,,,"SUB IN by II,DERRICK BURT",2
07:52,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",2
07:52,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",2
07:52,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",2
07:52,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",2
07:52,"SUB OUT by MANNING,JOHNATHAN",,,,,,,"SUB OUT by MANNING,JOHNATHAN",2
07:52,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",2
