Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,LCM,Game Score,Team Indicator,Play,Period
12:58,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
12:57,,,,,"STEAL  by LEE,TORRIAN",,,"STEAL  by LEE,TORRIAN",1
12:54,,,,,"MISS JUMPER by GROGAN,TAYLAN",,,"MISS JUMPER by GROGAN,TAYLAN",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
12:48,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
12:48,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
12:48,,,,,"SUB IN by AMES,TREY",,,"SUB IN by AMES,TREY",1
12:48,,,,,"SUB OUT by WASHINGTON,DEVON",,,"SUB OUT by WASHINGTON,DEVON",1
12:36,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",1
12:35,,,,,"STEAL  by GROGAN,TAYLAN",,,"STEAL  by GROGAN,TAYLAN",1
12:22,,11,,20 (+9),"GOOD 3PTR by COLEMAN,JAQUEZ",LCM 11-20 (-9),,"GOOD 3PTR by COLEMAN,JAQUEZ",1
--,,,,,"ASSIST  by LEE,TORRIAN",,,"ASSIST  by LEE,TORRIAN",1
12:03,"GOOD JUMPER by GRANT,SHE'CHEM",13,,20 (+7),,MILMB 13-20 (-7),,"GOOD JUMPER by GRANT,SHE'CHEM",1
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",1
11:39,,,,,"TURNOVER  by GROGAN,TAYLAN",,,"TURNOVER  by GROGAN,TAYLAN",1
11:39,TIMEOUT MEDIA by TEAM,,,,,,,TIMEOUT MEDIA by TEAM,1
11:39,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
11:39,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
11:39,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
11:39,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",1
11:39,,,,,"SUB IN by WASHINGTON,DEVON",,,"SUB IN by WASHINGTON,DEVON",1
11:39,,,,,"SUB IN by STOKES,TIMOTHY",,,"SUB IN by STOKES,TIMOTHY",1
11:39,,,,,"SUB OUT by LEE,TORRIAN",,,"SUB OUT by LEE,TORRIAN",1
11:39,,,,,"SUB OUT by BURKS,NICK",,,"SUB OUT by BURKS,NICK",1
11:29,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",1
11:29,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
11:27,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by WASHINGTON,DEVON",,,"REBOUND DEF by WASHINGTON,DEVON",1
11:06,,13,,22 (+9),"GOOD JUMPER by WASHINGTON,DEVON(in the paint)",LCM 13-22 (-9),,"GOOD JUMPER by WASHINGTON,DEVON(in the paint)",1
--,,,,,"ASSIST  by GROGAN,TAYLAN",,,"ASSIST  by GROGAN,TAYLAN",1
10:53,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",1
10:52,,,,,"STEAL  by GROGAN,TAYLAN",,,"STEAL  by GROGAN,TAYLAN",1
10:51,,13,,24 (+11),"GOOD JUMPER by GROGAN,TAYLAN",LCM 13-24 (-11),,"GOOD JUMPER by GROGAN,TAYLAN",1
10:27,"GOOD JUMPER by GRANT,SHE'CHEM(in the paint)",15,,24 (+9),,MILMB 15-24 (-9),,"GOOD JUMPER by GRANT,SHE'CHEM(in the paint)",1
--,"ASSIST  by BECKER,SAXTON",,,,,,,"ASSIST  by BECKER,SAXTON",1
10:09,,,,,"MISS JUMPER by WASHINGTON,DEVON",,,"MISS JUMPER by WASHINGTON,DEVON",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
10:07,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
10:07,"FOUL  by SPIKES,KALVIN",,,,,,,"FOUL  by SPIKES,KALVIN",1
10:07,,15,,25 (+10),"GOOD FT by WASHINGTON,DEVON",LCM 15-25 (-10),,"GOOD FT by WASHINGTON,DEVON",1
10:07,,15,,26 (+11),"GOOD FT by WASHINGTON,DEVON",LCM 15-26 (-11),,"GOOD FT by WASHINGTON,DEVON",1
10:07,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
10:07,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
10:07,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
10:07,"SUB IN by SPIKES,KALVIN",,,,,,,"SUB IN by SPIKES,KALVIN",1
10:07,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
10:07,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
10:07,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
10:07,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",1
10:07,,,,,"SUB IN by HOLLIS,REX",,,"SUB IN by HOLLIS,REX",1
10:07,,,,,"SUB IN by POWELL,LASHARD",,,"SUB IN by POWELL,LASHARD",1
10:07,,,,,"SUB OUT by GROGAN,TAYLAN",,,"SUB OUT by GROGAN,TAYLAN",1
10:07,,,,,"SUB OUT by COLEMAN,JAQUEZ",,,"SUB OUT by COLEMAN,JAQUEZ",1
09:56,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",1
09:40,,15,,28 (+13),"GOOD JUMPER by HOLLIS,REX(in the paint)",LCM 15-28 (-13),,"GOOD JUMPER by HOLLIS,REX(in the paint)",1
09:18,"GOOD DUNK by SPIKES,KALVIN(in the paint)",17,,28 (+11),,MILMB 17-28 (-11),,"GOOD DUNK by SPIKES,KALVIN(in the paint)",1
--,"ASSIST  by KOHNKE,SAM",,,,,,,"ASSIST  by KOHNKE,SAM",1
08:59,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
08:59,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
08:59,,,,,"SUB IN by SCHULTZ,TRAVIS",,,"SUB IN by SCHULTZ,TRAVIS",1
08:59,,,,,"SUB OUT by AMES,TREY",,,"SUB OUT by AMES,TREY",1
08:47,,,,,"MISS 3PTR by STOKES,TIMOTHY",,,"MISS 3PTR by STOKES,TIMOTHY",1
--,"REBOUND DEF by SPIKES,KALVIN",,,,,,,"REBOUND DEF by SPIKES,KALVIN",1
