Time Remaining,BCM,Away Team Score,Play Team Indicator,Home Team Score,MILMB,Game Score,Team Indicator,Play,Period
19:48,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
19:32,"GOOD JUMPER by JOHNSON,CALEB(in the paint)",2 (+2),,0,,BCM 2-0 (-2),,"GOOD JUMPER by JOHNSON,CALEB(in the paint)",1
--,"ASSIST  by MOORE,MILES",,,,,,,"ASSIST  by MOORE,MILES",1
19:08,,,,,"MISS LAYUP by TURNER,JAMES",,,"MISS LAYUP by TURNER,JAMES",1
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",1
18:50,"MISS 3PTR by MOORE,MILES",,,,,,,"MISS 3PTR by MOORE,MILES",1
--,,,,,"REBOUND DEF by BLANZ,BUCK",,,"REBOUND DEF by BLANZ,BUCK",1
18:29,,,,,"MISS LAYUP by BLANZ,BUCK",,,"MISS LAYUP by BLANZ,BUCK",1
18:29,"BLOCK  by ELLINGSWORTH,COLEMAN",,,,,,,"BLOCK  by ELLINGSWORTH,COLEMAN",1
--,"REBOUND DEF by JOHNSON,CALEB",,,,,,,"REBOUND DEF by JOHNSON,CALEB",1
18:22,"MISS LAYUP by HIRSH,ELIJAH",,,,,,,"MISS LAYUP by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
18:00,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",1
17:48,"GOOD 3PTR by MCCLOUD,ALTON",5 (+5),,0,,BCM 5-0 (-5),,"GOOD 3PTR by MCCLOUD,ALTON",1
--,"ASSIST  by MOORE,MILES",,,,,,,"ASSIST  by MOORE,MILES",1
17:27,,,,,"MISS 3PTR by TURNER,JAMES",,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND DEF by MOORE,MILES",,,,,,,"REBOUND DEF by MOORE,MILES",1
17:07,"MISS 3PTR by JOHNSON,CALEB",,,,,,,"MISS 3PTR by JOHNSON,CALEB",1
--,"REBOUND OFF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND OFF by ELLINGSWORTH,COLEMAN",1
17:02,"GOOD LAYUP by ELLINGSWORTH,COLEMAN(in the paint)",7 (+7),,0,,BCM 7-0 (-7),,"GOOD LAYUP by ELLINGSWORTH,COLEMAN(in the paint)",1
16:41,,,,,"MISS LAYUP by MILLER,JOSHUA",,,"MISS LAYUP by MILLER,JOSHUA",1
16:41,"BLOCK  by HIRSH,ELIJAH",,,,,,,"BLOCK  by HIRSH,ELIJAH",1
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",1
16:36,"MISS LAYUP by JOHNSON,CALEB",,,,,,,"MISS LAYUP by JOHNSON,CALEB",1
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",1
16:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
16:30,,,,,"SUB IN by CARVELLI,CAMERON",,,"SUB IN by CARVELLI,CAMERON",1
16:30,,,,,"SUB IN by BURNETT,DREW",,,"SUB IN by BURNETT,DREW",1
16:30,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",1
16:30,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",1
16:30,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",1
16:30,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",1
16:30,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
16:30,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",1
16:30,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",1
16:30,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",1
16:19,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,"REBOUND DEF by MOORE,MILES",,,,,,,"REBOUND DEF by MOORE,MILES",1
16:03,"MISS JUMPER by HIRSH,ELIJAH",,,,,,,"MISS JUMPER by HIRSH,ELIJAH",1
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",1
15:48,,,,,"MISS JUMPER by CARVELLI,CAMERON",,,"MISS JUMPER by CARVELLI,CAMERON",1
--,"REBOUND DEF by ELLINGSWORTH,COLEMAN",,,,,,,"REBOUND DEF by ELLINGSWORTH,COLEMAN",1
15:37,"FOUL  by MCCLOUD,ALTON",,,,,,,"FOUL  by MCCLOUD,ALTON",1
15:37,"TURNOVER  by MCCLOUD,ALTON",,,,,,,"TURNOVER  by MCCLOUD,ALTON",1
15:37,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:28,,7 (+5),,2,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",MILMB 7-2 (-5),,"GOOD LAYUP by SPIKES,KALVIN(in the paint)",1
--,,,,,"ASSIST  by MANNING,JOHNATHAN",,,"ASSIST  by MANNING,JOHNATHAN",1
15:15,"MISS 3PTR by ELLINGSWORTH,COLEMAN",,,,,,,"MISS 3PTR by ELLINGSWORTH,COLEMAN",1
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",1
15:15,,,,,"MISS LAYUP by GRANT,SHE'CHEM",,,"MISS LAYUP by GRANT,SHE'CHEM",1
--,"REBOUND DEF by HIRSH,ELIJAH",,,,,,,"REBOUND DEF by HIRSH,ELIJAH",1
15:15,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",1
15:15,"GOOD FT by ELLINGSWORTH,COLEMAN",8 (+6),,2,,BCM 8-2 (-6),,"GOOD FT by ELLINGSWORTH,COLEMAN",1
15:15,"GOOD FT by ELLINGSWORTH,COLEMAN",9 (+7),,2,,BCM 9-2 (-7),,"GOOD FT by ELLINGSWORTH,COLEMAN",1
15:06,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",11 (+9),,2,,BCM 11-2 (-9),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",1
14:57,"FOUL  by MOORE,MILES",,,,,,,"FOUL  by MOORE,MILES",1
14:57,,11 (+8),,3,"GOOD FT by GRANT,SHE'CHEM",MILMB 11-3 (-8),,"GOOD FT by GRANT,SHE'CHEM",1
14:57,,11 (+7),,4,"GOOD FT by GRANT,SHE'CHEM",MILMB 11-4 (-7),,"GOOD FT by GRANT,SHE'CHEM",1
14:57,"SUB IN by MARDER,NICK",,,,,,,"SUB IN by MARDER,NICK",1
14:57,"SUB OUT by MOORE,MILES",,,,,,,"SUB OUT by MOORE,MILES",1
14:42,"GOOD 3PTR by MCCLOUD,ALTON",14 (+10),,4,,BCM 14-4 (-10),,"GOOD 3PTR by MCCLOUD,ALTON",1
14:37,"SUB IN by ATKINSON,QUINN",,,,,,,"SUB IN by ATKINSON,QUINN",1
14:37,"SUB OUT by HIRSH,ELIJAH",,,,,,,"SUB OUT by HIRSH,ELIJAH",1
14:37,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",1
14:37,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",1
14:35,,14 (+7),,7,"GOOD 3PTR by BECKER,SAXTON",MILMB 14-7 (-7),,"GOOD 3PTR by BECKER,SAXTON",1
14:24,,,,,"FOUL  by GRANT,SHE'CHEM",,,"FOUL  by GRANT,SHE'CHEM",1
14:19,"GOOD FT by ATKINSON,QUINN",15 (+8),,7,,BCM 15-7 (-8),,"GOOD FT by ATKINSON,QUINN",1
14:19,"SUB IN by HIRSH,ELIJAH",,,,,,,"SUB IN by HIRSH,ELIJAH",1
14:19,"SUB OUT by ELLINGSWORTH,COLEMAN",,,,,,,"SUB OUT by ELLINGSWORTH,COLEMAN",1
14:19,,,,,"SUB IN by COLEMAN,DANIEL",,,"SUB IN by COLEMAN,DANIEL",1
14:19,,,,,"SUB OUT by CARVELLI,CAMERON",,,"SUB OUT by CARVELLI,CAMERON",1
14:15,"GOOD FT by ATKINSON,QUINN",16 (+9),,7,,BCM 16-7 (-9),,"GOOD FT by ATKINSON,QUINN",1
13:54,,16 (+7),,9,"GOOD JUMPER by GRANT,SHE'CHEM(in the paint)",MILMB 16-9 (-7),,"GOOD JUMPER by GRANT,SHE'CHEM(in the paint)",1
