Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,BUMBB,Game Score,Team Indicator,Play,Period
16:36,"GOOD FT by MILLER,JOSHUA",9 (+2),,7,,MILMB 9-7 (+2),,"GOOD FT by MILLER,JOSHUA",1
16:36,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
16:36,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
16:36,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",1
16:36,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
16:36,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
16:36,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
16:36,,,,,"SUB IN by HEERINGEN,GIAN VAN",,,"SUB IN by HEERINGEN,GIAN VAN",1
16:36,,,,,"SUB IN by HODUM,RICK",,,"SUB IN by HODUM,RICK",1
16:36,,,,,"SUB IN by JONES,JUSTIN",,,"SUB IN by JONES,JUSTIN",1
16:36,,,,,"SUB IN by DURHAM,JONATHAN",,,"SUB IN by DURHAM,JONATHAN",1
16:36,,,,,"SUB IN by MCCOY,TOMMY",,,"SUB IN by MCCOY,TOMMY",1
16:36,,,,,"SUB OUT by ,KYLE PATTERSON SR",,,"SUB OUT by ,KYLE PATTERSON SR",1
16:36,,,,,"SUB OUT by RICHARDSON,TERIK",,,"SUB OUT by RICHARDSON,TERIK",1
16:36,,,,,"SUB OUT by WEBBER,BRENT",,,"SUB OUT by WEBBER,BRENT",1
16:36,,,,,"SUB OUT by PRICE,VICTOR",,,"SUB OUT by PRICE,VICTOR",1
16:36,,,,,"SUB OUT by BROWN,ISIAH",,,"SUB OUT by BROWN,ISIAH",1
16:35,,,,,"FOUL  by JONES,JUSTIN",,,"FOUL  by JONES,JUSTIN",1
16:35,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
16:27,,9,,10 (+1),"GOOD 3PTR by JONES,JUSTIN",BUMBB 9-10 (-1),,"GOOD 3PTR by JONES,JUSTIN",1
--,,,,,"ASSIST  by HEERINGEN,GIAN VAN",,,"ASSIST  by HEERINGEN,GIAN VAN",1
16:06,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,"REBOUND OFF by BECKER,SAXTON",,,,,,,"REBOUND OFF by BECKER,SAXTON",1
15:59,"GOOD LAYUP by BECKER,SAXTON(in the paint)",11 (+1),,10,,MILMB 11-10 (+1),,"GOOD LAYUP by BECKER,SAXTON(in the paint)",1
15:50,,,,,"MISS LAYUP by MCCOY,TOMMY",,,"MISS LAYUP by MCCOY,TOMMY",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
15:50,"FOUL  by MEADS,TYSIN",,,,,,,"FOUL  by MEADS,TYSIN",1
15:50,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:50,,11,,11,"GOOD FT by MCCOY,TOMMY",BUMBB 11-11 (0),,"GOOD FT by MCCOY,TOMMY",1
15:50,,11,,12 (+1),"GOOD FT by MCCOY,TOMMY",BUMBB 11-12 (-1),,"GOOD FT by MCCOY,TOMMY",1
15:38,,,,,"FOUL  by MCCOY,TOMMY",,,"FOUL  by MCCOY,TOMMY",1
15:38,,,,,"FOUL  by JONES,JUSTIN",,,"FOUL  by JONES,JUSTIN",1
15:35,"TURNOVER  by COLEMAN,DANIEL",,,,,,,"TURNOVER  by COLEMAN,DANIEL",1
15:35,,,,,"SUB IN by LORIS,JOHN",,,"SUB IN by LORIS,JOHN",1
15:35,,,,,"SUB OUT by JONES,JUSTIN",,,"SUB OUT by JONES,JUSTIN",1
15:24,"FOUL  by COLEMAN,DANIEL",,,,,,,"FOUL  by COLEMAN,DANIEL",1
15:24,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",1
15:24,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",1
15:23,,11,,15 (+4),"GOOD 3PTR by DURHAM,JONATHAN",BUMBB 11-15 (-4),,"GOOD 3PTR by DURHAM,JONATHAN",1
15:05,,,,,"FOUL  by MCCOY,TOMMY",,,"FOUL  by MCCOY,TOMMY",1
15:05,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
15:05,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
15:05,,,,,"SUB IN by LEATHERWOOD,TRAEVIAN",,,"SUB IN by LEATHERWOOD,TRAEVIAN",1
15:05,,,,,"SUB IN by ROBERTS,JOSHUA",,,"SUB IN by ROBERTS,JOSHUA",1
15:05,,,,,"SUB IN by WORKS,JOHN",,,"SUB IN by WORKS,JOHN",1
15:05,,,,,"SUB IN by COLE,DAVID",,,"SUB IN by COLE,DAVID",1
15:05,,,,,"SUB OUT by HEERINGEN,GIAN VAN",,,"SUB OUT by HEERINGEN,GIAN VAN",1
15:05,,,,,"SUB OUT by HODUM,RICK",,,"SUB OUT by HODUM,RICK",1
15:05,,,,,"SUB OUT by DURHAM,JONATHAN",,,"SUB OUT by DURHAM,JONATHAN",1
15:05,,,,,"SUB OUT by MCCOY,TOMMY",,,"SUB OUT by MCCOY,TOMMY",1
15:00,"TURNOVER  by KOHNKE,SAM",,,,,,,"TURNOVER  by KOHNKE,SAM",1
14:49,,11,,17 (+6),"GOOD LAYUP by LEATHERWOOD,TRAEVIAN(in the paint)",BUMBB 11-17 (-6),,"GOOD LAYUP by LEATHERWOOD,TRAEVIAN(in the paint)",1
--,,,,,"ASSIST  by WORKS,JOHN",,,"ASSIST  by WORKS,JOHN",1
14:20,"FOUL  by MEADS,TYSIN",,,,,,,"FOUL  by MEADS,TYSIN",1
14:20,"SUB IN by II,DERRICK BURT",,,,,,,"SUB IN by II,DERRICK BURT",1
14:20,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
14:20,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
14:20,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
14:20,"SUB OUT by CARVELLI,CAMERON",,,,,,,"SUB OUT by CARVELLI,CAMERON",1
14:20,"SUB OUT by MEADS,TYSIN",,,,,,,"SUB OUT by MEADS,TYSIN",1
14:07,,,,,"TURNOVER  by LEATHERWOOD,TRAEVIAN",,,"TURNOVER  by LEATHERWOOD,TRAEVIAN",1
