Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,UMHB-MEN,Game Score,Team Indicator,Play,Period
19:32,"GOOD JUMPER by SULLIVAN,MICHAEL",2 (+2),,0,,MILMB 2-0 (+2),,"GOOD JUMPER by SULLIVAN,MICHAEL",1
19:12,,2,,3 (+1),"GOOD 3PTR by MOORE,SAM",UMHB-MEN 2-3 (-1),,"GOOD 3PTR by MOORE,SAM",1
--,,,,,"ASSIST  by CRESS,DEMARIUS",,,"ASSIST  by CRESS,DEMARIUS",1
18:48,"MISS 3PTR by SULLIVAN,MICHAEL",,,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND DEF by CRESS,DEMARIUS",,,"REBOUND DEF by CRESS,DEMARIUS",1
18:42,,,,,"MISS 3PTR by GAMMILL,JUSTIN",,,"MISS 3PTR by GAMMILL,JUSTIN",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
18:32,"GOOD JUMPER by BLANZ,BUCK(in the paint)",4 (+1),,3,,MILMB 4-3 (+1),,"GOOD JUMPER by BLANZ,BUCK(in the paint)",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
18:22,,,,,"TURNOVER  by GAMMILL,JUSTIN",,,"TURNOVER  by GAMMILL,JUSTIN",1
18:22,,,,,"FOUL  by GAMMILL,JUSTIN",,,"FOUL  by GAMMILL,JUSTIN",1
17:51,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",6 (+3),,3,,MILMB 6-3 (+3),,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",1
17:41,,,,,"MISS JUMPER by MOORE,SAM",,,"MISS JUMPER by MOORE,SAM",1
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",1
17:38,,,,,"FOUL  by HAMMOND,BRADEN",,,"FOUL  by HAMMOND,BRADEN",1
17:19,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",8 (+5),,3,,MILMB 8-3 (+5),,"GOOD JUMPER by SULLIVAN,MICHAEL(in the paint)",1
16:59,,,,,"TURNOVER  by HYSON,LAKENDRIC",,,"TURNOVER  by HYSON,LAKENDRIC",1
16:58,"STEAL  by TURNER,JAMES",,,,,,,"STEAL  by TURNER,JAMES",1
