Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,BCM,Game Score,Team Indicator,Play,Period
00:51,,,,,"MISS LAYUP by ATKINSON,QUINN",,,"MISS LAYUP by ATKINSON,QUINN",2
--,,,,,"REBOUND OFF by MCCLOUD,ALTON",,,"REBOUND OFF by MCCLOUD,ALTON",2
00:43,,64 (+3),,61,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",BCM 64-61 (+3),,"GOOD LAYUP by MCCLOUD,ALTON(in the paint)",2
00:39,,,,,"FOUL  by MOORE,MILES",,,"FOUL  by MOORE,MILES",2
00:39,"GOOD FT by SULLIVAN,MICHAEL",65 (+4),,61,,MILMB 65-61 (+4),,"GOOD FT by SULLIVAN,MICHAEL",2
00:39,"MISS FT by SULLIVAN,MICHAEL",,,,,,,"MISS FT by SULLIVAN,MICHAEL",2
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",2
00:32,,,,,"MISS 3PTR by MOORE,MILES",,,"MISS 3PTR by MOORE,MILES",2
--,"REBOUND DEF by MILLER,JOSHUA",,,,,,,"REBOUND DEF by MILLER,JOSHUA",2
00:29,,,,,"FOUL  by MCCLOUD,ALTON",,,"FOUL  by MCCLOUD,ALTON",2
00:29,"GOOD FT by MILLER,JOSHUA",66 (+5),,61,,MILMB 66-61 (+5),,"GOOD FT by MILLER,JOSHUA",2
00:29,"GOOD FT by MILLER,JOSHUA",67 (+6),,61,,MILMB 67-61 (+6),,"GOOD FT by MILLER,JOSHUA",2
00:29,,,,,"SUB IN by ELLINGSWORTH,COLEMAN",,,"SUB IN by ELLINGSWORTH,COLEMAN",2
00:29,,,,,"SUB OUT by MCCLOUD,ALTON",,,"SUB OUT by MCCLOUD,ALTON",2
00:22,,67 (+3),,64,"GOOD 3PTR by JOHNSON,CORY",BCM 67-64 (+3),,"GOOD 3PTR by JOHNSON,CORY",2
--,,,,,"ASSIST  by MOORE,MILES",,,"ASSIST  by MOORE,MILES",2
00:27,,,,,"FOUL  by JOHNSON,CORY",,,"FOUL  by JOHNSON,CORY",2
00:27,"GOOD FT by MILLER,JOSHUA",68 (+4),,64,,MILMB 68-64 (+4),,"GOOD FT by MILLER,JOSHUA",2
00:27,"GOOD FT by MILLER,JOSHUA",69 (+5),,64,,MILMB 69-64 (+5),,"GOOD FT by MILLER,JOSHUA",2
00:19,,,,,"MISS 3PTR by ATKINSON,QUINN",,,"MISS 3PTR by ATKINSON,QUINN",2
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,2
00:13,,,,,"FOUL  by JOHNSON,CORY",,,"FOUL  by JOHNSON,CORY",2
00:13,"GOOD FT by TURNER,JAMES",70 (+6),,64,,MILMB 70-64 (+6),,"GOOD FT by TURNER,JAMES",2
00:13,"MISS FT by TURNER,JAMES",,,,,,,"MISS FT by TURNER,JAMES",2
--,,,,,"REBOUND DEF by ATKINSON,QUINN",,,"REBOUND DEF by ATKINSON,QUINN",2
00:06,,,,,"MISS 3PTR by JOHNSON,CORY",,,"MISS 3PTR by JOHNSON,CORY",2
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",2
