Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,RHODES,Game Score,Team Indicator,Play,Period
19:45,,,,,"MISS 3PTR by BERRY,BRYCE",,,"MISS 3PTR by BERRY,BRYCE",1
--,"REBOUND DEF by BECKER,SAXTON",,,,,,,"REBOUND DEF by BECKER,SAXTON",1
19:40,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
19:37,,,,,"TURNOVER  by BERRY,BRYCE",,,"TURNOVER  by BERRY,BRYCE",1
19:27,"TURNOVER  by SPIKES,KALVIN",,,,,,,"TURNOVER  by SPIKES,KALVIN",1
19:27,,,,,"SUB IN by SWIFT,DJ",,,"SUB IN by SWIFT,DJ",1
19:27,,,,,"SUB IN by DALTON,PRICE",,,"SUB IN by DALTON,PRICE",1
19:27,,,,,"SUB IN by GIROUX,PRESTON",,,"SUB IN by GIROUX,PRESTON",1
19:27,,,,,"SUB IN by GALVIN,OWEN",,,"SUB IN by GALVIN,OWEN",1
19:27,,,,,"SUB IN by LOVE,KERRY",,,"SUB IN by LOVE,KERRY",1
19:27,,,,,"SUB OUT by BERRY,BRYCE",,,"SUB OUT by BERRY,BRYCE",1
19:27,,,,,"SUB OUT by WEATHERFORD,MITCH",,,"SUB OUT by WEATHERFORD,MITCH",1
19:27,,,,,"SUB OUT by DARST,DANIEL",,,"SUB OUT by DARST,DANIEL",1
19:27,,,,,"SUB OUT by NYAWATA,ANESU",,,"SUB OUT by NYAWATA,ANESU",1
19:27,,,,,"SUB OUT by ASHBY,KENDRICK",,,"SUB OUT by ASHBY,KENDRICK",1
19:22,,0,,3 (+3),"GOOD 3PTR by GALVIN,OWEN",RHODES 0-3 (-3),,"GOOD 3PTR by GALVIN,OWEN",1
--,,,,,"ASSIST  by LOVE,KERRY",,,"ASSIST  by LOVE,KERRY",1
19:10,"TURNOVER  by BLANZ,BUCK",,,,,,,"TURNOVER  by BLANZ,BUCK",1
19:10,"SUB IN by OWENS,MATT",,,,,,,"SUB IN by OWENS,MATT",1
19:10,"SUB OUT by SPIKES,KALVIN",,,,,,,"SUB OUT by SPIKES,KALVIN",1
18:58,,,,,"TURNOVER  by GALVIN,OWEN",,,"TURNOVER  by GALVIN,OWEN",1
18:50,"GOOD LAYUP by OWENS,MATT(fastbreak)(in the paint)",2,,3 (+1),,MILMB 2-3 (-1),,"GOOD LAYUP by OWENS,MATT(fastbreak)(in the paint)",1
18:34,,2,,5 (+3),"GOOD LAYUP by GIROUX,PRESTON(in the paint)",RHODES 2-5 (-3),,"GOOD LAYUP by GIROUX,PRESTON(in the paint)",1
18:22,"GOOD LAYUP by OWENS,MATT(fastbreak)(in the paint)",4,,5 (+1),,MILMB 4-5 (-1),,"GOOD LAYUP by OWENS,MATT(fastbreak)(in the paint)",1
--,"ASSIST  by MILLER,JOSHUA",,,,,,,"ASSIST  by MILLER,JOSHUA",1
17:51,,4,,7 (+3),"GOOD LAYUP by DALTON,PRICE(in the paint)",RHODES 4-7 (-3),,"GOOD LAYUP by DALTON,PRICE(in the paint)",1
17:38,"MISS LAYUP by SULLIVAN,MICHAEL",,,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND DEF by GIROUX,PRESTON",,,"REBOUND DEF by GIROUX,PRESTON",1
17:30,,,,,TIMEOUT 30SEC by TEAM,,,TIMEOUT 30SEC by TEAM,1
17:30,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
