Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,CENTMB,Game Score,Team Indicator,Play,Period
19:39,"FOUL  by GRANT,SHE'CHEM",,,,,,,"FOUL  by GRANT,SHE'CHEM",1
19:39,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",1
19:20,,,,,"MISS JUMPER by HELZER,JAMES",,,"MISS JUMPER by HELZER,JAMES",1
--,,,,,"REBOUND OFF by MATTHEWS,TREYLAN",,,"REBOUND OFF by MATTHEWS,TREYLAN",1
19:03,,0,,3 (+3),"GOOD 3PTR by KIRKENDOLL,TRAVION",CENTMB 0-3 (-3),,"GOOD 3PTR by KIRKENDOLL,TRAVION",1
--,,,,,"ASSIST  by JOHNSON,REGIS",,,"ASSIST  by JOHNSON,REGIS",1
18:45,"GOOD JUMPER by SULLIVAN,MICHAEL",2,,3 (+1),,MILMB 2-3 (-1),,"GOOD JUMPER by SULLIVAN,MICHAEL",1
18:14,,2,,5 (+3),"GOOD JUMPER by MATTHEWS,TREYLAN(in the paint)",CENTMB 2-5 (-3),,"GOOD JUMPER by MATTHEWS,TREYLAN(in the paint)",1
17:53,,,,,"FOUL  by JOHNSON,REGIS",,,"FOUL  by JOHNSON,REGIS",1
17:49,"GOOD LAYUP by BLANZ,BUCK(in the paint)",4,,5 (+1),,MILMB 4-5 (-1),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
17:22,,4,,7 (+3),"GOOD JUMPER by KIRKENDOLL,TRAVION",CENTMB 4-7 (-3),,"GOOD JUMPER by KIRKENDOLL,TRAVION",1
17:10,,,,,"FOUL  by HELZER,JAMES",,,"FOUL  by HELZER,JAMES",1
17:10,"SUB IN by JR,RONALD WILLIAMS",,,,,,,"SUB IN by JR,RONALD WILLIAMS",1
17:10,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
16:55,"MISS 3PTR by TURNER,JAMES",,,,,,,"MISS 3PTR by TURNER,JAMES",1
--,,,,,"REBOUND DEF by JOHNSON,REGIS",,,"REBOUND DEF by JOHNSON,REGIS",1
16:30,,4,,9 (+5),"GOOD LAYUP by HELZER,JAMES(in the paint)",CENTMB 4-9 (-5),,"GOOD LAYUP by HELZER,JAMES(in the paint)",1
16:29,"FOUL  by GRANT,SHE'CHEM",,,,,,,"FOUL  by GRANT,SHE'CHEM",1
16:29,,4,,10 (+6),"GOOD FT by HELZER,JAMES",CENTMB 4-10 (-6),,"GOOD FT by HELZER,JAMES",1
16:29,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
16:29,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
16:29,,,,,"SUB IN by HAWKINS,NEIL",,,"SUB IN by HAWKINS,NEIL",1
16:29,,,,,"SUB IN by HARDY,RAYLON",,,"SUB IN by HARDY,RAYLON",1
16:29,,,,,"SUB IN by CARTER,KAHARRI",,,"SUB IN by CARTER,KAHARRI",1
