Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,HPU,Game Score,Team Indicator,Play,Period
15:00,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",1
15:00,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
15:00,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
15:00,"SUB IN by COLEMAN,DANIEL",,,,,,,"SUB IN by COLEMAN,DANIEL",1
15:00,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
15:00,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
15:00,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
15:00,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
15:00,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
15:00,,,,,"SUB IN by FARMER,DARREN",,,"SUB IN by FARMER,DARREN",1
15:00,,,,,"SUB OUT by COLE,SHADD",,,"SUB OUT by COLE,SHADD",1
14:49,"GOOD 3PTR by GRANT,SHE'CHEM",11 (+3),,8,,MILMB 11-8 (+3),,"GOOD 3PTR by GRANT,SHE'CHEM",1
--,"ASSIST  by MEADS,TYSIN",,,,,,,"ASSIST  by MEADS,TYSIN",1
14:25,,,,,"MISS JUMPER by HURD,DE'MARCUS",,,"MISS JUMPER by HURD,DE'MARCUS",1
--,"REBOUND DEF by GRANT,SHE'CHEM",,,,,,,"REBOUND DEF by GRANT,SHE'CHEM",1
14:17,,,,,"SUB IN by OTTS,COLTON",,,"SUB IN by OTTS,COLTON",1
14:17,,,,,"SUB OUT by BINGHAM,THOMAS",,,"SUB OUT by BINGHAM,THOMAS",1
14:15,"TURNOVER  by BURNETT,DREW",,,,,,,"TURNOVER  by BURNETT,DREW",1
14:14,,,,,"STEAL  by FARMER,DARREN",,,"STEAL  by FARMER,DARREN",1
14:10,,,,,"MISS 3PTR by OTTS,COLTON",,,"MISS 3PTR by OTTS,COLTON",1
--,REBOUND DEF by TEAM,,,,,,,REBOUND DEF by TEAM,1
13:50,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",1
13:31,,,,,"MISS JUMPER by HURD,DE'MARCUS",,,"MISS JUMPER by HURD,DE'MARCUS",1
--,,,,,"REBOUND OFF by HURD,DE'MARCUS",,,"REBOUND OFF by HURD,DE'MARCUS",1
13:28,,,,,"MISS JUMPER by HURD,DE'MARCUS",,,"MISS JUMPER by HURD,DE'MARCUS",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
12:57,"GOOD LAYUP by MEADS,TYSIN(in the paint)",13 (+5),,8,,MILMB 13-8 (+5),,"GOOD LAYUP by MEADS,TYSIN(in the paint)",1
12:40,,13 (+3),,10,"GOOD JUMPER by DAVIS,TALEN(in the paint)",HPU 13-10 (+3),,"GOOD JUMPER by DAVIS,TALEN(in the paint)",1
12:29,"TURNOVER  by GRANT,SHE'CHEM",,,,,,,"TURNOVER  by GRANT,SHE'CHEM",1
12:29,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
12:29,"SUB OUT by BURNETT,DREW",,,,,,,"SUB OUT by BURNETT,DREW",1
12:29,,,,,"SUB IN by AGUERO,TIMOTHY",,,"SUB IN by AGUERO,TIMOTHY",1
12:29,,,,,"SUB OUT by HURD,DE'MARCUS",,,"SUB OUT by HURD,DE'MARCUS",1
12:13,"FOUL  by MEADS,TYSIN",,,,,,,"FOUL  by MEADS,TYSIN",1
12:13,,13 (+2),,11,"GOOD FT by FARMER,DARREN",HPU 13-11 (+2),,"GOOD FT by FARMER,DARREN",1
12:13,,13 (+1),,12,"GOOD FT by FARMER,DARREN",HPU 13-12 (+1),,"GOOD FT by FARMER,DARREN",1
12:04,"TURNOVER  by MEADS,TYSIN",,,,,,,"TURNOVER  by MEADS,TYSIN",1
11:51,"FOUL  by MEADS,TYSIN",,,,,,,"FOUL  by MEADS,TYSIN",1
11:51,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,1
11:51,,13,,13,"GOOD FT by FARMER,DARREN",HPU 13-13 (0),,"GOOD FT by FARMER,DARREN",1
11:51,,,,,"MISS FT by FARMER,DARREN",,,"MISS FT by FARMER,DARREN",1
--,,,,,"REBOUND OFF by OTTS,COLTON",,,"REBOUND OFF by OTTS,COLTON",1
11:51,,,,,"SUB IN by COLE,SHADD",,,"SUB IN by COLE,SHADD",1
11:51,,,,,"SUB OUT by RANDALL,KHYCE",,,"SUB OUT by RANDALL,KHYCE",1
11:48,,,,,"TURNOVER  by OTTS,COLTON",,,"TURNOVER  by OTTS,COLTON",1
11:47,"STEAL  by BECKER,SAXTON",,,,,,,"STEAL  by BECKER,SAXTON",1
11:40,,,,,"FOUL  by FARMER,DARREN",,,"FOUL  by FARMER,DARREN",1
11:40,"SUB IN by JR,RONALD WILLIAMS",,,,,,,"SUB IN by JR,RONALD WILLIAMS",1
11:40,"SUB OUT by MEADS,TYSIN",,,,,,,"SUB OUT by MEADS,TYSIN",1
11:40,,,,,"SUB IN by RANDALL,KHYCE",,,"SUB IN by RANDALL,KHYCE",1
11:40,,,,,"SUB OUT by DAVIS,TALEN",,,"SUB OUT by DAVIS,TALEN",1
11:38,"GOOD LAYUP by KOHNKE,SAM(in the paint)",15 (+2),,13,,MILMB 15-13 (+2),,"GOOD LAYUP by KOHNKE,SAM(in the paint)",1
11:00,,15,,15,"GOOD JUMPER by RANDALL,KHYCE",HPU 15-15 (0),,"GOOD JUMPER by RANDALL,KHYCE",1
10:49,"TURNOVER  by KOHNKE,SAM",,,,,,,"TURNOVER  by KOHNKE,SAM",1
10:48,,,,,"STEAL  by OTTS,COLTON",,,"STEAL  by OTTS,COLTON",1
10:46,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",1
10:46,,,,,"SUB IN by BINGHAM,THOMAS",,,"SUB IN by BINGHAM,THOMAS",1
10:46,,,,,"SUB OUT by OTTS,COLTON",,,"SUB OUT by OTTS,COLTON",1
10:27,,15,,17 (+2),"GOOD LAYUP by AGUERO,TIMOTHY(in the paint)",HPU 15-17 (-2),,"GOOD LAYUP by AGUERO,TIMOTHY(in the paint)",1
10:06,"MISS JUMPER by JR,RONALD WILLIAMS",,,,,,,"MISS JUMPER by JR,RONALD WILLIAMS",1
10:06,,,,,"BLOCK  by FARMER,DARREN",,,"BLOCK  by FARMER,DARREN",1
--,,,,,"REBOUND DEF by BINGHAM,THOMAS",,,"REBOUND DEF by BINGHAM,THOMAS",1
10:00,,,,,"TURNOVER  by RANDALL,KHYCE",,,"TURNOVER  by RANDALL,KHYCE",1
09:59,"STEAL  by GRANT,SHE'CHEM",,,,,,,"STEAL  by GRANT,SHE'CHEM",1
09:57,"MISS LAYUP by GRANT,SHE'CHEM",,,,,,,"MISS LAYUP by GRANT,SHE'CHEM",1
--,"REBOUND OFF by KOHNKE,SAM",,,,,,,"REBOUND OFF by KOHNKE,SAM",1
09:50,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by FARMER,DARREN",,,"REBOUND DEF by FARMER,DARREN",1
09:41,,15,,19 (+4),"GOOD JUMPER by RANDALL,KHYCE",HPU 15-19 (-4),,"GOOD JUMPER by RANDALL,KHYCE",1
09:38,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",1
09:38,,15,,20 (+5),"GOOD FT by RANDALL,KHYCE",HPU 15-20 (-5),,"GOOD FT by RANDALL,KHYCE",1
09:38,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
09:38,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
09:38,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
09:38,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
09:38,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
09:38,"SUB OUT by JR,RONALD WILLIAMS",,,,,,,"SUB OUT by JR,RONALD WILLIAMS",1
09:38,"SUB OUT by GRANT,SHE'CHEM",,,,,,,"SUB OUT by GRANT,SHE'CHEM",1
09:38,"SUB OUT by COLEMAN,DANIEL",,,,,,,"SUB OUT by COLEMAN,DANIEL",1
09:38,,,,,"SUB IN by HURD,DE'MARCUS",,,"SUB IN by HURD,DE'MARCUS",1
09:38,,,,,"SUB IN by COOPER,DRAKE",,,"SUB IN by COOPER,DRAKE",1
09:38,,,,,"SUB OUT by RANDALL,KHYCE",,,"SUB OUT by RANDALL,KHYCE",1
09:38,,,,,"SUB OUT by FARMER,DARREN",,,"SUB OUT by FARMER,DARREN",1
09:22,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
09:21,,,,,"STEAL  by AGUERO,TIMOTHY",,,"STEAL  by AGUERO,TIMOTHY",1
09:17,,15,,22 (+7),"GOOD JUMPER by HURD,DE'MARCUS",HPU 15-22 (-7),,"GOOD JUMPER by HURD,DE'MARCUS",1
08:59,"TURNOVER  by SULLIVAN,MICHAEL",,,,,,,"TURNOVER  by SULLIVAN,MICHAEL",1
08:43,,,,,"TURNOVER  by COOPER,DRAKE",,,"TURNOVER  by COOPER,DRAKE",1
08:24,"MISS 3PTR by TURNER,JAMES",,,,,,,"MISS 3PTR by TURNER,JAMES",1
--,"REBOUND OFF by BLANZ,BUCK",,,,,,,"REBOUND OFF by BLANZ,BUCK",1
08:03,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by BINGHAM,THOMAS",,,"REBOUND DEF by BINGHAM,THOMAS",1
07:54,,,,,"TURNOVER  by COOPER,DRAKE",,,"TURNOVER  by COOPER,DRAKE",1
07:54,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
07:54,,,,,"SUB IN by OTTS,COLTON",,,"SUB IN by OTTS,COLTON",1
07:54,,,,,"SUB OUT by BINGHAM,THOMAS",,,"SUB OUT by BINGHAM,THOMAS",1
07:36,,,,,"FOUL  by AGUERO,TIMOTHY",,,"FOUL  by AGUERO,TIMOTHY",1
07:36,"GOOD FT by SULLIVAN,MICHAEL",16,,22 (+6),,MILMB 16-22 (-6),,"GOOD FT by SULLIVAN,MICHAEL",1
07:36,"GOOD FT by SULLIVAN,MICHAEL",17,,22 (+5),,MILMB 17-22 (-5),,"GOOD FT by SULLIVAN,MICHAEL",1
07:24,,17,,24 (+7),"GOOD LAYUP by AGUERO,TIMOTHY(in the paint)",HPU 17-24 (-7),,"GOOD LAYUP by AGUERO,TIMOTHY(in the paint)",1
--,,,,,"ASSIST  by COLE,SHADD",,,"ASSIST  by COLE,SHADD",1
07:08,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",1
07:07,,,,,"STEAL  by COLE,SHADD",,,"STEAL  by COLE,SHADD",1
07:05,,17,,26 (+9),"GOOD LAYUP by COLE,SHADD(fastbreak)(in the paint)",HPU 17-26 (-9),,"GOOD LAYUP by COLE,SHADD(fastbreak)(in the paint)",1
06:52,,,,,"FOUL  by OTTS,COLTON",,,"FOUL  by OTTS,COLTON",1
06:52,"SUB IN by MEADS,TYSIN",,,,,,,"SUB IN by MEADS,TYSIN",1
06:52,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
06:52,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
06:52,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
06:52,,,,,"SUB IN by DAVIS,TALEN",,,"SUB IN by DAVIS,TALEN",1
06:52,,,,,"SUB IN by RANDALL,KHYCE",,,"SUB IN by RANDALL,KHYCE",1
06:52,,,,,"SUB OUT by COLE,SHADD",,,"SUB OUT by COLE,SHADD",1
06:52,,,,,"SUB OUT by AGUERO,TIMOTHY",,,"SUB OUT by AGUERO,TIMOTHY",1
06:37,"MISS LAYUP by GRANT,SHE'CHEM",,,,,,,"MISS LAYUP by GRANT,SHE'CHEM",1
--,"REBOUND OFF by KOHNKE,SAM",,,,,,,"REBOUND OFF by KOHNKE,SAM",1
06:13,,,,,"FOUL  by RANDALL,KHYCE",,,"FOUL  by RANDALL,KHYCE",1
06:10,"MISS JUMPER by MEADS,TYSIN",,,,,,,"MISS JUMPER by MEADS,TYSIN",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
05:59,,,,,"MISS JUMPER by HURD,DE'MARCUS",,,"MISS JUMPER by HURD,DE'MARCUS",1
--,,,,,"REBOUND OFF by DAVIS,TALEN",,,"REBOUND OFF by DAVIS,TALEN",1
05:56,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
05:56,,17,,27 (+10),"GOOD FT by DAVIS,TALEN",HPU 17-27 (-10),,"GOOD FT by DAVIS,TALEN",1
05:56,,17,,28 (+11),"GOOD FT by DAVIS,TALEN",HPU 17-28 (-11),,"GOOD FT by DAVIS,TALEN",1
05:35,"SUB IN by BECKER,SAXTON",,,,,,,"SUB IN by BECKER,SAXTON",1
05:35,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
05:35,,,,,"SUB IN by HASTINGS,CODY",,,"SUB IN by HASTINGS,CODY",1
05:35,,,,,"SUB OUT by COOPER,DRAKE",,,"SUB OUT by COOPER,DRAKE",1
05:33,"MISS JUMPER by KOHNKE,SAM",,,,,,,"MISS JUMPER by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by HURD,DE'MARCUS",,,"REBOUND DEF by HURD,DE'MARCUS",1
05:24,,17,,30 (+13),"GOOD JUMPER by RANDALL,KHYCE",HPU 17-30 (-13),,"GOOD JUMPER by RANDALL,KHYCE",1
05:20,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
05:07,"GOOD 3PTR by GRANT,SHE'CHEM",20,,30 (+10),,MILMB 20-30 (-10),,"GOOD 3PTR by GRANT,SHE'CHEM",1
--,"ASSIST  by KOHNKE,SAM",,,,,,,"ASSIST  by KOHNKE,SAM",1
04:56,,,,,"TURNOVER  by OTTS,COLTON",,,"TURNOVER  by OTTS,COLTON",1
04:55,"STEAL  by KOHNKE,SAM",,,,,,,"STEAL  by KOHNKE,SAM",1
04:52,"MISS 3PTR by GRANT,SHE'CHEM",,,,,,,"MISS 3PTR by GRANT,SHE'CHEM",1
--,,,,,"REBOUND DEF by DAVIS,TALEN",,,"REBOUND DEF by DAVIS,TALEN",1
04:46,,,,,"MISS 3PTR by HURD,DE'MARCUS",,,"MISS 3PTR by HURD,DE'MARCUS",1
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",1
04:34,"TURNOVER  by TURNER,JAMES",,,,,,,"TURNOVER  by TURNER,JAMES",1
04:33,,,,,"STEAL  by RANDALL,KHYCE",,,"STEAL  by RANDALL,KHYCE",1
04:29,,20,,32 (+12),"GOOD LAYUP by RANDALL,KHYCE(fastbreak)(in the paint)",HPU 20-32 (-12),,"GOOD LAYUP by RANDALL,KHYCE(fastbreak)(in the paint)",1
04:15,"MISS JUMPER by KOHNKE,SAM",,,,,,,"MISS JUMPER by KOHNKE,SAM",1
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,1
04:12,"FOUL  by MEADS,TYSIN",,,,,,,"FOUL  by MEADS,TYSIN",1
04:12,,20,,33 (+13),"GOOD FT by OTTS,COLTON",HPU 20-33 (-13),,"GOOD FT by OTTS,COLTON",1
04:12,,20,,34 (+14),"GOOD FT by OTTS,COLTON",HPU 20-34 (-14),,"GOOD FT by OTTS,COLTON",1
04:12,"SUB IN by BLANZ,BUCK",,,,,,,"SUB IN by BLANZ,BUCK",1
04:12,"SUB IN by MILLER,JOSHUA",,,,,,,"SUB IN by MILLER,JOSHUA",1
04:12,"SUB OUT by MEADS,TYSIN",,,,,,,"SUB OUT by MEADS,TYSIN",1
04:12,"SUB OUT by TURNER,JAMES",,,,,,,"SUB OUT by TURNER,JAMES",1
04:06,"MISS JUMPER by MILLER,JOSHUA",,,,,,,"MISS JUMPER by MILLER,JOSHUA",1
--,,,,,"REBOUND DEF by OTTS,COLTON",,,"REBOUND DEF by OTTS,COLTON",1
03:56,,,,,"MISS JUMPER by RANDALL,KHYCE",,,"MISS JUMPER by RANDALL,KHYCE",1
--,"REBOUND DEF by KOHNKE,SAM",,,,,,,"REBOUND DEF by KOHNKE,SAM",1
03:46,"GOOD 3PTR by BLANZ,BUCK",23,,34 (+11),,MILMB 23-34 (-11),,"GOOD 3PTR by BLANZ,BUCK",1
--,"ASSIST  by KOHNKE,SAM",,,,,,,"ASSIST  by KOHNKE,SAM",1
03:31,,,,,"TURNOVER  by HASTINGS,CODY",,,"TURNOVER  by HASTINGS,CODY",1
03:31,TIMEOUT 20SEC by TEAM,,,,,,,TIMEOUT 20SEC by TEAM,1
03:31,,,,,"SUB IN by BINGHAM,THOMAS",,,"SUB IN by BINGHAM,THOMAS",1
03:31,,,,,"SUB IN by FARMER,DARREN",,,"SUB IN by FARMER,DARREN",1
03:31,,,,,"SUB OUT by OTTS,COLTON",,,"SUB OUT by OTTS,COLTON",1
03:31,,,,,"SUB OUT by HURD,DE'MARCUS",,,"SUB OUT by HURD,DE'MARCUS",1
03:24,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by BINGHAM,THOMAS",,,"REBOUND DEF by BINGHAM,THOMAS",1
03:10,,,,,"TURNOVER  by RANDALL,KHYCE",,,"TURNOVER  by RANDALL,KHYCE",1
03:10,,,,,"FOUL  by RANDALL,KHYCE",,,"FOUL  by RANDALL,KHYCE",1
03:10,"SUB IN by GONZALES,THADDEUS",,,,,,,"SUB IN by GONZALES,THADDEUS",1
03:10,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
02:55,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",25,,34 (+9),,MILMB 25-34 (-9),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",1
02:45,,,,,"MISS 3PTR by HASTINGS,CODY",,,"MISS 3PTR by HASTINGS,CODY",1
--,,,,,"REBOUND OFF by BINGHAM,THOMAS",,,"REBOUND OFF by BINGHAM,THOMAS",1
02:40,,25,,36 (+11),"GOOD LAYUP by FARMER,DARREN(in the paint)",HPU 25-36 (-11),,"GOOD LAYUP by FARMER,DARREN(in the paint)",1
--,,,,,"ASSIST  by BINGHAM,THOMAS",,,"ASSIST  by BINGHAM,THOMAS",1
02:26,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
02:26,"FOUL  by MILLER,JOSHUA",,,,,,,"FOUL  by MILLER,JOSHUA",1
02:26,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
02:26,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
02:08,,,,,"MISS LAYUP by RANDALL,KHYCE",,,"MISS LAYUP by RANDALL,KHYCE",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
02:04,"GOOD JUMPER by SULLIVAN,MICHAEL(fastbreak)",27,,36 (+9),,MILMB 27-36 (-9),,"GOOD JUMPER by SULLIVAN,MICHAEL(fastbreak)",1
01:57,,,,,"MISS JUMPER by BINGHAM,THOMAS",,,"MISS JUMPER by BINGHAM,THOMAS",1
--,"REBOUND DEF by GONZALES,THADDEUS",,,,,,,"REBOUND DEF by GONZALES,THADDEUS",1
01:48,"MISS 3PTR by GONZALES,THADDEUS",,,,,,,"MISS 3PTR by GONZALES,THADDEUS",1
--,,,,,"REBOUND DEF by BINGHAM,THOMAS",,,"REBOUND DEF by BINGHAM,THOMAS",1
01:17,,,,,"MISS JUMPER by BINGHAM,THOMAS",,,"MISS JUMPER by BINGHAM,THOMAS",1
--,,,,,"REBOUND OFF by DAVIS,TALEN",,,"REBOUND OFF by DAVIS,TALEN",1
01:08,,27,,38 (+11),"GOOD LAYUP by DAVIS,TALEN(in the paint)",HPU 27-38 (-11),,"GOOD LAYUP by DAVIS,TALEN(in the paint)",1
01:05,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",29,,38 (+9),,MILMB 29-38 (-9),,"GOOD LAYUP by SULLIVAN,MICHAEL(in the paint)",1
01:05,,29,,40 (+11),"GOOD LAYUP by FARMER,DARREN(in the paint)",HPU 29-40 (-11),,"GOOD LAYUP by FARMER,DARREN(in the paint)",1
01:05,"FOUL  by GONZALES,THADDEUS",,,,,,,"FOUL  by GONZALES,THADDEUS",1
01:05,,29,,41 (+12),"GOOD FT by FARMER,DARREN",HPU 29-41 (-12),,"GOOD FT by FARMER,DARREN",1
00:54,"SUB IN by WINTERS,KYLE",,,,,,,"SUB IN by WINTERS,KYLE",1
00:54,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
00:50,"MISS JUMPER by SULLIVAN,MICHAEL",,,,,,,"MISS JUMPER by SULLIVAN,MICHAEL",1
--,"REBOUND OFF by JR,RONALD WILLIAMS",,,,,,,"REBOUND OFF by JR,RONALD WILLIAMS",1
00:47,"TURNOVER  by JR,RONALD WILLIAMS",,,,,,,"TURNOVER  by JR,RONALD WILLIAMS",1
00:40,,,,,"TURNOVER  by RANDALL,KHYCE",,,"TURNOVER  by RANDALL,KHYCE",1
00:39,"STEAL  by GRANT,SHE'CHEM",,,,,,,"STEAL  by GRANT,SHE'CHEM",1
00:32,"MISS 3PTR by GONZALES,THADDEUS",,,,,,,"MISS 3PTR by GONZALES,THADDEUS",1
--,,,,,"REBOUND DEF by FARMER,DARREN",,,"REBOUND DEF by FARMER,DARREN",1
00:29,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
00:29,,29,,42 (+13),"GOOD FT by FARMER,DARREN",HPU 29-42 (-13),,"GOOD FT by FARMER,DARREN",1
00:29,,,,,"MISS FT by FARMER,DARREN",,,"MISS FT by FARMER,DARREN",1
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,1
00:29,,,,,"FOUL  by DAVIS,TALEN",,,"FOUL  by DAVIS,TALEN",1
00:29,"MISS FT by JR,RONALD WILLIAMS",,,,,,,"MISS FT by JR,RONALD WILLIAMS",1
--,,,,,"REBOUND DEF by COLE,SHADD",,,"REBOUND DEF by COLE,SHADD",1
00:29,"SUB IN by JR,RONALD WILLIAMS",,,,,,,"SUB IN by JR,RONALD WILLIAMS",1
00:29,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
00:29,,,,,"SUB IN by RANDALL,KHYCE",,,"SUB IN by RANDALL,KHYCE",1
