Time Remaining,RHODES,Away Team Score,Play Team Indicator,Home Team Score,MILMB,Game Score,Team Indicator,Play,Period
16:17,,11 (+3),,8,"GOOD LAYUP by OWENS,MATT(fastbreak)(in the paint)",MILMB 11-8 (-3),,"GOOD LAYUP by OWENS,MATT(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by KOHNKE,SAM",,,"ASSIST  by KOHNKE,SAM",1
16:08,"TURNOVER  by DARST,DANIEL",,,,,,,"TURNOVER  by DARST,DANIEL",1
16:08,"SUB IN by SAMSON,VAUGHN",,,,,,,"SUB IN by SAMSON,VAUGHN",1
16:08,"SUB IN by GIROUX,PRESTON",,,,,,,"SUB IN by GIROUX,PRESTON",1
16:08,"SUB IN by NYAWATA,ANESU",,,,,,,"SUB IN by NYAWATA,ANESU",1
16:08,"SUB IN by WEATHERFORD,MITCH",,,,,,,"SUB IN by WEATHERFORD,MITCH",1
16:08,"SUB IN by EVANS,ANDREW",,,,,,,"SUB IN by EVANS,ANDREW",1
16:08,"SUB OUT by ASHBY,KENDRICK",,,,,,,"SUB OUT by ASHBY,KENDRICK",1
16:08,"SUB OUT by NESTLEHUTT,JAKE",,,,,,,"SUB OUT by NESTLEHUTT,JAKE",1
16:08,"SUB OUT by DARST,DANIEL",,,,,,,"SUB OUT by DARST,DANIEL",1
16:08,"SUB OUT by BERRY,BRYCE",,,,,,,"SUB OUT by BERRY,BRYCE",1
16:08,"SUB OUT by LOVE,KERRY",,,,,,,"SUB OUT by LOVE,KERRY",1
16:08,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",1
16:08,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",1
16:08,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",1
16:08,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",1
15:57,"FOUL  by SAMSON,VAUGHN",,,,,,,"FOUL  by SAMSON,VAUGHN",1
15:57,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:55,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",1
15:54,"STEAL  by NYAWATA,ANESU",,,,,,,"STEAL  by NYAWATA,ANESU",1
15:50,"GOOD LAYUP by NYAWATA,ANESU(fastbreak)(in the paint)",13 (+5),,8,,RHODES 13-8 (-5),,"GOOD LAYUP by NYAWATA,ANESU(fastbreak)(in the paint)",1
15:36,,13 (+3),,10,"GOOD LAYUP by BLANZ,BUCK(fastbreak)(in the paint)",MILMB 13-10 (-3),,"GOOD LAYUP by BLANZ,BUCK(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",1
15:19,"SUB IN by GALVIN,OWEN",,,,,,,"SUB IN by GALVIN,OWEN",1
15:19,"SUB IN by SWIFT,DJ",,,,,,,"SUB IN by SWIFT,DJ",1
15:19,"SUB IN by FERIA,NICK DE",,,,,,,"SUB IN by FERIA,NICK DE",1
15:19,"SUB IN by DALTON,PRICE",,,,,,,"SUB IN by DALTON,PRICE",1
15:19,"SUB IN by MCINTYRE,WILLIAM",,,,,,,"SUB IN by MCINTYRE,WILLIAM",1
15:19,"SUB OUT by SAMSON,VAUGHN",,,,,,,"SUB OUT by SAMSON,VAUGHN",1
15:19,"SUB OUT by GIROUX,PRESTON",,,,,,,"SUB OUT by GIROUX,PRESTON",1
15:19,"SUB OUT by NYAWATA,ANESU",,,,,,,"SUB OUT by NYAWATA,ANESU",1
15:19,"SUB OUT by WEATHERFORD,MITCH",,,,,,,"SUB OUT by WEATHERFORD,MITCH",1
15:19,"SUB OUT by EVANS,ANDREW",,,,,,,"SUB OUT by EVANS,ANDREW",1
15:09,"MISS LAYUP by SWIFT,DJ",,,,,,,"MISS LAYUP by SWIFT,DJ",1
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",1
15:04,"FOUL  by SWIFT,DJ",,,,,,,"FOUL  by SWIFT,DJ",1
15:04,,,,,"SUB IN by MEADS,TYSIN",,,"SUB IN by MEADS,TYSIN",1
