Time Remaining,OUM,Away Team Score,Play Team Indicator,Home Team Score,MILMB,Game Score,Team Indicator,Play,Period
17:16,"GOOD LAYUP by PERRY,WILL(in the paint)",33 (+1),,32,,OUM 33-32 (-1),,"GOOD LAYUP by PERRY,WILL(in the paint)",2
16:57,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",2
16:57,,,,,"TURNOVER  by SPIKES,KALVIN",,,"TURNOVER  by SPIKES,KALVIN",2
16:37,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",2
16:37,"MISS FT by PERRY,WILL",,,,,,,"MISS FT by PERRY,WILL",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
16:37,"MISS FT by PERRY,WILL",,,,,,,"MISS FT by PERRY,WILL",2
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",2
16:26,,33,,34 (+1),"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",MILMB 33-34 (+1),,"GOOD LAYUP by GRANT,SHE'CHEM(in the paint)",2
16:06,,,,,"FOUL  by SPIKES,KALVIN",,,"FOUL  by SPIKES,KALVIN",2
16:06,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",2
16:06,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",2
15:51,"GOOD JUMPER by FOSTER,LANE(in the paint)",35 (+1),,34,,OUM 35-34 (-1),,"GOOD JUMPER by FOSTER,LANE(in the paint)",2
15:36,"FOUL  by FOSTER,LANE",,,,,,,"FOUL  by FOSTER,LANE",2
15:36,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
15:26,,35,,37 (+2),"GOOD 3PTR by SULLIVAN,MICHAEL",MILMB 35-37 (+2),,"GOOD 3PTR by SULLIVAN,MICHAEL",2
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",2
15:06,"MISS LAYUP by SMITH,CONNOR",,,,,,,"MISS LAYUP by SMITH,CONNOR",2
--,"REBOUND OFF by SMITH,CONNOR",,,,,,,"REBOUND OFF by SMITH,CONNOR",2
15:00,"MISS LAYUP by PERRY,WILL",,,,,,,"MISS LAYUP by PERRY,WILL",2
--,"REBOUND OFF by PERRY,WILL",,,,,,,"REBOUND OFF by PERRY,WILL",2
14:55,"GOOD 3PTR by PERRY,WILL",38 (+1),,37,,OUM 38-37 (-1),,"GOOD 3PTR by PERRY,WILL",2
--,"ASSIST  by FOSTER,LANE",,,,,,,"ASSIST  by FOSTER,LANE",2
14:32,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",2
14:32,"SUB IN by KOCH,WILL",,,,,,,"SUB IN by KOCH,WILL",2
14:32,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",2
14:32,"SUB OUT by HUGHES,JUSTIN",,,,,,,"SUB OUT by HUGHES,JUSTIN",2
14:32,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",2
14:32,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",2
14:32,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
14:26,,38,,39 (+1),"GOOD LAYUP by OWENS,MATT(in the paint)",MILMB 38-39 (+1),,"GOOD LAYUP by OWENS,MATT(in the paint)",2
--,,,,,"ASSIST  by GRANT,SHE'CHEM",,,"ASSIST  by GRANT,SHE'CHEM",2
14:14,,,,,"FOUL  by OWENS,MATT",,,"FOUL  by OWENS,MATT",2
14:05,"FOUL  by PERRY,WILL",,,,,,,"FOUL  by PERRY,WILL",2
14:05,"TURNOVER  by PERRY,WILL",,,,,,,"TURNOVER  by PERRY,WILL",2
14:05,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",2
14:05,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",2
13:48,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",2
13:46,"STEAL  by SMITH,CONNOR",,,,,,,"STEAL  by SMITH,CONNOR",2
13:41,"MISS 3PTR by SMITH,CONNOR",,,,,,,"MISS 3PTR by SMITH,CONNOR",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
13:34,"FOUL  by SMITH,CONNOR",,,,,,,"FOUL  by SMITH,CONNOR",2
13:34,,,,,"MISS FT by GRANT,SHE'CHEM",,,"MISS FT by GRANT,SHE'CHEM",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
13:34,,,,,"MISS FT by GRANT,SHE'CHEM",,,"MISS FT by GRANT,SHE'CHEM",2
--,"REBOUND DEF by KOCH,WILL",,,,,,,"REBOUND DEF by KOCH,WILL",2
13:34,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",2
13:34,"SUB IN by HUGHES,JUSTIN",,,,,,,"SUB IN by HUGHES,JUSTIN",2
13:34,"SUB OUT by SMITH,CONNOR",,,,,,,"SUB OUT by SMITH,CONNOR",2
13:34,"SUB OUT by PERRY,WILL",,,,,,,"SUB OUT by PERRY,WILL",2
13:10,,,,,"FOUL  by OWENS,MATT",,,"FOUL  by OWENS,MATT",2
13:10,"GOOD FT by FOSTER,LANE",39,,39,,OUM 39-39 (0),,"GOOD FT by FOSTER,LANE",2
13:10,"MISS FT by FOSTER,LANE",,,,,,,"MISS FT by FOSTER,LANE",2
--,,,,,REBOUND DEF by TEAM,,,REBOUND DEF by TEAM,2
13:09,"FOUL  by KOCH,WILL",,,,,,,"FOUL  by KOCH,WILL",2
13:09,"SUB IN by RICE,TRE'",,,,,,,"SUB IN by RICE,TRE'",2
13:09,"SUB OUT by FOSTER,LANE",,,,,,,"SUB OUT by FOSTER,LANE",2
12:43,,,,,"MISS 3PTR by GRANT,SHE'CHEM",,,"MISS 3PTR by GRANT,SHE'CHEM",2
--,,,,,"REBOUND OFF by BLANZ,BUCK",,,"REBOUND OFF by BLANZ,BUCK",2
12:38,,39,,41 (+2),"GOOD LAYUP by BLANZ,BUCK(in the paint)",MILMB 39-41 (+2),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",2
12:20,"GOOD JUMPER by KOCH,WILL",41,,41,,OUM 41-41 (0),,"GOOD JUMPER by KOCH,WILL",2
11:55,"FOUL  by LAWRENCE,CHRIS",,,,,,,"FOUL  by LAWRENCE,CHRIS",2
11:55,,,,,TIMEOUT TEAM by TEAM,,,TIMEOUT TEAM by TEAM,2
11:55,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",2
11:55,,,,,"SUB IN by BECKER,SAXTON",,,"SUB IN by BECKER,SAXTON",2
11:55,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",2
11:55,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",2
11:49,,,,,"TURNOVER  by SULLIVAN,MICHAEL",,,"TURNOVER  by SULLIVAN,MICHAEL",2
11:46,"SUB IN by FOSTER,LANE",,,,,,,"SUB IN by FOSTER,LANE",2
11:46,"SUB OUT by RICE,TRE'",,,,,,,"SUB OUT by RICE,TRE'",2
11:26,"MISS JUMPER by HUGHES,JUSTIN",,,,,,,"MISS JUMPER by HUGHES,JUSTIN",2
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",2
11:10,,,,,"MISS 3PTR by BECKER,SAXTON",,,"MISS 3PTR by BECKER,SAXTON",2
--,"REBOUND DEF by KOCH,WILL",,,,,,,"REBOUND DEF by KOCH,WILL",2
10:46,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",2
10:46,"MISS FT by FOSTER,LANE",,,,,,,"MISS FT by FOSTER,LANE",2
--,REBOUND DEADB by TEAM,,,,,,,REBOUND DEADB by TEAM,2
10:46,"MISS FT by FOSTER,LANE",,,,,,,"MISS FT by FOSTER,LANE",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
10:46,"SUB IN by SMITH,CONNOR",,,,,,,"SUB IN by SMITH,CONNOR",2
10:46,"SUB IN by PERRY,WILL",,,,,,,"SUB IN by PERRY,WILL",2
10:46,"SUB OUT by KOCH,WILL",,,,,,,"SUB OUT by KOCH,WILL",2
10:46,"SUB OUT by HUGHES,JUSTIN",,,,,,,"SUB OUT by HUGHES,JUSTIN",2
10:46,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",2
10:46,,,,,"SUB IN by SPIKES,KALVIN",,,"SUB IN by SPIKES,KALVIN",2
10:46,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
10:46,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",2
10:46,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",2
10:46,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
10:34,,41,,44 (+3),"GOOD 3PTR by BECKER,SAXTON",MILMB 41-44 (+3),,"GOOD 3PTR by BECKER,SAXTON",2
10:19,"MISS 3PTR by PERRY,WILL",,,,,,,"MISS 3PTR by PERRY,WILL",2
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",2
09:47,,,,,"MISS LAYUP by SPIKES,KALVIN",,,"MISS LAYUP by SPIKES,KALVIN",2
--,"REBOUND DEF by PERRY,WILL",,,,,,,"REBOUND DEF by PERRY,WILL",2
09:35,,,,,"FOUL  by MILLER,JOSHUA",,,"FOUL  by MILLER,JOSHUA",2
09:35,"GOOD FT by PERRY,WILL",42,,44 (+2),,OUM 42-44 (+2),,"GOOD FT by PERRY,WILL",2
09:35,"GOOD FT by PERRY,WILL",43,,44 (+1),,OUM 43-44 (+1),,"GOOD FT by PERRY,WILL",2
09:35,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",2
09:35,,,,,"SUB OUT by SULLIVAN,MICHAEL",,,"SUB OUT by SULLIVAN,MICHAEL",2
09:11,,,,,"MISS 3PTR by MILLER,JOSHUA",,,"MISS 3PTR by MILLER,JOSHUA",2
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",2
08:57,"MISS LAYUP by INUNGU,TOM",,,,,,,"MISS LAYUP by INUNGU,TOM",2
--,"REBOUND OFF by INUNGU,TOM",,,,,,,"REBOUND OFF by INUNGU,TOM",2
08:53,"MISS LAYUP by INUNGU,TOM",,,,,,,"MISS LAYUP by INUNGU,TOM",2
08:53,,,,,"BLOCK  by SPIKES,KALVIN",,,"BLOCK  by SPIKES,KALVIN",2
--,,,,,"REBOUND DEF by SPIKES,KALVIN",,,"REBOUND DEF by SPIKES,KALVIN",2
08:29,,,,,"TURNOVER  by BECKER,SAXTON",,,"TURNOVER  by BECKER,SAXTON",2
08:29,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",2
08:29,,,,,"SUB OUT by SPIKES,KALVIN",,,"SUB OUT by SPIKES,KALVIN",2
08:27,,,,,"SUB IN by SULLIVAN,MICHAEL",,,"SUB IN by SULLIVAN,MICHAEL",2
08:27,,,,,"SUB OUT by MILLER,JOSHUA",,,"SUB OUT by MILLER,JOSHUA",2
08:13,"MISS LAYUP by INUNGU,TOM",,,,,,,"MISS LAYUP by INUNGU,TOM",2
--,,,,,"REBOUND DEF by BECKER,SAXTON",,,"REBOUND DEF by BECKER,SAXTON",2
08:07,,,,,"MISS 3PTR by SULLIVAN,MICHAEL",,,"MISS 3PTR by SULLIVAN,MICHAEL",2
--,,,,,"REBOUND OFF by TURNER,JAMES",,,"REBOUND OFF by TURNER,JAMES",2
07:40,"FOUL  by LAWRENCE,CHRIS",,,,,,,"FOUL  by LAWRENCE,CHRIS",2
07:40,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
07:40,,43,,45 (+2),"GOOD FT by TURNER,JAMES",MILMB 43-45 (+2),,"GOOD FT by TURNER,JAMES",2
07:40,,43,,46 (+3),"GOOD FT by TURNER,JAMES",MILMB 43-46 (+3),,"GOOD FT by TURNER,JAMES",2
07:40,"SUB IN by KOCH,WILL",,,,,,,"SUB IN by KOCH,WILL",2
07:40,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",2
07:27,,,,,"FOUL  by BECKER,SAXTON",,,"FOUL  by BECKER,SAXTON",2
07:24,"GOOD FT by PERRY,WILL",44,,46 (+2),,OUM 44-46 (+2),,"GOOD FT by PERRY,WILL",2
07:24,"GOOD FT by PERRY,WILL",45,,46 (+1),,OUM 45-46 (+1),,"GOOD FT by PERRY,WILL",2
07:11,,,,,TIMEOUT 20SEC by TEAM,,,TIMEOUT 20SEC by TEAM,2
07:01,,45,,48 (+3),"GOOD JUMPER by BLANZ,BUCK",MILMB 45-48 (+3),,"GOOD JUMPER by BLANZ,BUCK",2
--,,,,,"ASSIST  by TURNER,JAMES",,,"ASSIST  by TURNER,JAMES",2
06:39,"GOOD LAYUP by PERRY,WILL(in the paint)",47,,48 (+1),,OUM 47-48 (+1),,"GOOD LAYUP by PERRY,WILL(in the paint)",2
06:26,,47,,50 (+3),"GOOD LAYUP by BLANZ,BUCK(in the paint)",MILMB 47-50 (+3),,"GOOD LAYUP by BLANZ,BUCK(in the paint)",2
06:11,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",2
06:11,"GOOD FT by PERRY,WILL",48,,50 (+2),,OUM 48-50 (+2),,"GOOD FT by PERRY,WILL",2
06:11,"GOOD FT by PERRY,WILL",49,,50 (+1),,OUM 49-50 (+1),,"GOOD FT by PERRY,WILL",2
06:11,,,,,"SUB IN by MILLER,JOSHUA",,,"SUB IN by MILLER,JOSHUA",2
06:11,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",2
06:11,,,,,"SUB OUT by GRANT,SHE'CHEM",,,"SUB OUT by GRANT,SHE'CHEM",2
06:11,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
05:47,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",2
05:47,,49,,51 (+2),"GOOD FT by SULLIVAN,MICHAEL",MILMB 49-51 (+2),,"GOOD FT by SULLIVAN,MICHAEL",2
05:47,,49,,52 (+3),"GOOD FT by SULLIVAN,MICHAEL",MILMB 49-52 (+3),,"GOOD FT by SULLIVAN,MICHAEL",2
05:47,"SUB IN by LAWRENCE,CHRIS",,,,,,,"SUB IN by LAWRENCE,CHRIS",2
05:47,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",2
05:35,"FOUL  by KOCH,WILL",,,,,,,"FOUL  by KOCH,WILL",2
05:35,"TURNOVER  by KOCH,WILL",,,,,,,"TURNOVER  by KOCH,WILL",2
05:22,,,,,"TURNOVER  by BLANZ,BUCK",,,"TURNOVER  by BLANZ,BUCK",2
05:20,"STEAL  by SMITH,CONNOR",,,,,,,"STEAL  by SMITH,CONNOR",2
05:12,"MISS 3PTR by LAWRENCE,CHRIS",,,,,,,"MISS 3PTR by LAWRENCE,CHRIS",2
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",2
04:51,,,,,"TURNOVER  by BECKER,SAXTON",,,"TURNOVER  by BECKER,SAXTON",2
04:49,"STEAL  by FOSTER,LANE",,,,,,,"STEAL  by FOSTER,LANE",2
04:47,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",51,,52 (+1),,OUM 51-52 (+1),,"GOOD LAYUP by FOSTER,LANE(fastbreak)(in the paint)",2
04:24,,51,,54 (+3),"GOOD LAYUP by MILLER,JOSHUA(in the paint)",MILMB 51-54 (+3),,"GOOD LAYUP by MILLER,JOSHUA(in the paint)",2
04:24,"FOUL  by LAWRENCE,CHRIS",,,,,,,"FOUL  by LAWRENCE,CHRIS",2
04:24,,51,,55 (+4),"GOOD FT by MILLER,JOSHUA",MILMB 51-55 (+4),,"GOOD FT by MILLER,JOSHUA",2
04:24,,,,,"SUB IN by GRANT,SHE'CHEM",,,"SUB IN by GRANT,SHE'CHEM",2
04:24,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
04:24,,,,,"SUB OUT by BECKER,SAXTON",,,"SUB OUT by BECKER,SAXTON",2
04:24,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
04:10,,,,,"FOUL  by KOHNKE,SAM",,,"FOUL  by KOHNKE,SAM",2
04:10,"GOOD FT by PERRY,WILL",52,,55 (+3),,OUM 52-55 (+3),,"GOOD FT by PERRY,WILL",2
04:10,"GOOD FT by PERRY,WILL",53,,55 (+2),,OUM 53-55 (+2),,"GOOD FT by PERRY,WILL",2
03:57,"FOUL  by LAWRENCE,CHRIS",,,,,,,"FOUL  by LAWRENCE,CHRIS",2
03:57,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,2
03:57,,,,,"MISS FT by TURNER,JAMES",,,"MISS FT by TURNER,JAMES",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
03:57,,53,,56 (+3),"GOOD FT by TURNER,JAMES",MILMB 53-56 (+3),,"GOOD FT by TURNER,JAMES",2
03:57,"SUB IN by INUNGU,TOM",,,,,,,"SUB IN by INUNGU,TOM",2
03:57,"SUB OUT by LAWRENCE,CHRIS",,,,,,,"SUB OUT by LAWRENCE,CHRIS",2
03:39,,,,,"FOUL  by KOHNKE,SAM",,,"FOUL  by KOHNKE,SAM",2
03:39,"GOOD FT by FOSTER,LANE",54,,56 (+2),,OUM 54-56 (+2),,"GOOD FT by FOSTER,LANE",2
03:39,"MISS FT by FOSTER,LANE",,,,,,,"MISS FT by FOSTER,LANE",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
03:39,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",2
03:39,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
03:25,,,,,"TURNOVER  by KOHNKE,SAM",,,"TURNOVER  by KOHNKE,SAM",2
03:23,"STEAL  by SMITH,CONNOR",,,,,,,"STEAL  by SMITH,CONNOR",2
03:12,"MISS JUMPER by PERRY,WILL",,,,,,,"MISS JUMPER by PERRY,WILL",2
--,,,,,"REBOUND DEF by SULLIVAN,MICHAEL",,,"REBOUND DEF by SULLIVAN,MICHAEL",2
02:47,,,,,"MISS JUMPER by SULLIVAN,MICHAEL",,,"MISS JUMPER by SULLIVAN,MICHAEL",2
--,"REBOUND DEF by PERRY,WILL",,,,,,,"REBOUND DEF by PERRY,WILL",2
02:33,"GOOD LAYUP by INUNGU,TOM(in the paint)",56,,56,,OUM 56-56 (0),,"GOOD LAYUP by INUNGU,TOM(in the paint)",2
--,"ASSIST  by KOCH,WILL",,,,,,,"ASSIST  by KOCH,WILL",2
02:33,,,,,"FOUL  by BLANZ,BUCK",,,"FOUL  by BLANZ,BUCK",2
02:33,"MISS FT by INUNGU,TOM",,,,,,,"MISS FT by INUNGU,TOM",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
02:33,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
02:33,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
02:17,,,,,"MISS LAYUP by GRANT,SHE'CHEM",,,"MISS LAYUP by GRANT,SHE'CHEM",2
--,"REBOUND DEF by INUNGU,TOM",,,,,,,"REBOUND DEF by INUNGU,TOM",2
01:59,"FOUL  by INUNGU,TOM",,,,,,,"FOUL  by INUNGU,TOM",2
01:59,"TURNOVER  by INUNGU,TOM",,,,,,,"TURNOVER  by INUNGU,TOM",2
01:59,"SUB IN by HUGHES,JUSTIN",,,,,,,"SUB IN by HUGHES,JUSTIN",2
01:59,"SUB OUT by INUNGU,TOM",,,,,,,"SUB OUT by INUNGU,TOM",2
01:35,,,,,"TURNOVER  by MILLER,JOSHUA",,,"TURNOVER  by MILLER,JOSHUA",2
01:33,"STEAL  by PERRY,WILL",,,,,,,"STEAL  by PERRY,WILL",2
01:14,"MISS LAYUP by PERRY,WILL",,,,,,,"MISS LAYUP by PERRY,WILL",2
--,,,,,"REBOUND DEF by TURNER,JAMES",,,"REBOUND DEF by TURNER,JAMES",2
01:10,,,,,"FOUL  by GRANT,SHE'CHEM",,,"FOUL  by GRANT,SHE'CHEM",2
01:10,"GOOD FT by KOCH,WILL",57 (+1),,56,,OUM 57-56 (-1),,"GOOD FT by KOCH,WILL",2
01:10,"GOOD FT by KOCH,WILL",58 (+2),,56,,OUM 58-56 (-2),,"GOOD FT by KOCH,WILL",2
01:10,,,,,"SUB IN by OWENS,MATT",,,"SUB IN by OWENS,MATT",2
01:10,,,,,"SUB OUT by TURNER,JAMES",,,"SUB OUT by TURNER,JAMES",2
00:50,,,,,"MISS LAYUP by OWENS,MATT",,,"MISS LAYUP by OWENS,MATT",2
--,"REBOUND DEF by KOCH,WILL",,,,,,,"REBOUND DEF by KOCH,WILL",2
00:19,"GOOD LAYUP by FOSTER,LANE(in the paint)",60 (+4),,56,,OUM 60-56 (-4),,"GOOD LAYUP by FOSTER,LANE(in the paint)",2
00:09,,,,,"MISS JUMPER by SULLIVAN,MICHAEL",,,"MISS JUMPER by SULLIVAN,MICHAEL",2
--,"REBOUND DEF by KOCH,WILL",,,,,,,"REBOUND DEF by KOCH,WILL",2
00:07,,,,,"FOUL  by TURNER,JAMES",,,"FOUL  by TURNER,JAMES",2
00:07,"GOOD FT by KOCH,WILL",61 (+5),,56,,OUM 61-56 (-5),,"GOOD FT by KOCH,WILL",2
00:07,"MISS FT by KOCH,WILL",,,,,,,"MISS FT by KOCH,WILL",2
--,,,,,"REBOUND DEF by KOHNKE,SAM",,,"REBOUND DEF by KOHNKE,SAM",2
00:07,,,,,"SUB IN by BLANZ,BUCK",,,"SUB IN by BLANZ,BUCK",2
00:07,,,,,"SUB IN by TURNER,JAMES",,,"SUB IN by TURNER,JAMES",2
00:07,,,,,"SUB OUT by OWENS,MATT",,,"SUB OUT by OWENS,MATT",2
00:07,,,,,"SUB OUT by KOHNKE,SAM",,,"SUB OUT by KOHNKE,SAM",2
00:04,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",,,"MISS LAYUP by SULLIVAN,MICHAEL",2
--,"REBOUND DEF by HUGHES,JUSTIN",,,,,,,"REBOUND DEF by HUGHES,JUSTIN",2
00:04,,,,,"FOUL  by SULLIVAN,MICHAEL",,,"FOUL  by SULLIVAN,MICHAEL",2
00:04,"GOOD FT by HUGHES,JUSTIN",62 (+6),,56,,OUM 62-56 (-6),,"GOOD FT by HUGHES,JUSTIN",2
00:04,"GOOD FT by HUGHES,JUSTIN",63 (+7),,56,,OUM 63-56 (-7),,"GOOD FT by HUGHES,JUSTIN",2
00:04,,,,,"SUB IN by KOHNKE,SAM",,,"SUB IN by KOHNKE,SAM",2
00:04,,,,,"SUB OUT by BLANZ,BUCK",,,"SUB OUT by BLANZ,BUCK",2
00:00,,,,,"MISS 3PTR by MILLER,JOSHUA",,,"MISS 3PTR by MILLER,JOSHUA",2
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,2
