Time Remaining,MILMB,Away Team Score,Play Team Indicator,Home Team Score,HXM,Game Score,Team Indicator,Play,Period
19:47,"GOOD LAYUP by OWENS,MATT(in the paint)",2 (+2),,0,,MILMB 2-0 (+2),,"GOOD LAYUP by OWENS,MATT(in the paint)",1
--,"ASSIST  by SULLIVAN,MICHAEL",,,,,,,"ASSIST  by SULLIVAN,MICHAEL",1
19:35,,,,,"MISS LAYUP by CRISWELL,SEAN",,,"MISS LAYUP by CRISWELL,SEAN",1
--,"REBOUND DEF by BLANZ,BUCK",,,,,,,"REBOUND DEF by BLANZ,BUCK",1
19:20,"MISS LAYUP by SULLIVAN,MICHAEL",,,,,,,"MISS LAYUP by SULLIVAN,MICHAEL",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
19:04,"FOUL  by BECKER,SAXTON",,,,,,,"FOUL  by BECKER,SAXTON",1
18:46,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",1
--,"REBOUND DEF by OWENS,MATT",,,,,,,"REBOUND DEF by OWENS,MATT",1
18:28,"GOOD LAYUP by OWENS,MATT(in the paint)",4 (+4),,0,,MILMB 4-0 (+4),,"GOOD LAYUP by OWENS,MATT(in the paint)",1
18:28,,,,,"FOUL  by CRISWELL,SEAN",,,"FOUL  by CRISWELL,SEAN",1
18:28,"MISS FT by OWENS,MATT",,,,,,,"MISS FT by OWENS,MATT",1
--,,,,,"REBOUND DEF by SMITH,PRESTON",,,"REBOUND DEF by SMITH,PRESTON",1
18:28,,,,,"SUB IN by ROBERTS,ERIC",,,"SUB IN by ROBERTS,ERIC",1
18:28,,,,,"SUB OUT by CRISWELL,SEAN",,,"SUB OUT by CRISWELL,SEAN",1
18:18,,,,,"MISS JUMPER by CALAMESE,MICHAEL",,,"MISS JUMPER by CALAMESE,MICHAEL",1
--,"REBOUND DEF by BECKER,SAXTON",,,,,,,"REBOUND DEF by BECKER,SAXTON",1
18:14,"TURNOVER  by BECKER,SAXTON",,,,,,,"TURNOVER  by BECKER,SAXTON",1
18:12,,,,,"STEAL  by CALAMESE,MICHAEL",,,"STEAL  by CALAMESE,MICHAEL",1
18:11,,4 (+2),,2,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",HXM 4-2 (+2),,"GOOD LAYUP by CALAMESE,MICHAEL(in the paint)",1
17:52,"GOOD 3PTR by MILLER,JOSHUA",7 (+5),,2,,MILMB 7-2 (+5),,"GOOD 3PTR by MILLER,JOSHUA",1
--,"ASSIST  by OWENS,MATT",,,,,,,"ASSIST  by OWENS,MATT",1
17:27,"FOUL  by OWENS,MATT",,,,,,,"FOUL  by OWENS,MATT",1
17:24,"FOUL  by SULLIVAN,MICHAEL",,,,,,,"FOUL  by SULLIVAN,MICHAEL",1
17:24,,,,,"MISS FT by SMITH,PRESTON",,,"MISS FT by SMITH,PRESTON",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
17:24,,7 (+4),,3,"GOOD FT by SMITH,PRESTON",HXM 7-3 (+4),,"GOOD FT by SMITH,PRESTON",1
17:24,,7 (+3),,4,"GOOD FT by SMITH,PRESTON",HXM 7-4 (+3),,"GOOD FT by SMITH,PRESTON",1
17:07,"MISS 3PTR by BECKER,SAXTON",,,,,,,"MISS 3PTR by BECKER,SAXTON",1
--,,,,,"REBOUND DEF by ROBERTS,ERIC",,,"REBOUND DEF by ROBERTS,ERIC",1
16:54,,,,,"TURNOVER  by ROBERTS,ERIC",,,"TURNOVER  by ROBERTS,ERIC",1
16:54,"SUB IN by BURNETT,DREW",,,,,,,"SUB IN by BURNETT,DREW",1
16:54,"SUB IN by GRANT,SHE'CHEM",,,,,,,"SUB IN by GRANT,SHE'CHEM",1
16:54,"SUB IN by KOHNKE,SAM",,,,,,,"SUB IN by KOHNKE,SAM",1
16:54,"SUB OUT by BECKER,SAXTON",,,,,,,"SUB OUT by BECKER,SAXTON",1
16:54,"SUB OUT by BLANZ,BUCK",,,,,,,"SUB OUT by BLANZ,BUCK",1
16:54,"SUB OUT by OWENS,MATT",,,,,,,"SUB OUT by OWENS,MATT",1
16:38,"MISS 3PTR by KOHNKE,SAM",,,,,,,"MISS 3PTR by KOHNKE,SAM",1
--,,,,,"REBOUND DEF by BRANSFIELD,KAM",,,"REBOUND DEF by BRANSFIELD,KAM",1
16:29,,,,,"MISS 3PTR by FISHER,ELI",,,"MISS 3PTR by FISHER,ELI",1
--,,,,,"REBOUND OFF by BRANSFIELD,KAM",,,"REBOUND OFF by BRANSFIELD,KAM",1
16:25,,,,,"MISS 3PTR by SMITH,PRESTON",,,"MISS 3PTR by SMITH,PRESTON",1
--,"REBOUND DEF by BURNETT,DREW",,,,,,,"REBOUND DEF by BURNETT,DREW",1
16:14,"TURNOVER  by MILLER,JOSHUA",,,,,,,"TURNOVER  by MILLER,JOSHUA",1
16:14,,,,,"STEAL  by BRANSFIELD,KAM",,,"STEAL  by BRANSFIELD,KAM",1
16:14,"FOUL  by BURNETT,DREW",,,,,,,"FOUL  by BURNETT,DREW",1
16:14,"SUB IN by TURNER,JAMES",,,,,,,"SUB IN by TURNER,JAMES",1
16:14,"SUB OUT by SULLIVAN,MICHAEL",,,,,,,"SUB OUT by SULLIVAN,MICHAEL",1
16:09,,,,,"MISS 3PTR by BRANSFIELD,KAM",,,"MISS 3PTR by BRANSFIELD,KAM",1
--,"REBOUND DEF by TURNER,JAMES",,,,,,,"REBOUND DEF by TURNER,JAMES",1
15:48,"GOOD 3PTR by BURNETT,DREW",10 (+6),,4,,MILMB 10-4 (+6),,"GOOD 3PTR by BURNETT,DREW",1
--,"ASSIST  by TURNER,JAMES",,,,,,,"ASSIST  by TURNER,JAMES",1
15:22,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",1
15:22,,,,,TIMEOUT MEDIA by TEAM,,,TIMEOUT MEDIA by TEAM,1
15:22,,,,,"SUB IN by EATON,JACK",,,"SUB IN by EATON,JACK",1
15:22,,,,,"SUB IN by LINK,JACOB",,,"SUB IN by LINK,JACOB",1
15:22,,,,,"SUB OUT by CALAMESE,MICHAEL",,,"SUB OUT by CALAMESE,MICHAEL",1
15:22,,,,,"SUB OUT by FISHER,ELI",,,"SUB OUT by FISHER,ELI",1
15:12,,,,,TURNOVER  by TEAM,,,TURNOVER  by TEAM,1
14:59,"TURNOVER  by BURNETT,DREW",,,,,,,"TURNOVER  by BURNETT,DREW",1
14:50,,,,,"STEAL  by ROBERTS,ERIC",,,"STEAL  by ROBERTS,ERIC",1
14:49,"FOUL  by KOHNKE,SAM",,,,,,,"FOUL  by KOHNKE,SAM",1
14:49,"SUB IN by SULLIVAN,MICHAEL",,,,,,,"SUB IN by SULLIVAN,MICHAEL",1
14:49,"SUB IN by CARVELLI,CAMERON",,,,,,,"SUB IN by CARVELLI,CAMERON",1
14:49,"SUB OUT by MILLER,JOSHUA",,,,,,,"SUB OUT by MILLER,JOSHUA",1
14:49,"SUB OUT by KOHNKE,SAM",,,,,,,"SUB OUT by KOHNKE,SAM",1
14:31,,,,,"TURNOVER  by EATON,JACK",,,"TURNOVER  by EATON,JACK",1
