Time Remaining,HC,Away Team Score,Play Team Indicator,Home Team Score,CENTRE_M,Game Score,Team Indicator,Play,Period
19:34,,,,,"MISS 3PTR by GUMP,MATT",,,"MISS 3PTR by GUMP,MATT",1
--,,,,,"REBOUND OFF by WESLEY,TYLER",,,"REBOUND OFF by WESLEY,TYLER",1
19:11,,,,,"TURNOVER  by SCINTA,BLAKE",,,"TURNOVER  by SCINTA,BLAKE",1
19:10,"STEAL  by ALDOUS,HANK",,,,,,,"STEAL  by ALDOUS,HANK",1
18:55,"MISS LAYUP by VANCE,LUKE",,,,,,,"MISS LAYUP by VANCE,LUKE",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
18:46,"FOUL  by OGLE,JOHN",,,,,,,"FOUL  by OGLE,JOHN",1
18:23,"FOUL  by NIKOLOVSKI,DREW",,,,,,,"FOUL  by NIKOLOVSKI,DREW",1
18:23,,0,,1 (+1),"GOOD FT by KARSNER,JOSH",CENTRE_M 0-1 (-1),,"GOOD FT by KARSNER,JOSH",1
18:23,,0,,2 (+2),"GOOD FT by KARSNER,JOSH",CENTRE_M 0-2 (-2),,"GOOD FT by KARSNER,JOSH",1
18:08,"MISS 3PTR by ALDOUS,HANK",,,,,,,"MISS 3PTR by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by SCINTA,BLAKE",,,"REBOUND DEF by SCINTA,BLAKE",1
17:47,,,,,"MISS JUMPER by SCINTA,BLAKE",,,"MISS JUMPER by SCINTA,BLAKE",1
--,"REBOUND DEF by ALDOUS,HANK",,,,,,,"REBOUND DEF by ALDOUS,HANK",1
17:21,"MISS LAYUP by GUMM,GABE",,,,,,,"MISS LAYUP by GUMM,GABE",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
16:48,,0,,4 (+4),"GOOD LAYUP by GUMP,MATT(in the paint)",CENTRE_M 0-4 (-4),,"GOOD LAYUP by GUMP,MATT(in the paint)",1
16:28,"MISS LAYUP by ALDOUS,HANK",,,,,,,"MISS LAYUP by ALDOUS,HANK",1
16:28,,,,,"BLOCK  by WESLEY,TYLER",,,"BLOCK  by WESLEY,TYLER",1
--,,,,,"REBOUND DEF by KARSNER,JOSH",,,"REBOUND DEF by KARSNER,JOSH",1
15:55,,,,,"MISS JUMPER by WESLEY,TYLER",,,"MISS JUMPER by WESLEY,TYLER",1
--,"REBOUND DEF by VANCE,LUKE",,,,,,,"REBOUND DEF by VANCE,LUKE",1
15:36,"MISS LAYUP by ALDOUS,HANK",,,,,,,"MISS LAYUP by ALDOUS,HANK",1
--,,,,,"REBOUND DEF by WESLEY,TYLER",,,"REBOUND DEF by WESLEY,TYLER",1
15:17,,,,,"MISS JUMPER by KARSNER,JOSH",,,"MISS JUMPER by KARSNER,JOSH",1
--,"REBOUND DEF by OGLE,JOHN",,,,,,,"REBOUND DEF by OGLE,JOHN",1
15:03,"TURNOVER  by GUMM,GABE",,,,,,,"TURNOVER  by GUMM,GABE",1
15:03,,,,,"SUB IN by SCHMUCKER,ZACH",,,"SUB IN by SCHMUCKER,ZACH",1
15:03,,,,,"SUB IN by GRUBER,SAM",,,"SUB IN by GRUBER,SAM",1
