Time Remaining,SEWANEE,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
20:00,FOUL TECH by TEAM,,,,,,,FOUL TECH by TEAM,1
20:00,,,,,"MISS FT by GUMM,GABE",,,"MISS FT by GUMM,GABE",1
--,,,,,REBOUND DEADB by TEAM,,,REBOUND DEADB by TEAM,1
20:00,,0,,1 (+1),"GOOD FT by GUMM,GABE",HC 0-1 (+1),,"GOOD FT by GUMM,GABE",1
19:43,"MISS 3PTR by TOME,MATT",,,,,,,"MISS 3PTR by TOME,MATT",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
19:26,,0,,3 (+3),"GOOD JUMPER by VANCE,LUKE(in the paint)",HC 0-3 (+3),,"GOOD JUMPER by VANCE,LUKE(in the paint)",1
19:10,"TURNOVER  by BROWN,SETH",,,,,,,"TURNOVER  by BROWN,SETH",1
19:09,,,,,"STEAL  by CONARD,ALEC",,,"STEAL  by CONARD,ALEC",1
18:51,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",1
--,"REBOUND DEF by TOME,MATT",,,,,,,"REBOUND DEF by TOME,MATT",1
18:27,"MISS 3PTR by WILLIAMS,JORDEN",,,,,,,"MISS 3PTR by WILLIAMS,JORDEN",1
--,"REBOUND OFF by BROWN,SETH",,,,,,,"REBOUND OFF by BROWN,SETH",1
18:21,"MISS LAYUP by BROWN,SETH",,,,,,,"MISS LAYUP by BROWN,SETH",1
--,,,,,"REBOUND DEF by CONARD,ALEC",,,"REBOUND DEF by CONARD,ALEC",1
18:10,,0,,5 (+5),"GOOD DUNK by ALDOUS,HANK(in the paint)",HC 0-5 (+5),,"GOOD DUNK by ALDOUS,HANK(in the paint)",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
17:52,"TURNOVER  by CARTER,KESHONN",,,,,,,"TURNOVER  by CARTER,KESHONN",1
17:52,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
17:36,,0,,8 (+8),"GOOD 3PTR by CONARD,ALEC",HC 0-8 (+8),,"GOOD 3PTR by CONARD,ALEC",1
--,,,,,"ASSIST  by BARRETT,JORDAN",,,"ASSIST  by BARRETT,JORDAN",1
17:11,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",2,,8 (+6),,SEWANEE 2-8 (+6),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
--,"ASSIST  by CARTER,KESHONN",,,,,,,"ASSIST  by CARTER,KESHONN",1
16:41,,,,,"MISS 3PTR by CONARD,ALEC",,,"MISS 3PTR by CONARD,ALEC",1
--,"REBOUND DEF by CALDWELL,MARCELLUS",,,,,,,"REBOUND DEF by CALDWELL,MARCELLUS",1
16:29,"MISS JUMPER by CALDWELL,MARCELLUS",,,,,,,"MISS JUMPER by CALDWELL,MARCELLUS",1
--,,,,,"REBOUND DEF by VANCE,LUKE",,,"REBOUND DEF by VANCE,LUKE",1
16:21,,2,,10 (+8),"GOOD LAYUP by BARRETT,JORDAN(fastbreak)(in the paint)",HC 2-10 (+8),,"GOOD LAYUP by BARRETT,JORDAN(fastbreak)(in the paint)",1
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",1
16:21,"FOUL  by TOME,MATT",,,,,,,"FOUL  by TOME,MATT",1
16:21,,2,,11 (+9),"GOOD FT by BARRETT,JORDAN",HC 2-11 (+9),,"GOOD FT by BARRETT,JORDAN",1
16:21,"SUB IN by STONE,BRODY",,,,,,,"SUB IN by STONE,BRODY",1
16:21,"SUB IN by MCCULLOUGH,JACOB",,,,,,,"SUB IN by MCCULLOUGH,JACOB",1
16:21,"SUB OUT by BROWN,SETH",,,,,,,"SUB OUT by BROWN,SETH",1
16:21,"SUB OUT by TOME,MATT",,,,,,,"SUB OUT by TOME,MATT",1
16:11,"MISS JUMPER by WILLIAMS,JORDEN",,,,,,,"MISS JUMPER by WILLIAMS,JORDEN",1
--,"REBOUND OFF by STONE,BRODY",,,,,,,"REBOUND OFF by STONE,BRODY",1
16:08,"GOOD LAYUP by STONE,BRODY(in the paint)",4,,11 (+7),,SEWANEE 4-11 (+7),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
15:35,,,,,"TURNOVER  by BARRETT,JORDAN",,,"TURNOVER  by BARRETT,JORDAN",1
15:35,,,,,"FOUL  by BARRETT,JORDAN",,,"FOUL  by BARRETT,JORDAN",1
15:24,,,,,"FOUL  by VANCE,LUKE",,,"FOUL  by VANCE,LUKE",1
15:24,,,,,"SUB IN by NIKOLOVSKI,DREW",,,"SUB IN by NIKOLOVSKI,DREW",1
15:24,,,,,"SUB OUT by BARRETT,JORDAN",,,"SUB OUT by BARRETT,JORDAN",1
15:19,"TURNOVER  by WILLIAMS,JORDEN",,,,,,,"TURNOVER  by WILLIAMS,JORDEN",1
15:19,,,,,"STEAL  by VANCE,LUKE",,,"STEAL  by VANCE,LUKE",1
14:58,,4,,13 (+9),"GOOD JUMPER by GUMM,GABE",HC 4-13 (+9),,"GOOD JUMPER by GUMM,GABE",1
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",1
14:30,"GOOD JUMPER by CARTER,KESHONN(in the paint)",6,,13 (+7),,SEWANEE 6-13 (+7),,"GOOD JUMPER by CARTER,KESHONN(in the paint)",1
14:06,,6,,16 (+10),"GOOD 3PTR by NIKOLOVSKI,DREW",HC 6-16 (+10),,"GOOD 3PTR by NIKOLOVSKI,DREW",1
--,,,,,"ASSIST  by GUMM,GABE",,,"ASSIST  by GUMM,GABE",1
13:46,"GOOD 3PTR by STONE,BRODY",9,,16 (+7),,SEWANEE 9-16 (+7),,"GOOD 3PTR by STONE,BRODY",1
--,"ASSIST  by WILLIAMS,JORDEN",,,,,,,"ASSIST  by WILLIAMS,JORDEN",1
13:15,,9,,18 (+9),"GOOD LAYUP by VANCE,LUKE(in the paint)",HC 9-18 (+9),,"GOOD LAYUP by VANCE,LUKE(in the paint)",1
--,,,,,"ASSIST  by CONARD,ALEC",,,"ASSIST  by CONARD,ALEC",1
12:43,"GOOD LAYUP by STONE,BRODY(in the paint)",11,,18 (+7),,SEWANEE 11-18 (+7),,"GOOD LAYUP by STONE,BRODY(in the paint)",1
12:27,,,,,"MISS JUMPER by VANCE,LUKE",,,"MISS JUMPER by VANCE,LUKE",1
--,"REBOUND DEF by STONE,BRODY",,,,,,,"REBOUND DEF by STONE,BRODY",1
12:16,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",13,,18 (+5),,SEWANEE 13-18 (+5),,"GOOD LAYUP by WILLIAMS,JORDEN(in the paint)",1
12:08,TIMEOUT 30SEC by TEAM,,,,,,,TIMEOUT 30SEC by TEAM,1
12:08,"SUB IN by BORN,CLAY",,,,,,,"SUB IN by BORN,CLAY",1
12:08,"SUB IN by BORN,LEO",,,,,,,"SUB IN by BORN,LEO",1
12:08,"SUB IN by TOME,MATT",,,,,,,"SUB IN by TOME,MATT",1
12:08,"SUB OUT by WILLIAMS,JORDEN",,,,,,,"SUB OUT by WILLIAMS,JORDEN",1
12:08,"SUB OUT by CARTER,KESHONN",,,,,,,"SUB OUT by CARTER,KESHONN",1
12:08,"SUB OUT by CALDWELL,MARCELLUS",,,,,,,"SUB OUT by CALDWELL,MARCELLUS",1
12:08,,,,,"SUB IN by OGLE,JOHN",,,"SUB IN by OGLE,JOHN",1
12:08,,,,,"SUB IN by STEELE,AARON",,,"SUB IN by STEELE,AARON",1
12:08,,,,,"SUB IN by LITTLEFIELD,GEAREN",,,"SUB IN by LITTLEFIELD,GEAREN",1
