Time Remaining,WASHUM,Away Team Score,Play Team Indicator,Home Team Score,HC,Game Score,Team Indicator,Play,Period
19:41,"GOOD JUMPER by FATOKI,DAVID",2 (+2),,0,,WASHUM 2-0 (-2),,"GOOD JUMPER by FATOKI,DAVID",1
19:09,,,,,"MISS JUMPER by GUMM,GABE",,,"MISS JUMPER by GUMM,GABE",1
--,"REBOUND DEF by BURT,NICK",,,,,,,"REBOUND DEF by BURT,NICK",1
18:50,"MISS JUMPER by BURT,NICK",,,,,,,"MISS JUMPER by BURT,NICK",1
--,"REBOUND OFF by STYCZYNSKI,MITCH",,,,,,,"REBOUND OFF by STYCZYNSKI,MITCH",1
18:46,"TURNOVER  by STYCZYNSKI,MITCH",,,,,,,"TURNOVER  by STYCZYNSKI,MITCH",1
18:34,,,,,"MISS 3PTR by ALDOUS,HANK",,,"MISS 3PTR by ALDOUS,HANK",1
--,"REBOUND DEF by STYCZYNSKI,MITCH",,,,,,,"REBOUND DEF by STYCZYNSKI,MITCH",1
18:23,"TURNOVER  by FATOKI,DAVID",,,,,,,"TURNOVER  by FATOKI,DAVID",1
18:06,,2,,2,"GOOD LAYUP by OGLE,JOHN(in the paint)",HC 2-2 (0),,"GOOD LAYUP by OGLE,JOHN(in the paint)",1
--,,,,,"ASSIST  by VANCE,LUKE",,,"ASSIST  by VANCE,LUKE",1
17:54,"TURNOVER  by FATOKI,DAVID",,,,,,,"TURNOVER  by FATOKI,DAVID",1
17:53,,,,,"STEAL  by BARRETT,JORDAN",,,"STEAL  by BARRETT,JORDAN",1
17:49,,,,,"MISS LAYUP by BARRETT,JORDAN",,,"MISS LAYUP by BARRETT,JORDAN",1
--,,,,,"REBOUND OFF by VANCE,LUKE",,,"REBOUND OFF by VANCE,LUKE",1
17:44,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
17:42,"STEAL  by FATOKI,DAVID",,,,,,,"STEAL  by FATOKI,DAVID",1
17:39,"MISS LAYUP by FATOKI,DAVID",,,,,,,"MISS LAYUP by FATOKI,DAVID",1
--,,,,,"REBOUND DEF by ALDOUS,HANK",,,"REBOUND DEF by ALDOUS,HANK",1
17:13,,,,,"MISS LAYUP by ALDOUS,HANK",,,"MISS LAYUP by ALDOUS,HANK",1
--,"REBOUND DEF by PALUCKI,MATT",,,,,,,"REBOUND DEF by PALUCKI,MATT",1
16:52,"GOOD 3PTR by PALUCKI,MATT",5 (+3),,2,,WASHUM 5-2 (-3),,"GOOD 3PTR by PALUCKI,MATT",1
--,"ASSIST  by SILVERMAN-LLOYD,L",,,,,,,"ASSIST  by SILVERMAN-LLOYD,L",1
16:21,,,,,"MISS LAYUP by VANCE,LUKE",,,"MISS LAYUP by VANCE,LUKE",1
--,,,,,"REBOUND OFF by OGLE,JOHN",,,"REBOUND OFF by OGLE,JOHN",1
16:05,,5 (+1),,4,"GOOD LAYUP by ALDOUS,HANK(in the paint)",HC 5-4 (-1),,"GOOD LAYUP by ALDOUS,HANK(in the paint)",1
15:51,"GOOD JUMPER by BURT,NICK",7 (+3),,4,,WASHUM 7-4 (-3),,"GOOD JUMPER by BURT,NICK",1
--,"ASSIST  by FATOKI,DAVID",,,,,,,"ASSIST  by FATOKI,DAVID",1
15:29,,,,,"MISS 3PTR by BARRETT,JORDAN",,,"MISS 3PTR by BARRETT,JORDAN",1
--,"REBOUND DEF by STYCZYNSKI,MITCH",,,,,,,"REBOUND DEF by STYCZYNSKI,MITCH",1
15:21,"GOOD LAYUP by BURT,NICK(in the paint)",9 (+5),,4,,WASHUM 9-4 (-5),,"GOOD LAYUP by BURT,NICK(in the paint)",1
--,"ASSIST  by FATOKI,DAVID",,,,,,,"ASSIST  by FATOKI,DAVID",1
15:06,,,,,"TURNOVER  by ALDOUS,HANK",,,"TURNOVER  by ALDOUS,HANK",1
15:05,"STEAL  by SILVERMAN-LLOYD,L",,,,,,,"STEAL  by SILVERMAN-LLOYD,L",1
15:05,"TURNOVER  by SILVERMAN-LLOYD,L",,,,,,,"TURNOVER  by SILVERMAN-LLOYD,L",1
